Manufacturer Class,Code,Name Key,Short Name Key,Description Key,Logo,Logo Full Color,Logo Simplified White,Dashboard Canvas Config GUID,Building Blocks Style GUID,Audio Manufacturer Tag GUID,Light Amplification GUID,Record GUID,Record Path
ASD_LO,ASD,manufacturer_NameASAD,,manufacturer_DescASAD,UI/SharedAssets/ManufacturerLogos/AssociatedScienceAndDevelopment_256.tif,,,,7e1c2c4c-06c6-4490-ad82-d22b6b8c8e19,,,bb5a8287-6bb7-4936-a898-4b1850e8112e,libs/foundry/records/scitemmanufacturer/asd_lo.xml
ASD,ASD,manufacturer_NameASAD,,manufacturer_DescASAD,UI/SharedAssets/ManufacturerLogos/AssociatedScienceAndDevelopment_256.tif,,,,0faa0654-a642-46ba-a3f3-9e2def46e9b0,,,055fe7c5-2e02-4e3a-aacb-f289563fabbd,libs/foundry/records/scitemmanufacturer/asd.xml
BANU,BANU,manufacturer_NameBANU,,manufacturer_DescBANU,UI/SharedAssets/ManufacturerLogos/Banu_256.tif,,,27ccfeae-f505-4e24-bae8-1d5a99429fa3,f6eecdfd-8d14-4bcc-a9ab-5f3217c4840d,c4e29be8-0102-45f0-b730-d4266fec7ab4,6305e167-ed9f-4f39-a8d9-20832bd3f387,2b5ba252-e826-4356-ac0d-8d88007ea386,libs/foundry/records/scitemmanufacturer/banu.xml
BLTR,BLTR,manufacturer_NameBLTR,,manufacturer_DescBLTR,UI/SharedAssets/ManufacturerLogos/rep_ui_icon_logo_bluetriangle_diff.tif,,,,,,,bcea197e-ac9d-49f4-a692-d77c6927077f,libs/foundry/records/scitemmanufacturer/bltr.xml
BRRA,BRRA,manufacturer_NameBRRA,,manufacturer_DescBRRA,UI/SharedAssets/ManufacturerLogos/rep_ui_icon_logo_BRRA_diff.tif,,,,,,,ad865899-f5ba-4818-ae8c-fe80a55108b7,libs/foundry/records/scitemmanufacturer/brra.xml
CHCO,CHCO,manufacturer_NameCHCO,,manufacturer_DescCHCO,UI/SharedAssets/ManufacturerLogos/rep_ui_icon_logo_chimera_diff.tif,,,,,,,8af71a8a-7da0-4e31-afc7-648fc916e387,libs/foundry/records/scitemmanufacturer/chco.xml
987,987,manufacturer_Name987,,manufacturer_Desc987,UI/SharedAssets/ManufacturerLogos/987_256.tif,,,,,,,3b54a8cc-5700-45f1-940a-2436b213926f,libs/foundry/records/scitemmanufacturer/clothes/987.xml
CBA,CBA,manufacturer_NameCBA,,manufacturer_DescCBA,UI/SharedAssets/ManufacturerLogos/codeblueapparel_256.tif,,,,,,,d9179d05-55be-4eed-8b1b-93bb8450ff04,libs/foundry/records/scitemmanufacturer/clothes/cba.xml
DRN,DRN,manufacturer_NameDRN,,manufacturer_DescDRN,UI/SharedAssets/ManufacturerLogos/Derion_256.tif,,,,,,,2ab62815-6273-44b9-bbc6-28d36fed6fd8,libs/foundry/records/scitemmanufacturer/clothes/drn.xml
DYL,DYL,manufacturer_NameDYL,,manufacturer_DescDYL,UI/SharedAssets/ManufacturerLogos/UnknownManufacturer_256.tif,,,,,,,92b20988-dbf3-4e95-b4a9-7e5e22112516,libs/foundry/records/scitemmanufacturer/clothes/dyl.xml
FIO,FIO,manufacturer_NameFIO,,manufacturer_DescFIO,UI/SharedAssets/ManufacturerLogos/Fiore_256.tif,,,,,,,503b0974-5027-4c69-bce6-a38c42e87ebe,libs/foundry/records/scitemmanufacturer/clothes/fio.xml
GSB,GSB,manufacturer_NameGSB,,manufacturer_DescGSB,UI/SharedAssets/ManufacturerLogos/GrindstoneBoots_256.tif,,,,,,,6d4b7375-8e0c-445a-a243-21f8f94f99cb,libs/foundry/records/scitemmanufacturer/clothes/gsb.xml
GYS,GYS,manufacturer_NameGYS,,manufacturer_DescGYS,UI/SharedAssets/ManufacturerLogos/Gyson_256.tif,,,,,,,d56a3985-2f29-4095-b2f2-542376cc74f4,libs/foundry/records/scitemmanufacturer/clothes/gys.xml
HDH,HDH,manufacturer_NameHDH,,manufacturer_DescHDH,UI/SharedAssets/ManufacturerLogos/Habidash_256.tif,,,,,,,70ce6432-3a1e-45a1-8179-fe30a3ee54dc,libs/foundry/records/scitemmanufacturer/clothes/hdh.xml
MYM,MYM,manufacturer_NameMYM,,manufacturer_DescMYM,UI/SharedAssets/ManufacturerLogos/MuyMuy_256.tif,,,,,,,cc1731c4-8156-4750-a138-96838df79117,libs/foundry/records/scitemmanufacturer/clothes/mym.xml
NRS,NRS,manufacturer_NameNRS,,manufacturer_DescNRS,UI/SharedAssets/ManufacturerLogos/NorthStar_256.tif,,,,,,,2d1922e0-f8dc-46d3-a453-6a85711f3771,libs/foundry/records/scitemmanufacturer/clothes/nrs.xml
NVS,NVS,manufacturer_NameNVS,,manufacturer_DescNVS,UI/SharedAssets/ManufacturerLogos/NavySurplus_256.tif,,,,,,,f8efa046-7f79-4e09-b2fc-35d0df2429cf,libs/foundry/records/scitemmanufacturer/clothes/nvs.xml
OCT,OCT,manufacturer_NameOCT,,manufacturer_DescOCT,UI/SharedAssets/ManufacturerLogos/octagon_256.tif,,,,,,,4a05001d-0511-415f-8e32-618fbd75242b,libs/foundry/records/scitemmanufacturer/clothes/oct.xml
OPS,OPS,manufacturer_NameOPS,,manufacturer_DescOPS,UI/SharedAssets/ManufacturerLogos/OpalSky_256.tif,,,,,,,6f5af1a4-a50d-41e5-8bb0-c1acd89d4b9e,libs/foundry/records/scitemmanufacturer/clothes/ops.xml
RMB,RMB,manufacturer_NameRMB,,manufacturer_DescRMB,UI/SharedAssets/ManufacturerLogos/Rambler_256.tif,,,,,,,e7489831-23c1-4629-ab36-221bb9bad06f,libs/foundry/records/scitemmanufacturer/clothes/rmb.xml
ALB,ALB,manufacturer_NameALB,,manufacturer_DescALB,UI/SharedAssets/ManufacturerLogos/alejobros_256.tif,,,,,,,dd14fd7f-eead-4f7d-8057-2d95405a0183,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.alb.xml
CBD,CBD,manufacturer_NameCBD,,manufacturer_DescCBD,UI/SharedAssets/ManufacturerLogos/cbd_256.tif,,,,,,,64eef2d9-5d3d-431d-a83b-ae077a16b4e2,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.cbd.xml
CTL,CTL,manufacturer_NameCTL,,manufacturer_DescCTL,UI/SharedAssets/ManufacturerLogos/CityLights_256.tif,,,,,,,5ca8a669-44c2-40e4-89b2-7a5da790b832,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.ctl.xml
DMC,DMC,manufacturer_NameDMC,,manufacturer_DescDMC,UI/SharedAssets/ManufacturerLogos/DMC_256.tif,,,,,,,a53bbc2b-aa43-483d-967e-0cebc5600c04,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.dmc.xml
ELD,ELD,manufacturer_NameELD,,manufacturer_DescELD,UI/SharedAssets/ManufacturerLogos/EscarLTD_256.tif,,,,,,,190a2e0e-6d60-4719-8238-ac7e1c746626,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.eld.xml
EVL,EVL,manufacturer_NameEVL,,manufacturer_DescEVL,UI/SharedAssets/ManufacturerLogos/evl_256.tif,,,,,,,c0635984-4973-41c6-ac27-0c9a39ae051d,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.evl.xml
HWK,HWK,manufacturer_NameHWK,,manufacturer_DescHWK,UI/SharedAssets/ManufacturerLogos/Hawksworths_256.tif,,,,,,,d7a8b196-8778-4e18-8c8c-38229eef01f1,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.hwk.xml
R6P,R6P,manufacturer_NameR6P,,manufacturer_DescR6P,UI/SharedAssets/ManufacturerLogos/r6pro_256.tif,,,,,,,1ddcadf0-7bb0-4fa9-94f0-6af19432631c,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.r6p.xml
SPV,SPV,manufacturer_NameSPV,,manufacturer_DescSPV,UI/SharedAssets/ManufacturerLogos/SPV_256.tif,,,,,,,e7c9f9ee-a1db-40ee-bfa8-a8ffead4ac1d,libs/foundry/records/scitemmanufacturer/clothes/scitemmanufacturer.spv.xml
SCU,SCU,manufacturer_NameSCU,,manufacturer_DescSCU,UI/SharedAssets/ManufacturerLogos/Stegmans_256.tif,,,,,,,20121812-97a6-4ce1-a6a4-88a5ed646c58,libs/foundry/records/scitemmanufacturer/clothes/scu.xml
UPS,UPS,manufacturer_NameUPS,,manufacturer_DescUPS,UI/SharedAssets/ManufacturerLogos/Upsiders_256.tif,,,,,,,f444bb54-a422-44a0-abdb-a0384f0f5593,libs/foundry/records/scitemmanufacturer/clothes/ups.xml
VPW,VPW,manufacturer_NameVPW,,manufacturer_DescVPW,UI/SharedAssets/ManufacturerLogos/UnknownManufacturer_256.tif,,,,,,,7dfff1b9-2bfa-4ace-86d9-30329a2a0f30,libs/foundry/records/scitemmanufacturer/clothes/vpw.xml
Flair_Dashboard_Cockpit_Bot_Logo_a,,,,,UI/SharedAssets/CockpitFlairLogos/flair_dashboard_cockpit_bot_logo_a_diff.tif,,,,,,,0b5e4d5d-d435-45f8-9093-6daa1950158f,libs/foundry/records/scitemmanufacturer/cockpitflairlogos/flair_dashboard_cockpit_bot_logo_a.xml
Flair_Dashboard_Heart_Teddy_Logo_a,,,,,UI/SharedAssets/CockpitFlairLogos/flair_dashboard_heart_teddy_logo_a_diff.tif,,,,,,,f332f071-5df1-404b-a37e-e77cf287c0dd,libs/foundry/records/scitemmanufacturer/cockpitflairlogos/flair_dashboard_heart_teddy_logo_a.xml
CRLF_Medgun,CUR,manufacturer_NameCRLF,,manufacturer_DescCRLF,UI/SharedAssets/ManufacturerLogos/curelife_256.tif,,,,20ca722c-5d0a-4919-9f3d-1d975fddf814,,,f4a1ad63-43fb-483c-a90f-33dd50586e3a,libs/foundry/records/scitemmanufacturer/crlf_medgun.xml
CRUS,CRUS,manufacturer_NameCRUS,,manufacturer_DescCRUS,UI/SharedAssets/ManufacturerLogos/Crusader_256.tif,,,feab71bd-5e76-4039-89ed-74484ed413f4,c8953e7c-6f83-439e-8e71-9cd23eaabb12,d98c7c8b-87f2-4431-acac-e60282e1dda3,4830ef02-0d3c-474f-9376-ebdfff301dd3,63685f47-b0cc-4ebe-8f16-72793a5cd6e0,libs/foundry/records/scitemmanufacturer/crus.xml
ESPR,ESPR,manufacturer_NameESPR,,manufacturer_DescESPR,UI/SharedAssets/ManufacturerLogos/Esperia_256.tif,,,1d652fdc-08be-4d0d-93e0-84719d1a58ce,e543516a-2715-466b-9a43-4ace5d2b005b,a7eb8029-c56f-4c6b-8d2f-febe6fcd0ca0,86059c80-623f-4ce0-ae3a-3c46cd1f380e,4ecc1a24-d228-4dd5-8857-21ba6145a1d3,libs/foundry/records/scitemmanufacturer/espr.xml
FFSY,FFSY,manufacturer_NameFFSY,,manufacturer_DescFFSY,UI/SharedAssets/ManufacturerLogos/FlashfireSystems_256.tif,,,,,,,b9b97673-c585-4e0a-b229-a0a3c79668c3,libs/foundry/records/scitemmanufacturer/ffsy.xml
FSKI,FSKI,manufacturer_NameAEGS,,manufacturer_DescAEGS,UI/SharedAssets/ManufacturerLogos/FirestormKinetics_256.tif,,,,,,,5f81335d-44e6-4104-841e-c5af9df06829,libs/foundry/records/scitemmanufacturer/fski.xml
GAMA,GAM,manufacturer_NameGAMA,,manufacturer_DescGAMA,UI/SharedAssets/ManufacturerLogos/Gatac_256.tif,UI/Textures/Logos/logo_corp_GAMA_Square_Color.tif,UI/Textures/Logos/logo_corp_GAMA_Square_White.tif,d19dbfa0-5701-4d9e-9048-64507cd4ea25,3719f75c-2717-4dca-9046-b78bb3952fc9,,,31907472-a884-4ebc-86db-cd4f7797e514,libs/foundry/records/scitemmanufacturer/gama.xml
GATS,GAT,manufacturer_NameGATS,,manufacturer_DescGATS,UI/SharedAssets/ManufacturerLogos/Gallensontacticalsystems_256.tif,,,,,,,a834198a-3465-4b02-86a5-887e922ec06d,libs/foundry/records/scitemmanufacturer/gats.xml
GEND,GEND,manufacturer_NameGEND,,manufacturer_DescGEND,UI/SharedAssets/ManufacturerLogos/GenericDrink_256.tif,,,,,,,f80ab8de-4d04-4a1f-a8f2-ee2bb01fd125,libs/foundry/records/scitemmanufacturer/gend.xml
GENF,GENF,manufacturer_NameGENF,,manufacturer_DescGENF,UI/SharedAssets/ManufacturerLogos/GenericFood_256.tif,,,,,,,1b6be99e-f430-459f-ab2a-a912fd6722f8,libs/foundry/records/scitemmanufacturer/genf.xml
GHEX,GHEX,manufacturer_NameARCC,,manufacturer_DescARCC,UI/SharedAssets/ManufacturerLogos/ArcCorp_256.tif,,,,4ced3cd1-c648-4af2-951a-a0106f0184a0,,,49e92191-59aa-4a08-b7d6-3b68e0370ea8,libs/foundry/records/scitemmanufacturer/ghex.xml
GREY,GLSN,manufacturer_NameGREY,,manufacturer_DescGREY,UI/SharedAssets/ManufacturerLogos/GREY_256.tif,UI/Textures/Logos/logo_corp_GREY_Square_Color.tif,UI/Textures/Logos/logo_corp_GREY_Square_White.tif,caa36388-0d29-4c0a-bb3c-b088ac459f5d,4108de29-df26-4e5c-95e6-0b52a764ce28,,,768b4380-6486-4187-8c22-bc3deaf80770,libs/foundry/records/scitemmanufacturer/grey.xml
GRIN_Weapons,GRIN,manufacturer_NameGRIN,,manufacturer_DescGRIN,UI/SharedAssets/ManufacturerLogos/Greycat_256.tif,,,69bc2998-c8fb-4037-8aea-2f2287aa5057,35e68ab8-e34c-488e-9cc4-07275d46cc5e,90065e22-d32e-4d69-b6c4-a8ff7767185b,,d8eca6d3-b40c-46c0-953e-ef5840c1fa63,libs/foundry/records/scitemmanufacturer/grin_weapons.xml
GRIN,GRIN,manufacturer_NameGRIN,,manufacturer_DescGRIN,UI/SharedAssets/ManufacturerLogos/Greycat_256.tif,,,69bc2998-c8fb-4037-8aea-2f2287aa5057,1c828710-2088-498a-abb5-007389af5557,90065e22-d32e-4d69-b6c4-a8ff7767185b,,819545f4-18af-49a6-814e-ca4fd08f56e5,libs/foundry/records/scitemmanufacturer/grin.xml
GRNP,GRNP,manufacturer_NameGRNP,,manufacturer_DescGRNP,UI/SharedAssets/ManufacturerLogos/rep_ui_icon_logo_gnp_diff.tif,,,,,,,3909dad3-eab3-4da7-9d90-74d7064d5900,libs/foundry/records/scitemmanufacturer/grnp.xml
AEHA,,,,,,,,,,,,c7865487-2114-4863-b691-2d7d29ce1bfa,libs/foundry/records/scitemmanufacturer/hangars/scitemmanufacturer.aeha.xml
REYO,REYO,items_hangarNameRevelYork,,,,ui/textures/logos/hangars/logo_corp_reyo_square_color.tif,ui/textures/logos/hangars/logo_corp_reyo_square_white.tif,,,,,c4052a24-2547-4ebc-9137-aa9f09a907af,libs/foundry/records/scitemmanufacturer/hangars/scitemmanufacturer.reyo.xml
SELA,SELA,items_hangarNameSelfLand,,,,ui/textures/logos/hangars/logo_corp_sela_square_color.tif,ui/textures/logos/hangars/logo_corp_sela_square_white.tif,,,,,4526be72-2c19-453c-ab43-29cc23f77154,libs/foundry/records/scitemmanufacturer/hangars/scitemmanufacturer.sela.xml
VFGI,VFGI,items_hangarNameVFGIndustrial,,,,ui/textures/logos/hangars/logo_corp_vfgi_square_color.tif,ui/textures/logos/hangars/logo_corp_vfgi_square_white.tif,,,,,3ce33ad8-82e7-4d8d-9ad1-bc95b976c17c,libs/foundry/records/scitemmanufacturer/hangars/scitemmanufacturer.vfgi.xml
HRST,HRST,manufacturer_NameHRST,,manufacturer_DescHRST,UI/SharedAssets/ManufacturerLogos/HurstonDynamics_256.tif,,,,,,,ee8b7bb3-d420-435c-924f-561e67e64588,libs/foundry/records/scitemmanufacturer/hrst.xml
JOKR,JOK,manufacturer_NameJOKR,,manufacturer_DescJOKR,UI/SharedAssets/ManufacturerLogos/Jokerengineering_256.tif,,,,,,,19fbaf6d-d6dc-4e15-8fdf-67101934ff3c,libs/foundry/records/scitemmanufacturer/jokr.xml
KAP,KAP,manufacturer_NameKAP,,manufacturer_DescKAP,UI/SharedAssets/ManufacturerLogos/KAP_256_diff.tif,,,,,,,a349d45f-cda5-4fdb-89ea-4ea91804a163,libs/foundry/records/scitemmanufacturer/kap.xml
KBAR,KBAR,manufacturer_NameKBAR,,manufacturer_DescKBAR,UI/SharedAssets/ManufacturerLogos/Knightbridge_256.tif,,,,,,,7b4402a1-f17f-4125-afcc-4a159dcd29e0,libs/foundry/records/scitemmanufacturer/kbar.xml
KRON,KRON,manufacturer_NameKRON,,manufacturer_DescKRON,UI/SharedAssets/ManufacturerLogos/Kroneg_256.tif,,,,,,,2a64f92e-8f6d-47ac-a6ed-643465e91d4b,libs/foundry/records/scitemmanufacturer/kron.xml
LOCO,LOCO,manufacturer_NameLOCO,,manufacturer_DescLOCO,UI/SharedAssets/ManufacturerLogos/LortellComputing_256.tif,,,,,,,4ee4ba50-f4e3-4c54-9f44-9a6c5691c77e,libs/foundry/records/scitemmanufacturer/loco.xml
MISC_ENV,MIS,manufacturer_NameMISC,,manufacturer_DescMISC,UI/SharedAssets/ManufacturerLogos/MISC_256.tif,ui/textures/logos/logo_corp_misc_square_color.tif,ui/textures/logos/logo_corp_misc_square_white.tif,e11c9ec0-b60c-4422-bb9d-514f408107b7,167bcc17-d661-4db5-b608-a9318709afe6,3efe67d3-018f-4ab3-9588-4f8b2a3386fb,24dca732-04cc-4896-b90f-d304741ab2dd,74b1d2f4-f820-4935-a25c-b11f68d72f55,libs/foundry/records/scitemmanufacturer/misc_env.xml
MITE,MIT,manufacturer_NameMITE,,manufacturer_DescMITE,UI/SharedAssets/ManufacturerLogos/Microtech_256.tif,,,,2b93381a-6b0b-48d1-b3c3-726c9c3f5dcd,,,9f0f7735-d389-4c7d-95f1-c4d0c57f7214,libs/foundry/records/scitemmanufacturer/mite.xml
MRAI_2025,MIS,manufacturer_NameMRAI,,manufacturer_DescMRAI,UI/SharedAssets/ManufacturerLogos/Mirai_256.tif,ui/textures/logos/logo_corp_misc_square_color.tif,ui/textures/logos/logo_corp_misc_square_white.tif,e11c9ec0-b60c-4422-bb9d-514f408107b7,aeb49981-3d4b-4215-be81-72c3197acaa3,,58910403-ade7-4ecd-8688-d3f2231bb9c0,857a8335-65be-491a-b613-2f16cf165289,libs/foundry/records/scitemmanufacturer/mrai_2025.xml
MRAI,MIS,manufacturer_NameMRAI,,manufacturer_DescMRAI,UI/SharedAssets/ManufacturerLogos/Mirai_256.tif,ui/textures/logos/logo_corp_misc_square_color.tif,ui/textures/logos/logo_corp_misc_square_white.tif,e11c9ec0-b60c-4422-bb9d-514f408107b7,90de1054-feef-4b2c-ad07-94aea6e5c826,,58910403-ade7-4ecd-8688-d3f2231bb9c0,cdf6ea1e-7de3-4b58-bf9d-13c5fbafc49a,libs/foundry/records/scitemmanufacturer/mrai.xml
MXOX,MXOX,manufacturer_NameAEGS,,manufacturer_DescAEGS,UI/SharedAssets/ManufacturerLogos/Maxox_256.tif,ui/textures/logos/logo_corp_aegs_square_color.tif,ui/textures/logos/logo_corp_aegs_square_white.tif,,,,,de0d3594-9f18-42c0-8a90-6edd723d80f8,libs/foundry/records/scitemmanufacturer/mxox.xml
NAVE,NAVE,manufacturer_NameNAVE,,manufacturer_DescNAVE,UI/SharedAssets/ManufacturerLogos/rep_ui_icon_logo_navE7_diff.tif,,,,,,,afff101e-eb2c-4f93-960f-cec9936b9f39,libs/foundry/records/scitemmanufacturer/nave.xml
NOVP,NOVP,manufacturer_NameNOVP,,manufacturer_DescNOVP,UI/SharedAssets/ManufacturerLogos/Nova_256.tif,,,,,,,67fd3077-ee8c-4a7c-8bad-91500b2a9509,libs/foundry/records/scitemmanufacturer/novp.xml
NYX_A,NYX_A,,,,,,,,9db29158-a4c0-4363-be75-cba5c765b882,,,33c31854-6b5e-4687-9b75-322b6610d734,libs/foundry/records/scitemmanufacturer/nyx_a.xml
Paint_Test_01,,manufacturer_NameACAS,,manufacturer_DescACAS,UI/SharedAssets/PaintColorLogos/ANVL_Arrow_IconTest_01.tif,,,,,,,f9a339fa-3f9e-4ad8-8b43-b8fdad0bb079,libs/foundry/records/scitemmanufacturer/paint_test_01.xml
Paint_Test_02,,manufacturer_NameACAS,,manufacturer_DescACAS,UI/SharedAssets/PaintColorLogos/ANVL_Arrow_IconTest_02.tif,,,,,,,7baf4fc8-aeec-4c5c-ac15-109a3b9d4345,libs/foundry/records/scitemmanufacturer/paint_test_02.xml
Paint_100i_Black_Orange_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Flame_Black_Orange_Icon.tif,,,,,,,d595e38d-4a65-45be-9d95-93b41c57d2a3,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_black_orange_logo.xml
Paint_100i_Blue_Gold_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_BlueAmetrine_Blue_Gold_Icon.tif,,,,,,,8846a4a4-6aa9-435a-8f28-9ca433ee6503,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_blue_gold_logo.xml
Paint_100i_Blue_Pink_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Melrose_Blue_Pink_Icon.tif,,,,,,,2058ea19-0f9f-4f54-9ce4-5db9f3541db2,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_blue_pink_logo.xml
Paint_100i_Camo_Black_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_SlateCamo_Camo_Black_Icon.tif,,,,,,,a1f72772-2e79-4af3-a1d1-23fc5147e573,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_camo_black_logo.xml
Paint_100i_Fleetweek2021_Blue_Gold_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Triton_Blue_Yellow_Icon.tif,,,,,,,1244444d-b901-4e2e-b8e1-77838fd563d2,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_fleetweek2021_blue_gold_logo.xml
Paint_100i_Fleetweek2021_Camo_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Frostbite_Camo_Icon.tif,,,,,,,358fa1a1-b6e7-4f24-877a-6bbbf4da4370,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_fleetweek2021_camo_logo.xml
Paint_100i_Fleetweek2021_Green_Orange_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Timberline_Green_Orange_Icon.tif,,,,,,,318fc3f5-5e6a-4c4e-a87b-07e31474abfd,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_fleetweek2021_green_orange_logo.xml
Paint_100i_Invictus_Unity_Metal_Teal_Logo,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Unity_2952_Metal_Teal_Icon.tif,,,,,,,360c52bb-6297-4ec1-94a7-668e4000a8df,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_invictus_unity_metal_teal_logo.xml
Paint_100i_Luminalia_2952_Green_Red,,manufacturer_NameOrigin,,manufacturer_DescOrigin,UI/SharedAssets/PaintColorLogos/Paint_100i_Luminalia_2952_green_red_Icon.tif,,,,,,,75e58764-b06b-49de-a207-08e65993991c,libs/foundry/records/scitemmanufacturer/paintcolorlogos/paint_100i_luminalia_2952_green_red.xml
