BlueprintClass,TargetEntityClassGuid,TargetEntityClass,TargetItemNameKey,RecipeCosts,Ref,Path
BP_CRAFT_gmni_sniper_ballistic_01_mag,c12a76b1-80b2-4db5-9648-20a1cd0f4d67,gmni_sniper_ballistic_01_mag,item_Namegmni_sniper_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.03}]",e5dbfcd7-031c-4483-82f5-37a616d327d1,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_gmni_sniper_ballistic_01_mag.xml
BP_CRAFT_ksar_pistol_ballistic_01_mag,90b873da-1d15-48ba-86f5-f5633e958c33,ksar_pistol_ballistic_01_mag,item_Nameksar_pistol_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""75b37a54-45c9-4f27-ac09-9830f092dd86"",""minQuality"":0,""amount"":0.01}]",34d6d2d6-6937-44ae-85f9-a690c43668ce,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_ksar_pistol_ballistic_01_mag.xml
BP_CRAFT_ksar_sniper_ballistic_01_mag,d84a7601-c246-4384-88c3-b3be0fe10680,ksar_sniper_ballistic_01_mag,item_Nameksar_sniper_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.03}]",92b57ee6-9ff4-4d44-a4da-1d3b7bb1860d,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_ksar_sniper_ballistic_01_mag.xml
BP_CRAFT_none_lmg_ballistic_01_mag,b4df80a2-7aa6-412c-b1ff-67467bcf43ec,none_lmg_ballistic_01_mag,item_Namenone_lmg_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""f386a33c-ac9a-400a-a7b8-fe1fc7c8d270"",""minQuality"":0,""amount"":0.03}]",8ae32b3f-2b5d-4ade-a067-214b8196a553,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_none_lmg_ballistic_01_mag.xml
BP_CRAFT_none_rifle_multi_01_mag,c40b7e8e-0f04-43d7-ac3a-7ffb8df071d8,none_rifle_multi_01_mag,item_Namenone_rifle_multi_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.02}]",6ddb93d8-7f93-4086-9609-4520f06f7d9b,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_none_rifle_multi_01_mag.xml
BP_CRAFT_lbco_pistol_energy_01_mag,9dc383ba-2686-46d0-abf9-1bc764aec0b6,lbco_pistol_energy_01_mag,item_Namelbco_pistol_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""21825507-7923-4683-9bf3-9cfe316940e3"",""minQuality"":0,""amount"":0.01}]",9c6ca949-c28c-40db-9e32-e4abd23ef3de,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/electron/bp_craft_lbco_pistol_energy_01_mag.xml
BP_CRAFT_lbco_sniper_energy_01_mag,8177489f-ed83-44ac-afd4-2b32a80fa0a6,lbco_sniper_energy_01_mag,item_Namelbco_sniper_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""21825507-7923-4683-9bf3-9cfe316940e3"",""minQuality"":0,""amount"":0.03}]",d1da140e-b7ee-46ba-b76a-f5dd33c0348c,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/electron/bp_craft_lbco_sniper_energy_01_mag.xml
BP_CRAFT_volt_rifle_energy_01_mag,3efb1be1-8935-4124-8bf0-aec410297785,volt_rifle_energy_01_mag,item_Namevolt_rifle_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""21825507-7923-4683-9bf3-9cfe316940e3"",""minQuality"":0,""amount"":0.02}]",c633e1c4-7d50-41ad-8411-fe924029eaa9,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/electron/bp_craft_volt_rifle_energy_01_mag.xml
BP_CRAFT_volt_sniper_energy_01_mag,fa12a7a5-6fdd-4e7b-9237-1f2e131a43c4,volt_sniper_energy_01_mag,item_Namevolt_sniper_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""21825507-7923-4683-9bf3-9cfe316940e3"",""minQuality"":0,""amount"":0.03}]",7ba122fe-2879-47f5-a424-c5f9a21c516a,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/electron/bp_craft_volt_sniper_energy_01_mag.xml
BP_CRAFT_klwe_lmg_energy_01_mag,b62224ba-5c56-4306-857a-70de7d570767,klwe_lmg_energy_01_mag,item_Nameklwe_lmg_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.03}]",1c22c60d-b76b-4df0-9241-550e7c5f04ae,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_klwe_lmg_energy_01_mag.xml
BP_CRAFT_klwe_pistol_energy_01_mag,e15e874d-a0c1-4f91-939b-b04bf7a9e839,klwe_pistol_energy_01_mag,item_Nameklwe_pistol_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.01}]",743efa96-8a73-40a7-ae6a-0890f34a3731,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_klwe_pistol_energy_01_mag.xml
BP_CRAFT_klwe_rifle_energy_01_mag,0988e9ce-5f5d-4eb8-83a7-dc70f187579d,klwe_rifle_energy_01_mag,item_Nameklwe_rifle_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.02}]",d0c3285f-0779-4120-9dec-85e7cf5bd5af,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_klwe_rifle_energy_01_mag.xml
BP_CRAFT_klwe_smg_energy_01_mag,1d1e4e17-9258-4ee8-8461-fc866b6d332f,klwe_smg_energy_01_mag,item_Nameklwe_smg_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.02}]",48acd0ca-9877-4218-9662-cb5b6f5a211a,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_klwe_smg_energy_01_mag.xml
BP_CRAFT_klwe_sniper_energy_01_mag,66f0410b-bcd9-4be5-96ed-aab6f65f3420,klwe_sniper_energy_01_mag,item_Nameklwe_sniper_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.03}]",28b6825f-e1ae-4b4f-b8fe-ac31367679f0,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_klwe_sniper_energy_01_mag.xml
BP_CRAFT_ksar_smg_energy_01_mag,31b73bfe-da55-4cb0-a19d-1c6543ca1fb9,ksar_smg_energy_01_mag,item_Nameksar_smg_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.02}]",c447b13a-2a5a-4183-8f30-d8073ed5ebaa,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_ksar_smg_energy_01_mag.xml
BP_CRAFT_volt_lmg_energy_01_mag,923fcb3c-ad02-4a9a-96c2-1fb61fb6c794,volt_lmg_energy_01_mag,item_Namevolt_lmg_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.03}]",94a6c979-60c2-4598-9005-db9fe2caa71e,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_volt_lmg_energy_01_mag.xml
BP_CRAFT_volt_pistol_energy_01_mag,b76f9795-28fe-40a3-9a60-ffdbc4e8c713,volt_pistol_energy_01_mag,item_Namevolt_pistol_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.01}]",58f2fe15-955e-4725-8b5f-7a5249186966,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_volt_pistol_energy_01_mag.xml
BP_CRAFT_volt_smg_energy_01_mag,83ac5196-05d0-45a1-8982-aa549650f9d9,volt_smg_energy_01_mag,item_Namevolt_smg_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""35121003-f1af-481a-b16f-7f48d8af0efb"",""minQuality"":0,""amount"":0.02}]",eed8ab0d-ad9c-41e2-996f-14cdd263e100,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/laser/bp_craft_volt_smg_energy_01_mag.xml
BP_CRAFT_ksar_rifle_energy_01_mag,91cfb7dc-660b-4505-b86a-6028c9a3f54d,ksar_rifle_energy_01_mag,item_Nameksar_rifle_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""a789f57a-e12b-4bcd-8132-e0c03d84fc89"",""minQuality"":0,""amount"":0.02}]",e3596782-22aa-4d83-a50b-b70e7c4f418e,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/plasma/bp_craft_ksar_rifle_energy_01_mag.xml
BP_CRAFT_ksar_shotgun_energy_01_mag,86eec5f7-3dd0-40f2-a433-3dc143c0d231,ksar_shotgun_energy_01_mag,item_Nameksar_shotgun_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""a789f57a-e12b-4bcd-8132-e0c03d84fc89"",""minQuality"":0,""amount"":0.02}]",da837190-0a00-4a9c-b627-d2e41adc0029,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/plasma/bp_craft_ksar_shotgun_energy_01_mag.xml
BP_CRAFT_volt_shotgun_energy_01_mag,14e12fed-37fd-4c75-b61e-1b21d1bbade7,volt_shotgun_energy_01_mag,item_Namevolt_shotgun_energy_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""a789f57a-e12b-4bcd-8132-e0c03d84fc89"",""minQuality"":0,""amount"":0.02}]",910b675f-2030-42e6-a301-de9c09894460,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/plasma/bp_craft_volt_shotgun_energy_01_mag.xml
BP_CRAFT_behr_shotgun_ballistic_01_mag,38555f2d-975f-4e3c-8d04-8196b59b17c6,behr_shotgun_ballistic_01_mag,item_Namebehr_shotgun_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""06cafea0-49fe-4dce-b0f0-dc583316c66d"",""minQuality"":0,""amount"":0.01}]",e191cc6b-bc91-4a06-a410-c8e0cfee3f61,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/shotgun/bp_craft_behr_shotgun_ballistic_01_mag.xml
BP_CRAFT_gmni_shotgun_ballistic_01_mag,b4ef17b2-60b9-4617-a6a4-60dd053a9e73,gmni_shotgun_ballistic_01_mag,item_Namegmni_shotgun_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""06cafea0-49fe-4dce-b0f0-dc583316c66d"",""minQuality"":0,""amount"":0.01}]",34b5ab94-a752-427a-8cc4-757c5797783c,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/shotgun/bp_craft_gmni_shotgun_ballistic_01_mag.xml
BP_CRAFT_ksar_shotgun_ballistic_01_mag,3326f182-d089-45d5-b090-f438d6f65f17,ksar_shotgun_ballistic_01_mag,item_Nameksar_shotgun_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""06cafea0-49fe-4dce-b0f0-dc583316c66d"",""minQuality"":0,""amount"":0.01}]",d3e96412-ae77-4b5a-8e80-bc7575563be7,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/shotgun/bp_craft_ksar_shotgun_ballistic_01_mag.xml
BP_CRAFT_none_pistol_ballistic_01_mag,02f5904f-62ef-48e7-b63c-4ea3d4a7385f,none_pistol_ballistic_01_mag,item_Namenone_pistol_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""06cafea0-49fe-4dce-b0f0-dc583316c66d"",""minQuality"":0,""amount"":0.01}]",97ad7b96-cacf-42bd-b4ff-6c2da37e549e,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/shotgun/bp_craft_none_pistol_ballistic_01_mag.xml
BP_CRAFT_none_shotgun_ballistic_01_mag,1b00b884-79eb-4b3b-916f-1b3ebe4c7c76,none_shotgun_ballistic_01_mag,item_Namenone_shotgun_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""06cafea0-49fe-4dce-b0f0-dc583316c66d"",""minQuality"":0,""amount"":0.01}]",a10bfaff-76a7-47c9-8535-44e982442cbd,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/shotgun/bp_craft_none_shotgun_ballistic_01_mag.xml
BP_CRAFT_vgl_utility_light_backpack_01_05_01,649b433d-93ef-4fa2-85c2-c54eb5b44595,vgl_utility_light_backpack_01_05_01,item_Name_vgl_utility_light_backpack_01_05_01,"[{""resource"":""48c7080a-bbef-43d2-901a-698321ed4340"",""minQuality"":0,""amount"":0.03}]",b411ee6c-20ba-4697-a77c-3338e0062ab1,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/$templates/explorer/bp_craft_vgl_utility_light_backpack_01_05_01.xml
BP_CRAFT_cds_armor_heavy_arms_01_01_01,bef9cd69-24f0-434a-ba7a-2bf751228093,cds_armor_heavy_arms_01_01_01,item_Name_cds_heavy_armor_01_arms,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",005d95db-96ca-45b7-9647-7e7537b8fac8,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_armor_heavy_arms_01_01_01.xml
BP_CRAFT_cds_armor_heavy_core_01_01_01,8eabeef4-5d8d-4db4-a4df-9fa151062b42,cds_armor_heavy_core_01_01_01,item_Name_cds_heavy_armor_01_core,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.07},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",c63cd790-9741-47f4-aba0-718077ccdcce,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_armor_heavy_core_01_01_01.xml
BP_CRAFT_cds_armor_heavy_helmet_01_01_01,80fd0b3b-2ceb-4288-8867-ca30ffb7c4bd,cds_armor_heavy_helmet_01_01_01,item_Name_cds_heavy_armor_helmet_01,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.05},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.01}]",33c91dc9-c6fe-4f38-ac17-4e5ebefcc7b9,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_armor_heavy_helmet_01_01_01.xml
BP_CRAFT_cds_armor_heavy_legs_01_01_01,b400fde5-495b-47b1-a9d8-210b1d5cb4fd,cds_armor_heavy_legs_01_01_01,item_Name_cds_heavy_armor_01_legs,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",f65a6b00-2c0b-4ee8-b76d-17713c56b36f,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_armor_heavy_legs_01_01_01.xml
BP_CRAFT_cds_combat_heavy_backpack_01_01_01,fb904353-c334-4674-874c-874b64a4c6db,cds_combat_heavy_backpack_01_01_01,item_Name_cds_combat_heavy_backpack_01_01_01,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06}]",292f90d9-dbbd-4c9d-bd81-b474bc48e2ed,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_combat_heavy_backpack_01_01_01.xml
BP_CRAFT_cds_legacy_armor_heavy_arms_01_01_01,8fd1742f-d8d6-46bb-a2a6-bf07dd7a5bd6,cds_legacy_armor_heavy_arms_01_01_01,item_Name_cds_legacy_heavy_armor_01_arms,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",1244f177-7b33-4f16-8e63-8d19e87f2a48,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_legacy_armor_heavy_arms_01_01_01.xml
BP_CRAFT_cds_legacy_armor_heavy_arms_01_01_02,7daa0c89-f14e-4cb9-ae4c-411332ebcaf9,cds_legacy_armor_heavy_arms_01_01_02,item_Name_cds_legacy_armor_heavy_arms_01_01_02,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",7eb9f982-84eb-40ff-9c2f-5ed5fadbbdee,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_legacy_armor_heavy_arms_01_01_02.xml
BP_CRAFT_cds_legacy_armor_heavy_arms_01_01_03,eeef5072-9099-44a3-8950-efec5769fdf2,cds_legacy_armor_heavy_arms_01_01_03,item_Name_cds_legacy_armor_heavy_arms_01_01_03,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",2ce0c746-8adb-4e21-b6ba-cf2e67b387f4,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_legacy_armor_heavy_arms_01_01_03.xml
BP_CRAFT_cds_legacy_armor_heavy_arms_01_01_04,fc1dbf5c-f386-473d-8099-d3bc27598896,cds_legacy_armor_heavy_arms_01_01_04,item_Name_cds_legacy_armor_heavy_arms_01_01_04,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",57904e7a-c090-4332-b93c-cc6dbd1af091,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_legacy_armor_heavy_arms_01_01_04.xml
BP_CRAFT_cds_legacy_armor_heavy_arms_01_01_05,94e46e68-570d-4cc6-abae-a9f719e23786,cds_legacy_armor_heavy_arms_01_01_05,item_Name_cds_legacy_armor_heavy_arms_01_01_05,"[{""resource"":""989f9b73-f636-4f35-a81d-579dcbe3f0ab"",""minQuality"":0,""amount"":0.06},{""resource"":""fde0cd65-8827-4b23-804d-cc8845dfa7ac"",""minQuality"":0,""amount"":0.02}]",2ffc5810-dc6d-456b-8184-7e49636c52ee,libs/foundry/records/crafting/blueprints/crafting/fpsgear/armour/combat/heavy/bp_craft_cds_legacy_armor_heavy_arms_01_01_05.xml
