Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Tracking Signal,Damage Total,Damage Physical,Damage Energy,Damage Distortion,Speed,Arm Delay,Lock Delay,Lock Range,Lock Angle,Explosion Radius
gmisl_s05_cs_taln_stalker,item_NameGMISL_S05_CS_TALN_Stalker,item_NameGMISL_S05_CS_TALN_Stalker_short,item_DescGMISL_S05_CS_TALN_Stalker,TALN,5,1,GroundVehicleMissile,50,CrossSection,25000,25000,0,0,560,2,1,50 - 30000,20,8 - 10
gmisl_s05_em_taln_reaper,item_NameGMISL_S05_EM_TALN_Reaper,item_NameGMISL_S05_EM_TALN_Reaper_short,item_DescGMISL_S05_EM_TALN_Reaper,TALN,5,1,GroundVehicleMissile,50,Electromagnetic,22000,22000,0,0,560,2,1,50 - 30000,20,13 - 20
gmisl_s05_em_taln_scimitar,item_NameGMISL_S05_EM_TALN_Scimitar,item_NameGMISL_S05_EM_TALN_Scimitar_short,item_DescGMISL_S05_EM_TALN_Scimitar,TALN,5,1,GroundVehicleMissile,50,Electromagnetic,20000,20000,0,0,560,1.5,2.3,50 - 30000,20,15 - 24
gmisl_s05_ir_taln_valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie_short,item_DescGMISL_S05_IR_TALN_Valkyrie,TALN,5,1,GroundVehicleMissile,50,Infrared,17000,17000,0,0,560,2,1,50 - 30000,20,20 - 32
gmisl_s07_ir_taln_hellion,item_NameGMISL_S07_IR_TALN_Hellion,item_NameGMISL_S07_IR_TALN_Hellion_short,item_DescGMISL_S07_IR_TALN_Hellion,TALN,7,1,GroundVehicleMissile,200,Infrared,126000,126000,0,0,514,3,2,50 - 35000,20,13 - 26
gmisl_s09_cs_taln_argos,item_NameGMISL_S09_CS_TALN_Argos,item_NameGMISL_S09_CS_TALN_Argos_short,item_DescGMISL_S09_CS_TALN_Argos,TALN,9,1,GroundVehicleMissile,667,CrossSection,560000,560000,0,0,514,4,5,50 - 40000,12,18 - 22
gmisl_s09_em_taln_seeker,item_NameGMISL_S09_EM_TALN_Seeker,item_NameGMISL_S09_EM_TALN_Seeker_short,item_DescGMISL_S09_EM_TALN_Seeker,TALN,9,1,GroundVehicleMissile,667,Electromagnetic,490000,490000,0,0,514,4,5,50 - 40000,20,25 - 32
gmisl_s09_ir_taln_typhoon,item_NameGMISL_S09_IR_TALN_Typhoon,item_NameGMISL_S09_IR_TALN_Typhoon_short,item_DescGMISL_S09_IR_TALN_Typhoon,TALN,9,1,GroundVehicleMissile,667,Infrared,420000,420000,0,0,514,1,5,50 - 40000,20,30 - 40
misl_s01_cs_fski_spark,item_NameMISL_S01_CS_FSKI_Spark,item_NameMISL_S01_CS_FSKI_Spark_short,item_DescMISL_S01_CS_FSKI_Spark,FSKI,1,1,Missile,25,CrossSection,800,800,0,0,1372,0.8,0.4,1700 - 10000,60,1 - 2
misl_s01_em_behr_pioneer,item_NameMISL_S01_EM_BEHR_Pioneer,item_NameMISL_S01_EM_BEHR_Pioneer_short,item_DescMISL_S01_EM_BEHR_Pioneer,BEHR,1,1,Missile,25,Electromagnetic,750,750,0,0,1372,1.3,0.9,1700 - 10000,60,2 - 3
misl_s01_em_thcn_taskforce,item_NameMISL_S01_EM_THCN_TaskForce,item_NameMISL_S01_EM_THCN_TaskForce_short,item_DescMISL_S01_EM_THCN_TaskForce,THCN,1,1,Missile,25,Electromagnetic,700,700,0,0,1372,1,0.1,1700 - 10000,60,2 - 4
misl_s01_ir_behr_marksman,item_NameMISL_S01_IR_BEHR_Marksman,item_NameMISL_S01_IR_BEHR_Marksman_short,item_DescMISL_S01_IR_BEHR_Marksman,BEHR,1,1,Missile,25,Infrared,650,650,0,0,1372,1.5,0.5,1700 - 10000,60,3 - 5
misl_s01_ir_vncl_arrow,item_NameMISL_S01_IR_VNCL_Arrow,item_NameMISL_S01_IR_VNCL_Arrow_short,item_DescMISL_S01_IR_VNCL_Arrow,VNCL,1,1,Missile,25,Infrared,600,600,0,0,1372,1,0.5,1700 - 10000,45,4 - 6
misl_s02_cs_fski_tempest,item_NameMISL_S02_CS_FSKI_Tempest,item_NameMISL_S02_CS_FSKI_Tempest_short,item_DescMISL_S02_CS_FSKI_Tempest,FSKI,2,1,Missile,25,CrossSection,1700,1700,0,0,1029,1.25,0.1,1800 - 10000,60,2 - 4
misl_s02_cs_fski_tempest_citcon,item_NameMISL_S02_CS_FSKI_Tempest,item_NameMISL_S02_CS_FSKI_Tempest_short,item_DescMISL_S02_CS_FSKI_Tempest,FSKI,2,1,Missile,25,CrossSection,17544.6,3508.92,14035.68,0,1029,1.25,0.1,1800 - 10000,60,2 - 4
misl_s02_cs_thcn_strikeforce,item_NameMISL_S02_CS_THCN_StrikeForce,item_NameMISL_S02_CS_THCN_StrikeForce_short,item_DescMISL_S02_CS_THCN_StrikeForce,THCN,2,1,Missile,25,CrossSection,1600,1600,0,0,1029,1.25,0.1,1800 - 10000,60,3 - 6
misl_s02_em_taln_dominator,item_NameMISL_S02_EM_TALN_Dominator,item_NameMISL_S02_EM_TALN_Dominator_short,item_DescMISL_S02_EM_TALN_Dominator,TALN,2,1,Missile,25,Electromagnetic,1500,1500,0,0,1029,1.25,0.84,1800 - 10000,45,5 - 7
misl_s02_ir_fski_ignite,item_NameMISL_S02_IR_FSKI_Ignite,item_NameMISL_S02_IR_FSKI_Ignite_short,item_DescMISL_S02_IR_FSKI_Ignite,FSKI,2,1,Missile,25,Infrared,1440,1440,0,0,1029,1.25,0.3,1800 - 10000,60,7 - 8
misl_s02_ir_novp_rattler,item_NameMISL_S02_IR_NOVP_Rattler,item_NameMISL_S02_IR_NOVP_Rattler_short,item_DescMISL_S02_IR_NOVP_Rattler,NOVP,2,1,Missile,25,Infrared,1370,1370,0,0,1029,1.25,0.8,1800 - 5000,45,3 - 6
misl_s02_ir_vncl_bullet,item_NameMISL_S02_IR_VNCL_Bullet,item_NameMISL_S02_IR_VNCL_Bullet_short,item_DescMISL_S02_IR_VNCL_Bullet,VNCL,2,1,Missile,25,Infrared,1300,1300,0,0,1029,1.25,0.8,1800 - 10000,45,9 - 11
misl_s03_cs_fski_arrester,item_NameMISL_S03_CS_FSKI_Arrester,item_NameMISL_S03_CS_FSKI_Arrester_short,item_DescMISL_S03_CS_FSKI_Arrester,FSKI,3,1,Missile,25,CrossSection,3200,3200,0,0,857.5,1.5,1,1900 - 25000,60,4 - 6
misl_s03_em_fski_thunderbolt,item_NameMISL_S03_EM_FSKI_Thunderbolt,item_NameMISL_S03_EM_FSKI_Thunderbolt_short,item_DescMISL_S03_EM_FSKI_Thunderbolt,FSKI,3,1,Missile,25,Electromagnetic,2900,2900,0,0,857.5,1.5,1,1900 - 25000,60,5 - 8
misl_s03_ir_novp_viper,item_NameMISL_S03_IR_NOVP_Viper,item_NameMISL_S03_IR_NOVP_Viper_short,item_DescMISL_S03_IR_NOVP_Viper,NOVP,3,1,Missile,25,Infrared,2650,2650,0,0,857.5,1.5,1,1900 - 25000,60,7 - 11
misl_s03_ir_vncl_chaos,item_NameMISL_S03_IR_VNCL_Chaos,item_NameMISL_S03_IR_VNCL_Chaos_short,item_DescMISL_S03_IR_VNCL_Chaos,VNCL,3,1,Missile,25,Infrared,2500,2500,0,0,857.5,1.5,1,1900 - 25000,60,11 - 13
misl_s04_cs_taln_assailant,item_NameMISL_S04_CS_TALN_Assailant,item_NameMISL_S04_CS_TALN_Assailant_short,item_DescMISL_S04_CS_TALN_Assailant,TALN,4,1,Missile,25,CrossSection,6500,6500,0,0,686,1.5,1.3,2000 - 25000,45,4 - 9
misl_s04_em_taln_raptor,item_NameMISL_S04_EM_TALN_Raptor,item_NameMISL_S04_EM_TALN_Raptor_short,item_DescMISL_S04_EM_TALN_Raptor,TALN,4,1,Missile,25,Electromagnetic,5750,5750,0,0,686,1.5,1.7,2000 - 25000,45,9 - 12
misl_s04_ir_behr_pathfinder,item_NameMISL_S04_IR_BEHR_Pathfinder,item_NameMISL_S04_IR_BEHR_Pathfinder_short,item_DescMISL_S04_IR_BEHR_Pathfinder,BEHR,4,1,Missile,25,Infrared,5300,5300,0,0,686,1.5,1.3,2000 - 25000,45,14 - 19
misl_s04_ir_vncl_dragon,item_NameMISL_S04_IR_VNCL_Dragon,item_NameMISL_S04_IR_VNCL_Dragon_short,item_DescMISL_S04_IR_VNCL_Dragon,BEHR,4,1,Missile,25,Infrared,5000,5000,0,0,686,1.5,1.3,2000 - 25000,45,16 - 22
misl_s05_cs_taln_stalker,item_NameMISL_S05_CS_TALN_Stalker,item_NameMISL_S05_CS_TALN_Stalker_short,item_DescMISL_S05_CS_TALN_Stalker,TALN,5,1,Torpedo,50,CrossSection,18000,18000,0,0,560,2,1,2000 - 30000,20,8 - 10
misl_s05_em_taln_reaper,item_NameMISL_S05_EM_TALN_Reaper,item_NameMISL_S05_EM_TALN_Reaper_short,item_DescMISL_S05_EM_TALN_Reaper,TALN,5,1,Torpedo,50,Electromagnetic,15500,15500,0,0,560,2,1,2000 - 30000,20,13 - 20
misl_s05_em_taln_scimitar,item_NameMISL_S05_EM_TALN_Scimitar,item_NameMISL_S05_EM_TALN_Scimitar_short,item_DescMISL_S05_EM_TALN_Scimitar,TALN,5,1,Missile,50,Electromagnetic,14500,14500,0,0,560,1.5,2.3,50 - 30000,20,15 - 24
misl_s05_ir_taln_valkyrie,item_NameMISL_S05_IR_TALN_Valkyrie,item_NameMISL_S05_IR_TALN_Valkyrie_short,item_DescMISL_S05_IR_TALN_Valkyrie,TALN,5,1,Torpedo,50,Infrared,12000,12000,0,0,560,2,1,2000 - 30000,20,20 - 32
misl_s07_ir_taln_hellion,item_NameMISL_S07_IR_TALN_Hellion,item_NameMISL_S07_IR_TALN_Hellion_short,item_DescMISL_S07_IR_TALN_Hellion,TALN,7,1,Missile,200,Infrared,90000,90000,0,0,514,3,2,50 - 35000,20,13 - 26
misl_s09_cs_taln_argos,item_NameMISL_S09_CS_TALN_Argos,item_NameMISL_S09_CS_TALN_Argos_short,item_DescMISL_S09_CS_TALN_Argos,TALN,9,1,Torpedo,667,CrossSection,400000,400000,0,0,514,4,5,2500 - 40000,12,18 - 22
misl_s09_cs_taln_argos_2,item_NameMISL_S09_CS_TALN_Argos_2,item_NameMISL_S09_CS_TALN_Argos_2_Short,item_DescMISL_S09_CS_TALN_Argos_2,TALN,9,1,Torpedo,667,CrossSection,380000,380000,0,0,250,4,5,2500 - 30000,12,20 - 26
misl_s09_em_taln_seeker,item_NameMISL_S09_EM_TALN_Seeker,item_NameMISL_S09_EM_TALN_Seeker_short,item_DescMISL_S09_EM_TALN_Seeker,TALN,9,1,Torpedo,667,Electromagnetic,350000,350000,0,0,514,4,5,2500 - 40000,20,25 - 32
misl_s09_ir_taln_typhoon,item_NameMISL_S09_IR_TALN_Typhoon,item_NameMISL_S09_IR_TALN_Typhoon_short,item_DescMISL_S09_IR_TALN_Typhoon,TALN,9,1,Torpedo,667,Infrared,300000,300000,0,0,514,1,5,2500 - 40000,20,30 - 40
misl_s10_cs_behr_executor,item_NameMISL_S10_CS_BEHR_Executor,item_NameMISL_S10_CS_BEHR_Executor_Short,item_DescMISL_S10_CS_BEHR_Executor,BEHR,10,1,Torpedo,667,CrossSection,805000,805000,0,0,375,1,7,2500 - 27000,20,23 - 27
misl_s10_cs_taln_vanquisher,item_NameMISL_S10_CS_TALN_Vanquisher,item_NameMISL_S10_CS_TALN_Vanquisher_Short,item_DescMISL_S10_CS_TALN_Vanquisher,TALN,10,1,Torpedo,667,CrossSection,805000,805000,0,0,255,1,7,2500 - 40000,12,25 - 30
misl_s10_em_behr_executor,item_NameMISL_S10_EM_BEHR_Executor,item_NameMISL_S10_EM_BEHR_Executor_Short,item_DescMISL_S10_EM_BEHR_Executor,BEHR,10,1,Torpedo,667,Electromagnetic,730000,730000,0,0,375,1,7,2500 - 27000,20,29 - 35
misl_s10_em_taln_vanquisher,item_NameMISL_S10_EM_TALN_Vanquisher,item_NameMISL_S10_EM_TALN_Vanquisher_Short,item_DescMISL_S10_EM_TALN_Vanquisher,TALN,10,1,Torpedo,667,Electromagnetic,720000,720000,0,0,255,1,7,2500 - 40000,20,34 - 42
misl_s10_ir_behr_executor,item_NameMISL_S10_IR_BEHR_Executor,item_NameMISL_S10_IR_BEHR_Executor_Short,item_DescMISL_S10_IR_BEHR_Executor,BEHR,10,1,Torpedo,667,Infrared,670000,670000,0,0,375,1,7,2500 - 27000,20,34 - 42
misl_s10_ir_behr_torpedo,item_NameMISL_S10_IR_BEHR_Torpedo,item_NameMISL_S10_IR_BEHR_Torpedo_Short,item_DescMISL_S10_IR_BEHR_Torpedo,BEHR,10,1,Torpedo,667,Infrared,650000,650000,0,0,270,1,7,2500 - 30000,20,36 - 45
misl_s10_ir_taln_vanquisher,item_NameMISL_S10_IR_TALN_Vanquisher,item_NameMISL_S10_IR_TALN_Vanquisher_Short,item_DescMISL_S10_IR_TALN_Vanquisher,TALN,10,1,Torpedo,667,Infrared,630000,630000,0,0,255,1,7,2500 - 40000,20,38 - 47
misl_s10_ir_vncl_cleaver,vehicle_NameVNCL_Cleaver,,vehicle_NameVNCL_Cleaver,VNCL,10,1,Torpedo,667,CrossSection,610000,61000,549000,0,527,1.5,5,0 - 30000,20,40 - 50
misl_s10_template,item_NameMISL_S09_CS_TALN_Argos,,item_DescMISL_S09_CS_TALN_Argos,TALN,9,1,Torpedo,1000,CrossSection,421685.89,26065.49,395620.4,0,450,1.5,3,-1 - -1,12,12 - 15.13
misl_s12_cs_behr_executor,item_NameMISL_S12_CS_BEHR_Executor,item_NameMISL_S12_CS_BEHR_Executor_Short,item_DescMISL_S12_CS_BEHR_Executor,BEHR,12,1,Torpedo,667,CrossSection,1230000,1230000,0,0,350,5,10,3500 - 35000,20,30 - 34
misl_s12_cs_taln_calamity,item_NameMISL_S12_CS_TALN_Calamity,item_NameMISL_S12_CS_TALN_Calamity_Short,item_DescMISL_S12_CS_TALN_Calamity,TALN,12,1,Torpedo,667,CrossSection,1150000,1150000,0,0,230,5,10,3500 - 35000,20,32 - 38
misl_s12_em_behr_executor,item_NameMISL_S12_EM_BEHR_Executor,item_NameMISL_S12_EM_BEHR_Executor_Short,item_DescMISL_S12_EM_BEHR_Executor,BEHR,12,1,Torpedo,667,Electromagnetic,1075000,1075000,0,0,350,5,10,3500 - 35000,20,36 - 48
misl_s12_em_taln_calamity,item_NameMISL_S12_EM_TALN_Calamity,item_NameMISL_S12_EM_TALN_Calamity_Short,item_DescMISL_S12_EM_TALN_Calamity,TALN,12,1,Torpedo,667,Electromagnetic,1050000,1050000,0,0,230,5,10,3500 - 35000,20,38 - 52
misl_s12_ir_behr_executor,item_NameMISL_S12_IR_BEHR_Executor,item_NameMISL_S12_IR_BEHR_Executor_Short,item_DescMISL_S12_IR_BEHR_Executor,BEHR,12,1,Torpedo,667,Infrared,950000,950000,0,0,350,5,10,3500 - 35000,20,42 - 61
misl_s12_ir_taln_calamity,item_NameMISL_S12_IR_TALN_Calamity,item_NameMISL_S12_IR_TALN_Calamity_Short,item_DescMISL_S12_IR_TALN_Calamity,TALN,12,1,Torpedo,667,Infrared,910000,910000,0,0,230,5,10,3500 - 35000,20,45 - 65
misl_s12_template,item_NameMISL_S09_CS_TALN_Argos,,item_DescMISL_S09_CS_TALN_Argos,TALN,9,1,Torpedo,1000,CrossSection,421685.89,26065.49,395620.4,0,450,1.5,3,-1 - -1,12,12 - 15.13
novp_rocket_venom_s1_strike_tl_ir,item_NameNOVP_Rocket_Venom_S1_Strike_TL_IR,,item_DescNOVP_Rocket_Venom_S1_Strike_TL_IR,NOVP,0,1,Rocket,1000,Infrared,300,100,200,0,1500,1.5,0,-1 - -1,12,0.5 - 0.8
gmisl_s01_cs_fski_spark,item_NameGMISL_S01_CS_FSKI_Spark,item_NameGMISL_S01_CS_FSKI_Spark_short,item_DescGMISL_S01_CS_FSKI_Spark,FSKI,1,1,GroundVehicleMissile,25,CrossSection,1150,1150,0,0,1372,0.8,0.4,50 - 10000,60,1 - 2
gmisl_s01_em_behr_pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer_short,item_DescGMISL_S01_EM_BEHR_Pioneer,BEHR,1,1,GroundVehicleMissile,25,Electromagnetic,1050,1050,0,0,1372,1.3,0.9,50 - 10000,60,2 - 3
gmisl_s01_em_thcn_taskforce,item_NameGMISL_S01_EM_THCN_TaskForce,item_NameGMISL_S01_EM_THCN_TaskForce_short,item_DescGMISL_S01_EM_THCN_TaskForce,THCN,1,1,GroundVehicleMissile,25,Electromagnetic,980,980,0,0,1372,1,0.1,50 - 10000,60,2 - 4
gmisl_s01_ir_behr_marksman,item_NameGMISL_S01_IR_BEHR_Marksman,item_NameGMISL_S01_IR_BEHR_Marksman_short,item_DescGMISL_S01_IR_BEHR_Marksman,BEHR,1,1,GroundVehicleMissile,25,Infrared,900,900,0,0,1372,1.5,0.5,50 - 10000,60,3 - 5
gmisl_s02_cs_fski_tempest,item_NameGMISL_S02_CS_FSKI_Tempest,item_NameGMISL_S02_CS_FSKI_Tempest_short,item_DescGMISL_S02_CS_FSKI_Tempest,FSKI,2,1,GroundVehicleMissile,25,CrossSection,2400,2400,0,0,1029,1.25,0.1,50 - 10000,60,2 - 4
gmisl_s02_cs_thcn_strikeforce,item_NameGMISL_S02_CS_THCN_StrikeForce,item_NameGMISL_S02_CS_THCN_StrikeForce_short,item_DescGMISL_S02_CS_THCN_StrikeForce,THCN,2,1,GroundVehicleMissile,25,CrossSection,2250,2250,0,0,1029,1.25,0.1,50 - 10000,60,3 - 6
gmisl_s02_em_taln_dominator,item_NameGMISL_S02_EM_TALN_Dominator,item_NameGMISL_S02_EM_TALN_Dominator_short,item_DescGMISL_S02_EM_TALN_Dominator,TALN,2,1,GroundVehicleMissile,25,Electromagnetic,2100,2100,0,0,1029,1.25,0.84,50 - 10000,45,5 - 7
gmisl_s02_ir_fski_ignite,item_NameGMISL_S02_IR_FSKI_Ignite,item_NameGMISL_S02_IR_FSKI_Ignite_short,item_DescGMISL_S02_IR_FSKI_Ignite,FSKI,2,1,GroundVehicleMissile,25,Infrared,2000,2000,0,0,1029,1.25,0.3,50 - 10000,60,7 - 8
gmisl_s03_cs_fski_arrester,item_NameGMISL_S09_CS_TALN_Argos,,item_DescGMISL_S09_CS_TALN_Argos,TALN,3,1,GroundVehicleMissile,1000,CrossSection,4500,4500,0,0,450,1.5,3,50 - 25000,12,4 - 6
gmisl_s03_em_fski_thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt_short,item_DescGMISL_S03_EM_FSKI_Thunderbolt,TALN,3,1,GroundVehicleMissile,1000,CrossSection,4100,4100,0,0,450,1.5,3,50 - 25000,12,5 - 8
gmisl_s03_ir_novp_viper,item_NameGMISL_S03_IR_NOVP_Viper,item_NameGMISL_S03_IR_NOVP_Viper_short,item_DescGMISL_S03_IR_NOVP_Viper,NOVP,3,1,GroundVehicleMissile,25,Infrared,3700,3700,0,0,1029,1.25,0.8,50 - 25000,45,7 - 11
gmisl_s04_cs_taln_assailant,item_NameGMISL_S04_CS_TALN_Assailant,item_NameGMISL_S04_CS_TALN_Assailant_short,item_DescGMISL_S04_CS_TALN_Assailant,TALN,4,1,GroundVehicleMissile,25,CrossSection,7400,7400,0,0,686,1.5,1.3,50 - 25000,45,14 - 19
gmisl_s04_ir_behr_pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder_short,item_DescGMISL_S04_IR_BEHR_Pathfinder,BEHR,4,1,GroundVehicleMissile,25,Infrared,9100,9100,0,0,686,1.5,1.3,50 - 25000,45,4 - 9
gmisl_s05_cs_taln_stalker,item_NameGMISL_S05_CS_TALN_Stalker,item_NameGMISL_S05_CS_TALN_Stalker_short,item_DescGMISL_S05_CS_TALN_Stalker,TALN,5,1,GroundVehicleMissile,50,CrossSection,25000,25000,0,0,560,2,1,50 - 30000,20,8 - 10
gmisl_s05_em_taln_reaper,item_NameGMISL_S05_EM_TALN_Reaper,item_NameGMISL_S05_EM_TALN_Reaper_short,item_DescGMISL_S05_EM_TALN_Reaper,TALN,5,1,GroundVehicleMissile,50,Electromagnetic,22000,22000,0,0,560,2,1,50 - 30000,20,13 - 20
gmisl_s05_em_taln_scimitar,item_NameGMISL_S05_EM_TALN_Scimitar,item_NameGMISL_S05_EM_TALN_Scimitar_short,item_DescGMISL_S05_EM_TALN_Scimitar,TALN,5,1,GroundVehicleMissile,50,Electromagnetic,20000,20000,0,0,560,1.5,2.3,50 - 30000,20,15 - 24
gmisl_s05_ir_taln_valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie_short,item_DescGMISL_S05_IR_TALN_Valkyrie,TALN,5,1,GroundVehicleMissile,50,Infrared,17000,17000,0,0,560,2,1,50 - 30000,20,20 - 32
gmisl_s07_ir_taln_hellion,item_NameGMISL_S07_IR_TALN_Hellion,item_NameGMISL_S07_IR_TALN_Hellion_short,item_DescGMISL_S07_IR_TALN_Hellion,TALN,7,1,GroundVehicleMissile,200,Infrared,126000,126000,0,0,514,3,2,50 - 35000,20,13 - 26
gmisl_s09_cs_taln_argos,item_NameGMISL_S09_CS_TALN_Argos,item_NameGMISL_S09_CS_TALN_Argos_short,item_DescGMISL_S09_CS_TALN_Argos,TALN,9,1,GroundVehicleMissile,667,CrossSection,560000,560000,0,0,514,4,5,50 - 40000,12,18 - 22
gmisl_s09_em_taln_seeker,item_NameGMISL_S09_EM_TALN_Seeker,item_NameGMISL_S09_EM_TALN_Seeker_short,item_DescGMISL_S09_EM_TALN_Seeker,TALN,9,1,GroundVehicleMissile,667,Electromagnetic,490000,490000,0,0,514,4,5,50 - 40000,20,25 - 32
gmisl_s09_ir_taln_typhoon,item_NameGMISL_S09_IR_TALN_Typhoon,item_NameGMISL_S09_IR_TALN_Typhoon_short,item_DescGMISL_S09_IR_TALN_Typhoon,TALN,9,1,GroundVehicleMissile,667,Infrared,420000,420000,0,0,514,1,5,50 - 40000,20,30 - 40
misl_s01_cs_fski_spark,item_NameMISL_S01_CS_FSKI_Spark,item_NameMISL_S01_CS_FSKI_Spark_short,item_DescMISL_S01_CS_FSKI_Spark,FSKI,1,1,Missile,25,CrossSection,800,800,0,0,1372,0.8,0.4,1700 - 10000,60,1 - 2
misl_s01_em_behr_pioneer,item_NameMISL_S01_EM_BEHR_Pioneer,item_NameMISL_S01_EM_BEHR_Pioneer_short,item_DescMISL_S01_EM_BEHR_Pioneer,BEHR,1,1,Missile,25,Electromagnetic,750,750,0,0,1372,1.3,0.9,1700 - 10000,60,2 - 3
misl_s01_em_thcn_taskforce,item_NameMISL_S01_EM_THCN_TaskForce,item_NameMISL_S01_EM_THCN_TaskForce_short,item_DescMISL_S01_EM_THCN_TaskForce,THCN,1,1,Missile,25,Electromagnetic,700,700,0,0,1372,1,0.1,1700 - 10000,60,2 - 4
misl_s01_ir_behr_marksman,item_NameMISL_S01_IR_BEHR_Marksman,item_NameMISL_S01_IR_BEHR_Marksman_short,item_DescMISL_S01_IR_BEHR_Marksman,BEHR,1,1,Missile,25,Infrared,650,650,0,0,1372,1.5,0.5,1700 - 10000,60,3 - 5
