Quantization Class,Element Token,Quality Bands,Band Ranges,Record GUID,Record Path
Quantization_Beryl,Beryl,324 / 547 / 677 / 717 / 860 / 937 / 955 / 1000,0-399:324 / 400-599:547 / 600-699:677 / 700-799:717 / 800-899:860 / 900-949:937 / 950-998:955 / 999-1000:1000,ccd9869f-9fde-47a9-aa13-6c15c8068267,libs/foundry/records/crafting/qualityquantization/quantization_beryl.xml
Quantization_Beryl,Beryl,324 / 547 / 677 / 717 / 860 / 937 / 955 / 1000,0-399:324 / 400-599:547 / 600-699:677 / 700-799:717 / 800-899:860 / 900-949:937 / 950-998:955 / 999-1000:1000,ccd9869f-9fde-47a9-aa13-6c15c8068267,libs/foundry/records/crafting/qualityquantization/quantization_beryl.xml
Quantization_Bexalite,Bexalite,302 / 597 / 632 / 756 / 875 / 941 / 959 / 1000,0-399:302 / 400-599:597 / 600-699:632 / 700-799:756 / 800-899:875 / 900-949:941 / 950-998:959 / 999-1000:1000,44d954c2-ed21-487a-8a06-c35ea53903b4,libs/foundry/records/crafting/qualityquantization/quantization_bexalite.xml
Quantization_Bexalite,Bexalite,302 / 597 / 632 / 756 / 875 / 941 / 959 / 1000,0-399:302 / 400-599:597 / 600-699:632 / 700-799:756 / 800-899:875 / 900-949:941 / 950-998:959 / 999-1000:1000,44d954c2-ed21-487a-8a06-c35ea53903b4,libs/foundry/records/crafting/qualityquantization/quantization_bexalite.xml
Quantization_Borase,Borase,359 / 584 / 676 / 743 / 892 / 903 / 976 / 1000,0-399:359 / 400-599:584 / 600-699:676 / 700-799:743 / 800-899:892 / 900-949:903 / 950-998:976 / 999-1000:1000,347d4bce-47be-433c-92e0-e299956635a4,libs/foundry/records/crafting/qualityquantization/quantization_borase.xml
Quantization_Borase,Borase,359 / 584 / 676 / 743 / 892 / 903 / 976 / 1000,0-399:359 / 400-599:584 / 600-699:676 / 700-799:743 / 800-899:892 / 900-949:903 / 950-998:976 / 999-1000:1000,347d4bce-47be-433c-92e0-e299956635a4,libs/foundry/records/crafting/qualityquantization/quantization_borase.xml
Quantization_Carinite,Carinite,273 / 554 / 647 / 716 / 880 / 909 / 959 / 1000,0-399:273 / 400-599:554 / 600-699:647 / 700-799:716 / 800-899:880 / 900-949:909 / 950-998:959 / 999-1000:1000,40b6dbcb-66a7-4d00-a2a8-ebc9b6b95ee9,libs/foundry/records/crafting/qualityquantization/quantization_carinite.xml
Quantization_Carinite,Carinite,273 / 554 / 647 / 716 / 880 / 909 / 959 / 1000,0-399:273 / 400-599:554 / 600-699:647 / 700-799:716 / 800-899:880 / 900-949:909 / 950-998:959 / 999-1000:1000,40b6dbcb-66a7-4d00-a2a8-ebc9b6b95ee9,libs/foundry/records/crafting/qualityquantization/quantization_carinite.xml
Quantization_Copper,Copper,359 / 593 / 652 / 742 / 855 / 917 / 958 / 1000,0-399:359 / 400-599:593 / 600-699:652 / 700-799:742 / 800-899:855 / 900-949:917 / 950-998:958 / 999-1000:1000,dc5ad259-bcd7-4423-bcc0-be4d4a6bfda7,libs/foundry/records/crafting/qualityquantization/quantization_copper.xml
Quantization_Copper,Copper,359 / 593 / 652 / 742 / 855 / 917 / 958 / 1000,0-399:359 / 400-599:593 / 600-699:652 / 700-799:742 / 800-899:855 / 900-949:917 / 950-998:958 / 999-1000:1000,dc5ad259-bcd7-4423-bcc0-be4d4a6bfda7,libs/foundry/records/crafting/qualityquantization/quantization_copper.xml
Quantization_Corundum,Corundum,309 / 504 / 665 / 793 / 886 / 904 / 971 / 1000,0-399:309 / 400-599:504 / 600-699:665 / 700-799:793 / 800-899:886 / 900-949:904 / 950-998:971 / 999-1000:1000,3126ecb0-db03-487c-9f0a-b5b3c5ecbb86,libs/foundry/records/crafting/qualityquantization/quantization_corundum.xml
Quantization_Corundum,Corundum,309 / 504 / 665 / 793 / 886 / 904 / 971 / 1000,0-399:309 / 400-599:504 / 600-699:665 / 700-799:793 / 800-899:886 / 900-949:904 / 950-998:971 / 999-1000:1000,3126ecb0-db03-487c-9f0a-b5b3c5ecbb86,libs/foundry/records/crafting/qualityquantization/quantization_corundum.xml
Quantization_Dolivine,Dolivine,304 / 577 / 621 / 743 / 886 / 901 / 957 / 1000,0-399:304 / 400-599:577 / 600-699:621 / 700-799:743 / 800-899:886 / 900-949:901 / 950-998:957 / 999-1000:1000,e331f3b8-ef06-4362-818c-9073e33657b3,libs/foundry/records/crafting/qualityquantization/quantization_dolivine.xml
Quantization_Dolivine,Dolivine,304 / 577 / 621 / 743 / 886 / 901 / 957 / 1000,0-399:304 / 400-599:577 / 600-699:621 / 700-799:743 / 800-899:886 / 900-949:901 / 950-998:957 / 999-1000:1000,e331f3b8-ef06-4362-818c-9073e33657b3,libs/foundry/records/crafting/qualityquantization/quantization_dolivine.xml
Quantization_Feynmaline,Feynmaline,371 / 561 / 682 / 769 / 880 / 906 / 965 / 1000,0-399:371 / 400-599:561 / 600-699:682 / 700-799:769 / 800-899:880 / 900-949:906 / 950-998:965 / 999-1000:1000,8da6ebb2-d8e2-43fc-a810-4ed5acac0c87,libs/foundry/records/crafting/qualityquantization/quantization_feynmaline.xml
Quantization_Feynmaline,Feynmaline,371 / 561 / 682 / 769 / 880 / 906 / 965 / 1000,0-399:371 / 400-599:561 / 600-699:682 / 700-799:769 / 800-899:880 / 900-949:906 / 950-998:965 / 999-1000:1000,8da6ebb2-d8e2-43fc-a810-4ed5acac0c87,libs/foundry/records/crafting/qualityquantization/quantization_feynmaline.xml
Quantization_Glacosite,Glacosite,360 / 567 / 678 / 724 / 857 / 916 / 972 / 1000,0-399:360 / 400-599:567 / 600-699:678 / 700-799:724 / 800-899:857 / 900-949:916 / 950-998:972 / 999-1000:1000,2e803050-5e5e-4559-985b-3a17a8935b9e,libs/foundry/records/crafting/qualityquantization/quantization_glacosite.xml
Quantization_Glacosite,Glacosite,360 / 567 / 678 / 724 / 857 / 916 / 972 / 1000,0-399:360 / 400-599:567 / 600-699:678 / 700-799:724 / 800-899:857 / 900-949:916 / 950-998:972 / 999-1000:1000,2e803050-5e5e-4559-985b-3a17a8935b9e,libs/foundry/records/crafting/qualityquantization/quantization_glacosite.xml
Quantization_Gold,Gold,264 / 553 / 644 / 786 / 864 / 916 / 959 / 1000,0-399:264 / 400-599:553 / 600-699:644 / 700-799:786 / 800-899:864 / 900-949:916 / 950-998:959 / 999-1000:1000,77d419ff-f76a-4e83-a50f-c8ebc63212f8,libs/foundry/records/crafting/qualityquantization/quantization_gold.xml
Quantization_Gold,Gold,264 / 553 / 644 / 786 / 864 / 916 / 959 / 1000,0-399:264 / 400-599:553 / 600-699:644 / 700-799:786 / 800-899:864 / 900-949:916 / 950-998:959 / 999-1000:1000,77d419ff-f76a-4e83-a50f-c8ebc63212f8,libs/foundry/records/crafting/qualityquantization/quantization_gold.xml
Quantization_Hadanite,Hadanite,274 / 526 / 665 / 762 / 867 / 916 / 959 / 1000,0-399:274 / 400-599:526 / 600-699:665 / 700-799:762 / 800-899:867 / 900-949:916 / 950-998:959 / 999-1000:1000,6a676ff8-35a6-419f-a089-796131f69a0f,libs/foundry/records/crafting/qualityquantization/quantization_hadanite.xml
Quantization_Hadanite,Hadanite,274 / 526 / 665 / 762 / 867 / 916 / 959 / 1000,0-399:274 / 400-599:526 / 600-699:665 / 700-799:762 / 800-899:867 / 900-949:916 / 950-998:959 / 999-1000:1000,6a676ff8-35a6-419f-a089-796131f69a0f,libs/foundry/records/crafting/qualityquantization/quantization_hadanite.xml
Quantization_Hephaestanite,Hephaestanite,330 / 572 / 692 / 758 / 896 / 916 / 975 / 1000,0-399:330 / 400-599:572 / 600-699:692 / 700-799:758 / 800-899:896 / 900-949:916 / 950-998:975 / 999-1000:1000,69f8ee25-0e7b-49a7-81f1-7925c7a25e70,libs/foundry/records/crafting/qualityquantization/quantization_hephaestanite.xml
Quantization_Hephaestanite,Hephaestanite,330 / 572 / 692 / 758 / 896 / 916 / 975 / 1000,0-399:330 / 400-599:572 / 600-699:692 / 700-799:758 / 800-899:896 / 900-949:916 / 950-998:975 / 999-1000:1000,69f8ee25-0e7b-49a7-81f1-7925c7a25e70,libs/foundry/records/crafting/qualityquantization/quantization_hephaestanite.xml
Quantization_Iron,Iron,325 / 521 / 664 / 710 / 874 / 907 / 970 / 1000,0-399:325 / 400-599:521 / 600-699:664 / 700-799:710 / 800-899:874 / 900-949:907 / 950-998:970 / 999-1000:1000,a342b25a-2c62-4363-b587-d621ad250374,libs/foundry/records/crafting/qualityquantization/quantization_iron.xml
Quantization_Iron,Iron,325 / 521 / 664 / 710 / 874 / 907 / 970 / 1000,0-399:325 / 400-599:521 / 600-699:664 / 700-799:710 / 800-899:874 / 900-949:907 / 950-998:970 / 999-1000:1000,a342b25a-2c62-4363-b587-d621ad250374,libs/foundry/records/crafting/qualityquantization/quantization_iron.xml
Quantization_Jaclium,Jaclium,284 / 576 / 607 / 781 / 864 / 941 / 955 / 1000,0-399:284 / 400-599:576 / 600-699:607 / 700-799:781 / 800-899:864 / 900-949:941 / 950-998:955 / 999-1000:1000,faa384fe-8b68-472c-95f5-e37a5c6d2e05,libs/foundry/records/crafting/qualityquantization/quantization_jaclium.xml
Quantization_Jaclium,Jaclium,284 / 576 / 607 / 781 / 864 / 941 / 955 / 1000,0-399:284 / 400-599:576 / 600-699:607 / 700-799:781 / 800-899:864 / 900-949:941 / 950-998:955 / 999-1000:1000,faa384fe-8b68-472c-95f5-e37a5c6d2e05,libs/foundry/records/crafting/qualityquantization/quantization_jaclium.xml
Quantization_Janalite,Janalite,269 / 596 / 632 / 732 / 898 / 926 / 964 / 1000,0-399:269 / 400-599:596 / 600-699:632 / 700-799:732 / 800-899:898 / 900-949:926 / 950-998:964 / 999-1000:1000,f88f580e-2ddf-4f2a-b7c4-21dde168e820,libs/foundry/records/crafting/qualityquantization/quantization_janalite.xml
Quantization_Janalite,Janalite,269 / 596 / 632 / 732 / 898 / 926 / 964 / 1000,0-399:269 / 400-599:596 / 600-699:632 / 700-799:732 / 800-899:898 / 900-949:926 / 950-998:964 / 999-1000:1000,f88f580e-2ddf-4f2a-b7c4-21dde168e820,libs/foundry/records/crafting/qualityquantization/quantization_janalite.xml
Quantization_Laranite,Laranite,298 / 510 / 698 / 707 / 858 / 910 / 975 / 1000,0-399:298 / 400-599:510 / 600-699:698 / 700-799:707 / 800-899:858 / 900-949:910 / 950-998:975 / 999-1000:1000,1cbd344a-9511-4bb2-878d-77054f8ae8ce,libs/foundry/records/crafting/qualityquantization/quantization_laranite.xml
Quantization_Laranite,Laranite,298 / 510 / 698 / 707 / 858 / 910 / 975 / 1000,0-399:298 / 400-599:510 / 600-699:698 / 700-799:707 / 800-899:858 / 900-949:910 / 950-998:975 / 999-1000:1000,1cbd344a-9511-4bb2-878d-77054f8ae8ce,libs/foundry/records/crafting/qualityquantization/quantization_laranite.xml
Quantization_Lindinium,Lindinium,305 / 585 / 618 / 729 / 853 / 930 / 954 / 1000,0-399:305 / 400-599:585 / 600-699:618 / 700-799:729 / 800-899:853 / 900-949:930 / 950-998:954 / 999-1000:1000,c430adce-c0d8-441c-8c91-6f20a413fc30,libs/foundry/records/crafting/qualityquantization/quantization_lindinium.xml
Quantization_Lindinium,Lindinium,305 / 585 / 618 / 729 / 853 / 930 / 954 / 1000,0-399:305 / 400-599:585 / 600-699:618 / 700-799:729 / 800-899:853 / 900-949:930 / 950-998:954 / 999-1000:1000,c430adce-c0d8-441c-8c91-6f20a413fc30,libs/foundry/records/crafting/qualityquantization/quantization_lindinium.xml
Quantization_Ouratite,Ouratite,310 / 523 / 647 / 779 / 860 / 912 / 960 / 1000,0-399:310 / 400-599:523 / 600-699:647 / 700-799:779 / 800-899:860 / 900-949:912 / 950-998:960 / 999-1000:1000,9a3ee365-38aa-4467-ac9f-b5dc8abbb554,libs/foundry/records/crafting/qualityquantization/quantization_ouratite.xml
Quantization_Ouratite,Ouratite,310 / 523 / 647 / 779 / 860 / 912 / 960 / 1000,0-399:310 / 400-599:523 / 600-699:647 / 700-799:779 / 800-899:860 / 900-949:912 / 950-998:960 / 999-1000:1000,9a3ee365-38aa-4467-ac9f-b5dc8abbb554,libs/foundry/records/crafting/qualityquantization/quantization_ouratite.xml
Quantization_Quantainium,Quantainium,344 / 514 / 669 / 762 / 852 / 901 / 974 / 1000,0-399:344 / 400-599:514 / 600-699:669 / 700-799:762 / 800-899:852 / 900-949:901 / 950-998:974 / 999-1000:1000,19c0b2ba-efe0-4aef-8315-97e151fa76f9,libs/foundry/records/crafting/qualityquantization/quantization_quantainium.xml
Quantization_Quantainium,Quantainium,344 / 514 / 669 / 762 / 852 / 901 / 974 / 1000,0-399:344 / 400-599:514 / 600-699:669 / 700-799:762 / 800-899:852 / 900-949:901 / 950-998:974 / 999-1000:1000,19c0b2ba-efe0-4aef-8315-97e151fa76f9,libs/foundry/records/crafting/qualityquantization/quantization_quantainium.xml
Quantization_Quartz,Quartz,330 / 522 / 641 / 710 / 899 / 914 / 969 / 1000,0-399:330 / 400-599:522 / 600-699:641 / 700-799:710 / 800-899:899 / 900-949:914 / 950-998:969 / 999-1000:1000,eec2d374-49ff-4095-a18e-d3ea32dce52d,libs/foundry/records/crafting/qualityquantization/quantization_quartz.xml
Quantization_Quartz,Quartz,330 / 522 / 641 / 710 / 899 / 914 / 969 / 1000,0-399:330 / 400-599:522 / 600-699:641 / 700-799:710 / 800-899:899 / 900-949:914 / 950-998:969 / 999-1000:1000,eec2d374-49ff-4095-a18e-d3ea32dce52d,libs/foundry/records/crafting/qualityquantization/quantization_quartz.xml
Quantization_RawIce,RawIce,322 / 561 / 659 / 714 / 873 / 922 / 966 / 1000,0-399:322 / 400-599:561 / 600-699:659 / 700-799:714 / 800-899:873 / 900-949:922 / 950-998:966 / 999-1000:1000,e469fe65-b750-4aba-b02a-5c817cd52414,libs/foundry/records/crafting/qualityquantization/quantization_rawice.xml
Quantization_RawIce,RawIce,322 / 561 / 659 / 714 / 873 / 922 / 966 / 1000,0-399:322 / 400-599:561 / 600-699:659 / 700-799:714 / 800-899:873 / 900-949:922 / 950-998:966 / 999-1000:1000,e469fe65-b750-4aba-b02a-5c817cd52414,libs/foundry/records/crafting/qualityquantization/quantization_rawice.xml
Quantization_Riccite,Riccite,325 / 525 / 671 / 743 / 870 / 942 / 965 / 1000,0-399:325 / 400-599:525 / 600-699:671 / 700-799:743 / 800-899:870 / 900-949:942 / 950-998:965 / 999-1000:1000,215435aa-f3e2-46f5-8377-c6346a47e683,libs/foundry/records/crafting/qualityquantization/quantization_riccite.xml
Quantization_Riccite,Riccite,325 / 525 / 671 / 743 / 870 / 942 / 965 / 1000,0-399:325 / 400-599:525 / 600-699:671 / 700-799:743 / 800-899:870 / 900-949:942 / 950-998:965 / 999-1000:1000,215435aa-f3e2-46f5-8377-c6346a47e683,libs/foundry/records/crafting/qualityquantization/quantization_riccite.xml
Quantization_Sadaryx,Sadaryx,258 / 510 / 688 / 797 / 865 / 940 / 971 / 1000,0-399:258 / 400-599:510 / 600-699:688 / 700-799:797 / 800-899:865 / 900-949:940 / 950-998:971 / 999-1000:1000,1535e81e-1271-4dc8-8eec-cbb954697d33,libs/foundry/records/crafting/qualityquantization/quantization_sadaryx.xml
Quantization_Sadaryx,Sadaryx,258 / 510 / 688 / 797 / 865 / 940 / 971 / 1000,0-399:258 / 400-599:510 / 600-699:688 / 700-799:797 / 800-899:865 / 900-949:940 / 950-998:971 / 999-1000:1000,1535e81e-1271-4dc8-8eec-cbb954697d33,libs/foundry/records/crafting/qualityquantization/quantization_sadaryx.xml
Quantization_Saldynium,Saldynium,301 / 575 / 674 / 757 / 861 / 938 / 955 / 1000,0-399:301 / 400-599:575 / 600-699:674 / 700-799:757 / 800-899:861 / 900-949:938 / 950-998:955 / 999-1000:1000,567dee8d-e5cc-4a9c-a574-d782c0d48e5e,libs/foundry/records/crafting/qualityquantization/quantization_saldynium.xml
Quantization_Saldynium,Saldynium,301 / 575 / 674 / 757 / 861 / 938 / 955 / 1000,0-399:301 / 400-599:575 / 600-699:674 / 700-799:757 / 800-899:861 / 900-949:938 / 950-998:955 / 999-1000:1000,567dee8d-e5cc-4a9c-a574-d782c0d48e5e,libs/foundry/records/crafting/qualityquantization/quantization_saldynium.xml
Quantization_Savrilium,Savrilium,322 / 580 / 636 / 776 / 878 / 905 / 967 / 1000,0-399:322 / 400-599:580 / 600-699:636 / 700-799:776 / 800-899:878 / 900-949:905 / 950-998:967 / 999-1000:1000,cfc34696-01d9-4336-b582-bafee23c64bd,libs/foundry/records/crafting/qualityquantization/quantization_savrilium.xml
Quantization_Savrilium,Savrilium,322 / 580 / 636 / 776 / 878 / 905 / 967 / 1000,0-399:322 / 400-599:580 / 600-699:636 / 700-799:776 / 800-899:878 / 900-949:905 / 950-998:967 / 999-1000:1000,cfc34696-01d9-4336-b582-bafee23c64bd,libs/foundry/records/crafting/qualityquantization/quantization_savrilium.xml
Quantization_Silicon,Silicon,310 / 510 / 672 / 782 / 889 / 926 / 968 / 1000,0-399:310 / 400-599:510 / 600-699:672 / 700-799:782 / 800-899:889 / 900-949:926 / 950-998:968 / 999-1000:1000,06ab4ebe-3b45-4775-90a5-1fd28c2bb169,libs/foundry/records/crafting/qualityquantization/quantization_silicon.xml
Quantization_Silicon,Silicon,310 / 510 / 672 / 782 / 889 / 926 / 968 / 1000,0-399:310 / 400-599:510 / 600-699:672 / 700-799:782 / 800-899:889 / 900-949:926 / 950-998:968 / 999-1000:1000,06ab4ebe-3b45-4775-90a5-1fd28c2bb169,libs/foundry/records/crafting/qualityquantization/quantization_silicon.xml
Quantization_Stileron,Stileron,330 / 517 / 681 / 747 / 874 / 947 / 972 / 1000,0-399:330 / 400-599:517 / 600-699:681 / 700-799:747 / 800-899:874 / 900-949:947 / 950-998:972 / 999-1000:1000,3d1fdc62-1edf-4d92-80b1-0ffd3146c4e9,libs/foundry/records/crafting/qualityquantization/quantization_stileron.xml
Quantization_Stileron,Stileron,330 / 517 / 681 / 747 / 874 / 947 / 972 / 1000,0-399:330 / 400-599:517 / 600-699:681 / 700-799:747 / 800-899:874 / 900-949:947 / 950-998:972 / 999-1000:1000,3d1fdc62-1edf-4d92-80b1-0ffd3146c4e9,libs/foundry/records/crafting/qualityquantization/quantization_stileron.xml
Quantization_Taranite,Taranite,310 / 525 / 646 / 718 / 853 / 925 / 957 / 1000,0-399:310 / 400-599:525 / 600-699:646 / 700-799:718 / 800-899:853 / 900-949:925 / 950-998:957 / 999-1000:1000,02ca9444-d71f-4c05-acce-081462730324,libs/foundry/records/crafting/qualityquantization/quantization_taranite.xml
Quantization_Taranite,Taranite,310 / 525 / 646 / 718 / 853 / 925 / 957 / 1000,0-399:310 / 400-599:525 / 600-699:646 / 700-799:718 / 800-899:853 / 900-949:925 / 950-998:957 / 999-1000:1000,02ca9444-d71f-4c05-acce-081462730324,libs/foundry/records/crafting/qualityquantization/quantization_taranite.xml
Quantization_TEMPLATE,TEMPLATE,322 / 561 / 659 / 714 / 873 / 922 / 966 / 1000,0-399:322 / 400-599:561 / 600-699:659 / 700-799:714 / 800-899:873 / 900-949:922 / 950-998:966 / 999-1000:1000,37ac9d44-1652-467b-8b34-93bbf01352c1,libs/foundry/records/crafting/qualityquantization/quantization_template.xml
Quantization_TEMPLATE,TEMPLATE,322 / 561 / 659 / 714 / 873 / 922 / 966 / 1000,0-399:322 / 400-599:561 / 600-699:659 / 700-799:714 / 800-899:873 / 900-949:922 / 950-998:966 / 999-1000:1000,37ac9d44-1652-467b-8b34-93bbf01352c1,libs/foundry/records/crafting/qualityquantization/quantization_template.xml
Quantization_Tin,Tin,340 / 537 / 664 / 704 / 880 / 940 / 964 / 1000,0-399:340 / 400-599:537 / 600-699:664 / 700-799:704 / 800-899:880 / 900-949:940 / 950-998:964 / 999-1000:1000,12b902ca-aab8-4273-873b-6ac9e362ad40,libs/foundry/records/crafting/qualityquantization/quantization_tin.xml
Quantization_Tin,Tin,340 / 537 / 664 / 704 / 880 / 940 / 964 / 1000,0-399:340 / 400-599:537 / 600-699:664 / 700-799:704 / 800-899:880 / 900-949:940 / 950-998:964 / 999-1000:1000,12b902ca-aab8-4273-873b-6ac9e362ad40,libs/foundry/records/crafting/qualityquantization/quantization_tin.xml
Quantization_Titanium,Titanium,295 / 516 / 622 / 784 / 866 / 916 / 959 / 1000,0-399:295 / 400-599:516 / 600-699:622 / 700-799:784 / 800-899:866 / 900-949:916 / 950-998:959 / 999-1000:1000,bd0dc72c-e6d8-4308-a258-b6797f2c68a4,libs/foundry/records/crafting/qualityquantization/quantization_titanium.xml
Quantization_Titanium,Titanium,295 / 516 / 622 / 784 / 866 / 916 / 959 / 1000,0-399:295 / 400-599:516 / 600-699:622 / 700-799:784 / 800-899:866 / 900-949:916 / 950-998:959 / 999-1000:1000,bd0dc72c-e6d8-4308-a258-b6797f2c68a4,libs/foundry/records/crafting/qualityquantization/quantization_titanium.xml
Quantization_Torite,Torite,262 / 528 / 661 / 785 / 873 / 944 / 951 / 1000,0-399:262 / 400-599:528 / 600-699:661 / 700-799:785 / 800-899:873 / 900-949:944 / 950-998:951 / 999-1000:1000,5a9433c6-2bc5-464d-bb2a-950660f86d38,libs/foundry/records/crafting/qualityquantization/quantization_torite.xml
Quantization_Torite,Torite,262 / 528 / 661 / 785 / 873 / 944 / 951 / 1000,0-399:262 / 400-599:528 / 600-699:661 / 700-799:785 / 800-899:873 / 900-949:944 / 950-998:951 / 999-1000:1000,5a9433c6-2bc5-464d-bb2a-950660f86d38,libs/foundry/records/crafting/qualityquantization/quantization_torite.xml
Quantization_Tungsten,Tungsten,363 / 530 / 662 / 787 / 858 / 902 / 964 / 1000,0-399:363 / 400-599:530 / 600-699:662 / 700-799:787 / 800-899:858 / 900-949:902 / 950-998:964 / 999-1000:1000,9f228dff-275a-43ba-8e2a-96dfbebc1dbe,libs/foundry/records/crafting/qualityquantization/quantization_tungsten.xml
Quantization_Tungsten,Tungsten,363 / 530 / 662 / 787 / 858 / 902 / 964 / 1000,0-399:363 / 400-599:530 / 600-699:662 / 700-799:787 / 800-899:858 / 900-949:902 / 950-998:964 / 999-1000:1000,9f228dff-275a-43ba-8e2a-96dfbebc1dbe,libs/foundry/records/crafting/qualityquantization/quantization_tungsten.xml
