Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Cooling Rate,Power Usage,EM Signature,EM Signature Decay,IR Signature,IR Signature Decay,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
cool_aegs_s02_avalanche,item_Name_COOL_AEGS_S02_Avalanche,,item_Desc_COOL_AEGS_S02_Avalanche,AEGS,2,1,UNDEFINED,640,50,4,1980,0.15,10300,0.5,0,250,5500,3,366.6667,18
cool_aegs_s02_boreal,item_NameCOOL_AEGS_S02_Boreal,,item_DescCOOL_AEGS_S02_Boreal,AEGS,2,4,UNDEFINED,430,41,4,1980,0.15,8580,0.5,0,250,3600,3,240,18
cool_aegs_s02_permafrost,item_Name_COOL_AEGS_S02_Permafrost,,item_Desc_COOL_AEGS_S02_Permafrost,AEGS,2,2,UNDEFINED,560,46,4,1980,0.15,9440,0.5,0,250,4750,3,316.6667,18
cool_aegs_s03_blizzard,item_NameCOOL_AEGS_S03_Blizzard_SCItem,,item_DescCOOL_AEGS_S03_Blizzard_SCItem,AEGS,3,1,UNDEFINED,1800,60,5,2480,0.15,12700,0.5,0,250,8500,4.5,566.6667,19.5
cool_aegs_s03_galinstan,item_NameCOOL_AEGS_S03_Galinstan_SCItem,,item_DescCOOL_AEGS_S03_Galinstan_SCItem,AEGS,3,4,UNDEFINED,1200,50,5,2480,0.15,10600,0.5,0,250,5500,4.5,366.6667,19.5
cool_aegs_s03_mercury,item_NameCOOL_AEGS_S03_Mercury,,item_DescCOOL_AEGS_S03_Mercury,AEGS,3,3,UNDEFINED,1300,56,5,2480,0.15,11600,0.5,0,250,6500,4.5,433.3333,19.5
cool_aegs_s03_tempest,item_Name_COOL_AEGS_S03_Tempest,,item_Desc_COOL_AEGS_S03_Tempest,AEGS,3,2,UNDEFINED,1600,56,5,2480,0.15,11600,0.5,0,250,7500,4.5,500,19.5
cool_aegs_s04_idris,item_NameCOOL_AEGS_S04_Idirs,item_NameCOOL_AEGS_S04_Idirs,item_DescCOOL_AEGS_S04_Idris,,4,1,UNDEFINED,36000,102,6,2970,0.15,15000,0.5,0,250,31000,6,2066.667,21
cool_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,100000,74,6,2970,0.15,15000,0.5,0,250,48500,6,3233.333,21
cool_aegs_s04_reclaimer,item_NameCOOL_AEGS_S04_Reclaimer,,item_DescCOOL_AEGS_S04_Reclaimer,,4,1,UNDEFINED,4100,69,6,2970,0.15,14300,0.5,0,250,11000,6,733.3333,21
cool_jspn_s00_cryostarsl,item_Name_COOL_JSPN_S00_CryoStarSL,,item_Desc_COOL_JSPN_S00_CryoStarSL,JSPN,0,2,UNDEFINED,53,16,1,375,0.15,2500,0.5,0,250,1400,1.5,93.33334,16.5
cool_jspn_s00_froststarsl,item_NameCOOL_JSPN_S00_FrostStarSL,,item_DescCOOL_JSPN_S00_FrostStarSL,JSPN,0,3,UNDEFINED,46,16,1,375,0.15,2500,0.5,0,250,1250,1.5,83.33334,16.5
cool_jspn_s00_winterstarsl,item_NameCOOL_JSPN_S00_WinterStarSL_SCItem,,item_DescCOOL_JSPN_S00_WinterStarSL_SCItem,JSPN,0,4,UNDEFINED,40,14,1,375,0.15,2270,0.5,0,250,1050,1.5,70,16.5
cool_jspn_s01_cryostar,item_Name_COOL_JSPN_S01_CryoStar,,item_DescCOOL_JSPN_S01_CryoStar,JSPN,1,2,UNDEFINED,150,26,2,750,0.15,4000,0.5,0,250,2200,1.5,146.6667,16.5
cool_jspn_s01_froststar,item_NameCOOL_JSPN_S01_FrostStar,,item_DescCOOL_JSPN_S01_FrostStar,JSPN,1,3,UNDEFINED,130,26,2,750,0.15,4000,0.5,0,250,1900,1.5,126.6667,16.5
cool_jspn_s01_winterstar,item_NameCOOL_JSPN_S01_WinterStar,,item_DescCOOL_JSPN_S01_WinterStar,JSPN,1,4,UNDEFINED,110,23,2,750,0.15,3630,0.5,0,250,1650,1.5,110,16.5
cool_jspn_s02_cryostarex,item_NameCOOL_JSPN_S02_CryoStarEX,,item_DescCOOL_JSPN_S02_CryoStarEX,JSPN,2,2,UNDEFINED,400,34,3,1130,0.15,5500,0.5,0,250,3400,3,226.6667,18
cool_jspn_s02_froststarex,item_NameCOOL_JSPN_S02_FrostStarEX,,item_DescCOOL_JSPN_S02_FrostStarEX,JSPN,2,3,UNDEFINED,350,34,3,1130,0.15,5500,0.5,0,250,2950,3,196.6667,18
cool_jspn_s02_winterstarex,item_NameCOOL_JSPN_S02_WinterStarEX_SCItem,,item_DescCOOL_JSPN_S02_WinterStarEX_SCItem,JSPN,2,4,UNDEFINED,300,32,3,1130,0.15,5000,0.5,0,250,2600,3,173.3333,18
cool_jspn_s03_cryostarxl,item_Name_COOL_JSPN_S03_CryoStarXL,,item_Desc_COOL_JSPN_S03_CryoStarXL,JSPN,3,2,UNDEFINED,1100,45,4,1500,0.15,7000,0.5,0,250,5500,4.5,366.6667,19.5
cool_jspn_s03_froststarxl,item_NameCOOL_JSPN_S03_FrostStarXL_SCItem,,item_DescCOOL_JSPN_S03_FrostStarXL_SCItem,JSPN,3,3,UNDEFINED,960,45,4,1500,0.15,7000,0.5,0,250,4600,4.5,306.6667,19.5
cool_jspn_s03_winterstarxl,item_NameCOOL_JSPN_S03_WinterStarXL_SCItem,,item_DescCOOL_JSPN_S03_WinterStarXL_SCItem,JSPN,3,4,UNDEFINED,840,41,4,1500,0.15,6380,0.5,0,250,4000,4.5,266.6667,19.5
cool_just_s01_ecoflow,item_Name_COOL_JUST_S01_EcoFlow,,item_Desc_COOL_JUST_S01_EcoFlow,JUST,1,2,UNDEFINED,180,32,3,1490,0.15,6530,0.5,0,250,2650,1.5,176.6667,16.5
cool_just_s01_hydrocel,item_NameCOOL_JUST_S01_Hydrocel,,item_DescCOOL_JUST_S01_Hydrocel,JUST,1,4,UNDEFINED,130,29,3,1490,0.15,5940,0.5,0,250,2000,1.5,133.3333,16.5
cool_just_s01_thermax,item_NameCOOL_JUST_S01_Thermax,,item_DescCOOL_JUST_S01_Thermax,JUST,1,3,UNDEFINED,150,32,3,1490,0.15,6530,0.5,0,250,2300,1.5,153.3333,16.5
cool_just_s01_ultraflow,item_Name_COOL_JUST_S01_UltraFlow,,item_Desc_COOL_JUST_S01_UltraFlow,JUST,1,1,UNDEFINED,200,34,3,1490,0.15,7130,0.5,0,250,3000,1.5,200,16.5
cool_just_s02_coolcore,item_NameCOOL_JUST_S02_CoolCore,,item_DescCOOL_JUST_S02_CoolCore,JUST,2,3,UNDEFINED,420,41,4,1980,0.15,8710,0.5,0,250,3550,3,236.6667,18
cool_just_s02_hydrojet,item_NameCOOL_JUST_S02_Hydrojet,,item_DescCOOL_JUST_S02_Hydrojet,JUST,2,4,UNDEFINED,370,38,4,1980,0.15,7920,0.5,0,250,3100,3,206.6667,18
cool_just_s02_snowfall,item_Name_COOL_JUST_S02_Snowfall,,item_Desc_COOL_JUST_S02_Snowfall,JUST,2,2,UNDEFINED,480,41,4,1980,0.15,8710,0.5,0,250,4100,3,273.3333,18
cool_just_s02_snowpack,item_NameCOOL_JUST_S02_Snowpack_SCItem,,item_DescCOOL_JUST_S02_Snowpack_SCItem,JUST,2,1,UNDEFINED,550,46,4,1980,0.15,9500,0.5,0,250,4600,3,306.6667,18
cool_just_s03_chillmax,item_NameCOOL_JUST_S03_ChillMax_SCItem,,item_DescCOOL_JUST_S03_ChillMax_SCItem,JUST,3,1,UNDEFINED,1500,58,5,2480,0.15,11900,0.5,0,250,7000,4.5,466.6667,19.5
cool_just_s03_hydropulse,item_NameCOOL_JUST_S03_Hydropulse_SCItem,,item_DescCOOL_JUST_S03_Hydropulse_SCItem,JUST,3,4,UNDEFINED,1000,48,5,2480,0.15,9900,0.5,0,250,4800,4.5,320,19.5
cool_just_s03_iceflush,item_Name_COOL_JUST_S03_IceFlush,,item_Desc_COOL_JUST_S03_IceFlush,JUST,3,2,UNDEFINED,1300,52,5,2480,0.15,10900,0.5,0,250,6500,4.5,433.3333,19.5
cool_just_s03_thermalcore,item_NameCOOL_JUST_S03_ThermalCore,,item_DescCOOL_JUST_S03_ThermalCore,JUST,3,3,UNDEFINED,1200,52,5,2480,0.15,10900,0.5,0,250,5500,4.5,366.6667,19.5
cool_lplt_s01_arcticstorm,item_NameCOOL_LPLT_S01_ArcticStorm,,item_DescCOOL_LPLT_S01_ArcticStorm,LPLT,1,3,UNDEFINED,130,26,2,750,0.15,4000,0.5,0,250,1900,1.5,126.6667,16.5
cool_lplt_s01_blastchill,item_NameCOOL_LPLT_S01_BlastChill,,item_DescCOOL_LPLT_S01_BlastChill,LPLT,1,4,UNDEFINED,110,23,2,750,0.15,3630,0.5,0,250,1650,1.5,110,16.5
cool_lplt_s01_flashfreeze,item_NameCOOL_LPLT_S01_FlashFreeze,,item_DescCOOL_LPLT_S01_FlashFreeze,LPLT,1,2,UNDEFINED,150,26,2,750,0.15,4000,0.5,0,250,2200,1.5,146.6667,16.5
cool_lplt_s02_coldsnap,item_NameCOOL_LPLT_S02_ColdSnap,,item_DescCOOL_LPLT_S02_ColdSnap,LPLT,2,3,UNDEFINED,350,34,3,1130,0.15,5500,0.5,0,250,2950,3,196.6667,18
cool_lplt_s02_fullfrost,item_Name_COOL_LPLT_S02_FullFrost,,item_Desc_COOL_LPLT_S02_FullFrost,LPLT,2,2,UNDEFINED,400,34,3,1130,0.15,5500,0.5,0,250,3400,3,226.6667,18
cool_lplt_s02_whiteout,item_Name_COOL_LPLT_S02_WhiteOut,,item_Desc_COOL_LPLT_S02_WhiteOut,LPLT,2,4,UNDEFINED,300,32,3,1130,0.15,5000,0.5,0,250,2600,3,173.3333,18
cool_lplt_s03_coldsurge,item_NameCOOL_LPLT_S03_ColdSurge_SCItem,,item_DescCOOL_LPLT_S03_ColdSurge_SCItem,LPLT,3,4,UNDEFINED,840,41,4,1500,0.15,6380,0.5,0,250,4000,4.5,266.6667,19.5
cool_lplt_s03_frostbite,item_Name_COOL_LPLT_S03_FrostBite,,item_Desc_COOL_LPLT_S03_FrostBite,LPLT,3,2,UNDEFINED,1100,45,4,1500,0.15,7000,0.5,0,250,5500,4.5,366.6667,19.5
cool_lplt_s03_frostburn,item_NameCOOL_LPLT_S03_FrostBurn,,item_DescCOOL_LPLT_S03_FrostBurn,LPLT,3,3,UNDEFINED,960,45,4,1500,0.15,7000,0.5,0,250,4600,4.5,306.6667,19.5
cool_orig_s04_890j,item_NameCOOL_ORIG_S04_890J_SCItem,,item_DescCOOL_ORIG_S04_890J_SCItem,,4,1,UNDEFINED,8400,65,5,2060,0.15,11200,0.5,0,250,12500,6,833.3333,21
cool_rsi_s04_bengal,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,280000,72,6,2970,0.15,15000,0.5,0,250,75000,6,5000,21
cool_rsi_s04_polaris,item_NameCOOL_ORIG_S04_890J_SCItem,,item_DescCOOL_ORIG_S04_890J_SCItem,RSI,4,1,UNDEFINED,9500,65,5,2250,0.15,12200,0.5,0,250,14500,6,966.6667,21
cool_s01_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,170,27,0,750,0.15,4400,0.5,0,250,10,1.5,0.6666667,16.5
cool_s02_template,LOC_PLACEHOLDER,,,,2,1,UNDEFINED,460,39,0,1130,0.15,6050,0.5,0,250,10,3,0.6666667,18
cool_s03_template,LOC_PLACEHOLDER,,,,3,1,UNDEFINED,1300,49,0,1500,0.15,7700,0.5,0,250,10,4.5,0.6666667,19.5
cool_s04_template,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,3400,60,0,1880,0.15,9350,0.5,0,250,10,6,0.6666667,21
cool_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,170,17.6,0,750,0.15,4400,0.5,0,250,7500,1.5,500,16.5
cool_tydt_s01_heatsafe,item_NameCOOL_TYDT_S01_HeatSafe,,item_DescCOOL_TYDT_S01_HeatSafe,TYDT,1,3,UNDEFINED,110,22,1,250,0.15,2330,0.5,0,250,1650,1.5,110,16.5
cool_tydt_s01_snowblind,item_Name_COOL_TYDT_S01_SnowBlind,,item_Desc_COOL_TYDT_S01_SnowBlind,TYDT,1,1,UNDEFINED,140,24,1,250,0.15,2570,0.5,0,250,2100,1.5,140,16.5
cool_tydt_s01_vaporblock,item_NameCOOL_TYDT_S01_VaporBlock,,item_DescCOOL_TYDT_S01_VaporBlock,TYDT,1,2,UNDEFINED,120,22,1,250,0.15,2330,0.5,0,250,1850,1.5,123.3333,16.5
cool_tydt_s02_heatsink,item_NameCOOL_TYDT_S02_HeatSink_SCItem,,item_DescCOOL_TYDT_S02_HeatSink_SCItem,TYDT,2,3,UNDEFINED,300,32,2,500,0.15,3330,0.5,0,250,2500,3,166.6667,18
cool_tydt_s02_icebox,item_NameCOOL_TYDT_S02_IceBox_SCItem,,item_DescCOOL_TYDT_S02_IceBox_SCItem,TYDT,2,2,UNDEFINED,340,32,2,500,0.15,3330,0.5,0,250,2900,3,193.3333,18
cool_tydt_s02_nightfall,item_NameCOOL_TYDT_S02_NightFall_SCItem,,item_DescCOOL_TYDT_S02_NightFall_SCItem,TYDT,2,1,UNDEFINED,390,34,2,500,0.15,3670,0.5,0,250,3300,3,220,18
cool_vncl_s04_mauler,item_NameCOOL_VNCL_S04_Mauler,,item_DescCOOL_VNCL_S04_Mauler,,4,1,UNDEFINED,45000,100,6,2720,0.15,14900,0.5,0,250,10,6,0.6666667,21
cool_wcpr_s00_fridan,item_NameCOOL_WCPR_S00_Fridan,,item_DescCOOL_WCPR_S00_Fridan,WCPR,0,3,UNDEFINED,46,16,1,375,0.15,2500,0.5,0,250,1250,1.5,83.33334,16.5
cool_wcpr_s00_kelvid,item_Name_COOL_WCPR_S00_Kelvid,,item_Desc_COOL_WCPR_S00_Kelvid,WCPR,0,2,UNDEFINED,53,16,1,375,0.15,2500,0.5,0,250,1400,1.5,93.33334,16.5
cool_wcpr_s00_tepilo,item_NameCOOL_WCPR_S00_Tepilo_SCItem,,item_DescCOOL_WCPR_S00_Tepilo_SCItem,WCPR,0,1,UNDEFINED,60,17,1,375,0.15,2750,0.5,0,250,1600,1.5,106.6667,16.5
cool_wcpr_s01_berian,item_NameCOOL_WCPR_S01_Berian,,item_DescCOOL_WCPR_S01_Berian,WCPR,1,3,UNDEFINED,130,26,2,750,0.15,4000,0.5,0,250,1900,1.5,126.6667,16.5
cool_wcpr_s01_endo,item_NameCOOL_WCPR_S01_Endo,,item_DescCOOL_WCPR_S01_Endo,WCPR,1,2,UNDEFINED,150,26,2,750,0.15,4000,0.5,0,250,2200,1.5,146.6667,16.5
cool_wcpr_s01_gelid,item_Name_COOL_WCPR_S01_Gelid,,item_Desc_COOL_WCPR_S01_Gelid,WCPR,1,1,UNDEFINED,170,29,2,750,0.15,4400,0.5,0,250,2500,1.5,166.6667,16.5
cool_wcpr_s02_aufeis,item_nameCOOL_WCPR_S02_Aufeis_SCItem,,item_DescCOOL_WCPR_S02_Aufeis_SCItem,WCPR,2,1,UNDEFINED,460,39,3,1130,0.15,6050,0.5,0,250,3850,3,256.6667,18
cool_wcpr_s02_graupel,item_NameCOOL_WCPR_S02_Graupel,,item_DescCOOL_WCPR_S02_Graupel,WCPR,2,3,UNDEFINED,350,34,3,1130,0.15,5500,0.5,0,250,2950,3,196.6667,18
cool_wcpr_s02_taiga,item_NameCOOL_WCPR_S02_Taiga_SCItem,,item_DescCOOL_WCPR_S02_Taiga_SCItem,WCPR,2,2,UNDEFINED,400,34,3,1130,0.15,5500,0.5,0,250,3400,3,226.6667,18
cool_wcpr_s03_draug,item_NameCOOL_WCPR_S03_Draug_SCItem,,item_DescCOOL_WCPR_S03_Draug_SCItem,WCPR,3,1,UNDEFINED,1300,49,4,1500,0.15,7700,0.5,0,250,6000,4.5,400,19.5
cool_wcpr_s03_elsen,item_NameCOOL_WCPR_S03_Elsen_SCItem,,item_DescCOOL_WCPR_S03_Elsen_SCItem,AEGS,3,1,UNDEFINED,1300,49,4,1500,0.15,7700,0.5,0,250,6000,4.5,400,19.5
cool_wcpr_s03_kragen,item_NameCOOL_WCPR_S03_Kragen_SCItem,,item_DescCOOL_WCPR_S03_Kragen_SCItem,WCPR,3,1,UNDEFINED,1300,49,4,1500,0.15,7700,0.5,0,250,6000,4.5,400,19.5
cool_acom_s01_iceplunge,item_NameCOOL_ACOM_S01_IcePlunge,,item_DescCOOL_ACOM_S01_IcePlunge,ACOM,1,3,UNDEFINED,69,34,2,818,0.15,5890,0.5,0,250,1050,1.5,70,16.5
cool_acom_s01_quickcool,item_NameCOOL_ACOM_S01_QuickCool,,item_DescCOOL_ACOM_S01_QuickCool,ACOM,1,4,UNDEFINED,62,32,2,818,0.15,5400,0.5,0,250,900,1.5,60,16.5
cool_acom_s01_zerorush,item_Name_COOL_ACOM_S01_ZeroRush,,item_Desc_COOL_ACOM_S01_ZeroRush,ACOM,1,2,UNDEFINED,78,34,2,818,0.15,5890,0.5,0,250,1150,1.5,76.66666,16.5
cool_acom_s02_absolutezero,item_NameCOOL_ACOM_S02_AbsoluteZero_SCItem,,item_DescCOOL_ACOM_S02_AbsoluteZero_SCItem,ACOM,2,2,UNDEFINED,210,46,3,1230,0.15,7850,0.5,0,250,1800,3,120,18
cool_acom_s02_icedive,item_NameCOOL_ACOM_S02_IceDive_SCItem,,item_DescCOOL_ACOM_S02_IceDive_SCItem,ACOM,2,3,UNDEFINED,190,46,3,1230,0.15,7850,0.5,0,250,1600,3,106.6667,18
cool_acom_s02_rapidcool,item_NameCOOL_ACOM_S02_RapidCool_SCItem,,item_DescCOOL_ACOM_S02_RapidCool_SCItem,ACOM,2,4,UNDEFINED,170,43,3,1230,0.15,7200,0.5,0,250,1450,3,96.66666,18
cool_aegs_s01_bracer,item_NameCOOL_AEGS_S01_Bracer,,item_DescCOOL_AEGS_S01_Bracer,AEGS,1,3,UNDEFINED,180,34,3,1490,0.15,7260,0.5,0,250,2700,1.5,180,16.5
cool_aegs_s01_glacier,item_Name_COOL_AEGS_S01_Glacier,,item_Desc_COOL_AEGS_S01_Glacier,AEGS,1,1,UNDEFINED,230,38,3,1490,0.15,7920,0.5,0,250,3500,1.5,233.3333,16.5
cool_aegs_s01_polar,item_NameCOOL_AEGS_S01_Polar,,item_DescCOOL_AEGS_S01_Polar,AEGS,1,2,UNDEFINED,210,34,3,1490,0.15,7260,0.5,0,250,3100,1.5,206.6667,16.5
cool_aegs_s01_tundra,item_NameCOOL_AEGS_S01_Tundra,,item_DescCOOL_AEGS_S01_Tundra,AEGS,1,4,UNDEFINED,160,32,3,1490,0.15,6600,0.5,0,250,2350,1.5,156.6667,16.5
cool_aegs_s02_arctic,item_NameCOOL_AEGS_S02_Arctic,,item_DescCOOL_AEGS_S02_Arctic,AEGS,2,3,UNDEFINED,490,46,4,1980,0.15,9440,0.5,0,250,4150,3,276.6667,18
cool_aegs_s02_avalanche,item_Name_COOL_AEGS_S02_Avalanche,,item_Desc_COOL_AEGS_S02_Avalanche,AEGS,2,1,UNDEFINED,640,50,4,1980,0.15,10300,0.5,0,250,5500,3,366.6667,18
cool_aegs_s02_boreal,item_NameCOOL_AEGS_S02_Boreal,,item_DescCOOL_AEGS_S02_Boreal,AEGS,2,4,UNDEFINED,430,41,4,1980,0.15,8580,0.5,0,250,3600,3,240,18
cool_aegs_s02_permafrost,item_Name_COOL_AEGS_S02_Permafrost,,item_Desc_COOL_AEGS_S02_Permafrost,AEGS,2,2,UNDEFINED,560,46,4,1980,0.15,9440,0.5,0,250,4750,3,316.6667,18
cool_aegs_s03_blizzard,item_NameCOOL_AEGS_S03_Blizzard_SCItem,,item_DescCOOL_AEGS_S03_Blizzard_SCItem,AEGS,3,1,UNDEFINED,1800,60,5,2480,0.15,12700,0.5,0,250,8500,4.5,566.6667,19.5
cool_aegs_s03_galinstan,item_NameCOOL_AEGS_S03_Galinstan_SCItem,,item_DescCOOL_AEGS_S03_Galinstan_SCItem,AEGS,3,4,UNDEFINED,1200,50,5,2480,0.15,10600,0.5,0,250,5500,4.5,366.6667,19.5
cool_aegs_s03_mercury,item_NameCOOL_AEGS_S03_Mercury,,item_DescCOOL_AEGS_S03_Mercury,AEGS,3,3,UNDEFINED,1300,56,5,2480,0.15,11600,0.5,0,250,6500,4.5,433.3333,19.5
cool_aegs_s03_tempest,item_Name_COOL_AEGS_S03_Tempest,,item_Desc_COOL_AEGS_S03_Tempest,AEGS,3,2,UNDEFINED,1600,56,5,2480,0.15,11600,0.5,0,250,7500,4.5,500,19.5
cool_aegs_s04_idris,item_NameCOOL_AEGS_S04_Idirs,item_NameCOOL_AEGS_S04_Idirs,item_DescCOOL_AEGS_S04_Idris,,4,1,UNDEFINED,36000,102,6,2970,0.15,15000,0.5,0,250,31000,6,2066.667,21
cool_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,100000,74,6,2970,0.15,15000,0.5,0,250,48500,6,3233.333,21
cool_aegs_s04_reclaimer,item_NameCOOL_AEGS_S04_Reclaimer,,item_DescCOOL_AEGS_S04_Reclaimer,,4,1,UNDEFINED,4100,69,6,2970,0.15,14300,0.5,0,250,11000,6,733.3333,21
cool_jspn_s00_cryostarsl,item_Name_COOL_JSPN_S00_CryoStarSL,,item_Desc_COOL_JSPN_S00_CryoStarSL,JSPN,0,2,UNDEFINED,53,16,1,375,0.15,2500,0.5,0,250,1400,1.5,93.33334,16.5
cool_jspn_s00_froststarsl,item_NameCOOL_JSPN_S00_FrostStarSL,,item_DescCOOL_JSPN_S00_FrostStarSL,JSPN,0,3,UNDEFINED,46,16,1,375,0.15,2500,0.5,0,250,1250,1.5,83.33334,16.5
cool_jspn_s00_winterstarsl,item_NameCOOL_JSPN_S00_WinterStarSL_SCItem,,item_DescCOOL_JSPN_S00_WinterStarSL_SCItem,JSPN,0,4,UNDEFINED,40,14,1,375,0.15,2270,0.5,0,250,1050,1.5,70,16.5
cool_jspn_s01_cryostar,item_Name_COOL_JSPN_S01_CryoStar,,item_DescCOOL_JSPN_S01_CryoStar,JSPN,1,2,UNDEFINED,150,26,2,750,0.15,4000,0.5,0,250,2200,1.5,146.6667,16.5
cool_jspn_s01_froststar,item_NameCOOL_JSPN_S01_FrostStar,,item_DescCOOL_JSPN_S01_FrostStar,JSPN,1,3,UNDEFINED,130,26,2,750,0.15,4000,0.5,0,250,1900,1.5,126.6667,16.5
cool_jspn_s01_winterstar,item_NameCOOL_JSPN_S01_WinterStar,,item_DescCOOL_JSPN_S01_WinterStar,JSPN,1,4,UNDEFINED,110,23,2,750,0.15,3630,0.5,0,250,1650,1.5,110,16.5
cool_jspn_s02_cryostarex,item_NameCOOL_JSPN_S02_CryoStarEX,,item_DescCOOL_JSPN_S02_CryoStarEX,JSPN,2,2,UNDEFINED,400,34,3,1130,0.15,5500,0.5,0,250,3400,3,226.6667,18
cool_jspn_s02_froststarex,item_NameCOOL_JSPN_S02_FrostStarEX,,item_DescCOOL_JSPN_S02_FrostStarEX,JSPN,2,3,UNDEFINED,350,34,3,1130,0.15,5500,0.5,0,250,2950,3,196.6667,18
cool_jspn_s02_winterstarex,item_NameCOOL_JSPN_S02_WinterStarEX_SCItem,,item_DescCOOL_JSPN_S02_WinterStarEX_SCItem,JSPN,2,4,UNDEFINED,300,32,3,1130,0.15,5000,0.5,0,250,2600,3,173.3333,18
cool_jspn_s03_cryostarxl,item_Name_COOL_JSPN_S03_CryoStarXL,,item_Desc_COOL_JSPN_S03_CryoStarXL,JSPN,3,2,UNDEFINED,1100,45,4,1500,0.15,7000,0.5,0,250,5500,4.5,366.6667,19.5
cool_jspn_s03_froststarxl,item_NameCOOL_JSPN_S03_FrostStarXL_SCItem,,item_DescCOOL_JSPN_S03_FrostStarXL_SCItem,JSPN,3,3,UNDEFINED,960,45,4,1500,0.15,7000,0.5,0,250,4600,4.5,306.6667,19.5
cool_jspn_s03_winterstarxl,item_NameCOOL_JSPN_S03_WinterStarXL_SCItem,,item_DescCOOL_JSPN_S03_WinterStarXL_SCItem,JSPN,3,4,UNDEFINED,840,41,4,1500,0.15,6380,0.5,0,250,4000,4.5,266.6667,19.5
cool_just_s01_ecoflow,item_Name_COOL_JUST_S01_EcoFlow,,item_Desc_COOL_JUST_S01_EcoFlow,JUST,1,2,UNDEFINED,180,32,3,1490,0.15,6530,0.5,0,250,2650,1.5,176.6667,16.5
cool_just_s01_hydrocel,item_NameCOOL_JUST_S01_Hydrocel,,item_DescCOOL_JUST_S01_Hydrocel,JUST,1,4,UNDEFINED,130,29,3,1490,0.15,5940,0.5,0,250,2000,1.5,133.3333,16.5
cool_just_s01_thermax,item_NameCOOL_JUST_S01_Thermax,,item_DescCOOL_JUST_S01_Thermax,JUST,1,3,UNDEFINED,150,32,3,1490,0.15,6530,0.5,0,250,2300,1.5,153.3333,16.5
