Entity Class,Name Key,Description Key,Display Name Key,Display Description Key,Display Type Key,Type GUID,Subtype GUID,Cargo Occupancy Unit,Cargo Occupancy Value,Cargo Occupancy SCU,Boxable,Unrefined,Raw,Refined,Controlled Substance Jurisdictions,Controlled Substance Max SCU,Legality Warning Source,Record GUID,Record Path
steel,items_commodities_steel,items_commodities_steel_desc,items_commodities_steel,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,bb720729-3e8e-4129-b21a-8cdc4a7627b2,SCentiCargoUnit,1,0.01,1,0,,,,,,08e30ea3-0b36-4945-a57e-91bf3608f1b4,libs/foundry/records/entities/commodities/alloys/steel.xml
xapyen,items_commodities_xapyen,items_commodities_xapyen_desc,items_commodities_xapyen,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,3393705c-a2ca-41fa-a4e8-97abe75faacc,SCentiCargoUnit,1,0.01,1,0,,,,,,0da39bc8-5174-43ac-afd3-3f4670e1906c,libs/foundry/records/entities/commodities/alloys/xapyen.xml
xapyen,items_commodities_xapyen,items_commodities_xapyen_desc,items_commodities_xapyen,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,3393705c-a2ca-41fa-a4e8-97abe75faacc,SCentiCargoUnit,1,0.01,1,0,,,,,,0da39bc8-5174-43ac-afd3-3f4670e1906c,libs/foundry/records/entities/commodities/alloys/xapyen.xml
ConstructionMaterials,items_commodities_ConstructionMaterials,items_commodities_ConstructionMaterials_desc,items_commodities_ConstructionMaterials,LOC_UNINITIALIZED,items_commodities_ConsumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,ba280f91-1169-40c2-ba18-bc2abb74d58e,SCentiCargoUnit,1,0.01,1,0,,,,,,383e3a8d-2b9a-4550-81fb-5700b7344ced,libs/foundry/records/entities/commodities/consumergoods/constructionmaterials.xml
ConstructionMaterials,items_commodities_ConstructionMaterials,items_commodities_ConstructionMaterials_desc,items_commodities_ConstructionMaterials,LOC_UNINITIALIZED,items_commodities_ConsumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,ba280f91-1169-40c2-ba18-bc2abb74d58e,SCentiCargoUnit,1,0.01,1,0,,,,,,383e3a8d-2b9a-4550-81fb-5700b7344ced,libs/foundry/records/entities/commodities/consumergoods/constructionmaterials.xml
ElectronicsEquipment,items_commodities_AudioVisualEquipment,items_commodities_AudioVisualEquipment_desc,items_commodities_AudioVisualEquipment,LOC_UNINITIALIZED,items_commodities_ConsumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,1634d5c4-81fc-4fcd-8c11-3ad00cf7db62,SCentiCargoUnit,1,0.01,1,0,,,,,,7d6416a5-7ec4-4fec-9a07-ae88a5e2ee98,libs/foundry/records/entities/commodities/consumergoods/electronicsequipment.xml
ElectronicsEquipment,items_commodities_AudioVisualEquipment,items_commodities_AudioVisualEquipment_desc,items_commodities_AudioVisualEquipment,LOC_UNINITIALIZED,items_commodities_ConsumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,1634d5c4-81fc-4fcd-8c11-3ad00cf7db62,SCentiCargoUnit,1,0.01,1,0,,,,,,7d6416a5-7ec4-4fec-9a07-ae88a5e2ee98,libs/foundry/records/entities/commodities/consumergoods/electronicsequipment.xml
HLX99Hyperprocessors,items_commodities_HLX99Hyperprocessors,items_commodities_HLX99Hyperprocessors_desc,items_commodities_HLX99Hyperprocessors,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,389aaf24-36f9-408e-94b1-ce977167231e,SCentiCargoUnit,1,0.01,1,0,,,,,,1da71ac6-b728-4a16-81ee-b5cedc465431,libs/foundry/records/entities/commodities/consumergoods/hlx99hyperprocessors.xml
HLX99Hyperprocessors,items_commodities_HLX99Hyperprocessors,items_commodities_HLX99Hyperprocessors_desc,items_commodities_HLX99Hyperprocessors,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,389aaf24-36f9-408e-94b1-ce977167231e,SCentiCargoUnit,1,0.01,1,0,,,,,,1da71ac6-b728-4a16-81ee-b5cedc465431,libs/foundry/records/entities/commodities/consumergoods/hlx99hyperprocessors.xml
OsoianHides,items_commodities_OsoianHides,items_commodities_osionHides_desc,items_commodities_OsoianHides,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,37c3dff8-548a-48b7-9d83-ae50f7d3d31c,SCentiCargoUnit,1,0.01,1,0,,,,,,d1120c0f-2060-429a-b120-34825a16e3e0,libs/foundry/records/entities/commodities/consumergoods/osoianhides.xml
OsoianHides,items_commodities_OsoianHides,items_commodities_osionHides_desc,items_commodities_OsoianHides,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,37c3dff8-548a-48b7-9d83-ae50f7d3d31c,SCentiCargoUnit,1,0.01,1,0,,,,,,d1120c0f-2060-429a-b120-34825a16e3e0,libs/foundry/records/entities/commodities/consumergoods/osoianhides.xml
PartyFavors,items_commodities_Fireworks,items_commodities_Fireworks_desc,items_commodities_Fireworks,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,3cb8d291-26c9-46fb-b68b-4ef601099102,SCentiCargoUnit,1,0.01,1,0,,,,,,ccd2081c-25e8-46ba-9013-853ee1284554,libs/foundry/records/entities/commodities/consumergoods/partyfavors.xml
PartyFavors,items_commodities_Fireworks,items_commodities_Fireworks_desc,items_commodities_Fireworks,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,3cb8d291-26c9-46fb-b68b-4ef601099102,SCentiCargoUnit,1,0.01,1,0,,,,,,ccd2081c-25e8-46ba-9013-853ee1284554,libs/foundry/records/entities/commodities/consumergoods/partyfavors.xml
Procyon_canister_damage,items_commodities_acryliplex,items_commodities_acryliplex_desc,items_commodities_acryliplex,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,12d7a202-da6c-4e4d-b442-d1c36116d18b,SStandardCargoUnit,,0,1,0,,,,,,d92c2f26-75e3-45b3-9df6-84c3cec72d8a,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_damage.xml
Procyon_canister_damage,items_commodities_acryliplex,items_commodities_acryliplex_desc,items_commodities_acryliplex,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,12d7a202-da6c-4e4d-b442-d1c36116d18b,SStandardCargoUnit,,0,1,0,,,,,,d92c2f26-75e3-45b3-9df6-84c3cec72d8a,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_damage.xml
Procyon_canister_quantum,items_commodities_diluthermex,items_commodities_diluthermex_desc,items_commodities_diluthermex,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,cb983dd9-de13-4149-bab8-afe9049f828d,SStandardCargoUnit,,0,1,0,,,,,,84b92a6a-8c34-4b4c-b8be-88f6ecf03626,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_quantum.xml
Procyon_canister_quantum,items_commodities_diluthermex,items_commodities_diluthermex_desc,items_commodities_diluthermex,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,cb983dd9-de13-4149-bab8-afe9049f828d,SStandardCargoUnit,,0,1,0,,,,,,84b92a6a-8c34-4b4c-b8be-88f6ecf03626,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_quantum.xml
Procyon_canister_time,items_commodities_zetaprolanide,items_commodities_zetaprolanide_desc,items_commodities_zetaprolanide,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,78069bf4-6552-4566-a25e-f3faa2a8ec3b,SStandardCargoUnit,,0,1,0,,,,,,6cff1dcd-b2f7-4e4f-ba48-ffa884184b37,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_time.xml
Procyon_canister_time,items_commodities_zetaprolanide,items_commodities_zetaprolanide_desc,items_commodities_zetaprolanide,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,78069bf4-6552-4566-a25e-f3faa2a8ec3b,SStandardCargoUnit,,0,1,0,,,,,,6cff1dcd-b2f7-4e4f-ba48-ffa884184b37,libs/foundry/records/entities/commodities/consumergoods/procyon_canister_time.xml
RedfinEnergyModulator,items_commodities_RedfinEnergyModulator,items_commodities_RedfinEnergyModulator_desc,items_commodities_RedfinEnergyModulator,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,8c04bdf5-a35e-444f-b3c1-08ebb54a0fb5,SCentiCargoUnit,1,0.01,1,0,,,,,,1d33767e-d9af-449c-a717-7e4de02f00b3,libs/foundry/records/entities/commodities/consumergoods/redfinenergymodulator.xml
RedfinEnergyModulator,items_commodities_RedfinEnergyModulator,items_commodities_RedfinEnergyModulator_desc,items_commodities_RedfinEnergyModulator,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,8c04bdf5-a35e-444f-b3c1-08ebb54a0fb5,SCentiCargoUnit,1,0.01,1,0,,,,,,1d33767e-d9af-449c-a717-7e4de02f00b3,libs/foundry/records/entities/commodities/consumergoods/redfinenergymodulator.xml
Souvenirs,items_commodities_Souvenirs,items_commodities_Souvenirs_desc,items_commodities_Souvenirs,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,34d33e68-528c-47a0-8350-4b722849f407,SCentiCargoUnit,1,0.01,1,0,,,,,,1bf49100-2d23-4e72-8afe-764f9610828b,libs/foundry/records/entities/commodities/consumergoods/souvenirs.xml
Souvenirs,items_commodities_Souvenirs,items_commodities_Souvenirs_desc,items_commodities_Souvenirs,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,34d33e68-528c-47a0-8350-4b722849f407,SCentiCargoUnit,1,0.01,1,0,,,,,,1bf49100-2d23-4e72-8afe-764f9610828b,libs/foundry/records/entities/commodities/consumergoods/souvenirs.xml
LifeCureMedsticks,items_commodities_LifeCureMedSticks,items_commodities_LifeCureMedSticks_desc,items_commodities_RedfinEnergyModulator,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,32a51c2c-7f02-46a3-9935-00edca75c784,SCentiCargoUnit,1,0.01,1,0,,,,,,0df1df2d-6b65-4331-9394-3908953cd279,libs/foundry/records/entities/commodities/counterfeit/lifecuremedsticks.xml
LifeCureMedsticks,items_commodities_LifeCureMedSticks,items_commodities_LifeCureMedSticks_desc,items_commodities_RedfinEnergyModulator,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,32a51c2c-7f02-46a3-9935-00edca75c784,SCentiCargoUnit,1,0.01,1,0,,,,,,0df1df2d-6b65-4331-9394-3908953cd279,libs/foundry/records/entities/commodities/counterfeit/lifecuremedsticks.xml
mobyGlassPersonalComputers,items_commodities_mobyGlass,items_commodities_mobyGlass_desc,items_commodities_mobyGlass,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,4dc92f1a-a4d6-4711-827d-e1756b73133f,SCentiCargoUnit,1,0.01,1,0,,,,,,b294c88b-b988-4413-94bc-70f71f9401f6,libs/foundry/records/entities/commodities/counterfeit/mobyglasspersonalcomputers.xml
mobyGlassPersonalComputers,items_commodities_mobyGlass,items_commodities_mobyGlass_desc,items_commodities_mobyGlass,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,4dc92f1a-a4d6-4711-827d-e1756b73133f,SCentiCargoUnit,1,0.01,1,0,,,,,,b294c88b-b988-4413-94bc-70f71f9401f6,libs/foundry/records/entities/commodities/counterfeit/mobyglasspersonalcomputers.xml
RS1OdyseySpacesuits,items_commodities_RS1OdyseySpacesuits,items_commodities_RS1OdyseySpacesuits_desc,items_commodities_RS1OdyseySpacesuits,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,aa891314-7cf3-4d0e-b7c4-1a0898efb015,SCentiCargoUnit,1,0.01,1,0,,,,,,6007e444-0a50-483b-b787-59047e6b0121,libs/foundry/records/entities/commodities/counterfeit/rs1odyseyspacesuits.xml
RS1OdyseySpacesuits,items_commodities_RS1OdyseySpacesuits,items_commodities_RS1OdyseySpacesuits_desc,items_commodities_RS1OdyseySpacesuits,LOC_UNINITIALIZED,items_commodities_type_consumerGoods,d8451c7f-aeb5-49c5-9e71-ef123ea03fba,aa891314-7cf3-4d0e-b7c4-1a0898efb015,SCentiCargoUnit,1,0.01,1,0,,,,,,6007e444-0a50-483b-b787-59047e6b0121,libs/foundry/records/entities/commodities/counterfeit/rs1odyseyspacesuits.xml
Commodities_Drink_bottle_beer_01_smoltz_a,item_NameDrink_bottle_beer_01_smoltz_a,item_DescDrink_bottle_beer_01_smoltz_a,item_NameDrink_bottle_beer_01_smoltz_a,item_DescDrink_bottle_beer_01_smoltz_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,a229daf9-de60-4660-be05-bd7dc5457b88,SMicroCargoUnit,890,0.00089,1,0,,,,,,cd39e5b6-1168-4c52-ada4-e68580f1904d,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_beer_01_smoltz_a.xml
Commodities_Drink_bottle_beer_01_smoltz_a,item_NameDrink_bottle_beer_01_smoltz_a,item_DescDrink_bottle_beer_01_smoltz_a,item_NameDrink_bottle_beer_01_smoltz_a,item_DescDrink_bottle_beer_01_smoltz_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,a229daf9-de60-4660-be05-bd7dc5457b88,SMicroCargoUnit,890,0.00089,1,0,,,,,,cd39e5b6-1168-4c52-ada4-e68580f1904d,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_beer_01_smoltz_a.xml
Commodities_Drink_bottle_cruz_01_a,item_NameDrink_bottle_cruz_01_a,item_DescDrink_bottle_cruz_01_a,item_NameDrink_bottle_cruz_01_a,item_DescDrink_bottle_cruz_01_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,1d60c9f4-53f8-43c3-9d17-54efbb7224c9,SMicroCargoUnit,860,0.00086,1,0,,,,,,0881f6c5-70a3-4965-a919-0235afd2600e,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_a.xml
Commodities_Drink_bottle_cruz_01_a,item_NameDrink_bottle_cruz_01_a,item_DescDrink_bottle_cruz_01_a,item_NameDrink_bottle_cruz_01_a,item_DescDrink_bottle_cruz_01_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,1d60c9f4-53f8-43c3-9d17-54efbb7224c9,SMicroCargoUnit,860,0.00086,1,0,,,,,,0881f6c5-70a3-4965-a919-0235afd2600e,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_a.xml
Commodities_Drink_bottle_cruz_01_dark_a,item_NameDrink_bottle_cruz_01_dark_a,item_DescDrink_bottle_cruz_01_dark_a,item_NameDrink_bottle_cruz_01_dark_a,item_DescDrink_bottle_cruz_01_dark_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,903841f0-20aa-4150-9c71-e6624b6146fb,SMicroCargoUnit,860,0.00086,1,0,,,,,,10a175fc-09a8-4fae-bbaf-0b3e47c380d2,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_dark_a.xml
Commodities_Drink_bottle_cruz_01_dark_a,item_NameDrink_bottle_cruz_01_dark_a,item_DescDrink_bottle_cruz_01_dark_a,item_NameDrink_bottle_cruz_01_dark_a,item_DescDrink_bottle_cruz_01_dark_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,903841f0-20aa-4150-9c71-e6624b6146fb,SMicroCargoUnit,860,0.00086,1,0,,,,,,10a175fc-09a8-4fae-bbaf-0b3e47c380d2,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_dark_a.xml
Commodities_Drink_bottle_cruz_01_lux_a,item_NameDrink_bottle_cruz_01_lux_a,item_DescDrink_bottle_cruz_01_lux_a,item_NameDrink_bottle_cruz_01_lux_a,item_DescDrink_bottle_cruz_01_lux_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,ba7709c7-8e19-48da-8bc5-aaf7c0331119,SMicroCargoUnit,860,0.00086,1,0,,,,,,1a8bcd97-dbc6-4b22-a47a-a5c05ab17fa3,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_lux_a.xml
Commodities_Drink_bottle_cruz_01_lux_a,item_NameDrink_bottle_cruz_01_lux_a,item_DescDrink_bottle_cruz_01_lux_a,item_NameDrink_bottle_cruz_01_lux_a,item_DescDrink_bottle_cruz_01_lux_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,ba7709c7-8e19-48da-8bc5-aaf7c0331119,SMicroCargoUnit,860,0.00086,1,0,,,,,,1a8bcd97-dbc6-4b22-a47a-a5c05ab17fa3,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_lux_a.xml
Commodities_Drink_bottle_cruz_01_pulse_a,item_NameDrink_bottle_cruz_01_pulse_a,item_DescDrink_bottle_cruz_01_pulse_a,item_NameDrink_bottle_cruz_01_pulse_a,item_DescDrink_bottle_cruz_01_pulse_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,86260737-4e77-47ab-a497-4dafdd0aaf1c,SMicroCargoUnit,860,0.00086,1,0,,,,,,0f2aa208-0e7c-485a-b678-264ff1415acb,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_pulse_a.xml
Commodities_Drink_bottle_cruz_01_pulse_a,item_NameDrink_bottle_cruz_01_pulse_a,item_DescDrink_bottle_cruz_01_pulse_a,item_NameDrink_bottle_cruz_01_pulse_a,item_DescDrink_bottle_cruz_01_pulse_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,86260737-4e77-47ab-a497-4dafdd0aaf1c,SMicroCargoUnit,860,0.00086,1,0,,,,,,0f2aa208-0e7c-485a-b678-264ff1415acb,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_cruz_01_pulse_a.xml
Commodities_Drink_bottle_gg_01_a,item_NameDrink_bottle_gg_01_a,item_DescDrink_bottle_gg_01_a,item_NameDrink_bottle_gg_01_a,item_DescDrink_bottle_gg_01_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,ab0ca646-a53b-4a89-ae70-f917d13933cf,SMicroCargoUnit,1100,0.0011,1,0,,,,,,c111c81c-08cc-401d-9590-3983fbf87a28,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_a.xml
Commodities_Drink_bottle_gg_01_a,item_NameDrink_bottle_gg_01_a,item_DescDrink_bottle_gg_01_a,item_NameDrink_bottle_gg_01_a,item_DescDrink_bottle_gg_01_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,ab0ca646-a53b-4a89-ae70-f917d13933cf,SMicroCargoUnit,1100,0.0011,1,0,,,,,,c111c81c-08cc-401d-9590-3983fbf87a28,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_a.xml
Commodities_Drink_bottle_gg_01_detox_a,item_NameDrink_bottle_gg_01_detox_a,item_DescDrink_bottle_gg_01_detox_a,item_NameDrink_bottle_gg_01_detox_a,item_DescDrink_bottle_gg_01_detox_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,90cb0959-b9a6-4891-8bc5-4b063656253e,SMicroCargoUnit,1100,0.0011,1,0,,,,,,4849bf08-ff35-4852-8037-3c91d82b6a7f,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_detox_a.xml
Commodities_Drink_bottle_gg_01_detox_a,item_NameDrink_bottle_gg_01_detox_a,item_DescDrink_bottle_gg_01_detox_a,item_NameDrink_bottle_gg_01_detox_a,item_DescDrink_bottle_gg_01_detox_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,90cb0959-b9a6-4891-8bc5-4b063656253e,SMicroCargoUnit,1100,0.0011,1,0,,,,,,4849bf08-ff35-4852-8037-3c91d82b6a7f,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_detox_a.xml
Commodities_Drink_bottle_gg_01_garden_a,item_NameDrink_bottle_gg_01_garden_a,item_DescDrink_bottle_gg_01_garden_a,item_NameDrink_bottle_gg_01_garden_a,item_DescDrink_bottle_gg_01_garden_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,0bb3596f-145d-4951-8be4-ef54793e3f70,SMicroCargoUnit,1100,0.0011,1,0,,,,,,e8871ec7-bc24-41d8-8c44-e46a1c7a1107,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_garden_a.xml
Commodities_Drink_bottle_gg_01_garden_a,item_NameDrink_bottle_gg_01_garden_a,item_DescDrink_bottle_gg_01_garden_a,item_NameDrink_bottle_gg_01_garden_a,item_DescDrink_bottle_gg_01_garden_a,items_commodities_type_drink,602269e1-6e26-457d-b251-02ec4acb3f37,0bb3596f-145d-4951-8be4-ef54793e3f70,SMicroCargoUnit,1100,0.0011,1,0,,,,,,e8871ec7-bc24-41d8-8c44-e46a1c7a1107,libs/foundry/records/entities/commodities/food/commodities_drink_bottle_gg_01_garden_a.xml
