Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Yaw Speed,Yaw Time To Full Speed,Yaw Accel Decay,Pitch Speed,Pitch Time To Full Speed,Pitch Accel Decay
aegs_idris_scitem_turret_lower_short_right_stanton,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower_short_right,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower_short,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_front_left_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_front_left,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_front_right_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_front_right,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_front,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_left_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_left_stanton,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_left,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_right_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_right_stanton,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_rear_right,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_stanton_left,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_stanton_right,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper_stanton,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_upper,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_turret_pdc_scitem_01,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_02,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_03,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_04,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_05,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_06,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_07,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_08,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_09,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_10,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_11,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_idris_turret_pdc_scitem_template,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,270,0.3,5,180,0.3,5
aegs_idris_turret_pdc,item_Name_Turret_Remote,,,AEGS,9,1,PDCTurret,1500,290,0.3,15,225,0.3,15
aegs_javelin_scitem_turret_large_invulnerable,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,8,1,GunTurret,25000,10,0.3,5,10,0.3,5
aegs_javelin_scitem_turret_large,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,8,1,GunTurret,25000,10,0.3,5,10,0.3,5
aegs_javelin_scitem_turret_lower_manned_invulnerable,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_lower_manned_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_lower_manned,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_manned_invulnerable,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_manned_left_invulnerable,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_manned_left,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_manned_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_scitem_turret_manned,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,20000,35,0.3,5,35,0.3,5
aegs_javelin_side_turret_invulnerable,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,5000,25,0.3,5,25,0.3,5
aegs_javelin_side_turret_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,5000,25,0.3,5,25,0.3,5
aegs_javelin_side_turret_player_c01,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,80000,25,0.3,5,25,0.3,5
aegs_javelin_side_turret,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,5000,25,0.3,5,25,0.3,5
aegs_reclaimer_scitem_remote_salvage_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,Utility,4000,15,0.3,5,15,0.3,5
aegs_reclaimer_scitem_remote_salvage_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,Utility,4000,15,0.3,5,15,0.3,5
aegs_reclaimer_scitem_remote_salvage_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,4000,15,0.3,5,15,0.3,5
aegs_reclaimer_scitem_remote_turret_02,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_bottom,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_front_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_front_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_rear_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_rear_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret_top,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_reclaimer_scitem_turret,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_reclaimer_tractor_beam,item_Name_Turret_Remote,,,AEGS,5,1,MannedTurret,3000,120,0.3,18,120,0.3,18
aegs_redeemer_front_scitem_turret,item_Name_Turret_Manned,,,AEGS,4,1,MannedTurret,12500,95,0.3,18,95,0.3,18
aegs_redeemer_rear_scitem_turret,item_Name_Turret_Manned,,,AEGS,4,1,MannedTurret,12500,95,0.3,18,95,0.3,18
aegs_redeemer_scitem_remote_turret_front,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,3,1,GunTurret,8500,95,0.3,18,95,0.3,18
aegs_redeemer_scitem_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,3,1,GunTurret,8500,95,0.3,18,120,0.3,18
aegs_retaliator_scitem_turret_lower_rear,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
aegs_retaliator_scitem_turret_lower,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
aegs_retaliator_scitem_turret_upper_rear_left,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
aegs_retaliator_scitem_turret_upper_rear_right,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
aegs_retaliator_scitem_turret_upper,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
aegs_tiburon_scitem_remote_turret_front_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
aegs_tiburon_scitem_remote_turret_front_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
aegs_tiburon_scitem_remote_turret_mid_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
aegs_tiburon_scitem_remote_turret_mid_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
aegs_tiburon_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
aegs_vanguard_harbinger_scitem_turret,item_Name_Turret_Manned,,,AEGS,6,1,MannedTurret,5000,95,0.3,18,95,0.3,18
aegs_vanguard_scitem_turret,item_Name_Turret_Manned,,,AEGS,6,1,MannedTurret,5000,95,0.3,18,95,0.3,18
anvl_asgard_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12000,95,0.3,18,95,0.3,18
anvl_asgard_scitem_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12000,95,0.3,18,95,0.3,18
anvl_asgard_turret_bubble,item_Name_Turret_Manned,,,ANVL,4,1,MannedTurret,8200,80,0.3,18,80,0.3,18
anvl_carrack_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12500,95,0.3,18,95,0.3,18
anvl_carrack_scitem_turret_bubble,item_Name_Turret_Manned,,,ANVL,5,1,MannedTurret,12500,95,0.3,18,95,0.3,18
anvl_carrack_scitem_turret_side_left,item_Name_Turret_Manned,,,ANVL,5,1,MannedTurret,12500,95,0.3,18,95,0.3,18
anvl_carrack_scitem_turret_side_right,item_Name_Turret_Manned,,,ANVL,5,1,MannedTurret,12500,95,0.3,18,95,0.3,18
anvl_carrack_scitem_turret_side,item_Name_Turret_Manned,,,ANVL,5,1,MannedTurret,12500,95,0.3,18,95,0.3,18
anvl_gladiator_scitem_turret,item_Name_Turret_Manned,,,ANVL,6,1,MannedTurret,5000,95,0.3,18,95,0.3,5
anvl_hurricane_scitem_turret,item_Name_Turret_Manned,,,ANVL,5,1,MannedTurret,5000,95,0.3,18,95,0.3,18
anvl_paladin_scitem_remote_turret_large,item_Name_Turret_Remote,,item_Name_Turret_Remote,RSI,6,1,GunTurret,13000,95,0.3,18,95,0.3,18
anvl_paladin_scitem_remote_turret_left_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
anvl_paladin_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
anvl_paladin_scitem_remote_turret_middle,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
anvl_paladin_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,5500,120,0.3,18,120,0.3,18
anvl_terrapin_remote_turret_scanner,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,3,1,TopTurret,1500,120,0.3,18,95,0.3,5
anvl_terrapin_support_scanner,,,item_DescBEHR_PC2_Dual_S4,ANVL,3,1,,1500,90,0.3,18,95,0.3,18
anvl_terrapin_support_turret,item_Name_Turret_Manned,,,ANVL,1,1,TopTurret,2500,120,0.3,18,95,0.3,5
anvl_valkyrie_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12000,95,0.3,18,95,0.3,18
anvl_valkyrie_scitem_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12000,95,0.3,18,95,0.3,18
anvl_valkyrie_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ANVL,5,1,GunTurret,12000,95,0.3,18,95,0.3,18
anvl_valkyrie_turret_bubble,item_Name_Turret_Manned,,,ANVL,4,1,MannedTurret,8000,95,0.3,18,95,0.3,18
anvl_valkyrie_turret_door_left,itemPort_hardpoint_turret,,,ANVL,3,1,MannedTurret,1000,95,0.3,5,95,0.3,5
anvl_valkyrie_turret_door_right,itemPort_hardpoint_turret,,,ANVL,3,1,MannedTurret,1000,95,0.3,5,95,0.3,5
anvl_valkyrie_turret_door,itemPort_hardpoint_turret,,,ANVL,3,1,MannedTurret,1000,95,0.3,5,95,0.3,5
anvl_valkyrie_turret_top_citizencon,item_Name_Turret_Manned,,,,4,1,MannedTurret,4500,95,0.3,18,95,0.3,18
anvl_valkyrie_turret_top,item_Name_Turret_Manned,,,,4,1,MannedTurret,4500,95,0.3,18,95,0.3,18
argo_mole_turret_front,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_mole_turret_left,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_mole_turret_right,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_moth_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,MissileTurret,12500,95,0.3,18,95,0.3,18
argo_moth_turret_front,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_moth_turret_left,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_moth_turret_right,item_Name_Turret_Manned,,,ARGO,4,1,MannedTurret,2000,95,0.3,18,95,0.3,18
argo_mpuv_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,GunTurret,2500,120,0.3,5,120,0.3,5
argo_raft_scitem_remote_turret_tractor,item_Name_Turret_Remote,,item_Name_Turret_Remote,RSI,4,1,GunTurret,,120,0.3,18,120,0.3,18
argo_raft_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,GunTurret,6500,120,0.3,18,120,0.3,18
argo_srv_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,1,1,Utility,6500,25,0.3,5,25,0.3,5
cnou_nomad_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,GunTurret,2500,120,0.3,5,120,0.3,5
crus_spirit_scitem_remote_turret_tractor,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,1,1,GunTurret,3000,95,0.3,18,95,0.3,18
crus_spirit_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,1,1,GunTurret,6000,95,0.3,18,95,0.3,18
crus_star_runner_turret_bottom,item_Name_Turret_Manned,,,CRUS,1,1,MannedTurret,8000,95,0.3,18,95,0.3,18
crus_star_runner_turret_top,item_Name_Turret_Manned,,,CRUS,1,1,MannedTurret,8000,95,0.3,18,95,0.3,18
crus_starlifter_bomb_turret,item_Name_Turret_Remote,,item_Desc_Turret_Remote,CRUS,5,1,GunTurret,1500,75,0.3,18,75,0.3,18
crus_starlifter_scitem_remote_turret_dual,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,6,1,GunTurret,12500,95,0.3,18,95,0.3,18
crus_starlifter_scitem_remote_turret_front_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,95,0.3,18,95,0.3,18
crus_starlifter_scitem_remote_turret_front_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,95,0.3,18,95,0.3,18
crus_starlifter_scitem_remote_turret_main_a2,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,120,0.3,18,120,0.3,18
crus_starlifter_scitem_remote_turret_main,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,120,0.3,18,120,0.3,18
crus_starlifter_scitem_remote_turret_nose,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,120,0.3,18,120,0.3,18
crus_starlifter_scitem_remote_turret_rear_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,6,1,GunTurret,12500,95,0.3,18,95,0.3,18
crus_starlifter_scitem_remote_turret_rear_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,6,1,GunTurret,12500,95,0.3,18,95,0.3,18
crus_starlifter_scitem_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,120,0.3,18,120,0.3,18
crus_starlifter_scitem_remote_turret_single,item_Name_Turret_Remote,,item_Name_Turret_Remote,CRUS,5,1,GunTurret,12500,95,0.3,18,95,0.3,18
drak_caterpillar_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,2,1,GunTurret,5000,120,0.3,5,120,0.3,5
drak_caterpillar_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,GunTurret,5000,120,0.3,5,120,0.3,5
drak_caterpillar_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,ARGO,4,1,GunTurret,5000,120,0.3,5,120,0.3,5
drak_caterpillar_scitem_turret_bottom,item_Name_Turret_Manned,,,DRAK,6,1,MannedTurret,12500,95,0.3,18,95,0.3,18
drak_caterpillar_scitem_turret_top,item_Name_Turret_Manned,,,DRAK,6,1,MannedTurret,12500,95,0.3,18,95,0.3,18
drak_command_module_remote_turret_tractor_beam,item_Name_Tractor_Beam,,item_displayType_TractorBeam,DRAK,2,1,Utility,5000,120,0.3,5,120,0.3,5
drak_command_module_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,DRAK,4,1,GunTurret,5000,90,0.3,5,90,0.3,5
drak_corsair_remote_turret_tail,item_Name_Turret_Remote,,item_Name_Turret_Remote,DRAK,4,1,TopTurret,6000,120,0.3,5,120,0.3,5
drak_corsair_turret_manned,item_Name_Turret_Manned,,,DRAK,1,1,MannedTurret,6000,120,0.3,5,120,0.3,5
drak_cutlass_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,DRAK,4,1,GunTurret,5000,120,0.3,5,120,0.3,5
drak_cutlass_scitem_turret_black,item_Name_Turret_Manned,,,DRAK,5,1,MannedTurret,5000,95,0.3,18,95,0.3,18
drak_cutlass_scitem_turret_blue,item_Name_Turret_Manned,,,DRAK,5,1,MannedTurret,5000,95,0.3,18,95,0.3,18
drak_golem_ox_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,DRAK,4,1,GunTurret,2500,120,0.3,5,120,0.3,5
drak_ironclad_mannedturret_bottom_assault,item_Name_Turret_Manned,,,DRAK,5,1,MannedTurret,15000,60,0.4,6,60,0.4,6
drak_ironclad_mannedturret_bottom,item_Name_Turret_Manned,,,DRAK,5,1,MannedTurret,15000,60,0.4,6,60,0.4,6
