Size,Name,Manufacturer,Type,Damage Sustained (60s),Damage Burst,Damage Alpha,Damage Maximum,Damage Alpha Physical,Damage Alpha Energy,Damage Alpha Distortion,Damage RPM,Ammo Speed,Ammo Lifetime,Ammo Range,Ammo Quantity,Ammo Spread,Ammo Explosion Radius,Ammo Pellet Per Shot,Ammo Penetration Base Distance,Ammo Penetration Near Radius,Ammo Penetration Far Radius,Barrel Spin Time Up,Barrel Spin Time Down,Heat Per Shot,Heat Cooling Delay,Heat Cooling sec.,Overheat Max Round,Overheat Max Time,Overheat Cooldown,Capacitor Max Ammo,Capacitor Max Regen sec.,Capacitor Cooldown,Charge Action Charge Time,Charge Action Overcharge,Charge Action Overcharged,Charge Action Cooldown,Charge Modifiers Damage,Charge Modifiers Fire Rate,Charge Modifiers Ammo Speed,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit,Power Segment Usage Active,Power Segment Usage Min,Health,Damage Multipliers Max,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Lifetime,Self Repair Stun,Self Repair Use,Self Repair Time to Repair,Mass,K µSCU
4,Axiom L-22 Repeater,Kruger Intergalatic,Laser Repeater,506.5,779.2,85,∞,0,85,0,550,1 650,1.82,3 003,∞,0.55 - 0.55,,1,1,0.05,0.1,,,,,,,,,75,15,0.25,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1.2,1 650,0.6,1,1,1,1,1,,1,12.5,20%,280,2 100
4,Breakneck S4 Gatling,Grey's Market,Ballistic Gatling,667.3,953.3,52,546 000,52,0,0,1 100,1 450,2.07,3 001,10 500,0.62 - 0.62,,1,2.2,0.11,0.22,1,1.25,0.5,0.5,20,200,10.9,6,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,1 800,0.6,1,1,1,1,1,,1,10.3,20%,350,756
1,BRRA LaserCannon AP AutomatedTurret (Point Defense Turret),Broad & Rabiee,Laser Cannon,14.6,16,8,∞,0,8,0,120,1 000,2,2 000,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,75,15,0.25,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1,100,0.6,1,1,1,1,1,,1,17.6,20%,,0.001
2,BRVS Repeater,Behring,Ballistic Repeater,413.8,450,54,142 398,54,0,0,500,1 320,1.75,2 310,2 637,0.57 - 0.57,,1,0.88,0.04,0.09,,,0.727,0.346,37.3,138,16.6,1.61,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
4,C-788 Cannon,Behring,Ballistic Cannon,251.3,270.8,325,87 750,325,0,0,50,900,7.25,6 525,270,0.2 - 0.2,,1,6.6,0.33,0.66,,,12,0.84,25.4,36,43.2,4.32,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,63.4,20%,2 250,2 100
1,CF-117 Bulldog Repeater,Klaus & Werner,Laser Repeater,114.4,218.8,17.5,∞,0,17.5,0,750,1 800,1.11,1 998,∞,0.6 - 0.6,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.726,,,,,,,,500 000,0,500 000,1s,152,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,24,84
1,CF-117 Bulldog Repeater (ATLS),Klaus & Werner,Laser Repeater,52.7,141.3,11.3,∞,0,11.3,0,750,750,0.3,225,∞,0.6 - 0.6,,1,0.3,0.02,0.03,,,,,,,,,70,7.43,0.726,,,,,,,,500 000,0,500 000,1s,152,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,24,84
2,CF-227 Badger Repeater,Klaus & Werner,Laser Repeater,170.5,328,26.2,∞,0,26.2,0,750,1 800,1.28,2 304,∞,0.6 - 0.6,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.762,,,,,,,,500 000,0,500 000,1s,203,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,20.6,20%,60,252
2,CF-227 Badger Repeater (Point Defense Cannon),Klaus & Werner,Laser Repeater,172.4,328,26.2,∞,0,26.2,0,750,1 800,1.28,2 304,∞,0.6 - 0.6,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.693,,,,,,,,500 000,0,500 000,1s,169,0.15,0,0,0.502,850,0.6,1,1,1,1,1,,1,20.6,20%,60,252
3,CF-337 Panther Repeater,Klaus & Werner,Laser Repeater,306.9,545.6,43.7,∞,0,43.7,0,750,1 800,1.44,2 592,∞,0.6 - 0.6,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.25,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1,1 500,0.6,1,1,1,1,1,,1,34,20%,200,756
4,CF-447 Rhino Repeater,Klaus & Werner,Laser Repeater,419.8,817.9,65.4,∞,0,65.4,0,750,1 800,1.67,3 006,∞,0.6 - 0.6,,1,1,0.05,0.1,,,,,,,,,75,15,0.84,,,,,,,,500 000,0,500 000,1s,304,0.15,0,0,0.9,1 650,0.6,1,1,1,1,1,,1,56.1,20%,375,2 100
5,CF-557 Galdereen Repeater,Klaus & Werner,Laser Repeater,625.8,1 227.4,98.2,∞,0,98.2,0,750,1 800,1.83,3 294,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,500 000,0,500 000,1s,354,0.15,0,0,1.05,2 640,0.6,1,1,1,1,1,,1,92.6,20%,938,4 200
5,CF-557 Galdereen Repeater (Idris),Klaus & Werner,Laser Repeater,4 779.7,9 375,750,∞,0,750,0,750,1 800,1.83,3 294,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,500 000,0,500 000,1s,354,0.15,0,0,1.05,78 000,0.6,1,1,1,1,1,,1,92.6,20%,938,4 200
5,CF-557 Galdereen Repeater (Point Defense Turret),Klaus & Werner,Laser Repeater,625.8,1 227.4,98.2,∞,0,98.2,0,750,1 800,1.83,3 294,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,,,,,354,0.15,0,0,1.05,,,,,,,,,,,,938,4 200
6,CF-667 Mammoth Repeater,Klaus & Werner,Laser Repeater,932.2,1 841.6,147.3,∞,0,147.3,0,750,1 800,2,3 600,∞,0.6 - 0.6,,1,2.5,0.13,0.25,,,,,,,,,75,15,0.926,,,,,,,,500 000,0,500 000,1s,405,0.15,0,0,1.2,4 224,0.6,1,1,1,1,1,,1,153,20%,2 340,7 560
6,Condemnation Distortion Scattergun,Preacher Armament,Distortion ScatterGun,1 040,1 040,1 040,∞,0,0,1 040,60,700,2,1 400,∞,4 - 4,20 - 25,8,2.8,0.14,0.28,,,,,,,,,75,15,0.421,,,,,,,,500 000,0,500 000,1s,660,0.15,0,0,1.6,4 224,0.6,1,1,1,1,1,,1,144,20%,4 690,7 560
7,Conqueror-7 (Idris),Behring,Ballistic Cannon,3 333.3,3 333.3,4 000,3 200 000,4 000,0,0,50,850,5.29,4 496,800,0.4 - 0.4,,1,23.1,1.16,2.31,,,5,0.6,5,50,60,10,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,285,20%,115,84
2,CVSA Cannon,Behring,Ballistic Cannon,270,405,162,52 974,162,0,0,150,1 320,1.75,2 310,327,0.45 - 0.45,,1,2.64,0.13,0.26,,,4,0.4,25,25,10,5,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,23.3,20%,360,252
1,Deadbolt I Cannon,Esperia,Ballistic Cannon,278.1,337.5,202.5,80 190,202.5,0,0,100,900,2.22,1 998,396,0.4 - 0.4,,1,1.98,0.1,0.2,,,6,0.605,22.3,17,10.2,2.64,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,17.6,20%,96,84
2,Deadbolt II Cannon,Esperia,Ballistic Cannon,409.5,505.5,303.3,119 196.9,303.3,0,0,100,900,2.56,2 304,393,0.4 - 0.4,,1,2.64,0.13,0.26,,,6,0.635,21.2,17,10.2,2.85,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,29.1,20%,240,252
3,Deadbolt III Cannon,Esperia,Ballistic Cannon,603.2,759,455.4,176 239.8,455.4,0,0,100,900,2.89,2 601,387,0.4 - 0.4,,1,4.95,0.25,0.5,,,6,0.667,20.2,17,10.2,3.08,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,48,20%,600,756
4,Deadbolt IV Cannon,Esperia,Ballistic Cannon,886.5,1 138.5,683.1,260 261.1,683.1,0,0,100,864,3.47,2 998,381,0.4 - 0.4,,1,6.6,0.33,0.66,,,6,0.7,19.2,17,10.2,3.32,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,79.2,20%,1 500,2 100
5,Deadbolt V Cannon,Esperia,Ballistic Cannon,1 298.5,1 707,1 024.2,377 929.8,1 024.2,0,0,100,828,3.99,3 304,369,0.4 - 0.4,,1,9.9,0.5,0.99,,,6,0.735,18.3,17,10.2,3.59,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,131,20%,3 750,4 200
6,Deadbolt VI Cannon,Esperia,Ballistic Cannon,1 899.3,2 562,1 537.2,544 168.8,1 537.2,0,0,100,792,4.55,3 604,354,0.4 - 0.4,,1,16.5,0.83,1.65,,,6,0.772,17.5,17,10.2,3.88,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,216,20%,9 380,7 560
10,Destroyer Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,9 610.7,9 610.7,288 320,432 480 000,288 320,0,0,2,5 000,2,10 000,1 500,0.2 - 0.2,,1,50.4,2.52,5.04,,,50,1,2,-12,-360,5,,,,10,5,25,20,2,1,1,500 000,0,500 000,1s,0,0.15,0,0,4.8,727 680,0.6,1,1,1,1,1,,1,1860,20%,700,120 000
1,Dominance-1 Scattergun,Hurston Dynamics,Laser ScatterGun,420,420,504,∞,0,504,0,50,1 000,2,2 000,∞,4 - 4,,8,0.24,0.01,0.02,,,,,,,,,75,15,0.33,,,,,,,,500 000,0,500 000,1s,248,0.15,0,0,0.6,1 550,0.6,1,1,1,1,1,,1,11.8,20%,48,84
2,Dominance-2 Scattergun,Hurston Dynamics,Laser ScatterGun,660,660,792,∞,0,792,0,50,1 000,2,2 000,∞,4 - 4,,8,0.32,0.02,0.03,,,,,,,,,75,15,0.346,,,,,,,,500 000,0,500 000,1s,330,0.15,0,0,0.8,1 550,0.6,1,1,1,1,1,,1,19.4,20%,120,252
3,Dominance-3 Scattergun,Hurston Dynamics,Laser ScatterGun,930,930,1 116,∞,0,1 116,0,50,1 000,2,2 000,∞,4 - 4,,8,0.6,0.03,0.06,,,,,,,,,75,15,0.364,,,,,,,,500 000,0,500 000,1s,413,0.15,0,0,1,1 550,0.6,1,1,1,1,1,,1,32,20%,300,756
6,Draugar Gatling,Apocalypse Arms,Ballistic Gatling,1 732.5,2 848,142.4,471 201.6,142.4,0,0,1 200,1 200,3,3 600,3 309,0.575 - 0.575,,1,5.5,0.28,0.55,0.494,0.989,0.686,0.833,28.8,146,7.3,4.91,,,,,,,,,,,500 000,0,500 000,1s,33,0.15,0,0.1,0.1,4 224,0.6,1,1,1,1,1,,1,138,20%,1 950,7 560
1,DR Model-XJ1 Repeater,PH Associated Science and Development,Distortion Repeater,106.8,149.9,25.7,∞,0,0,25.7,350,1 300,1.54,2 000,∞,0.5 - 0.5,15 - 25,1,0.42,0.02,0.04,,,,,,,,,75,15,0.75,,,,,,,,500 000,0,500 000,1s,167,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,9.99,20%,24,84
2,DR Model-XJ2 Repeater,PH Associated Science and Development,Distortion Repeater,160,224.6,38.5,∞,0,0,38.5,350,1 300,1.77,2 301,∞,0.5 - 0.5,18 - 28,1,0.56,0.03,0.06,,,,,,,,,75,15,0.75,,,,,,,,500 000,0,500 000,1s,223,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,16.5,20%,60,252
3,DR Model-XJ3 Repeater,PH Associated Science and Development,Distortion Repeater,240.6,337.8,57.9,∞,0,0,57.9,350,1 300,2,2 595,∞,0.5 - 0.5,20 - 30,1,1.05,0.05,0.11,,,,,,,,,75,15,0.75,,,,,,,,500 000,0,500 000,1s,278,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
2,EVSD Cannon,Behring,Distortion Cannon,104.1,202.5,81,∞,0,0,81,150,1 300,1.77,2 301,∞,0.45 - 0.45,18 - 28,1,1.68,0.08,0.17,,,,,,,,,25,3,1.39,,,,,,,,500 000,0,500 000,1s,594,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,23.3,20%,360,252
10,Exodus-10 Laser Beam,Hurston Dynamics,Laser Beam,15 000,15 000,,∞,,,,,,,5000,∞,,,,29.4,1.47,2.94,,,,,,,,,60,15,5,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1,750 000,0.6,1,1,1,1,1,100,1,1490,20%,,120 000
1,FL-11 Cannon,Kroneg,Laser Cannon,82.1,205.2,49.3,∞,0,49.3,0,250,1 800,1.11,1 998,∞,0.5 - 0.5,,1,0.9,0.05,0.09,,,,,,,,,25,3,1.6,,,,,,,,500 000,0,500 000,1s,408,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,19.4,20%,120,84
2,FL-22 Cannon,Kroneg,Laser Cannon,123.4,308.5,74,∞,0,74,0,250,1 800,1.28,2 304,∞,0.5 - 0.5,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.68,,,,,,,,500 000,0,500 000,1s,545,0.15,0,0,1.2,850,0.6,1,1,1,1,1,,1,32,20%,300,252
3,FL-33 Cannon,Kroneg,Laser Cannon,184.7,461.7,110.8,∞,0,110.8,0,250,1 800,1.44,2 592,∞,0.5 - 0.5,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.76,,,,,,,,500 000,0,500 000,1s,681,0.15,0,0,1.5,1 024,0.6,1,1,1,1,1,,1,52.8,20%,750,756
10,GVSR Repeater,Behring,Laser Repeater,100 333.3,145 833.3,25 000,∞,0,25 000,0,350,1 000,5,5 000,∞,0.5 - 0.5,,1,6,0.3,0.6,,,,,,,,,75,15,1.24,,,,,,,,500 000,0,500 000,1s,729,0.15,0,0,1.8,20 000,0.6,1,1,1,1,1,,1,906,20%,137 000,120 000
2,GVSR Repeater,Behring,Laser Repeater,414.1,581.7,99.7,∞,0,99.7,0,350,1 000,2.3,2 300,∞,0.5 - 0.5,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.762,,,,,,,,500 000,0,500 000,1s,289,0.15,0,0,0.713,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
1,Havoc Scattergun,Apocalypse Arms,Ballistic ScatterGun,374.4,374.4,374.4,763 776,374.4,0,0,60,1 000,2,2 000,2 040,4 - 4,,8,0.528,0.03,0.05,,,0,0.165,26.7,,,0.746,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,16.2,20%,60,84
1,Havoc Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,374.4,374.4,374.4,763 776,374.4,0,0,60,1 000,2,2 000,2 040,4 - 4,,8,0.528,0.03,0.05,,,0,0.165,26.7,,,0.746,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,16.2,20%,60,84
2,Hellion Scattergun,Apocalypse Arms,Ballistic ScatterGun,560,560,560,1 130 640,560,0,0,60,1 000,2,2 000,2 019,4 - 4,,8,0.704,0.04,0.07,,,0,0.173,25.4,,,0.805,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,26.7,20%,150,252
2,Hellion Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,560,560,560,1 130 640,560,0,0,60,1 000,2,2 000,2 019,4 - 4,,8,0.704,0.04,0.07,,,0,0.173,25.4,,,0.805,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,26.7,20%,150,252
1,Jericho,Hurston Dynamics,Rocket POD,150,150,150,1 800,150,0,0,60,700,3,2 100,12,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,500,1,1,1,1,1,1,1 440,,,,,84
2,Jericho X,Hurston Dynamics,Rocket POD,150,150,150,3 600,150,0,0,60,700,3,2 100,24,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,750,1,1,1,1,1,1,1 440,,,,,252
3,Jericho XL,FireStorm Kinetics,Rocket POD,150,150,150,2 700,150,0,0,60,700,3,2 100,18,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,280,756
3,Jericho XL,Hurston Dynamics,Rocket POD,150,150,150,5 400,150,0,0,60,700,3,2 100,36,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,280,756
5,Leonids Cannon,Roberts Space Industries,Ballistic Cannon,1 360,1 811.2,1 600,1 152 000,1 600,0,0,67.9,840,3.35,2 814,720,0.2 - 0.2,,1,9.9,0.5,0.99,,,6,1.2,12,17,15,6.5,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,2 500,0.6,1,1,1,1,1,,1,105,20%,510,4 200
1,Liberator,Thermyte Concern,Rocket POD,150,150,150,1 200,150,0,0,60,700,3,2 100,8,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,500,1,1,1,1,1,1,1 440,,,,,84
2,Liberator Prime,Thermyte Concern,Rocket POD,150,150,150,2 400,150,0,0,60,700,3,2 100,16,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,750,1,1,1,1,1,1,1 440,,,,,252
3,Liberator Ultra,Thermyte Concern,Rocket POD,150,150,150,3 600,150,0,0,60,700,3,2 100,24,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,,756
1,Lightstrike I Cannon,Esperia,Laser Cannon,82.1,205.2,49.3,∞,0,49.3,0,250,1 800,1.11,1 998,∞,0.5 - 0.5,,1,0.9,0.05,0.09,,,,,,,,,25,3,1.21,,,,,,,,500 000,0,500 000,1s,371,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,17.6,20%,96,84
