Faction Class,Name Key,Description Key,Default Reaction,Faction Type,Able To Arrest,Polices Lawful Trespass,Polices Criminality,No Legal Rights,Faction Reputation GUID,Faction Reputation Class,Faction Reputation Path,Reputation Display Name Key,Reputation Description Key,Reputation Headquarters Key,Reputation Founded Key,Reputation Leadership Key,Reputation Area Key,Reputation Focus Key,Reputation Lawful,Allied Faction GUIDs,Enemy Faction GUIDs,Record GUID,Record Path
Faction_Lawful_Civilian,Civilian_RepUI_Name,Civilian_RepUI_Description,Neutral,Lawful,0,0,0,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,dfb4d61e-65c1-4185-a204-e9583052d503,libs/foundry/records/factions/faction_lawful_civilian.xml
Faction_Lawful_ClovusDarneely,MissionGivers_ClovusDarneely,LOC_EMPTY,Neutral,Lawful,0,0,0,0,310b42d1-df0b-40fc-ae09-b7d7298a8480,FactionReputation_ClovusDarneely,libs/foundry/records/factions/factionreputation/factionreputation_clovusdarneely.xml,ClovusDarneely_RepUI_Name,ClovusDarneely_RepUI_Description,ClovusDarneely_RepUI_Headquarters,ClovusDarneely_RepUI_Founded,ClovusDarneely_RepUI_Leadership,ClovusDarneely_RepUI_Area,ClovusDarneely_RepUI_Focus,1,,06f294ce-5a79-49c3-88b9-e6ba023887a4,82ecc51d-7df1-41ba-b678-aab3b8fdfad0,libs/foundry/records/factions/faction_lawful_clovusdarneely.xml
Faction_Lawful_CrusaderIndustries,Crusader_RepUI_Name,Crusader_RepUI_Description,Neutral,Lawful,0,0,0,0,e2de0b2b-a385-4734-9c41-fc429aec01f1,FactionReputation_CrusaderIndustries,libs/foundry/records/factions/factionreputation/factionreputation_crusaderindustries.xml,Crusader_RepUI_Name,Crusader_RepUI_Description,Crusader_RepUI_Headquarters,Crusader_RepUI_Founded,Crusader_RepUI_Leadership,Crusader_RepUI_Area,Crusader_RepUI_Focus,1,,06f294ce-5a79-49c3-88b9-e6ba023887a4,b89d388c-622c-4c8b-8887-46681eb193c1,libs/foundry/records/factions/faction_lawful_crusaderindustries.xml
Faction_Lawful_HurstonDynamics,Hurston_RepUI_Name,Hurston_RepUI_Description,Neutral,Lawful,0,0,0,0,66bfae03-86c1-4982-977b-09bfcfc05e1a,FactionReputation_HurstonDynamics,libs/foundry/records/factions/factionreputation/factionreputation_hurstondynamics.xml,Hurston_RepUI_Name,Hurston_RepUI_Description,Hurston_RepUI_Headquarters,Hurston_RepUI_Founded,Hurston_RepUI_Leadership,Hurston_RepUI_Area,Hurston_RepUI_Focus,1,d6810f9d-7d39-414f-b2e6-3a641add15cb,06f294ce-5a79-49c3-88b9-e6ba023887a4,ab3bd2c5-60c2-4763-8589-0b0a318cf9b8,libs/foundry/records/factions/faction_lawful_hurstondynamics.xml
Faction_Lawful_MicroTech,microTech_RepUI_Name,microTech_RepUI_Description,Neutral,Lawful,0,0,0,0,306a1313-8638-431c-a9a9-d29302dc6a81,FactionReputation_MicroTech,libs/foundry/records/factions/factionreputation/factionreputation_microtech.xml,microTech_RepUI_Name,microTech_RepUI_Description,microTech_RepUI_Headquarters,microTech_RepUI_Founded,microTech_RepUI_Leadership,microTech_RepUI_Area,microTech_RepUI_Focus,1,,b46d74e1-44c3-479a-ba0f-ba3f07d66529,a04f2ed1-9e2b-4a31-abd3-a963e09e021f,libs/foundry/records/factions/faction_lawful_microtech.xml
Faction_Lawful_PA,am_pa_name,LOC_EMPTY,Neutral,Lawful,0,0,0,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4;1b2bc98f-092d-4c6e-85a3-0b159ba8e57b;c6e4d5da-9004-45db-a90f-d0fd1f3ddb45;dd2db9b4-a41a-4aa0-bb6b-6c75c0c078b1,aef097ed-6b30-45a2-b5c1-d7fce4f24acc,libs/foundry/records/factions/faction_lawful_pa.xml
Faction_LawfulSecurity_BlacJac,BlacJac_RepUI_Name,BlacJac_RepUI_Description,Neutral,PrivateSecurity,1,1,1,0,,,,,,,,,,,,ab3bd2c5-60c2-4763-8589-0b0a318cf9b8,06f294ce-5a79-49c3-88b9-e6ba023887a4,01bcfe41-40d7-48a6-bab2-eac7d902e9b2,libs/foundry/records/factions/faction_lawfulsecurity_blacjac.xml
Faction_LawfulSecurity_CrusaderSecurity,CrusaderSecurity_RepUI_Name,CrusaderSecurity_RepUI_Description,Neutral,PrivateSecurity,1,1,1,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,6e3b98f1-4eb2-4128-958f-c550e418c5a6,libs/foundry/records/factions/faction_lawfulsecurity_crusadersecurity.xml
Faction_LawfulSecurity_Generic,PrivateSecurity_RepUI_Name,PrivateSecurity_RepUI_Description,Neutral,PrivateSecurity,1,1,1,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,5e2005cb-eee8-4ca7-b1e6-79415eab6684,libs/foundry/records/factions/faction_lawfulsecurity_generic.xml
Faction_LawfulSecurity_HurstonSecurity,HurstonSecurity_RepUI_Name,HurstonSecurity_RepUI_Description,Neutral,PrivateSecurity,1,1,1,0,,,,,,,,,,,,ab3bd2c5-60c2-4763-8589-0b0a318cf9b8,06f294ce-5a79-49c3-88b9-e6ba023887a4,d6810f9d-7d39-414f-b2e6-3a641add15cb,libs/foundry/records/factions/faction_lawfulsecurity_hurstonsecurity.xml
Faction_LawfulSecurity_MicroTechProtectionServices,MTProtection_RepUI_Name,MTProtection_RepUI_Description,Neutral,PrivateSecurity,1,1,1,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,9e304047-923c-4c8a-968b-20a40136bf8f,libs/foundry/records/factions/faction_lawfulsecurity_microtechprotectionservices.xml
Faction_Reputation_Lawful_AdagioHoldings,Adagio_RepUI_DisplayName,Adagio_RepUI_Description,Neutral,Lawful,0,0,0,0,5f6a61ef-e9a4-427d-9358-2b38efe43d11,FactionReputation_Lawful_AdagioHoldings,libs/foundry/records/factions/factionreputation/factionreputation_lawful_adagioholdings.xml,Adagio_RepUI_DisplayName,Adagio_RepUI_Description,Adagio_RepUI_HQ,Adagio_RepUI_Founded,Adagio_RepUI_Leadership,Adagio_RepUI_Area,Adagio_RepUI_Focus,1,,06f294ce-5a79-49c3-88b9-e6ba023887a4,569f1e53-a971-462b-abe3-969a8e096ff5,libs/foundry/records/factions/faction_reputation_lawful_adagioholdings.xml
Faction_Reputation_Lawful_BountyHuntersGuild,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,6fe6526a-4ae0-44ec-a5b7-4a1a7f8bdc97,FactionReputation_Lawful_BountyHuntersGuild,libs/foundry/records/factions/factionreputation/factionreputation_lawful_bountyhuntersguild.xml,BountyHuntersGuild_RepUI_Name,BountyHuntersGuild_RepUI_Description,BountyHuntersGuild_RepUI_Headquarters,BountyHuntersGuild_RepUI_Founded,BountyHuntersGuild_RepUI_Leadership,BountyHuntersGuild_RepUI_Area,BountyHuntersGuild_RepUI_Focus,1,,,29e65591-d776-49a4-9a98-eb1fd7c51fcc,libs/foundry/records/factions/faction_reputation_lawful_bountyhuntersguild.xml
Faction_Reputation_Lawful_CitizensForProsperity,CitizensForPyro_RepUI_Name,CitizensForPyro_RepUI_Description,Neutral,Lawful,0,0,0,0,5a6914c9-3d56-47e0-9fe2-b264ee17b992,FactionReputation_Lawful_CitizensForProsperity,libs/foundry/records/factions/factionreputation/factionreputation_lawful_citizensforprosperity.xml,CitizensForPyro_RepUI_Name,CitizensForPyro_RepUI_Description,CitizensForPyro_RepUI_Headquarters,CitizensForPyro_RepUI_Founded,CitizensForPyro_RepUI_Leadership,CitizensForPyro_RepUI_Area,CitizensForPyro_RepUI_Focus,1,,14789370-bf3a-42b9-ac55-a49ee406e1f1;9f89edc0-441b-4f40-a502-df12ebf3f1eb,cd2b32d1-0362-41fb-8cfd-d29781daf789,libs/foundry/records/factions/faction_reputation_lawful_citizensforprosperity.xml
Faction_Reputation_Lawful_CovalexShipping,Covalex_RepUI_Name,Covalex_RepUI_Description,Neutral,Lawful,1,0,1,0,3b2f7882-73cc-41a4-9dce-f188d927e905,FactionReputation_Lawful_CovalexShipping,libs/foundry/records/factions/factionreputation/factionreputation_lawful_covalexshipping.xml,Covalex_RepUI_Name,Covalex_RepUI_Description,Covalex_RepUI_Headquarters,Covalex_RepUI_Founded,Covalex_RepUI_Leadership,Covalex_RepUI_Area,Covalex_RepUI_Focus,1,,06f294ce-5a79-49c3-88b9-e6ba023887a4,2640e0b2-54f3-4c29-9d5d-6f8f4fc49dbe,libs/foundry/records/factions/faction_reputation_lawful_covalexshipping.xml
Faction_Reputation_Lawful_EckhartSecurity,MissionGivers_MilesEckhart,LOC_EMPTY,Neutral,Lawful,0,0,0,0,2dc1b38c-cd5f-4d37-aea7-5453b609f61d,FactionReputation_Lawful_EckhartSecurity,libs/foundry/records/factions/factionreputation/factionreputation_lawful_eckhartsecurity.xml,EckhartSecurity_RepUI_Name,EckhartSecurity_RepUI_Description,EckhartSecurity_RepUI_Headquarters,EckhartSecurity_RepUI_Founded,EckhartSecurity_RepUI_Leadership,EckhartSecurity_RepUI_Area,EckhartSecurity_RepUI_Focus,1,,,705c3888-7126-48d7-8a7e-e1f5c76e0c3c,libs/foundry/records/factions/faction_reputation_lawful_eckhartsecurity.xml
Faction_Reputation_Lawful_FoxwellEnforcement,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,016c2950-0292-468c-a408-a5283b52f158,FactionReputation_Lawful_FoxwellEnforcement,libs/foundry/records/factions/factionreputation/factionreputation_lawful_foxwellenforcement.xml,Foxwell_RepUI_Name,Foxwell_RepUI_Description,Foxwell_RepUI_Headquarters,Foxwell_RepUI_Founded,Foxwell_RepUI_Leadership,Foxwell_RepUI_Area,Foxwell_RepUI_Focus,1,,,21c61135-e8ee-459c-8f61-4550b8c02c58,libs/foundry/records/factions/faction_reputation_lawful_foxwellenforcement.xml
Faction_Reputation_Lawful_InterSecDefenseSolutions,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,,,,,,,,,,,,,,615e0c15-883f-4c5c-af0f-0f332483eb31,libs/foundry/records/factions/faction_reputation_lawful_intersecdefensesolutions.xml
Faction_Reputation_Lawful_LingFamilyHauling,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,8ca58dc2-ecec-49ea-bb62-39a56bb28420,FactionReputation_Lawful_LingFamilyHauling,libs/foundry/records/factions/factionreputation/factionreputation_lawful_lingfamilyhauling.xml,Ling_RepUI_Name,Ling_RepUI_Description,Ling_RepUI_Headquarters,Ling_RepUI_Founded,Ling_RepUI_Leadership,Ling_RepUI_Area,Ling_RepUI_Focus,1,,,5a27ef3a-55c4-4822-b3f1-6506097d21de,libs/foundry/records/factions/faction_reputation_lawful_lingfamilyhauling.xml
Faction_Reputation_Lawful_RayariInc,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,afc25254-554d-4409-8893-383a58eb7e8a,FactionReputation_Lawful_RayariInc,libs/foundry/records/factions/factionreputation/factionreputation_lawful_rayariinc.xml,Rayari_RepUI_Name,Rayari_RepUI_Description,Rayari_RepUI_Headquarters,Rayari_RepUI_Founded,Rayari_RepUI_Leadership,Rayari_RepUI_Area,Rayari_RepUI_Focus,1,,,df6de824-9f7b-44d5-a98b-d6a099970b5f,libs/foundry/records/factions/faction_reputation_lawful_rayariinc.xml
Faction_Reputation_Lawful_ShubinInterstellar,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,e4527dd7-f0eb-4342-afe8-5ded1fe428df,FactionReputation_Lawful_ShubinInterstellar,libs/foundry/records/factions/factionreputation/factionreputation_lawful_shubininterstellar.xml,ShubinInterstellar_RepUI_Name,ShubinInterstellar_RepUI_Description,ShubinInterstellar_RepUI_Headquaters,ShubinInterstellar_RepUI_Founded,ShubinInterstellar_RepUI_Leadership,ShubinInterstellar_RepUI_Area,ShubinInterstellar_RepUI_Focus,1,,,04b1380a-c598-4e3d-8ebf-debde07cfe3d,libs/foundry/records/factions/faction_reputation_lawful_shubininterstellar.xml
Faction_Reputation_Lawful_UnitedWayfarersClub,Guild_United_Wayfarers_Club_RepUI_Name,Guild_United_Wayfarers_Club_RepUI_Description,Neutral,Lawful,0,0,0,0,f9a36b95-12b8-4fe3-a465-cec1d548c94b,FactionReputation_Lawful_UnitedWayfarersClub,libs/foundry/records/factions/factionreputation/factionreputation_lawful_unitedwayfarersclub.xml,Guild_United_Wayfarers_Club_RepUI_Name,Guild_United_Wayfarers_Club_RepUI_Description,Guild_United_Wayfarers_Club_RepUI_Headquarters,Guild_United_Wayfarers_Club_RepUI_Founded,Guild_United_Wayfarers_Club_RepUI_Leadership,Guild_United_Wayfarers_Club_RepUI_Area,Guild_United_Wayfarers_Club_RepUI_Focus,1,,,8458379d-9b70-493e-9477-817bf87d56d9,libs/foundry/records/factions/faction_reputation_lawful_unitedwayfarersclub.xml
Faction_Reputation_Lawful_WildstarRacing,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,73d4112a-156c-44d5-81c0-1788ec543768,FactionReputation_Lawful_WildstarRacing,libs/foundry/records/factions/factionreputation/factionreputation_lawful_wildstarracing.xml,RacingRep_Guild_DisplayName,RacingRep_Guild_Description,RacingRep_Guild_HQ,RacingRep_Guild_Founded,RacingRep_Guild_Leadership,RacingRep_Guild_Area,RacingRep_Guild_Focus,1,,,35b0d342-8d8a-4b0e-adda-fc85cae49afd,libs/foundry/records/factions/faction_reputation_lawful_wildstarracing.xml
Faction_Reputation_Unlawful_BitZeros,BitZeros_RepUI_DisplayName,BitZeros_RepUI_Description,Neutral,Unlawful,0,0,0,0,0ccbc88a-a578-460c-8a7f-9054fa84ee20,FactionReputation_Unlawful_BitZeros,libs/foundry/records/factions/factionreputation/factionreputation_unlawful_bitzeros.xml,BitZeros_RepUI_DisplayName,BitZeros_RepUI_Description,BitZeros_RepUI_HQ,BitZeros_RepUI_Founded,BitZeros_RepUI_Leadership,BitZeros_RepUI_Area,BitZeros_RepUI_Focus,0,,,5fb3c365-cf83-48d0-89a8-1cc539113b35,libs/foundry/records/factions/faction_reputation_unlawful_bitzeros.xml
Faction_Reputation_Unlawful_HeadHunters,HeadHunters_RepUI_Name,HeadHunters_RepUI_Description,Neutral,Unlawful,0,0,0,0,09efeef4-c646-408d-a979-3ae56a3b1beb,FactionReputation_Unlawful_HeadHunters,libs/foundry/records/factions/factionreputation/factionreputation_unlawful_headhunters.xml,HeadHunters_RepUI_Name,HeadHunters_RepUI_Description,HeadHunters_RepUI_Headquarters,HeadHunters_RepUI_Founded,HeadHunters_RepUI_Leadership,HeadHunters_RepUI_Area,HeadHunters_RepUI_Focus,0,3c9a42a9-a986-494f-b724-4d74415f6016,14789370-bf3a-42b9-ac55-a49ee406e1f1;cd2b32d1-0362-41fb-8cfd-d29781daf789,9f89edc0-441b-4f40-a502-df12ebf3f1eb,libs/foundry/records/factions/faction_reputation_unlawful_headhunters.xml
Faction_Reputation_Unlawful_TarPits,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Unlawful,0,0,0,0,5ebbd81d-82cb-4534-81fc-db7a2c386f70,FactionReputation_Unlawful_TarPits,libs/foundry/records/factions/factionreputation/factionreputation_unlawful_tarpits.xml,TARPits_RepUI_DisplayName,TARPits_RepUI_Description,TARPits_RepUI_HQ,TARPits_RepUI_Founded,TARPits_RepUI_Leadership,TARPits_RepUI_Area,TARPits_RepUI_Focus,0,,,d1a42653-8c65-4d6b-9617-4049ca77d8d8,libs/foundry/records/factions/faction_reputation_unlawful_tarpits.xml
Faction_Reputation_Unlawful_Vaughn,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Unlawful,0,0,0,0,a161c267-0253-48e5-be7a-dfa16c6cbebe,FactionReputation_Unlawful_Vaughn,libs/foundry/records/factions/factionreputation/factionreputation_unlawful_vaughn.xml,Vaughn_RepUI_Name,Vaughn_RepUI_Description,Vaughn_RepUI_Description,Vaughn_RepUI_Founded,Vaughn_RepUI_Leadership,Vaughn_RepUI_Area,Vaughn_RepUI_Focus,0,,,95761a82-18f9-4e25-ba33-d4c47c689324,libs/foundry/records/factions/faction_reputation_unlawful_vaughn.xml
Faction_Special_FriendlyToAll,PrivateSecurity_RepUI_Name,LOC_EMPTY,Friendly,Lawful,0,0,0,0,,,,,,,,,,,,,,4dece609-0140-4a7b-8ea2-1c645e36ac3f,libs/foundry/records/factions/faction_special_friendlytoall.xml
Faction_Special_HostileToAll,Hostile_RepUI_Name,LOC_EMPTY,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,,,5d0bf1c9-55be-458b-af62-13b5b420f9cf,libs/foundry/records/factions/faction_special_hostiletoall.xml
Faction_Special_HostileToXT,LOC_UNINITIALIZED,LOC_EMPTY,Friendly,Lawful,0,0,0,0,,,,,,,,,,,,9f89edc0-441b-4f40-a502-df12ebf3f1eb;cd2b32d1-0362-41fb-8cfd-d29781daf789,14789370-bf3a-42b9-ac55-a49ee406e1f1,7dc282cc-80b1-42c3-a712-843203c53f9f,libs/foundry/records/factions/faction_special_hostiletoxt.xml
Faction_Special_KlescherSecurity,Klescher_RepUI_Name,Klescher_RepUI_Description,Neutral,LawEnforcement,1,1,0,0,,,,,,,,,,,,,,d67aa7d9-9948-4903-b162-e71869cae4e8,libs/foundry/records/factions/faction_special_kleschersecurity.xml
Faction_Special_TEMPLATE,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Lawful,0,0,0,0,,,,,,,,,,,,,,900070cf-9604-4ad6-8f3f-eee533193258,libs/foundry/records/factions/faction_special_template.xml
Faction_Unlawful_ASD,Factions_ASD_DisplayName,LOC_UNINITIALIZED,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,4dece609-0140-4a7b-8ea2-1c645e36ac3f;7535609a-6616-4992-9550-f8d2fd60f0d4,,c1abb5fa-54a5-47a1-b69b-b951254a9a66,libs/foundry/records/factions/faction_unlawful_asd.xml
Faction_Unlawful_Civilian,Civilian_RepUI_Name,Civilian_RepUI_Description,Neutral,Unlawful,0,0,0,0,,,,,,,,,,,,,,52883600-6021-4407-8130-febb7dd42c63,libs/foundry/records/factions/faction_unlawful_civilian.xml
Faction_Unlawful_Dusters,Dusters_RepUI_Name,Dusters_RepUI_Description,Neutral,Unlawful,0,0,0,0,,,,,,,,,,,,,3ea7569e-c92f-4874-8ffa-12f0338e58b7,8f791865-9252-41d6-afd1-31783fd22674,libs/foundry/records/factions/faction_unlawful_dusters.xml
Faction_Unlawful_FireRats,Factions_FireRats_DisplayName,Outlaw_RepUI_Description,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,4dece609-0140-4a7b-8ea2-1c645e36ac3f,53c09a46-8238-4cf8-8a20-c4abd54c0b7b,e2382ebf-f6cf-4603-b32d-e110b873c9bb,libs/foundry/records/factions/faction_unlawful_firerats.xml
Faction_Unlawful_FrontierFighters,FrontierFighters_from,LOC_EMPTY,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,3ea7569e-c92f-4874-8ffa-12f0338e58b7;53c09a46-8238-4cf8-8a20-c4abd54c0b7b;dd2db9b4-a41a-4aa0-bb6b-6c75c0c078b1;e2382ebf-f6cf-4603-b32d-e110b873c9bb,,6468bbc3-d76c-4af5-a8df-57048aed7c8b,libs/foundry/records/factions/faction_unlawful_frontierfighters.xml
Faction_Unlawful_Horizon,Factions_Horizon_DisplayName,Outlaw_RepUI_Description,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,4dece609-0140-4a7b-8ea2-1c645e36ac3f,e2382ebf-f6cf-4603-b32d-e110b873c9bb,53c09a46-8238-4cf8-8a20-c4abd54c0b7b,libs/foundry/records/factions/faction_unlawful_horizon.xml
Faction_Unlawful_NineTails,NineTails_RepUI_Name,NineTails_RepUI_Description,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,6468bbc3-d76c-4af5-a8df-57048aed7c8b,,3ea7569e-c92f-4874-8ffa-12f0338e58b7,libs/foundry/records/factions/faction_unlawful_ninetails.xml
Faction_Unlawful_Outlaws,Outlaw_RepUI_Name,Outlaw_RepUI_Description,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,4dece609-0140-4a7b-8ea2-1c645e36ac3f,,dd2db9b4-a41a-4aa0-bb6b-6c75c0c078b1,libs/foundry/records/factions/faction_unlawful_outlaws.xml
Faction_Unlawful_RoughAndReady,RoughAndReady_RepUI_Name,RoughAndReady_RepUI_Description,Neutral,Unlawful,0,0,0,0,,,,,,,,,,,,,,3c9a42a9-a986-494f-b724-4d74415f6016,libs/foundry/records/factions/faction_unlawful_roughandready.xml
Faction_Unlawful_Ruto,MissionGivers_Ruto,LOC_EMPTY,Neutral,Unlawful,0,0,0,0,1ff5f2d5-e169-444f-a87e-3eea50c44933,FactionReputation_Ruto,libs/foundry/records/factions/factionreputation/factionreputation_ruto.xml,Ruto_RepUI_Name,Ruto_RepUI_Description,Ruto_RepUI_Headquarters,Ruto_RepUI_Founded,Ruto_RepUI_Leadership,Ruto_RepUI_Area,Ruto_RepUI_Focus,0,,,d7e05124-92df-4929-804a-d7a1b0fbfd93,libs/foundry/records/factions/faction_unlawful_ruto.xml
Faction_Unlawful_ShatteredBlade,ShatteredBlade_RepUI_Name,ShatteredBlade_RepUI_Decription,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,,1b2bc98f-092d-4c6e-85a3-0b159ba8e57b;aef097ed-6b30-45a2-b5c1-d7fce4f24acc;b2ee3a3c-5ca1-4179-b709-3ad9d2fb5fcd,c6e4d5da-9004-45db-a90f-d0fd1f3ddb45,libs/foundry/records/factions/faction_unlawful_shatteredblade.xml
Faction_Unlawful_WallaceKlim,MissionGivers_WallaceKlim,LOC_EMPTY,Neutral,Unlawful,0,0,0,0,1d52a0fd-705b-483d-9e9b-2f5c6f16959f,FactionReputation_WallaceKlim,libs/foundry/records/factions/factionreputation/factionreputation_wallaceklim.xml,WallaceKlim_RepUI_Name,WallaceKlim_RepUI_Description,WallaceKlim_RepUI_Headquarters,WallaceKlim_RepUI_Founded,WallaceKlim_RepUI_Leadership,WallaceKlim_RepUI_Area,WallaceKlim_RepUI_Focus,0,,,c088786f-db63-4598-9c1b-a71ff4831f79,libs/foundry/records/factions/faction_unlawful_wallaceklim.xml
Faction_Unlawful_Xenothreat,Xenothreat_RepUI_Name,Xenothreat_RepUI_Description,Hostile,Unlawful,0,0,0,0,,,,,,,,,,,,,9f89edc0-441b-4f40-a502-df12ebf3f1eb;cd2b32d1-0362-41fb-8cfd-d29781daf789,14789370-bf3a-42b9-ac55-a49ee406e1f1,libs/foundry/records/factions/faction_unlawful_xenothreat.xml
Faction_UnlawfulSecurity_Generic,PrivateSecurity_RepUI_Name,PrivateSecurity_RepUI_Description,Neutral,PrivateSecurity,0,0,0,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,b3cd03ce-33ae-4965-a12e-9dd44fd89110,libs/foundry/records/factions/faction_unlawfulsecurity_generic.xml
Faction_UnlawfulSecurity_TEMPLATE,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,PrivateSecurity,0,0,0,0,,,,,,,,,,,,,,15511d4d-e041-4882-b11c-e82a03c746e1,libs/foundry/records/factions/faction_unlawfulsecurity_template.xml
