Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Type,Ammo Quantity,Ammo Speed,Ammo Lifetime,Signature IR,Signature CS,Signature EM
anvl_valkyrie_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_valkyrie_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
argo_cml_chaff_small,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
argo_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
argo_mpuv_cml_chaff_small,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
argo_mpuv_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
argo_raft_cml_chaff_small,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
argo_raft_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
argo_srv_cml_chaff_small,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
argo_srv_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
cnou_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
cnou_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
cnou_hoverquad_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,CNOU,0,1,CountermeasureLauncher,1000,Chaff,4,180,0.8,30000,20000,30000
cnou_hoverquad_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,CNOU,0,1,CountermeasureLauncher,1000,Decoy,12,65,8,20000,6500,20000
cnou_nomad_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
cnou_nomad_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
crus_cml_decoy_big,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
crus_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
crus_cml_noise_big,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,10,180,0.8,80000,100000,150000
crus_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
crus_intrepid_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
crus_intrepid_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
crus_spirit_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,10,180,0.8,80000,100000,150000
crus_spirit_cml_flare,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
crus_starfighter_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
crus_starfighter_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
crus_starlifter_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,20,180,0.8,80000,100000,150000
crus_starlifter_cml_chaff_rear_right,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,20,180,0.8,80000,100000,150000
crus_starlifter_cml_chaff_top_right,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,20,180,0.8,80000,100000,150000
crus_starlifter_cml_chaff_under_right,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,20,180,0.8,80000,100000,150000
crus_starlifter_cml_flare,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
crus_starlifter_cml_flare_rear_left,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
crus_starlifter_cml_flare_top_left,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
crus_starlifter_cml_flare_under_left,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
drak_clipper_cml_decoy,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_clipper_cml_noise,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
drak_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
drak_command_module_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
drak_command_module_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,DRAK,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_corsair_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,DRAK,2,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
drak_corsair_cml_decoy,item_NameJOKR_Defcon_CML_Flare,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,DRAK,2,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_cutter_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
drak_cutter_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_dragonfly_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,DRAK,1,1,CountermeasureLauncher,1000,Chaff,1,180,0.8,30000,20000,30000
drak_dragonfly_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,DRAK,1,1,CountermeasureLauncher,1000,Decoy,5,65,8,20000,6500,20000
drak_golem_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
drak_golem_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
drak_ironclad_cml_decoy,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,DRAK,2,1,CountermeasureLauncher,1000,Decoy,30,90,12,40000,20000,60000
drak_ironclad_cml_noise,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,DRAK,2,1,CountermeasureLauncher,1000,Noise,15,180,0.8,80000,100000,150000
drak_pitbull_cml_chaff,item_NameDRAK_CML_Chaff,hud_countermeasure_smokescreen,item_DescDRAK_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,8,180,0.8,30000,20000,30000
drak_pitbull_cml_flare,item_NameDRAK_CML_Flare,hud_countermeasure_decoy,item_DescDRAK_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,24,65,8,20000,6500,20000
drak_vulture_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
drak_vulture_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
espr_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
espr_cml_decoy_talon,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
espr_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
espr_cml_noise_talon,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
espr_prowler_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
espr_prowler_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
gama_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
gama_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
gama_syulen_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
gama_syulen_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
jokr_defcon_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,10,180,0.8,80000,100000,150000
jokr_defcon_cml_flare,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
krig_wolf_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
krig_wolf_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_cml_noise_small,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
misc_fortune_cml_chaff,item_NameMISC_Prospector_CML_Chaff,hud_countermeasure_smokescreen,item_DescMISC_Prospector_CML_Chaff,MISC,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
misc_fortune_cml_flare,item_NameMISC_Prospector_CML_Flare,hud_countermeasure_decoy,item_DescMISC_Prospector_CML_Flare,MISC,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_fury_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
misc_fury_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_hull_a_cml_chaff,item_NameMISC_Prospector_CML_Chaff,hud_countermeasure_smokescreen,item_DescMISC_Prospector_CML_Chaff,MISC,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
misc_hull_a_cml_flare,item_NameMISC_Prospector_CML_Flare,hud_countermeasure_decoy,item_DescMISC_Prospector_CML_Flare,MISC,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_hull_b_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
misc_hull_b_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
misc_hull_c_cml_chaff,item_NameJOKR_Defcon_CML_Chaff,hud_countermeasure_smokescreen,item_DescJOKR_Defcon_CML_Chaff,JOKR,1,1,CountermeasureLauncher,1000,Chaff,60,180,0.8,80000,100000,150000
misc_hull_c_cml_flare,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,100,90,12,40000,20000,60000
misc_prospector_cml_chaff,item_NameMISC_Prospector_CML_Chaff,hud_countermeasure_smokescreen,item_DescMISC_Prospector_CML_Chaff,MISC,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
