Template Class,Objective Debug Name,Order Index,Resource GUID,Resource Class,Resource Name Key,Min SCU,Max SCU,Max Container Size,Order Summary,Record GUID,Record Path
HaulCargo_AtoB_Bulk_Waste,Hauling,1,b999ef65-35be-45bf-908a-5eac6e06ba12,waste,items_commodities_waste,400,600,32,,484d42ed-b1ab-4545-8970-3ffc61daba0e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_waste.xml
HaulCargo_AtoB_Bulk,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,400,600,32,,a713f5d5-a6e1-4b48-896c-926d9842560e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk.xml
HaulCargo_AtoB_Firesale_LiquidOpium_Large,Hauling,1,8bc60017-e4b6-47b1-bbe0-f2eb944fdeaf,detatrine,items_commodities_detatrine,2500,2500,16,,8fd35d1f-7fb8-4cd5-8c97-78a277df580e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_firesale_liquidopium_large.xml
HaulCargo_AtoB_Firesale_LiquidOpium_Medium,Hauling,1,8bc60017-e4b6-47b1-bbe0-f2eb944fdeaf,detatrine,items_commodities_detatrine,550,550,16,,a4537ac6-e856-4357-9e92-2969f7523f05,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_firesale_liquidopium_medium.xml
HaulCargo_AtoB_Firesale_LiquidOpium,Hauling,1,8bc60017-e4b6-47b1-bbe0-f2eb944fdeaf,detatrine,items_commodities_detatrine,62,62,16,,4ab16b0f-2f6b-458d-bad7-353258e81e26,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_firesale_liquidopium.xml
HaulCargo_AtoB_GoblinG_Intro,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,1,0,1,,f583a48b-dfb3-4140-b6f6-deae7151dc76,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_intro.xml
HaulCargo_AtoB_GoblinG_Intro,Hauling,2,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,1,0,1,,f583a48b-dfb3-4140-b6f6-deae7151dc76,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_intro.xml
HaulCargo_AtoB_GoblinG_Intro,Hauling,3,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,1,0,1,,f583a48b-dfb3-4140-b6f6-deae7151dc76,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_intro.xml
HaulCargo_AtoB_GoblinG_Large,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,72,72,4,,9ae04bf0-3f7d-4fdc-8b4d-5569d4c29dc5,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_large.xml
HaulCargo_AtoB_GoblinG_Large,Hauling,2,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,36,36,4,,9ae04bf0-3f7d-4fdc-8b4d-5569d4c29dc5,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_large.xml
HaulCargo_AtoB_GoblinG_Large,Hauling,3,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,72,72,4,,9ae04bf0-3f7d-4fdc-8b4d-5569d4c29dc5,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_large.xml
HaulCargo_AtoB_GoblinG_Medium,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,19,19,4,,37828e64-28a7-4499-ae71-32500d87d253,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_medium.xml
HaulCargo_AtoB_GoblinG_Medium,Hauling,2,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,10,10,4,,37828e64-28a7-4499-ae71-32500d87d253,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_medium.xml
HaulCargo_AtoB_GoblinG_Medium,Hauling,3,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,19,19,4,,37828e64-28a7-4499-ae71-32500d87d253,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_medium.xml
HaulCargo_AtoB_GoblinG_Small,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,2,2,1,,2e607a7a-c661-4b5d-b38f-90b53ab4225c,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_small.xml
HaulCargo_AtoB_GoblinG_Small,Hauling,2,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,4,4,1,,2e607a7a-c661-4b5d-b38f-90b53ab4225c,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_small.xml
HaulCargo_AtoB_GoblinG_Small,Hauling,3,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,2,2,1,,2e607a7a-c661-4b5d-b38f-90b53ab4225c,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_small.xml
HaulCargo_AtoB_GoblinG_Template,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,1,0,1,,be8311a4-869a-4d3e-8fc6-951775dfb841,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_template.xml
HaulCargo_AtoB_GoblinG_Template,Hauling,2,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,1,0,1,,be8311a4-869a-4d3e-8fc6-951775dfb841,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_template.xml
HaulCargo_AtoB_GoblinG_Template,Hauling,3,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,1,0,1,,be8311a4-869a-4d3e-8fc6-951775dfb841,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_gobling_template.xml
HaulCargo_AtoB_Large_Mixed_CarbonPotassiumConstrMatsWidow,Hauling,1,8dda1cf4-dc6c-4b31-93f2-8ca28ef6ec55,potassium,items_commodities_potassium,128,128,16,,8c417a2d-f6b2-4d3b-a75b-7792b8d21f5d,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_large_mixed_carbonpotassiumconstrmatswidow.xml
HaulCargo_AtoB_Large_Mixed_CarbonPotassiumConstrMatsWidow,Hauling,2,98aa6a70-80e7-41d7-9128-9692053d57a2,ConstructionMaterials,items_commodities_ConstructionMaterials,80,80,16,,8c417a2d-f6b2-4d3b-a75b-7792b8d21f5d,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_large_mixed_carbonpotassiumconstrmatswidow.xml
HaulCargo_AtoB_Large_Mixed_CarbonPotassiumConstrMatsWidow,Hauling,3,a69c19f9-f33e-4c87-bfd2-09663585d158,widow,items_commodities_widow,4,4,4,,8c417a2d-f6b2-4d3b-a75b-7792b8d21f5d,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_large_mixed_carbonpotassiumconstrmatswidow.xml
HaulCargo_AtoB_LateBulk_AgriculturalSupplies,Hauling,1,9c09556c-a9c7-4af8-893d-7a3cd6152746,agriculturalSupplies,items_commodities_agriculturalSupplies,640,4600,32,,114a3529-4af6-4fca-bc4f-c3a84972b52e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_agriculturalsupplies.xml
HaulCargo_AtoB_LateBulk_Aluminum,Hauling,1,48c7080a-bbef-43d2-901a-698321ed4340,aluminum,items_commodities_aluminum,640,4600,32,,992e366c-b6b1-429b-8c1a-d6bdbabbd078,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_aluminum.xml
HaulCargo_AtoB_LateBulk_Copper,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,640,4600,32,,f825eafb-a1be-4e4c-8f05-c5df5b9d3de2,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_copper.xml
HaulCargo_AtoB_LateBulk_Potassium,Hauling,1,8dda1cf4-dc6c-4b31-93f2-8ca28ef6ec55,potassium,items_commodities_potassium,640,4600,32,,6088c912-1432-4e5f-ab45-4970290d0d56,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_potassium.xml
HaulCargo_AtoB_LateBulk_ProcessedFood,Hauling,1,accacd33-3a1a-4ec7-8b4a-14b9f028047c,processedFood,items_commodities_processedFood,640,4600,32,,53434a4a-673b-489c-9720-8a5fb3819230,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_processedfood.xml
HaulCargo_AtoB_LateBulk_Quartz,Hauling,1,35121003-f1af-481a-b16f-7f48d8af0efb,quartz,items_commodities_quartz,640,4600,32,,683e7f48-9fdc-458c-b1a0-717f096f7142,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_quartz.xml
HaulCargo_AtoB_LateBulk_Silicon,Hauling,1,7bbd3197-a6e1-49b3-a495-0b7ef4f8ce40,silicon,items_commodities_silicon,640,4600,32,,ffe446cb-6e86-49cf-bf8d-58c2b6a5ce06,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk_silicon.xml
HaulCargo_AtoB_LateBulk,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,640,4600,32,,0999f5b9-9fc8-4af4-ac81-b92057aa33d4,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_latebulk.xml
HaulCargo_AtoB_Small_AgriculturalSupplies,Hauling,1,9c09556c-a9c7-4af8-893d-7a3cd6152746,agriculturalSupplies,items_commodities_agriculturalSupplies,6,32,4,,16d18b1b-0bef-4591-85a6-ceacddf3c1d8,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_agriculturalsupplies.xml
HaulCargo_AtoB_Small_Aluminum,Hauling,1,48c7080a-bbef-43d2-901a-698321ed4340,aluminum,items_commodities_aluminum,6,32,4,,43727988-9180-4332-92ab-68cca4e4ddea,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_aluminum.xml
HaulCargo_AtoB_Small_Carbon,Hauling,1,9dc16af8-bfb9-4119-9e54-6db11b0a7ed2,carbon,items_commodities_carbon,6,32,4,,b40ba53b-1dbe-4d1d-925c-be07fcf0cf14,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_carbon.xml
HaulCargo_AtoB_Small_CleanAir_MedicalSupplies_Interstellar,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,6,6,1,,e843f7cb-9f76-40df-b0d9-d1eea482ecee,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_medicalsupplies_interstellar.xml
HaulCargo_AtoB_Small_CleanAir_MedicalSupplies,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,6,6,1,,53420957-ccfc-46e3-9e82-9ff312e4aba0,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_medicalsupplies.xml
HaulCargo_AtoB_Small_CleanAir_MoldSamples,Hauling,1,70f388a3-a84c-44c6-be8b-3ed295d39e77,MoldSamples,items_commodities_MoldSamples,8,8,1,,2ca5b1b3-d57f-4c4b-b64b-d51114493723,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_moldsamples.xml
HaulCargo_AtoB_Small_CleanAir_MoldTreatment_Interstellar,Hauling,1,c87a8d56-8998-46ba-b056-0ebd0b07eed6,MoldTreatment,items_commodities_MoldTreatment,8,8,1,,f9a12e1d-a41d-4dca-bf4c-66640f8b55cd,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_moldtreatment_interstellar.xml
HaulCargo_AtoB_Small_CleanAir_MoldTreatment,Hauling,1,c87a8d56-8998-46ba-b056-0ebd0b07eed6,MoldTreatment,items_commodities_MoldTreatment,6,6,1,,22a79236-3ebe-492b-ad42-ed8ad65e5cbc,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_moldtreatment.xml
HaulCargo_AtoB_Small_CleanAir_Resources,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,6,32,4,,0c1f30fc-bf22-4d04-8216-64822a6f40fa,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_resources.xml
HaulCargo_AtoB_Small_CleanAir_VentFilters,Hauling,1,990291f7-211f-4c04-914f-bc98385451be,VentFilters,items_commodities_VentFilters,8,8,1,,222c8a9f-f404-4936-9084-9a868fcf5a04,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_cleanair_ventfilters.xml
HaulCargo_AtoB_Small_ConstructionMaterials,Hauling,1,98aa6a70-80e7-41d7-9128-9692053d57a2,ConstructionMaterials,items_commodities_ConstructionMaterials,6,32,4,,533af4dd-33a3-41e0-8d27-5a478f93b2ba,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_constructionmaterials.xml
HaulCargo_AtoB_Small_Copper,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,6,32,4,,acd84fa3-4b90-474b-9423-94f25db805ec,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_copper.xml
HaulCargo_AtoB_Small_EletronicEquipment,Hauling,1,5f2d394d-6e69-4cb8-afb2-81a96544936e,Carryable_TBO_FL_16SCU_Commodity_ProcessedGoods_ElectronicsEquipment,,6,32,4,,fb6a2f55-a601-41c2-a4c0-3e7fb0868a0e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_eletronicequipment.xml
HaulCargo_AtoB_Small_Hydrogen,Hauling,1,530da47b-c6bb-4d95-a1ee-23a1e4e27b45,hydrogen,items_commodities_hydrogen,6,32,4,,6d6fa0c0-8c68-4eba-a2a1-4863753ca844,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_hydrogen.xml
HaulCargo_AtoB_Small_MedicalSupplies,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,6,32,4,,2e174a32-cb3c-46cb-a244-58a0e7827d9b,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_medicalsupplies.xml
HaulCargo_AtoB_Small_Potassium,Hauling,1,8dda1cf4-dc6c-4b31-93f2-8ca28ef6ec55,potassium,items_commodities_potassium,6,10,4,,42213ab2-607e-4fc6-a01d-01d6e73d16df,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_potassium.xml
HaulCargo_AtoB_Small_ProcessedFood,Hauling,1,accacd33-3a1a-4ec7-8b4a-14b9f028047c,processedFood,items_commodities_processedFood,6,32,4,,2859e5f5-4657-4f02-af58-534d32447283,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_processedfood.xml
HaulCargo_AtoB_Small_Quartz,Hauling,1,35121003-f1af-481a-b16f-7f48d8af0efb,quartz,items_commodities_quartz,6,32,4,,7c690094-b9d7-48ec-bae8-b6793e3aa4cc,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_quartz.xml
HaulCargo_AtoB_Small_RantaDung,Hauling,1,5cc98bf3-8edd-4184-9e47-2ff40e4c556b,rantadung,items_commodities_rantadung,8,8,4,,76791432-695f-42a1-b431-169e1d69089e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_rantadung.xml
HaulCargo_AtoB_Small_ShipAmmo,Hauling,1,984c2ac5-70dc-43be-85a2-15b8db95dcd2,militarySupplies,items_commodities_militarySupplies,6,32,4,,514008aa-477a-4e8c-88c5-f64bd75f7aae,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_shipammo.xml
HaulCargo_AtoB_Small_Silicon,Hauling,1,7bbd3197-a6e1-49b3-a495-0b7ef4f8ce40,silicon,items_commodities_silicon,6,32,4,,a0f6e96e-a7b2-4bea-a53e-8022871e16ac,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_silicon.xml
HaulCargo_AtoB_Small_Slam_unproccessed,Hauling,1,9890f3ac-8b41-4821-a1bd-2d64ab507c2b,slam,items_commodities_slam,6,32,4,,a1220fff-fb8f-43d2-b545-368bae56572a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_slam_unproccessed.xml
HaulCargo_AtoB_Small_Tungsten,Hauling,1,60f116f4-c02a-45b2-9ded-333747795124,tungsten,items_commodities_tungsten,6,32,4,,01e62498-5f52-4905-8303-13818835d202,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_tungsten.xml
HaulCargo_AtoB_Small_Waste,Hauling,1,b999ef65-35be-45bf-908a-5eac6e06ba12,waste,items_commodities_waste,6,32,4,,b73a313d-5d1a-471b-b883-c3fc4dd7ff29,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small_waste.xml
HaulCargo_AtoB_Small,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,6,32,4,,667d721c-bd92-47a7-bf33-89ec1216ba25,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_small.xml
HaulCargo_AtoB_Supply_Carbon,Hauling,1,9dc16af8-bfb9-4119-9e54-6db11b0a7ed2,carbon,items_commodities_carbon,50,350,8,,9479785c-4680-4ccb-87c4-55a58f3d49f3,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_carbon.xml
HaulCargo_AtoB_Supply_CleanAir_MedicalSupplies_Interstellar,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,176,176,4,,ec096f2f-be14-4175-bc15-162a3a979845,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_medicalsupplies_interstellar.xml
HaulCargo_AtoB_Supply_CleanAir_MedicalSupplies,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,256,256,4,,fb24143a-4c5a-440d-bd65-2f8ecac34904,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_medicalsupplies.xml
HaulCargo_AtoB_Supply_CleanAir_MoldSamples,Hauling,1,70f388a3-a84c-44c6-be8b-3ed295d39e77,MoldSamples,items_commodities_MoldSamples,296,296,8,,8bd80072-77c4-4e92-bc4b-a4ff8a1c8d89,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_moldsamples.xml
HaulCargo_AtoB_Supply_CleanAir_MoldTreatment,Hauling,1,c87a8d56-8998-46ba-b056-0ebd0b07eed6,MoldTreatment,items_commodities_MoldTreatment,296,296,8,,3c012c89-77e5-486a-9fa2-8c261c82b5e0,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_moldtreatment.xml
HaulCargo_AtoB_Supply_CleanAir_Resources,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,50,350,8,,408d8591-3de3-4db5-97b1-41cf4fb73e02,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_resources.xml
HaulCargo_AtoB_Supply_CleanAir_VentFilters,Hauling,1,990291f7-211f-4c04-914f-bc98385451be,VentFilters,items_commodities_VentFilters,296,296,8,,de554ef0-f21b-4cb8-a511-79e91cd4e0e6,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_cleanair_ventfilters.xml
HaulCargo_AtoB_Supply_Potassium,Hauling,1,8dda1cf4-dc6c-4b31-93f2-8ca28ef6ec55,potassium,items_commodities_potassium,50,350,8,,ce1479e5-47b4-492c-a09a-55bce2526b2f,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_potassium.xml
HaulCargo_AtoB_Supply_Waste,Hauling,1,b999ef65-35be-45bf-908a-5eac6e06ba12,waste,items_commodities_waste,50,350,8,,203167cf-a30c-4f35-8ac7-6799defd7f2e,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply_waste.xml
HaulCargo_AtoB_Supply,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,50,350,8,,967c2f2d-02e1-4e1b-9efd-585427a3e7b5,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_supply.xml
HaulCargo_AtoB_WTP_AgriculturalSupplies,Hauling,1,9c09556c-a9c7-4af8-893d-7a3cd6152746,agriculturalSupplies,items_commodities_agriculturalSupplies,3,3,1,,9d3424fe-881c-492a-97f7-40ed54eaf2ec,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_wtp_agriculturalsupplies.xml
HaulCargo_AtoB_WTP_MedicalSupplies,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,3,5,1,,aece763a-811a-4f88-9771-e12bdeb3c92a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_wtp_medicalsupplies.xml
HaulCargo_AtoB_WTP_ProcessedFood,Hauling,1,accacd33-3a1a-4ec7-8b4a-14b9f028047c,processedFood,items_commodities_processedFood,3,7,1,,56e5d179-e629-4af2-af27-3128d2d323dc,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_wtp_processedfood.xml
HaulCargo_AtoB_YardRush_Mining_Large_Stanton,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,334,334,-1,,b4cfdcf2-03ba-4bd5-8921-020982454597,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_large_stanton.xml
HaulCargo_AtoB_YardRush_Mining_Large_Stanton,Hauling,2,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,334,334,-1,,b4cfdcf2-03ba-4bd5-8921-020982454597,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_large_stanton.xml
HaulCargo_AtoB_YardRush_Mining_Large,Hauling,1,1b4c4042-5fdc-4b52-bec4-07085cb3520a,tin,items_commodities_tin,228,228,-1,,b3d06464-9854-420c-bed3-98d5bac0efc1,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_large.xml
HaulCargo_AtoB_YardRush_Mining_Large,Hauling,2,f9f3251a-8e48-408a-b957-f1e3d5d3e213,pressurizedIce,items_commodities_pressurized_ice,228,228,-1,,b3d06464-9854-420c-bed3-98d5bac0efc1,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_large.xml
HaulCargo_AtoB_YardRush_Mining_Medium_Stanton,Hauling,1,a789f57a-e12b-4bcd-8132-e0c03d84fc89,copper,items_commodities_copper,94,94,-1,,f0c14924-c180-4c07-8828-97722283d8c6,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_medium_stanton.xml
HaulCargo_AtoB_YardRush_Mining_Medium_Stanton,Hauling,2,4236c16b-c47f-4083-9e26-4313733f2326,corundum,items_commodities_corundum,94,94,-1,,f0c14924-c180-4c07-8828-97722283d8c6,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_yardrush_mining_medium_stanton.xml
