Mission Class,Description Key,Contract Intel,Cooldown,Reward,Reward Currency,Time Limit,Efficiency,Mission Difficulty,Record GUID,Record Path
HaulCargo_AToB_Gas_Hydrogen_Stanton1,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,45a811df-6e02-4a72-be41-58d36f9a2f68,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton1.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton2_SmallGrade,HaulCargo_AtoB_desc,"Reward: 43,750 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,43750,UEC,300,,2,20dd9e59-b54b-43c6-9fb9-291a92916ea1,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton2_smallgrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton2_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 160,500 aUEC\nTime Limit: 420 min\nCooldown: 10 min",10 min,160500,UEC,420,,2,492d571b-4f78-4e0f-a116-855f8f9aff6d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton2_supplygrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton2,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,4a5c2d85-2862-4f55-ab10-2f536ac5b9ef,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton2.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton3_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 163,250 aUEC\nTime Limit: 480 min\nCooldown: 10 min",10 min,163250,UEC,480,,2,1d100395-47c4-4fba-8d65-d4773ade2209,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton3_supplygrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton3,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,bed2d030-7b64-4821-a0cd-14e7f1345e3b,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton3.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton4_SmallGrade,HaulCargo_AtoB_desc,"Reward: 43,750 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,43750,UEC,300,,2,7e790de1-0351-453b-933c-0085fab3cac7,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton4_smallgrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton4_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 60,750 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,60750,UEC,300,,3,101e684a-9212-4dec-8f93-c3d59c14f719,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton4_smallgrade1.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton4_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 163,250 aUEC\nTime Limit: 480 min\nCooldown: 10 min",10 min,163250,UEC,480,,2,16ec5e8e-add3-4733-a4c9-c0d4f56d4f6f,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton4_supplygrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton4,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,19a158f9-e757-4cf3-830a-8e5ec7366cda,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton4.xml
HaulCargo_AToB_Gas_Hydrogen_TEMPLATE,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,36ba7968-7c5f-45a7-af30-6ab1db396205,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_template.xml
HaulCargo_AToB_Gas_Oxygen_CrossStanton,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,f108b4c0-a478-4b86-a549-7d39d8667984,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_crossstanton.xml
HaulCargo_AToB_Gas_Oxygen_Interstellar_BulkGrade,HaulCargo_AtoB_desc,"Reward: 154,250 aUEC\nTime Limit: 540 min\nCooldown: 20 min",20 min,154250,UEC,540,,2,0548bcc2-6d14-45b9-853d-b953cf5cc490,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_interstellar_bulkgrade.xml
HaulCargo_AToB_Gas_Oxygen_Interstellar,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,2f305599-7839-4095-9ea6-f4f751aeae70,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_interstellar.xml
HaulCargo_AToB_Gas_Oxygen_Stanton_SmallGrade,HaulCargo_AtoB_desc,"Reward: 42,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,42250,UEC,300,,2,abe90f41-05e5-4cc7-b7cd-075d70d53bda,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton_smallgrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton1_SmallGrade,HaulCargo_AtoB_desc,"Reward: 37,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,37250,UEC,300,,2,0d89dbfc-be2a-42f3-a053-1aeb49a96720,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton1_smallgrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton1,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,71caa78d-ed13-4f15-8be3-bc5077973981,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton1.xml
HaulCargo_AToB_Gas_Oxygen_Stanton2_SmallGrade,HaulCargo_AtoB_desc,"Reward: 37,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,37250,UEC,300,,2,6886e383-c10e-4703-b3da-b6ed82046d95,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton2_smallgrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton2_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 76,500 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,76500,UEC,300,,2,1cf3313c-46ab-4da9-9831-199d84877f0f,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton2_supplygrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton2,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,52946f72-44d0-45d0-86ea-a56ab73bb1b7,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton2.xml
HaulCargo_AToB_Gas_Oxygen_Stanton3_SmallGrade,HaulCargo_AtoB_desc,"Reward: 37,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,37250,UEC,300,,2,58d637d1-ec29-4a8d-9d8f-6aced1e16fde,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton3_smallgrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton3,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,d5979024-2a2b-46d0-bc70-2db7b44b0595,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton3.xml
HaulCargo_AToB_Gas_Oxygen_Stanton4_SmallGrade,HaulCargo_AtoB_desc,"Reward: 37,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,37250,UEC,300,,2,e789218e-8f2c-4389-b01f-4108b7a63d7d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton4_smallgrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton4_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 52,500 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,52500,UEC,300,,3,c41965e4-1aa5-41c2-a700-2e998603f722,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton4_smallgrade1.xml
HaulCargo_AToB_Gas_Oxygen_Stanton4_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 76,500 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,76500,UEC,300,,2,a6e15659-b99d-47e2-9195-16745c15f2f4,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton4_supplygrade.xml
HaulCargo_AToB_Gas_Oxygen_Stanton4,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,df4a2eec-b751-445c-b581-11c862bbbffa,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_stanton4.xml
HaulCargo_AToB_Gas_Oxygen_TEMPLATE,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,bec5dd89-5a88-4e09-a38f-79dc9cedaf76,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_oxygen_template.xml
HaulCargo_AToB_Gas_TEMPLATE,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,3e11741c-9bd1-43d6-a95a-9cd811a2a9e2,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_template.xml
HaulCargo_AToB_NonMetal_Carbon_CrossStanton,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,217e1483-3f52-4116-a623-45a4e314a35d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_crossstanton.xml
HaulCargo_AToB_NonMetal_Carbon_Interstellar_BulkGrade,Covalex_HaulCargo_AToB_Stanton_Interstellar,"Reward: 138,250 aUEC\nTime Limit: 480 min\nCooldown: 20 min",20 min,138250,UEC,480,,2,ec96a774-feed-42fd-b5a8-7752240fe523,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_interstellar_bulkgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Interstellar,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,dec9cc32-900a-495e-9373-86aa1d265bb7,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_interstellar.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton_SmallGrade,HaulCargo_AtoB_desc,"Reward: 56,250 aUEC\nTime Limit: 360 min\nCooldown: 5 min",5 min,56250,UEC,360,,2,85f02f28-8a7a-4207-ba02-b1a0c581933d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton_smallgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton1_SmallGrade,HaulCargo_AtoB_desc,"Reward: 45,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,45000,UEC,300,,2,781516e8-f0f8-4954-934f-6ce34c6cca09,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton1_smallgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton1_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,50250,UEC,300,,2,e3667acb-dc53-45c8-8e71-2bfcee4b0710,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton1_smallgrade1.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton1,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,62d58c6b-02ab-47a7-8ed0-5dcb0a6a14e1,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton1.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton2_SmallGrade,HaulCargo_AtoB_desc,"Reward: 45,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,45250,UEC,300,,2,7841b41e-e10d-4408-8ed7-81a50cc5b4de,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton2_smallgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton2_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,50250,UEC,300,,2,d2a63e4f-aa9e-4b9a-9897-e7c0ed116d43,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton2_smallgrade1.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton2,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,4070d742-0e9f-4827-935f-8c256fa64b68,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton2.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton3_SmallGrade,HaulCargo_AtoB_desc,"Reward: 45,500 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,45500,UEC,300,,2,464dd8ad-8d21-4e7d-844d-dc763188251d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton3_smallgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton3_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 1 h",1 h,50250,UEC,300,,2,008422bb-f5cc-4659-bc49-2d83125c479d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton3_smallgrade1.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton3,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,71579543-e567-4ab7-895d-0557df815a91,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton3.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton4_SmallGrade,HaulCargo_AtoB_desc,"Reward: 45,750 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,45750,UEC,300,,2,f2d6ee05-1359-4cce-bcac-a998d01cbfec,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton4_smallgrade.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton4_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,50250,UEC,300,,2,65a2e1d0-b3e0-4b39-8cc0-3c3a5cd2bdbe,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton4_smallgrade1.xml
HaulCargo_AToB_NonMetal_Carbon_Stanton4,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,006d4cb1-3725-43c5-a5d2-f1361224733d,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_stanton4.xml
HaulCargo_AToB_NonMetal_Carbon_TEMPLATE,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,6238dec5-0ece-447c-a4a8-274a2f654503,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_carbon_template.xml
HaulCargo_AToB_NonMetal_Silicon_Interstellar_BulkGrade,Covalex_HaulCargo_AToB_Stanton_Interstellar,"Reward: 154,250 aUEC\nTime Limit: 540 min\nCooldown: 20 min",20 min,154250,UEC,540,,2,02a12411-6efe-4a60-84bf-64dbf75a83d6,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_interstellar_bulkgrade.xml
HaulCargo_AToB_NonMetal_Silicon_Interstellar,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,57b964b0-2759-42e6-b2a3-1cf731262cb1,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_interstellar.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton1_SmallGrade,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,50250,UEC,300,,2,13e5db74-983e-4b04-b7c9-6a90df0b4c30,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton1_smallgrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton1_SmallGrade1,HaulCargo_AtoB_desc,"Reward: 50,250 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,50250,UEC,300,,2,7758a0b8-c044-4782-bc50-94e077e69961,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton1_smallgrade1.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton1_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 50,500 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,50500,UEC,300,,2,4c337715-d4ba-43ef-a18e-3a216015ed3c,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton1_supplygrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton1_SupplyGrade1,HaulCargo_AtoB_desc,"Reward: 56,000 aUEC\nTime Limit: 300 min",,56000,UEC,300,,2,6040f94b-6dca-421c-bec0-b59b911bb378,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton1_supplygrade1.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton1,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,eb99349f-d65f-421d-b48f-adba718f8cfe,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton1.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton2_SmallGrade,HaulCargo_AtoB_desc,"Reward: 49,750 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,49750,UEC,300,,2,ae91f738-a1b5-445a-ab42-301518478630,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton2_smallgrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton2_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 50,750 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,50750,UEC,300,,2,46e7d1d4-82b8-43bf-927a-efa7a9c2525e,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton2_supplygrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton2_SupplyGrade1,HaulCargo_AtoB_desc,"Reward: 56,000 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,56000,UEC,300,,2,893c2c00-aae4-4467-896e-bf23414027d9,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton2_supplygrade1.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton2,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,6dcc1281-158a-4d27-bf46-99b1dd3331f0,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton2.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton3_SmallGrade,HaulCargo_AtoB_desc,"Reward: 57,000 aUEC\nTime Limit: 360 min\nCooldown: 5 min",5 min,57000,UEC,360,,2,336a454a-47fb-40d5-a840-d74ef8783554,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton3_smallgrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton3_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 51,000 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,51000,UEC,300,,2,fc688446-f457-4be6-8253-6f744da9dabb,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton3_supplygrade.xml
HaulCargo_AToB_NonMetal_Silicon_Stanton3_SupplyGrade1,HaulCargo_AtoB_desc,"Reward: 56,000 aUEC\nTime Limit: 300 min\nCooldown: 10 min",10 min,56000,UEC,300,,2,37766e65-73b7-4461-b40a-b1169cf22580,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_nonmetal_silicon_stanton3_supplygrade1.xml
