PoolClass,BlueprintGuids,Ref,Path
BP_REWARDS_EckhartSecurityKillNPCBoss,"[{""guid"":""373079a1-8480-49d8-bd97-ea0c4fa24432"",""weight"":1},{""guid"":""c7641484-d1cc-471c-aa9e-9da5419e3ee5"",""weight"":1},{""guid"":""f059b40e-51a3-49c0-89d7-26a72ffcdffc"",""weight"":1},{""guid"":""6713db41-8231-4e71-b7a2-74073ddd4b50"",""weight"":1},{""guid"":""28d4dfac-a77b-4c42-beae-60d82643f190"",""weight"":1},{""guid"":""28a5e6ff-7dde-494e-a938-deb133ce7d9f"",""weight"":1},{""guid"":""9e514c69-af37-4e55-808a-63c5822e6acf"",""weight"":1}]",7d65ed76-f824-430a-8597-045b6b759dfb,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecuritykillnpcboss.xml
BP_REWARDS_EckhartSecurityShipAmbushEasy,"[{""guid"":""2a8d359b-08da-41e2-8809-92ffeef0dc6f"",""weight"":1},{""guid"":""02a12ac4-9436-4f03-9da4-043427bd5678"",""weight"":1},{""guid"":""78b1bf49-bdd8-48e9-9cbe-1faeb95f24d5"",""weight"":1},{""guid"":""5907d8df-c6c0-4609-83d9-a6130a7b210a"",""weight"":1},{""guid"":""5ef6986b-12eb-4e2d-93d3-a4def34584c0"",""weight"":1}]",02642d19-8a53-481c-ab3e-f57a7f0dd7c7,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityshipambusheasy.xml
BP_REWARDS_EckhartSecurityShipAmbushHardPlus,"[{""guid"":""36a88bbc-555d-468f-b333-9a8759e60426"",""weight"":1},{""guid"":""30ec1d99-ec11-4f6d-bdeb-bffcb5a93cfb"",""weight"":1},{""guid"":""628ef015-246b-49b5-9943-253aace1263f"",""weight"":1},{""guid"":""cecb97f4-200d-4ecf-b428-78c3d005dcea"",""weight"":1},{""guid"":""2483cc8f-f8b3-496e-8f77-9885d4751c1f"",""weight"":1}]",125d96b9-5255-4443-b825-26c69064f08d,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityshipambushhardplus.xml
BP_REWARDS_EckhartSecurityShipAmbushMed,"[{""guid"":""8e3ac3f9-a7ed-4959-8527-6bf030a0293d"",""weight"":1},{""guid"":""35f34597-906c-4cc6-b823-ab331fbb34b8"",""weight"":1},{""guid"":""f4a4939e-2d1c-40db-af6a-e29ec625fc7e"",""weight"":1},{""guid"":""721c2625-e684-4dfb-8a58-356fcf92022d"",""weight"":1},{""guid"":""323d25f0-7345-4a74-9c18-c29524eb0a6b"",""weight"":1}]",c3bc2b3e-b943-4194-911d-f70b66741103,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityshipambushmed.xml
BP_REWARDS_FTL,"[{""guid"":""6ba5fce8-fac4-42f3-8606-0185b2823ee2"",""weight"":1},{""guid"":""126749c2-1e22-4e39-9c79-e04b7761bb3e"",""weight"":1},{""guid"":""c8e37bc7-6bd5-4225-a823-8975e46765e2"",""weight"":1},{""guid"":""3aad9a44-5f8c-44d0-b3a4-80f55602fade"",""weight"":1},{""guid"":""bf79619f-f10b-4f57-bd79-59f308e85e0f"",""weight"":1},{""guid"":""319ae36a-601c-47d5-b165-c71e9a624654"",""weight"":1}]",2a22663d-da4c-4df1-a384-590fef2f2492,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_ftl.xml
BP_REWARDS_FuelNozzle,"[{""guid"":""6f0487ce-1696-4b62-abb4-587d30d0e6da"",""weight"":1},{""guid"":""990aa98f-0674-466f-9875-113d414d690b"",""weight"":1},{""guid"":""dbe5c153-2149-4843-9b03-297f3e66d092"",""weight"":1},{""guid"":""96566b51-4fed-4711-ae6e-9565f54a1ffa"",""weight"":1},{""guid"":""6d1117b4-6bc0-4279-acfc-a675da2dad3d"",""weight"":1},{""guid"":""40e0d74b-2449-4102-a856-514c4c62400b"",""weight"":1},{""guid"":""52d84acb-6817-4fed-8741-e85ddba302cc"",""weight"":1},{""guid"":""ff1d331e-dfb1-4864-8755-cbf187be5ae3"",""weight"":1}]",819a9851-9c2e-4a24-872b-b860331d32d0,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_fuelnozzle.xml
BP_REWARDS_FullStrikeOnStationA,"[{""guid"":""ef2fe5ec-e7c3-4c44-b589-b3cdf2f83db5"",""weight"":1},{""guid"":""a94dcfee-51b0-439a-bbc7-62086dbd2395"",""weight"":1},{""guid"":""fdb77585-2af6-4ee7-b603-e5116618b966"",""weight"":1},{""guid"":""7aa43fa1-11d7-4ad2-a1b7-9b11a92b4d5c"",""weight"":1},{""guid"":""6ef10d50-8fde-4d6e-9fdd-71486a57cba8"",""weight"":1},{""guid"":""996b49dc-96ec-431d-8638-be232ef89596"",""weight"":1},{""guid"":""e03e2902-6fbc-49b5-8d97-08aa6cc8d043"",""weight"":1},{""guid"":""91e2ba6e-8cf3-48c6-aceb-0523e9b85a83"",""weight"":1},{""guid"":""d990dcb6-490d-4e3b-9627-8a1950fa25bc"",""weight"":1},{""guid"":""152d4fe6-b50a-4a46-82e4-69b52606f9b5"",""weight"":1},{""guid"":""d564c96b-1b6a-443d-b31a-57df452ad4d0"",""weight"":1},{""guid"":""662028d6-b908-4058-bb46-a00ea072645a"",""weight"":1},{""guid"":""a8200d22-2c1d-47a7-9106-032eb8994916"",""weight"":1},{""guid"":""73ea6995-568d-4bbe-82ce-a981cb20798b"",""weight"":1}]",dbaf603a-534f-4bbf-9dfd-e64e4aaec62e,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_fullstrikeonstationa.xml
BP_REWARDS_FullStrikeOnStationB,"[{""guid"":""280f47b7-8434-410c-b854-380768fdccec"",""weight"":1},{""guid"":""3e1831e2-fe5d-4383-9709-d1125cb2f174"",""weight"":1},{""guid"":""d1172623-c96d-4d3a-9aef-a9fc75192183"",""weight"":1},{""guid"":""8af10b9c-dbe4-41b6-9e1b-5ff99a3360f4"",""weight"":1},{""guid"":""2dd642a7-7204-42c3-b45d-1d017bed5420"",""weight"":1},{""guid"":""0b456971-e99b-4950-a435-464b231640b8"",""weight"":1},{""guid"":""9585b0dc-b660-4e2a-9136-0092af1e72c1"",""weight"":1},{""guid"":""1535c647-30e7-493e-9494-132c511b2c3a"",""weight"":1},{""guid"":""799e4d02-1b04-45cb-ac67-2453588a8c99"",""weight"":1},{""guid"":""99f5c8a9-2721-439e-9f18-b2ad7d9fc0ed"",""weight"":1}]",fb2a7d3e-8e67-4567-a08f-409d88cccc8a,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_fullstrikeonstationb.xml
BP_REWARDS_HeadHuntersMercenaryShipRegionA,"[{""guid"":""ad0494d5-ca83-4f6a-a4c0-f29b7b221a20"",""weight"":1},{""guid"":""b04aff42-d892-4ca9-991e-101c869a7caa"",""weight"":1},{""guid"":""a8c6afe2-0920-43ca-a62f-01bf6908c93e"",""weight"":1},{""guid"":""b8f01d8f-9673-4a3b-8454-54ddb7962d47"",""weight"":1},{""guid"":""d6d9b647-15a8-4240-ad56-bce7fa1c9ddf"",""weight"":1},{""guid"":""15372a7f-d011-452f-bb27-17eb8bb06499"",""weight"":1},{""guid"":""547e0853-0d93-4ff5-8725-20f273ac77b6"",""weight"":1}]",0e810eae-7b66-45aa-a18f-ffc1aae15585,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_headhuntersmercenaryshipregiona.xml
BP_REWARDS_HeadHuntersMercenaryShipRegionB,"[{""guid"":""bb0bcf7d-9953-4d81-9976-284c9bc356e1"",""weight"":1},{""guid"":""09016880-5718-4e0a-b065-6166b994c634"",""weight"":1},{""guid"":""bdbb4d6c-9ca4-4df8-9ae0-453740aa3386"",""weight"":1},{""guid"":""9138f384-0dff-4d10-81a0-f535a96fb698"",""weight"":1},{""guid"":""54d0f29f-9748-4a2d-9bba-88b512398c81"",""weight"":1}]",4b340951-c7f6-49af-bcc7-9fadcecf6c8c,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_headhuntersmercenaryshipregionb.xml
BP_REWARDS_HeadHuntersMercenaryShipRegionC,"[{""guid"":""b4e72df7-8386-4a6b-8bd8-de629a830676"",""weight"":1},{""guid"":""caaf41d5-d10c-49d7-bfad-fd5b3aa839c8"",""weight"":1},{""guid"":""19550053-2b2c-4382-9da0-cf72e32e7976"",""weight"":1},{""guid"":""8d85dc06-c989-4efd-89a8-1d73181480a6"",""weight"":1},{""guid"":""8739a357-7649-4498-8ada-b423d51aff37"",""weight"":1}]",de417e15-2936-497a-8f90-7a52eb2eb12a,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_headhuntersmercenaryshipregionc.xml
BP_REWARDS_HeadHuntersMercenaryShipRegionD,"[{""guid"":""9b4499d4-b54c-4eb9-b661-e65f3d0f501d"",""weight"":1},{""guid"":""dc08fa4e-07fa-408a-a71b-b03b2168d1df"",""weight"":1},{""guid"":""f7ff5090-1c6b-497c-9ca5-a2156214c9ed"",""weight"":1},{""guid"":""aa1cb1df-fe5c-4067-8396-ef117e8e3c3d"",""weight"":1},{""guid"":""c3be6d25-0ed6-4ee1-9d80-cfe59950ad5c"",""weight"":1},{""guid"":""23092591-270b-4a8a-84d2-8b695f9750d1"",""weight"":1},{""guid"":""46783ecc-9b6d-4f3c-98a6-53c3a0c293d6"",""weight"":1},{""guid"":""d79ee29c-4528-4b5f-98cc-f5e6e225c528"",""weight"":1}]",14ac943a-df05-4bd8-9596-b268d7e7748b,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_headhuntersmercenaryshipregiond.xml
BP_REWARDS_IDSRecoverEncryptedDataVgear,"[{""guid"":""4c5a8d37-1eb2-4395-8c3e-54b8f738639d"",""weight"":1},{""guid"":""8f166b36-2bb7-4d38-9e3a-464801b40f83"",""weight"":1},{""guid"":""626da3a0-dc9c-49bd-ad97-497239675894"",""weight"":1}]",1817df4b-2d1c-4735-872d-cb471cf07201,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_idsrecoverencrypteddatavgear.xml
BP_REWARDS_LingHard,"[{""guid"":""1f57b7a3-ae43-405f-b9cc-457efb01cbc8"",""weight"":1},{""guid"":""8d52ba42-4652-46cc-8ab2-80208d2a86af"",""weight"":1},{""guid"":""ae7c1cc4-0e85-44b4-b975-5307f44ab4fe"",""weight"":1},{""guid"":""99773ffb-9f57-40f0-9a52-1ff3235f0581"",""weight"":1},{""guid"":""dc29ad18-61c1-48c5-b72e-48558de31d8f"",""weight"":1},{""guid"":""9de8d5a0-7c70-4320-b67e-6adb4b0881e2"",""weight"":1},{""guid"":""b997eb17-cd7d-43a4-8e49-2a580d5019f9"",""weight"":1}]",8e69e4bd-3b6a-42a0-8b8b-808eede34d29,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_linghard.xml
BP_REWARDS_NyxFoxwellEasy,"[{""guid"":""bde33318-8438-4fdf-a181-4536963a600a"",""weight"":1},{""guid"":""a2d82829-3c39-410f-bdde-275fc165499f"",""weight"":1},{""guid"":""d4bbe697-a58d-4c55-aa8e-f980396ac925"",""weight"":1},{""guid"":""9de39ccc-d212-4784-b1d9-c51d353b9a79"",""weight"":1},{""guid"":""31f6cdd8-e293-48c5-a78e-1155a8fbba16"",""weight"":1},{""guid"":""9c0e0712-eed7-4277-b4f7-9367b75c48c3"",""weight"":1},{""guid"":""27d16810-745e-41f6-9332-bc914ec9765e"",""weight"":1},{""guid"":""80f82e57-67d7-464e-a3f1-10770d31440e"",""weight"":1},{""guid"":""0fc20c2e-3b7d-4f3d-ade1-57e65c3195c8"",""weight"":1},{""guid"":""c1d17db7-413a-48b7-83be-7f3dd47231ce"",""weight"":1},{""guid"":""2783ac7f-337e-4998-b77e-f8004bdb498f"",""weight"":1},{""guid"":""267970a8-095d-440a-a7ae-68215b8eafe2"",""weight"":1},{""guid"":""f046ebef-00e3-4427-853d-1c0bcd932068"",""weight"":1},{""guid"":""b74f7d57-dd8f-4295-a01d-794f899e4f40"",""weight"":1},{""guid"":""4725bf9e-2981-4a20-a7ae-9b0427638be6"",""weight"":1},{""guid"":""6572adc5-af6d-4eaa-a4b8-3e016a4d2f7f"",""weight"":1}]",918ba6a6-772e-49c9-9d80-3f0c637a85e5,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_nyxfoxwelleasy.xml
BP_REWARDS_NyxFoxwellHard,"[{""guid"":""b3d5b701-727c-4277-8f0f-6e005160cf81"",""weight"":1},{""guid"":""e4103421-02a1-4636-8e38-bf06878fbc53"",""weight"":1},{""guid"":""fc04742c-2db3-4bfd-a5fb-833d4304a5fe"",""weight"":1},{""guid"":""3593e520-5a6a-466a-ac7d-d882fa07d3ef"",""weight"":1},{""guid"":""24430036-84e8-497b-98fa-075ac0bc907e"",""weight"":1},{""guid"":""3cc18579-1ba4-4217-9e3a-a7caed422693"",""weight"":1},{""guid"":""b7a15496-f49f-4d83-aeb3-34fcb0a94c3f"",""weight"":1}]",d3ddab48-c45a-4488-a416-887f2dc869fe,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_nyxfoxwellhard.xml
BP_REWARDS_NyxHeadhuntersEasy,"[{""guid"":""a1b5c9ef-be2e-4077-ba67-4a3028970c49"",""weight"":1},{""guid"":""f6c07dae-cca0-4abd-adc9-e1c6b6acfca1"",""weight"":1},{""guid"":""7f553855-0712-42cc-8d2a-1bc301b63ea4"",""weight"":1},{""guid"":""1239aec1-9d22-4fd8-a694-2eee52243aad"",""weight"":1},{""guid"":""0c113b8f-0bff-4b62-adf1-64c31786c85b"",""weight"":1},{""guid"":""1414bc9f-2a10-440d-86b0-91c85cfaa28d"",""weight"":1},{""guid"":""b19e0018-91e7-4f53-9d87-4c083131b851"",""weight"":1},{""guid"":""f24ec6ba-88fe-44a9-ae11-996385696c8f"",""weight"":1},{""guid"":""787f5cf3-cb9f-4811-b991-475b09d2d039"",""weight"":1},{""guid"":""7be41934-c13b-41a0-be05-5b8dab42cf23"",""weight"":1},{""guid"":""571b10ba-8033-4d00-b767-3f2edde7e9e3"",""weight"":1},{""guid"":""770ba210-bb7e-4b88-a7d8-2f132fa4bc0f"",""weight"":1},{""guid"":""524a5e92-3b86-459f-ac0f-cc4fb96d7577"",""weight"":1},{""guid"":""95fc7cad-58d5-4bc4-b643-c0633c6f2b0e"",""weight"":1},{""guid"":""8efd4e68-449f-48f2-a6d3-fda82c575e61"",""weight"":1},{""guid"":""6ec023c3-d739-40bf-899e-4a3e66520263"",""weight"":1},{""guid"":""abdb3c60-cdc5-4bd5-bbcc-55da792bc584"",""weight"":1}]",ed0b8aaa-eec6-4c72-b9e7-b0b48ab5e135,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_nyxheadhunterseasy.xml
BP_REWARDS_NyxHeadhuntersHard,"[{""guid"":""511c22a9-7ba1-487b-b768-1b14d2ddbf2f"",""weight"":1},{""guid"":""4ac17f62-86b3-453c-adf0-b52fcf1ebf6c"",""weight"":1},{""guid"":""6851a453-e5c5-4d29-82d5-c233f04d92db"",""weight"":1},{""guid"":""d9999ce7-5565-4d8a-b31c-3a833b159756"",""weight"":1},{""guid"":""7ebefb45-b494-4d2c-9ae0-06360079c727"",""weight"":1},{""guid"":""1b6eb647-f144-4643-9d8d-ec76bf5c985f"",""weight"":1},{""guid"":""4f494fdb-d489-4b51-9f0a-c148e7d9f6b9"",""weight"":1}]",3373506b-2ba7-4493-af0d-f336966d1151,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_nyxheadhuntershard.xml
BP_REWARDS_PyroFoxwellEasy,"[{""guid"":""45d67f1d-42b4-41d0-83f5-7b712d3b17a2"",""weight"":1},{""guid"":""6bb290c1-49d4-418c-a97e-4f6c0d09929e"",""weight"":1},{""guid"":""85aca18f-43f2-475d-96d3-3c8e506b40a3"",""weight"":1},{""guid"":""76b86090-d310-4b66-8685-6cf7f3edddaf"",""weight"":1},{""guid"":""489787a2-175f-4a26-9bdb-81b86acbf4c8"",""weight"":1},{""guid"":""91acb06c-7a01-489d-8927-5a841f4c15a6"",""weight"":1},{""guid"":""8fe934b5-ac5a-448e-bc3c-cb22bd9cb3ab"",""weight"":1},{""guid"":""892b74ea-9651-4b74-bc41-763714c96229"",""weight"":1},{""guid"":""fa5951a5-5063-49c8-8f4c-a6b341801aea"",""weight"":1},{""guid"":""35b476f2-8c2f-4e09-aae4-20e4c754c6db"",""weight"":1},{""guid"":""cd9e8d71-16f5-473c-bbec-222c818e9443"",""weight"":1},{""guid"":""c851e5ce-1f84-4ae1-a09e-a8f1338e5ef1"",""weight"":1},{""guid"":""29ae5b0d-9fbd-4be5-89da-0b854f5065f8"",""weight"":1},{""guid"":""d4ff44e3-ece8-48bb-bcec-9a6f9bf86610"",""weight"":1}]",82426625-1081-4bc2-a72f-04f8e6c7d463,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_pyrofoxwelleasy.xml
BP_REWARDS_PyroFoxwellHard,"[{""guid"":""64c8213c-7149-4b91-94ed-1011d64f6a25"",""weight"":1},{""guid"":""d9def0f6-9dc1-4267-b446-85a1ad9ce954"",""weight"":1},{""guid"":""81bd2f26-f106-4273-aed7-a66f52b14978"",""weight"":1},{""guid"":""9ead63a3-24a5-4338-8823-2343ccfb5a5d"",""weight"":1},{""guid"":""d72617b3-a862-4276-9cf9-653a59df1ae5"",""weight"":1},{""guid"":""58d61445-870d-4a25-a42d-89792faac8e8"",""weight"":1}]",f99fb032-c235-42c8-9e05-cb3443c26e55,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_pyrofoxwellhard.xml
BP_REWARDS_PyroHeadhuntersEasy,"[{""guid"":""7a18b345-06c7-40be-b0ac-b7177307ab21"",""weight"":1},{""guid"":""8d09eac2-30e7-4787-b9d0-0ddf270c7dbd"",""weight"":1},{""guid"":""ea73da29-d597-4930-91ac-846310561bb0"",""weight"":1},{""guid"":""0ffe0e5a-e31a-4605-a7cc-1685b25a8047"",""weight"":1},{""guid"":""683c5b10-5dc3-48ee-aeb0-d830e0d398c0"",""weight"":1},{""guid"":""eecd464e-a8b5-4925-bc37-c80213bf3db6"",""weight"":1},{""guid"":""d2bf9a84-e5fb-4172-8d18-b7a83e8c080f"",""weight"":1}]",6b6f3678-9f0e-4188-ae68-f5c1177230be,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_pyroheadhunterseasy.xml
BP_REWARDS_PyroHeadhuntersHard,"[{""guid"":""1727fc8f-e31c-4d66-9670-084aadb15955"",""weight"":1},{""guid"":""ba842720-ad32-4d53-8f56-992bacb1fc45"",""weight"":1},{""guid"":""ac3dc178-0b5d-4a73-9ad6-6ce05e9c2620"",""weight"":1},{""guid"":""32267728-2647-485c-a565-cbe7e9e46a15"",""weight"":1},{""guid"":""a1125420-1e6a-4d09-97a7-0b4540605ea4"",""weight"":1}]",9cc0425d-5101-4f8a-a89d-6d483466829e,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_pyroheadhuntershard.xml
BP_REWARDS_RedWind,"[{""guid"":""b93b1228-2432-47a9-929e-15d04f95a440"",""weight"":1},{""guid"":""39e6a987-6b8f-4a75-95da-945522219147"",""weight"":1},{""guid"":""a0060a30-6f2e-4fdc-ba5f-ef03c067412c"",""weight"":1},{""guid"":""342314db-2713-4e37-9982-6fb66a8fd871"",""weight"":1},{""guid"":""a1999fd1-97b7-48de-b8ea-b062fba7c426"",""weight"":1},{""guid"":""8676d6a2-25ec-4bfd-89a4-4b65f195fa28"",""weight"":1}]",5406fc34-0f96-4d22-ae59-84307ada0288,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_redwind.xml
BP_REWARDS_ShubinRank0to1,"[{""guid"":""93dbf337-be86-4c3b-80ba-015955b8b9b8"",""weight"":1},{""guid"":""35f1121b-c021-4230-b68d-93e2cd578320"",""weight"":1},{""guid"":""1cc19fca-84a3-4e7f-8084-350e7bb31d42"",""weight"":1},{""guid"":""7a37ef95-bc0f-4a3b-93a2-05b9f160ee31"",""weight"":1},{""guid"":""b2bb2f91-d5de-4ea0-882d-013032f8a655"",""weight"":1},{""guid"":""86654362-5907-4139-a706-8ba6dcfd207f"",""weight"":1},{""guid"":""47f1994d-373b-4ade-b03e-c62f1eaa3538"",""weight"":1},{""guid"":""81f42807-1595-4dde-b88c-dc2578e8bf99"",""weight"":1}]",253e9697-5605-4732-b4fa-56af7a3dc140,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_shubinrank0to1.xml
