Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Max Speed,Stage 1 Accel,Stage 2 Accel,Spline Speed,Spool Time,Cooldown,Interdiction Delay,Fuel Rate
qdrv_arcc_s02_torrent,item_Name_QDRV_ARCC_S02_Torrent,,item_Desc_QDRV_ARCC_S02_Torrent,ARCC,2,3,UNDEFINED,410,201000000,3000000,13200000,400000,6,21.6,3,0.011881
qdrv_arcc_s03_echo,item_NameQDRV_ARCC_S03_Echo,,item_DescQDRV_ARCC_S03_Echo,ARCC,3,4,UNDEFINED,990,205000000,1500000,9680000,400000,7,11.8,3,0.049588
qdrv_arcc_s03_fissure,item_NameQDRV_ARCC_S03_Fissure_SCItem,,item_DescQDRV_ARCC_S03_Fissure_SCItem,ARCC,3,3,UNDEFINED,1100,246000000,1800000,11600000,400000,7,12,3,0.070196
qdrv_arcc_s03_impulse,item_NameQDRV_ARCC_S03_Impulse_SCItem,,item_DescQDRV_ARCC_S03_Impulse_SCItem,ARCC,3,2,UNDEFINED,1300,295000000,2160000,13900000,400000,7,12.3,3,0.074704
qdrv_just_s01_colossus,item_Name_QDRV_JUST_S01_Colossus,,item_Desc_QDRV_JUST_S01_Colossus,JUST,1,2,UNDEFINED,210,257000000,4200000,18000000,500000,4,21,3,0.005488
qdrv_just_s01_goliath,item_NameQDRV_JUST_S01_Goliath,,item_DescQDRV_JUST_S01_Goliath,JUST,1,3,UNDEFINED,180,215000000,3500000,15000000,500000,4,22,3,0.0058
qdrv_just_s01_vulcan,item_NameQDRV_JUST_S01_Vulcan_SCItem,,item_DescQDRV_JUST_S01_Vulcan_SCItem,JUST,1,4,UNDEFINED,160,179000000,2920000,12500000,500000,4,23,3,0.006076
qdrv_just_s02_bolon,item_NameQDRV_JUST_S02_Bolon,,item_DescQDRV_JUST_S02_Bolon,JUST,2,3,UNDEFINED,500,262000000,2100000,13200000,400000,6,39.6,3,0.00654
qdrv_just_s02_huracan,item_NameQDRV_JUST_S02_Huracan_SCItem,,item_DescQDRV_JUST_S02_Huracan_SCItem,JUST,2,2,UNDEFINED,570,314000000,2520000,15800000,400000,6,37.8,3,0.006104
qdrv_just_s02_yaluk,item_Name_QDRV_JUST_S02_Yaluk,,item_Desc_QDRV_JUST_S02_Yaluk,JUST,2,4,UNDEFINED,430,218000000,1750000,11000000,400000,6,41.4,3,0.006758
qdrv_just_s03_agni,item_NameQDRV_JUST_S03_Agni_SCItem,,item_DescQDRV_JUST_S03_Agni_SCItem,JUST,3,2,UNDEFINED,1600,383000000,1510000,13900000,400000,7,21,3,0.036064
qdrv_just_s03_kama,item_NameQDRV_JUST_S03_Kama,,item_DescQDRV_JUST_S03_Kama,JUST,3,3,UNDEFINED,1400,319000000,1260000,11600000,400000,7,22,3,0.03864
qdrv_just_s03_vesta,item_NameQDRV_JUST_S03_Vesta_SCItem,,item_DescQDRV_JUST_S03_Vesta_SCItem,JUST,3,4,UNDEFINED,1200,266000000,1050000,9680000,400000,7,23,3,0.039928
qdrv_orig_s04_890j,item_NameQDRV_ORIG_S04_890J_SCItem,,item_DescQDRV_ORIG_S04_890J_SCItem,,4,1,UNDEFINED,9900,512000000,907000,12600000,400000,9,32,3,0.0613
qdrv_raco_s01_drift,item_NameQDRV_RACO_S01_Drift,,item_DescQDRV_RACO_S01_Drift,RACO,1,3,UNDEFINED,130,140000000,6500000,12800000,500000,4,12,3,0.01666
qdrv_raco_s01_spectre,item_NameQDRV_RACO_S01_Spectre_SCItem,,item_DescQDRV_RACO_S01_Spectre_SCItem,RACO,1,1,UNDEFINED,170,196000000,9100000,17900000,500000,4,10.5,3,0.01862
qdrv_raco_s01_zephyr,item_Name_QDRV_RACO_S01_Zephyr,,item_Desc_QDRV_RACO_S01_Zephyr,RACO,1,2,UNDEFINED,150,168000000,7800000,15300000,500000,4,11,3,0.01764
qdrv_raco_s02_bolt,item_NameQDRV_RACO_S02_Bolt_SCItem,,item_DescQDRV_RACO_S02_Bolt_SCItem,RACO,2,2,UNDEFINED,400,205000000,4680000,13500000,400000,6,19.8,3,0.01962
qdrv_raco_s02_nova,item_NameQDRV_RACO_S02_Nova_SCItem,,item_DescQDRV_RACO_S02_Nova_SCItem,RACO,2,3,UNDEFINED,350,171000000,3900000,11200000,400000,6,21.6,3,0.01853
qdrv_raco_s02_spicule,item_NameQDRV_RACO_S02_Spicule_SCItem,,item_DescQDRV_RACO_S02_Spicule_SCItem,RACO,2,1,UNDEFINED,460,240000000,5460000,15700000,400000,6,18.9,3,0.02071
qdrv_rsi_s01_atlas,item_Name_QDRV_RSI_S01_Atlas,,item_Desc_QDRV_RSI_S01_Atlas,RSI,1,1,UNDEFINED,200,231000000,7000000,21000000,500000,4,8.7,3,0.007546
qdrv_rsi_s01_eos,item_NameQDRV_RSI_S01_Eos,,item_DescQDRV_RSI_S01_Eos,RSI,1,3,UNDEFINED,150,165000000,5000000,15000000,500000,4,9.4,3,0.009114
qdrv_rsi_s01_hyperion,item_NameQDRV_RSI_S01_Hyperion_SCItem,,item_DescQDRV_RSI_S01_Hyperion_SCItem,RSI,1,2,UNDEFINED,170,198000000,6000000,18000000,500000,4,9.1,3,0.008232
qdrv_rsi_s02_aither,item_NameQDRV_RSI_S02_Aither_SCItem,,item_DescQDRV_RSI_S02_Aither_SCItem,RSI,2,2,UNDEFINED,470,242000000,3600000,15800000,400000,6,16.38,3,0.009156
qdrv_rsi_s02_hemera,item_nameQDRV_RSI_S02_Hemera_SCItem,,item_DescQDRV_RSI_S02_Hemera_SCItem,RSI,2,1,UNDEFINED,540,282000000,4200000,18500000,400000,6,15.66,3,0.008393
qdrv_rsi_s02_khaos,item_nameQDRV_RSI_S02_Khaos_SCItem,,item_descQDRV_RSI_S02_Khaos_SCItem,RSI,2,3,UNDEFINED,410,201000000,3000000,13200000,400000,6,16.92,3,0.010137
qdrv_rsi_s03_erebos,item_NameQDRV_RSI_S03_Erebos,,item_DescQDRV_RSI_S03_Erebos,RSI,3,1,UNDEFINED,1500,344000000,2520000,16300000,400000,7,8.7,3,0.049588
qdrv_rsi_s03_metis,item_nameQDRV_RSI_S03_Metis_SCItem,,item_descQDRV_RSI_S03_Metis_SCItem,RSI,3,3,UNDEFINED,1100,246000000,1800000,11600000,400000,7,9.4,3,0.059892
qdrv_rsi_s03_tyche,item_nameQDRV_RSI_S03_Tyche_SCItem,,item_descQDRV_RSI_S03_Tyche_SCItem,RSI,3,2,UNDEFINED,1300,295000000,2160000,13900000,400000,7,9.1,3,0.054096
qdrv_s01_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,200,231000000,7000000,21000000,500000,4,10,3,1
qdrv_s02_template,LOC_PLACEHOLDER,,,,2,1,UNDEFINED,540,282000000,4200000,18500000,400000,6,18,3,1
qdrv_s03_template,LOC_PLACEHOLDER,,,,3,1,UNDEFINED,1500,344000000,2520000,16300000,400000,7,32,3,1
qdrv_s04_template,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,4100,419000000,1510000,14300000,400000,9,0,3,1
qdrv_s04_vncl_mauler,item_NameQDRV_VNCL_S04_Mauler,,item_DescQDRV_VNCL_S04_Mauler,,4,1,UNDEFINED,150000,500000000,376000,11200000,400000,9,32,3,0.0613
qdrv_tars_s01_expedition,item_NameQDRV_TARS_S01_Expedition,,item_DescQDRV_TARS_S01_Expedition,TARS,1,3,UNDEFINED,150,165000000,5000000,15000000,500000,4,10,3,0.0098
qdrv_tars_s01_voyage,item_Name_QDRV_TARS_S01_Voyage,,item_Desc_QDRV_TARS_S01_Voyage,TARS,1,2,UNDEFINED,170,198000000,6000000,18000000,500000,4,10,3,0.009114
qdrv_tars_s01_wayfare,item_nameQDRV_TARS_S01_Wayfare_SCItem,,item_descQDRV_TARS_S01_Wayfare_SCItem,TARS,1,4,UNDEFINED,130,138000000,4170000,12500000,500000,4,10,3,0.010094
qdrv_tars_s02_odyssey,item_NameQDRV_TARS_S02_Odyssey,,item_DescQDRV_TARS_S02_Odyssey,TARS,2,3,UNDEFINED,410,201000000,3000000,13200000,400000,6,18,3,0.0109
qdrv_tars_s02_quest,item_nameQDRV_TARS_S02_Quest_SCItem,,item_descQDRV_TARS_S02_Quest_SCItem,TARS,2,4,UNDEFINED,360,168000000,2500000,11000000,400000,6,18,3,0.011227
qdrv_tars_s02_sojourn,item_Name_QDRV_TARS_S02_Sojourn,,item_Desc_QDRV_TARS_S02_Sojourn,TARS,2,2,UNDEFINED,470,242000000,3600000,15800000,400000,6,18,3,0.010355
qdrv_tars_s03_drifter,item_nameQDRV_TARS_S03_Drifter_SCItem,,item_descQDRV_TARS_S03_Drifter_SCItem,TARS,3,4,UNDEFINED,990,205000000,1500000,9680000,400000,7,10,3,0.066332
qdrv_tars_s03_ranger,item_nameQDRV_TARS_S03_Ranger_SCItem,,Item_descQDRV_TARS_S03_Ranger_SCItem,TARS,3,2,UNDEFINED,1300,295000000,2160000,13900000,400000,7,10,3,0.06118
qdrv_tars_s03_wanderer,item_nameQDRV_TARS_S03_Wanderer_SCItem,,item_descQDRV_TARS_S03_Wanderer_SCItem,TARS,3,3,UNDEFINED,1100,246000000,1800000,11600000,400000,7,10,3,0.0644
qdrv_wetk_s01_beacon,item_NameQDRV_WETK_S01_Beacon,,item_DescQDRV_WETK_S01_Beacon,WETK,1,3,UNDEFINED,240,190000000,5750000,17300000,500000,4,12,3,0.01862
qdrv_wetk_s01_siren,item_NameQDRV_WETK_S01_Siren,,item_DescQDRV_WETK_S01_Siren,WETK,1,2,UNDEFINED,270,228000000,6900000,20700000,500000,4,12.3,3,0.02058
qdrv_wetk_s01_vk00,item_Name_QDRV_WETK_S01_VK00,,item_Desc_QDRV_WETK_S01_VK00,WETK,1,1,UNDEFINED,300,266000000,8050000,24200000,500000,4,12.7,3,0.02156
qdrv_wetk_s02_crossfield,item_NameQDRV_WETK_S02_Crossfield,,item_DescQDRV_WETK_S02_Crossfield,WETK,2,3,UNDEFINED,660,231000000,3450000,15200000,400000,6,21.6,3,0.02071
qdrv_wetk_s02_xl1,item_nameQDRV_WETK_S02_XL1_SCItem,,item_descQDRV_WETK_S02_XL1_SCItem,WETK,2,1,UNDEFINED,840,324000000,4830000,21300000,400000,6,22.86,3,0.02398
qdrv_wetk_s02_yeager,item_Name_QDRV_WETK_S02_Yeager,,item_Desc_QDRV_WETK_S02_Yeager,WETK,2,2,UNDEFINED,750,278000000,4140000,18200000,400000,6,22.14,3,0.02289
qdrv_wetk_s03_balandin,item_nameQDRV_WETK_S03_Balandin_SCItem,,item_descQDRV_WETK_S03_Balandin_SCItem,WETK,3,2,UNDEFINED,2100,339000000,2480000,16000000,400000,7,12.3,3,0.13524
qdrv_wetk_s03_pontes,item_NameQDRV_WETK_S03_Pontes,,item_DescQDRV_WETK_S03_Pontes,WETK,3,3,UNDEFINED,1800,282000000,2070000,13400000,400000,7,12,3,0.12236
qdrv_wetk_s03_ts2,item_NameQDRV_WETK_S03_TS2,,item_DescQDRV_WETK_S03_TS2,WETK,3,1,UNDEFINED,2300,395000000,2900000,18700000,400000,7,12.7,3,0.14168
qdrv_wetk_s04_idris_temp,item_NameQDRV_WETK_S04_Idris,,item_DescQDRV_WETK_S04_Idris,,4,1,UNDEFINED,48000,718000000,626000,12700000,400000,9,92.07,3,0.0613
