Entity Class,Composition GUID,Composition Class,Global Params GUID,Global Params Class,Audio Params GUID,Audio Params Class,Density Class GUID,Density Class,Filled Factor,Glow Curve Power,Glow Lerp Speed,Allow Auto Respawning,Record GUID,Record Path
AsteroidCTypeMineableRock_Titanium,d38a3a72-0801-44ef-ab74-cd853d10f486,Asteroid_CType_Titanium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,9846c734-68fd-49d6-8071-18bb6c620bdc,libs/foundry/records/entities/mineable/asteroidctypemineablerock_titanium.xml
AsteroidCTypeMineableRock_Tungsten,01459f9e-aa10-4156-aa48-72dba75b21ff,Asteroid_CType_Tungsten,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,3fca2f33-4681-4ae8-992e-8b00df46c006,libs/foundry/records/entities/mineable/asteroidctypemineablerock_tungsten.xml
AsteroidCTypeMineableRock,9632ae0e-3dbc-4f84-8c30-7fa581b6f07b,Asteroid_CType,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,fe0606cf-90f2-4bb0-9dc2-259aad7e1b57,libs/foundry/records/entities/mineable/asteroidctypemineablerock.xml
AsteroidETypeMineableRock_Aluminium,a434a2a1-b7ec-431c-8c2e-1d51f4d42844,Asteroid_EType_Aluminium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,e6bcd0a8-f473-4cd1-b23f-5dad5bdd8780,libs/foundry/records/entities/mineable/asteroidetypemineablerock_aluminium.xml
AsteroidETypeMineableRock_Copper,098b9e06-14fb-46a6-a878-455bad2be67f,Asteroid_EType_Copper,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,70cfe2eb-78dd-44a9-8f1a-5a4f1c4f61ae,libs/foundry/records/entities/mineable/asteroidetypemineablerock_copper.xml
AsteroidETypeMineableRock_Corundum,d5af598e-efbf-4252-8a2a-c2971f5970ed,Asteroid_EType_Corundum,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,7b68ecc3-823d-4458-966b-149512774223,libs/foundry/records/entities/mineable/asteroidetypemineablerock_corundum.xml
AsteroidETypeMineableRock_Iron,965611d1-7fbd-4dc6-9d7a-9676229293ff,Asteroid_EType_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,39da8290-1707-489d-b81b-fd1a6ebda353,libs/foundry/records/entities/mineable/asteroidetypemineablerock_iron.xml
AsteroidETypeMineableRock_Quartz,bab95330-d064-451f-81d1-23c559772371,Asteroid_EType_Quartz,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,eba35bb2-ce77-4207-ac98-34ba5b7c1dd8,libs/foundry/records/entities/mineable/asteroidetypemineablerock_quartz.xml
AsteroidETypeMineableRock_Silicon,e8f5208d-bcab-4fbc-8284-d19c843cfd2f,Asteroid_EType_Silicon,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,9eaf8dcf-03a4-41de-b3e8-f807929a3080,libs/foundry/records/entities/mineable/asteroidetypemineablerock_silicon.xml
AsteroidETypeMineableRock_test,32f3b107-4f69-4e5d-a276-ac99d8f25e9e,Asteroid_EType_test,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,9125b995-1e53-4ae7-92fd-255648e20fa9,libs/foundry/records/entities/mineable/asteroidetypemineablerock_test.xml
AsteroidETypeMineableRock_Tin,1f77444a-4c67-4c77-bdf6-af759b7ab057,Asteroid_EType_Tin,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,abf795b0-55bb-4eba-84b5-0b1a2fdf7846,libs/foundry/records/entities/mineable/asteroidetypemineablerock_tin.xml
AsteroidETypeMineableRock_Titanium,d14151b5-d63b-4461-948f-2909ca14136f,Asteroid_EType_Titanium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,87d79295-97bd-4f0e-ac05-bdb9dceb6e18,libs/foundry/records/entities/mineable/asteroidetypemineablerock_titanium.xml
AsteroidETypeMineableRock_Tungsten,a8f07aa1-6317-497a-9171-f230237c112f,Asteroid_EType_Tungsten,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,c4a8f776-2f48-414f-8cdb-cc004b624ed9,libs/foundry/records/entities/mineable/asteroidetypemineablerock_tungsten.xml
AsteroidETypeMineableRock,4fcc4163-1508-4174-9b34-f3925a423c44,Asteroid_EType,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,47364fdd-e635-4039-b2a9-69d829673b0b,libs/foundry/records/entities/mineable/asteroidetypemineablerock.xml
AsteroidITypeMineableRock_Ice,7fd787c2-8955-4995-9946-27098f3680bf,Asteroid_IType_Ice,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,978ad5e9-626f-4895-bf8a-d6e32f7e1046,libs/foundry/records/entities/mineable/asteroiditypemineablerock_ice.xml
AsteroidITypeMineableRock,7fd5b716-8e47-424b-87b4-4e475bd179a1,TestCompositionPreset,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,2629ceff-b5aa-4c16-b555-d8dc034fac46,libs/foundry/records/entities/mineable/asteroiditypemineablerock.xml
AsteroidMTypeMineableRock_Aluminium,6b0907bb-aa5f-40c2-8409-e0002ff3dab4,Asteroid_MType_Aluminium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,80c0d871-fcad-4352-9dd3-15b192c12f91,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_aluminium.xml
AsteroidMTypeMineableRock_Copper,b062ba5e-aa30-4117-ac55-373c8a1feb37,Asteroid_MType_Copper,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,d1150f65-8de5-4c94-985e-a88dc519e741,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_copper.xml
AsteroidMTypeMineableRock_Corundum,b32e53a8-2c50-48b6-92b7-0b3c6624d1ab,Asteroid_MType_Corundum,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,83b3da7b-c927-4cc7-b711-33aed5218c7a,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_corundum.xml
AsteroidMTypeMineableRock_Iron,340e205e-fa34-4c3b-bfbe-a688fce05fa5,Asteroid_MType_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,3f42925b-1ada-4dc2-9cbd-5d6c1f2e2653,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_iron.xml
AsteroidMTypeMineableRock_Quartz,01e567b4-4fb1-42ab-a795-5a57381a7449,Asteroid_MType_Quartz,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,6615753a-5e2e-4793-94df-571ad171ae97,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_quartz.xml
AsteroidMTypeMineableRock_Silicon,88c76eec-ab66-433e-9fea-b6710baa2b92,Asteroid_MType_Silicon,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,1fc77a3c-6d4f-4e09-a77b-9a30c23c6fa7,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_silicon.xml
AsteroidMTypeMineableRock_test,82752c95-e474-479a-a12b-83878dc39705,Asteroid_MType_test,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,1219d1af-05c6-4e50-af2e-13ea5f67468f,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_test.xml
AsteroidMTypeMineableRock_Tin,d4bd22c4-4e25-4bf2-9a34-dbee8faef4ae,Asteroid_MType_Tin,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,8f23067e-cb00-42ad-bd1d-7af8d719ccc4,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_tin.xml
AsteroidMTypeMineableRock_Titanium,2a22233c-5230-4c5d-8878-a07ca08e454a,Asteroid_MType_Titanium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,cb4e8840-2984-469d-8132-6be5866c93d3,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_titanium.xml
AsteroidMTypeMineableRock_Tungsten,dae831ea-ef8d-41c4-9755-bff860d3848f,Asteroid_MType_Tungsten,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,4e6677f5-55c3-4d00-8efc-a6626670b32c,libs/foundry/records/entities/mineable/asteroidmtypemineablerock_tungsten.xml
AsteroidMTypeMineableRock,ff5a5135-05f4-4982-8dc6-8977af1a8a6d,Asteroid_MType,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,21e0642f-f130-4148-877f-7018a2257e6b,libs/foundry/records/entities/mineable/asteroidmtypemineablerock.xml
AsteroidPTypeMineableRock_Aluminium,69749cdd-126a-4776-9546-7963ab3bbcdd,Asteroid_PType_Aluminium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,25f8d2e9-f7aa-4a1d-9a17-144d7d23b76e,libs/foundry/records/entities/mineable/asteroidptypemineablerock_aluminium.xml
AsteroidPTypeMineableRock_Copper,55475020-d023-4f2b-b074-f78f1b809fae,Asteroid_PType_Copper,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,77d47b51-cd0d-4128-80e4-e340369f1ab4,libs/foundry/records/entities/mineable/asteroidptypemineablerock_copper.xml
AsteroidPTypeMineableRock_Corundum,00fefa0c-ee88-4884-8a4d-85dd166d10c9,Asteroid_PType_Corundum,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,4b314918-92fe-4d25-ae70-12fdb7b7002b,libs/foundry/records/entities/mineable/asteroidptypemineablerock_corundum.xml
AsteroidPTypeMineableRock_Iron,22f7f954-10d5-4fd8-b27f-083e665ac278,Asteroid_PType_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,a4dc207f-639d-4d1f-816c-f3f413a9585e,libs/foundry/records/entities/mineable/asteroidptypemineablerock_iron.xml
AsteroidPTypeMineableRock_Quartz,935b0bd3-c925-4d47-bbd0-a1a5a25ff6cf,Asteroid_PType_Quartz,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,5a8e9e00-9dd7-46c2-93ec-28f911752217,libs/foundry/records/entities/mineable/asteroidptypemineablerock_quartz.xml
AsteroidPTypeMineableRock_Silicon,24390db9-7be1-4a82-a2e5-54fa67c6126d,Asteroid_PType_Silicon,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,77cbdf7c-dcd7-44a8-af30-855baeaa35aa,libs/foundry/records/entities/mineable/asteroidptypemineablerock_silicon.xml
AsteroidPTypeMineableRock_test,9ff7739f-ab4e-44c2-9ca2-5fa43d6bb0dd,Asteroid_PType_test,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,56d5e7be-1dc1-409b-b99c-c531ccb7d658,libs/foundry/records/entities/mineable/asteroidptypemineablerock_test.xml
AsteroidPTypeMineableRock_Tin,a46a5fc3-a073-4d6e-9916-15be3271ee5f,Asteroid_PType_Tin,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,ad29c06f-ecff-47ce-bb8b-c9061cd889d2,libs/foundry/records/entities/mineable/asteroidptypemineablerock_tin.xml
AsteroidPTypeMineableRock_Titanium,66499ada-8589-4ca5-9faa-ccfd29ae8fe3,Asteroid_PType_Titanium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,da226fdf-0b27-4647-b4cc-f30872527491,libs/foundry/records/entities/mineable/asteroidptypemineablerock_titanium.xml
AsteroidPTypeMineableRock_Tungsten,ca5e1293-2a47-4cf4-93fd-0af1492731b9,Asteroid_PType_Tungsten,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,6e9be74c-b98e-4d68-9217-c1b2b9e46df2,libs/foundry/records/entities/mineable/asteroidptypemineablerock_tungsten.xml
AsteroidPTypeMineableRock,c2cbd838-85a6-4601-a3b1-2f37e6f0fb2f,Asteroid_PType,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,087605de-ac38-465c-84d7-fc3a8dbad1e6,libs/foundry/records/entities/mineable/asteroidptypemineablerock.xml
AsteroidQTypeMineableRock_Aluminium,13bf70c3-062b-4a03-9148-26d03978db74,Asteroid_QType_Aluminium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,da4b6ef2-e146-43c6-9db3-0813f0c39537,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_aluminium.xml
AsteroidQTypeMineableRock_Copper,b0e82569-2255-4b4a-be6c-7c50b45c9416,Asteroid_QType_Copper,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,e2284900-3f72-42da-95fb-3d90950936dd,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_copper.xml
AsteroidQTypeMineableRock_Corundum,16df88a3-38b9-41df-8c62-e50f1d712f7f,Asteroid_QType_Corundum,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,7b92e8b2-bf77-44d4-b98c-2c4d27f75b2b,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_corundum.xml
AsteroidQTypeMineableRock_Iron,deb46765-9070-4122-a272-082bbcab84d4,Asteroid_QType_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,681ebe69-7897-4215-a31a-df443d7c842f,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_iron.xml
AsteroidQTypeMineableRock_Quartz,5d5c5ca2-a702-43fd-af61-30b9079a4574,Asteroid_QType_Quartz,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,bd86834e-32f8-4e77-8177-ea4d6a415a8d,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_quartz.xml
AsteroidQTypeMineableRock_Silicon,957e399e-ca6c-48fd-882d-90bb431828f9,Asteroid_QType_Silicon,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,d501fdf7-bd4d-4d28-b378-6fbd0d9d4bac,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_silicon.xml
AsteroidQTypeMineableRock_test,f7ed674a-2d3b-4029-bee7-aa3944f3ca1c,Asteroid_QType_test,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,91af9d3b-6a96-43e3-9d6d-373817379a05,libs/foundry/records/entities/mineable/asteroidqtypemineablerock_test.xml
