Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Fire Mode,Projectile Speed,Ammo Range,Ammo Quantity
behr_glauncher_ballistic_01_cen01,item_Namebehr_glauncher_ballistic_01_cen01,item_Namebehr_glauncher_ballistic_01_cen01_short,item_Descbehr_glauncher_ballistic_01_cen01,,4,1,Medium,,,,,,,
behr_glauncher_ballistic_01_imp01,item_Namebehr_glauncher_ballistic_01_imp01,item_Namebehr_glauncher_ballistic_01_imp01_short,item_Descbehr_glauncher_ballistic_01_imp01,,4,1,Medium,,,,,,,
behr_glauncher_ballistic_01_mat01,item_Namebehr_glauncher_ballistic_01_mat01,item_Namebehr_glauncher_ballistic_01_mat01_short,item_Descbehr_glauncher_ballistic_01_mat01,,4,1,Medium,,,,,,,
behr_glauncher_ballistic_01_shin01,item_Namebehr_glauncher_ballistic_01_shin,item_Namebehr_glauncher_ballistic_01_shin_short,item_Descbehr_glauncher_ballistic_01_shin,,4,1,Medium,,,,,,,
behr_lmg_ballistic_01,item_Namebehr_lmg_ballistic_01,item_Namebehr_lmg_ballistic_01_short,item_Descbehr_lmg_ballistic_01,,4,1,Medium,,,,,,,
behr_lmg_ballistic_01_luminalia_green01,item_Namebehr_lmg_ballistic_01_luminalia_green01,item_Namebehr_lmg_ballistic_01_luminalia_green01_short,item_Descbehr_lmg_ballistic_01_luminalia_green01,,4,1,Medium,,,,,,,
behr_lmg_ballistic_01_tint01,item_Namebehr_lmg_ballistic_01_tint01,item_Namebehr_lmg_ballistic_01_tint01_short,item_Descbehr_lmg_ballistic_01_tint01,,4,1,Medium,,,,,,,
behr_lmg_ballistic_01_xenothreat01,item_Namebehr_lmg_ballistic_01_xenothreat01,item_Namebehr_lmg_ballistic_01_xenothreat01_short,item_Descbehr_lmg_ballistic_01_xenothreat01,,4,1,Medium,,,,,,,
behr_lmg_ballistic_01_yellow_grey01,item_Namebehr_lmg_ballistic_01_yellow_grey01,item_Namebehr_lmg_ballistic_01_yellow_grey01_short,item_Descbehr_lmg_ballistic_01_yellow_grey01,,4,1,Medium,,,,,,,
behr_pistol_ballistic_01,item_Namebehr_pistol_ballistic_01,item_Namebehr_pistol_ballistic_01_short,item_Descbehr_pistol_ballistic_01,,1,1,Small,,,,,,,
behr_pistol_ballistic_01_300,item_Namebehr_pistol_ballistic_01_300,item_Namebehr_pistol_ballistic_01_300_short,item_Descbehr_pistol_ballistic_01_300,,1,1,Small,,,,,,,
behr_pistol_ballistic_01_firerats01,item_Namebehr_pistol_ballistic_01_firerats01,item_Namebehr_pistol_ballistic_01_firerats01_short,item_Descbehr_pistol_ballistic_01_firerats01,,1,1,Small,,,,,,,
behr_rifle_ballistic_01,item_Namebehr_rifle_ballistic_01,item_Namebehr_rifle_ballistic_01_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_black02,item_Namebehr_rifle_ballistic_01_black02,item_Namebehr_rifle_ballistic_01_black02_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_contestedzonereward,item_Namebehr_rifle_ballistic_01,item_Namebehr_rifle_ballistic_01_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_green01,item_Namebehr_rifle_ballistic_01_green01,item_Namebehr_rifle_ballistic_01_green01_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_store01,item_Namebehr_rifle_ballistic_01_store01,item_Namebehr_rifle_ballistic_01_store01_short,item_Descbehr_rifle_ballistic_01_store01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_tan01,item_Namebehr_rifle_ballistic_01_tan01,item_Namebehr_rifle_ballistic_01_tan01_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_tint01,item_Namebehr_rifle_ballistic_01_tint01,item_Namebehr_rifle_ballistic_01_tint01_short,item_Descbehr_rifle_ballistic_01_tint01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_white02,item_Namebehr_rifle_ballistic_01_white02,item_Namebehr_rifle_ballistic_01_white02_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_01_white02_tow,item_Namebehr_rifle_ballistic_01_white02,item_Namebehr_rifle_ballistic_01_white02_short,item_Descbehr_rifle_ballistic_01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_02_civilian,item_Namebehr_rifle_ballistic_02_civilian,item_Namebehr_rifle_ballistic_02_civilian_short,item_Descbehr_rifle_ballistic_02_civilian,,2,1,Medium,,,,,,,
behr_rifle_ballistic_02_civilian_black01,item_Namebehr_rifle_ballistic_02_black01,item_Namebehr_rifle_ballistic_02_black01_short,item_Descbehr_rifle_ballistic_02_black01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_02_civilian_blue01,item_Namebehr_rifle_ballistic_02_blue01,item_Namebehr_rifle_ballistic_02_blue01_short,item_Descbehr_rifle_ballistic_02_blue01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_02_civilian_digi01,item_Namebehr_rifle_ballistic_02_civilian_digi01,item_Namebehr_rifle_ballistic_02_civilian_digi01_short,item_Descbehr_rifle_ballistic_02_civilian_digi01,,2,1,Medium,,,,,,,
behr_rifle_ballistic_02_civilian_store01,item_Namebehr_rifle_ballistic_02_civilian_store01,item_Namebehr_rifle_ballistic_02_civilian_store01_short,item_Descbehr_rifle_ballistic_02_civilian_store01,,2,1,Medium,,,,,,,
behr_shotgun_ballistic_01,item_Namebehr_shotgun_ballistic_01,item_Namebehr_shotgun_ballistic_01_short,item_Descbehr_shotgun_ballistic_01,,3,1,Medium,,,,,,,
behr_shotgun_ballistic_01_blue_white01,item_Namebehr_shotgun_ballistic_01_blue_white01,item_Namebehr_shotgun_ballistic_01_blue_white01_short,item_Descbehr_shotgun_ballistic_01_blue_white01,,3,1,Medium,,,,,,,
behr_shotgun_ballistic_01_tint01,item_Namebehr_shotgun_ballistic_01_tint01,item_Namebehr_shotgun_ballistic_01_tint01_short,item_Descbehr_shotgun_ballistic_01_tint01,,3,1,Medium,,,,,,,
behr_smg_ballistic_01,item_Namebehr_smg_ballistic_01,item_Namebehr_smg_ballistic_01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_black01,item_Namebehr_smg_ballistic_01_black01,item_Namebehr_smg_ballistic_01_black01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_black02,item_Namebehr_smg_ballistic_01_black02,item_Namebehr_smg_ballistic_01_black02_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_gold01,item_Namebehr_smg_ballistic_01_gold01,item_Namebehr_smg_ballistic_01_gold01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_green01,item_Namebehr_smg_ballistic_01_green01,item_Namebehr_smg_ballistic_01_green01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_iae2201,item_Namebehr_smg_ballistic_01_IAE2022,item_Namebehr_smg_ballistic_01_IAE2022_short,item_Descbehr_smg_ballistic_01_IAE2022,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_iae2501,item_Namebehr_smg_ballistic_01_iae2501,item_Namebehr_smg_ballistic_01_iae2501_short,item_Descbehr_smg_ballistic_01_iae2501,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_iae2501_prop,,,,,,,,,,,,,,
behr_smg_ballistic_01_tan01,item_Namebehr_smg_ballistic_01_tan01,item_Namebehr_smg_ballistic_01_tan01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_white01,item_Namebehr_smg_ballistic_01_white01,item_Namebehr_smg_ballistic_01_white01_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_white02,item_Namebehr_smg_ballistic_01_white02,item_Namebehr_smg_ballistic_01_white02_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_smg_ballistic_01_white02_tow,item_Namebehr_smg_ballistic_01_white02,item_Namebehr_smg_ballistic_01_white02_short,item_Descbehr_smg_ballistic_01,,2,1,Medium,,,,,,,
behr_sniper_ballistic_01,item_Namebehr_sniper_ballistic_01,item_Namebehr_sniper_ballistic_01_short,item_Descbehr_sniper_ballistic_01,,3,1,Medium,,,,,,,
behr_sniper_ballistic_01_arctic01,item_Namebehr_sniper_ballistic_01_arctic01,item_Namebehr_sniper_ballistic_01_arctic01_short,item_Descbehr_sniper_ballistic_01,,3,1,Medium,,,,,,,
behr_sniper_ballistic_01_black01,item_Namebehr_sniper_ballistic_01_black01,item_Namebehr_sniper_ballistic_01_black01_short,item_Descbehr_sniper_ballistic_01,,3,1,Medium,,,,,,,
behr_sniper_ballistic_01_store01,item_Namebehr_sniper_ballistic_01_store01,item_Namebehr_sniper_ballistic_01_store01_short,item_Descbehr_sniper_ballistic_01_store01,,3,1,Medium,,,,,,,
behr_sniper_ballistic_01_tint01,item_Namebehr_sniper_ballistic_01_tint01,item_Namebehr_sniper_ballistic_01_tint01_short,item_Descbehr_sniper_ballistic_01_tint01,,3,1,Medium,,,,,,,
crlf_medgun_01,item_Namecrlf_medgun_01,,item_Desccrlf_medgun_01,,1,1,Small,,,,,,,
crlf_medgun_01_grey01,item_Namecrlf_medgun_01_grey01,item_Namecrlf_medgun_01_short_grey01,item_Desccrlf_medgun_01_grey01,,1,1,Small,,,,,,,
crlf_medgun_01_msn_rwd01,item_Namecrlf_medgun_01_msn_rwd01,item_Namecrlf_medgun_01_msn_rwd01_short,item_Desccrlf_medgun_01_msn_rwd01,,1,1,Small,,,,,,,
crlf_medgun_01_msn_rwd02,item_Namecrlf_medgun_01_msn_rwd02,item_Namecrlf_medgun_01_msn_rwd02_short,item_Desccrlf_medgun_01_msn_rwd02,,1,1,Small,,,,,,,
crlf_medgun_01_msn_rwd03,item_Namecrlf_medgun_01_msn_rwd03,item_Namecrlf_medgun_01_msn_rwd03_short,item_Desccrlf_medgun_01_msn_rwd03,,1,1,Small,,,,,,,
crlf_medgun_01_purple01,item_Namecrlf_medgun_01_purple01,item_Namecrlf_medgun_01_short_purple01,item_Desccrlf_medgun_01_purple01,,1,1,Small,,,,,,,
crlf_medgun_01_red01,item_Namecrlf_medgun_01_red01,item_Namecrlf_medgun_01_short_red01,item_Desccrlf_medgun_01_red01,,1,1,Small,,,,,,,
crlf_medgun_01_store01,item_Namecrlf_medgun_01_store01,item_Namecrlf_medgun_01_store01_short,item_Desccrlf_medgun_01_store01,,1,1,Small,,,,,,,
crlf_medgun_01_yellow01,item_Namecrlf_medgun_01_yellow01,item_Namecrlf_medgun_01_short_yellow01,item_Desccrlf_medgun_01_yellow01,,1,1,Small,,,,,,,
apar_special_ballistic_01_test_inf_ammo,item_Nameapar_special_ballistic_01,item_Nameapar_special_ballistic_01_short,item_Descapar_special_ballistic_01,,5,1,Large,,,,,,,
klwe_rifle_energy_01_test_inf_ammo,item_Nameklwe_rifle_energy_01,item_Nameklwe_rifle_energy_01_short,item_Descklwe_rifle_energy_01,,2,1,Medium,,,,,,,
ksar_rifle_energy_01_test_inf_ammo,item_Nameksar_rifle_energy_01,item_Nameksar_rifle_energy_01_short,item_Descksar_rifle_energy_01,,3,1,Medium,,,,,,,
vlk_spewgun_ballistic_01,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_01_adult,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_01_juvi,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_ice,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_ice_adult,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_ice_juvenile,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_irradiated,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_irradiated_adult,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_irradiated_apex,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_irradiated_juvi,LOC_PLACEHOLDER,,,,1,1,Medium,,,,,,,
vlk_spewgun_ballistic_reference,item_Namebehr_shotgun_ballistic_01,item_Namebehr_shotgun_ballistic_01_short,item_Descbehr_shotgun_ballistic_01,,3,1,Medium,,,,,,,
gmni_lmg_ballistic_01,item_Namegmni_lmg_ballistic_01,item_Namegmni_lmg_ballistic_01_short,item_Descgmni_lmg_ballistic_01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_blue_gold,item_Namegmni_lmg_ballistic_01_blue_gold_01,item_Namegmni_lmg_ballistic_01_blue_gold_01,item_Descgmni_lmg_ballistic_01_blue_gold_01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_collector01,item_Namegmni_lmg_ballistic_01_collector01,item_Namegmni_lmg_ballistic_01_collector01_short,item_Descgmni_lmg_ballistic_01_collector01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_firerats01,item_Namegmni_lmg_ballistic_01_firerats01,item_Namegmni_lmg_ballistic_01_firerats01_short,item_Descgmni_lmg_ballistic_01_firerats01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_green_red01,item_Namegmni_lmg_ballistic_01_green_red01,item_Namegmni_lmg_ballistic_01_green_red01_short,item_Descgmni_lmg_ballistic_01_green_red01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_purple01,item_Namegmni_lmg_ballistic_01_purple01,item_Namegmni_lmg_ballistic_01_purple01_short,item_Descgmni_lmg_ballistic_01_purple01,,4,1,Medium,,,,,,,
gmni_lmg_ballistic_01_store01,item_Namegmni_lmg_ballistic_01_store01,item_Namegmni_lmg_ballistic_01_store01_short,item_Descgmni_lmg_ballistic_01_store01,,4,1,Medium,,,,,,,
gmni_pistol_ballistic_01,item_Namegmni_pistol_ballistic_01,item_Namegmni_pistol_ballistic_01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_black02,item_Namegmni_pistol_ballistic_01_black02,item_Namegmni_pistol_ballistic_01_black02_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_blue_white01,item_Namegmni_pistol_ballistic_01_blue_white01,item_Namegmni_pistol_ballistic_01_blue_white01_short,item_Descgmni_pistol_ballistic_01_blue_white01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_cen01,item_Namegmni_pistol_ballistic_01_cen01,item_Namegmni_pistol_ballistic_01_cen01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_firerats01,item_Namegmni_pistol_ballistic_01_firerats01,item_Namegmni_pistol_ballistic_01_firerats01_short,item_Descgmni_pistol_ballistic_01_firerats01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_gold01,item_Namegmni_pistol_ballistic_01_gold01,item_Namegmni_pistol_ballistic_01_gold01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_green01,item_Namegmni_pistol_ballistic_01_green01,item_Namegmni_pistol_ballistic_01_green01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_green_grey01,item_Namegmni_pistol_ballistic_01_green_grey01,item_Namegmni_pistol_ballistic_01_green_grey01_short,item_Descgmni_pistol_ballistic_01_green_grey01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_imp01,item_Namegmni_pistol_ballistic_01_imp01,item_Namegmni_pistol_ballistic_01_imp01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_pink_cian01,item_Namegmni_pistol_ballistic_01_pink_cian01,item_Namegmni_pistol_ballistic_01_pink_cian01_short,item_Descgmni_pistol_ballistic_01_pink_cian01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_red_black01,item_Namegmni_pistol_ballistic_01_red_black01,item_Namegmni_pistol_ballistic_01_red_black01_short,item_Descgmni_pistol_ballistic_01_red_black01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_tan01,item_Namegmni_pistol_ballistic_01_tan01,item_Namegmni_pistol_ballistic_01_tan01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_white01,item_Namegmni_pistol_ballistic_01_white01,item_Namegmni_pistol_ballistic_01_white01_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_pistol_ballistic_01_white02,item_Namegmni_pistol_ballistic_01_white02,item_Namegmni_pistol_ballistic_01_white02_short,item_Descgmni_pistol_ballistic_01,,1,1,Small,,,,,,,
gmni_rifle_ballistic_01,item_NameGMNI_rifle_ballistic_01,item_NameGMNI_rifle_ballistic_01_short,item_DescGMNI_rifle_ballistic_01,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_collector01,item_NameGMNI_rifle_ballistic_01_collector01,item_NameGMNI_rifle_ballistic_01_collector01_short,item_DescGMNI_rifle_ballistic_01_collector01,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_collector01_prop,,,,,,,,,,,,,,
gmni_rifle_ballistic_01_firerats01,item_Namegmni_rifle_ballistic_01_firerats01,item_Namegmni_rifle_ballistic_01_firerats01_short,item_Descgmni_rifle_ballistic_01_firerats01,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_firerats02,item_Namegmni_rifle_ballistic_01_firerats02,item_Namegmni_rifle_ballistic_01_firerats02_short,item_Descgmni_rifle_ballistic_01_firerats02,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_grey_red01,item_NameGMNI_rifle_ballistic_01_grey_red01,item_NameGMNI_rifle_ballistic_01_grey_red01_short,item_DescGMNI_rifle_ballistic_01_grey_red01,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_iae2023,item_Namegmni_rifle_ballistic_01_IAE2023,item_Namegmni_rifle_ballistic_01_IAE2023_short,item_Descgmni_rifle_ballistic_01_IAE2023,,2,1,Medium,,,,,,,
gmni_rifle_ballistic_01_iae2023_prop,,,,,,,,,,,,,,
gmni_rifle_ballistic_01_yellow_blue01,item_NameGMNI_rifle_ballistic_01_yellow_blue01,item_NameGMNI_rifle_ballistic_01_yellow_blue01_short,item_DescGMNI_rifle_ballistic_01_yellow_blue01,,2,1,Medium,,,,,,,
gmni_shotgun_ballistic_01,item_Namegmni_shotgun_ballistic_01,item_Namegmni_shotgun_ballistic_01_short,item_Descgmni_shotgun_ballistic_01,,3,1,Medium,,,,,,,
gmni_shotgun_ballistic_01_firerats01,item_Namegmni_shotgun_ballistic_01_firerats01,item_Namegmni_shotgun_ballistic_01_firerats01_short,item_Descgmni_shotgun_ballistic_01_firerats01,,3,1,Medium,,,,,,,
gmni_shotgun_ballistic_01_pink_red01,item_Namegmni_shotgun_ballistic_01_pink_red01,item_Namegmni_shotgun_ballistic_01_pink_red01_short,item_Descgmni_shotgun_ballistic_01_pink_red01,,3,1,Medium,,,,,,,
gmni_shotgun_ballistic_01_red_black01,item_Namegmni_shotgun_ballistic_01_red_black01,item_Namegmni_shotgun_ballistic_01_red_black01_short,item_Descgmni_shotgun_ballistic_01_red_black01,,3,1,Medium,,,,,,,
gmni_shotgun_ballistic_01_reward01,item_Namegmni_shotgun_ballistic_01_reward01,item_Namegmni_shotgun_ballistic_01_reward01_short,item_Descgmni_shotgun_ballistic_01_reward01,,3,1,Medium,,,,,,,
gmni_shotgun_ballistic_01_reward01_prop,,,,,,,,,,,,,,
gmni_smg_ballistic_01,item_NameGMNI_smg_ballistic_01,item_NameGMNI_smg_ballistic_01_short,item_DescGMNI_smg_ballistic_01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_blue_white01,item_Namegmni_smg_ballistic_01_blue_white01,item_Namegmni_smg_ballistic_01_blue_white01_short,item_Descgmni_smg_ballistic_01_blue_white01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_contestedzonereward,item_NameGMNI_smg_ballistic_01,item_NameGMNI_smg_ballistic_01_short,item_DescGMNI_smg_ballistic_01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_firerats01,item_Namegmni_smg_ballistic_01_firerats01,item_Namegmni_smg_ballistic_01_firerats01_short,item_Descgmni_smg_ballistic_01_firerats01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_green_grey01,item_Namegmni_smg_ballistic_01_green_grey01,item_Namegmni_smg_ballistic_01_green_grey01_short,item_Descgmni_smg_ballistic_01_green_grey01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_grey_red01,item_NameGMNI_smg_ballistic_01_grey_red01,item_NameGMNI_smg_ballistic_01_grey_red01_short,item_DescGMNI_smg_ballistic_01_grey_red01,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_luminalia,item_Namegmni_smg_ballistic_01_Luminalia,item_Namegmni_smg_ballistic_01_Luminalia_short,item_Descgmni_smg_ballistic_01_Luminalia,,2,1,Medium,,,,,,,
gmni_smg_ballistic_01_purple01,item_Namegmni_smg_ballistic_01_purple01,item_Namegmni_smg_ballistic_01_purple01_short,item_Descgmni_smg_ballistic_01_purple01,,2,1,Medium,,,,,,,
gmni_sniper_ballistic_01,item_Namegmni_sniper_ballistic_01,item_Namegmni_sniper_ballistic_01_short,item_Descgmni_sniper_ballistic_01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_arctic01,item_Namegmni_sniper_ballistic_01_arctic01,item_Namegmni_sniper_ballistic_01_short,item_Descgmni_sniper_ballistic_01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_firerats01,item_Namegmni_sniper_ballistic_01_firerats01,item_Namegmni_sniper_ballistic_01_firerats01_short,item_Descgmni_sniper_ballistic_01_firerats01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_green_grey01,item_Namegmni_sniper_ballistic_01_green_grey01,item_Namegmni_sniper_ballistic_01_green_grey01_short,item_Descgmni_sniper_ballistic_01_green_grey01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_iae2201,item_Namegmni_sniper_ballistic_01_IAE2022,item_Namegmni_sniper_ballistic_01_IAE2022_short,item_Descgmni_sniper_ballistic_01_IAE2022,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_imp01,item_Namegmni_sniper_ballistic_01_imp01,item_Namegmni_sniper_ballistic_01_short,item_Descgmni_sniper_ballistic_01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_store01,item_Namegmni_sniper_ballistic_01_store01,item_Namegmni_sniper_ballistic_01_store01_short,item_Descgmni_sniper_ballistic_01_store01,,3,1,Medium,,,,,,,
gmni_sniper_ballistic_01_urban01,item_Namegmni_sniper_ballistic_01_urban01,item_Namegmni_sniper_ballistic_01_short,item_Descgmni_sniper_ballistic_01,,3,1,Medium,,,,,,,
grin_cutter_01,item_Namegrin_cutter_01,LOC_PLACEHOLDER,item_Descgrin_cutter_01,,2,1,Medium,,,,,,,
grin_multitool_01,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_ai,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_black01,item_Namegrin_multitool_01_black01,item_Namegrin_multitool_01_black01_short,item_Descgrin_multitool_01_black01,,1,1,Gadget,,,,,,,
grin_multitool_01_blue_white01,item_Namegrin_multitool_01_blue_white01,item_Namegrin_multitool_01_blue_white01_short,item_Descgrin_multitool_01_blue_white01,,1,1,Gadget,,,,,,,
grin_multitool_01_brown01,item_Namegrin_multitool_01_brown01,item_Namegrin_multitool_01_brown01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_charge_drain,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_cutter,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_cutter_ai,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_grapple,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_healing,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_mining,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
grin_multitool_01_default_salvage_repair,item_Namegrin_multitool_01,item_Namegrin_multitool_01_short,item_Descgrin_multitool_01,,1,1,Gadget,,,,,,,
