Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Missile Quantity,Missile Size
mrck_s02_behr_single_s02,item_NameMRCK_S02_BEHR_Single_S02,,item_DescMRCK_S02_BEHR_Single_S02,,2,1,MissileRack,200,,
mrck_s02_behr_single_s02_cyclone_aa,item_NameMRCK_S02_BEHR_Single_S02,,item_DescMRCK_S02_BEHR_Single_S02,,2,1,MissileRack,200,,
mrck_s03_behr_dual_s02,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,MissileRack,200,,
mrck_s03_behr_dual_s02_rsi_meteor,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,MissileRack,200,,
mrck_s03_behr_quad_s01,item_NameMRCK_S03_BEHR_Quad_S01,,item_DescMRCK_S03_BEHR_Quad_S01,,3,1,MissileRack,200,,
mrck_s03_behr_single_s03,item_NameMRCK_S03_BEHR_Single_S03,,item_DescMRCK_S03_BEHR_Single_S03,,3,1,MissileRack,200,,
mrck_s03_temp_bomb,item_NameMRCK_S03_BEHR_Single_S03,,item_DescMRCK_S03_BEHR_Single_S03,,3,1,BombRack,200,,
mrck_s04_argo_moth_16_s02,item_NameMRCK_ARGO_Moth,,item_DescMRCK_ARGO_Moth,,4,1,MissileRack,200,,
mrck_s04_behr_dual_s03,item_NameMRCK_S04_BEHR_Dual_S03,,item_DescMRCK_S04_BEHR_Dual_S03,,4,1,MissileRack,200,,
mrck_s04_behr_octo_s01,item_NameMRCK_S04_BEHR_Octo_S01,,item_DescMRCK_S04_BEHR_Octo_S01,,4,1,MissileRack,200,,
mrck_s04_behr_quad_s02,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s04_behr_single_s04,item_NameMRCK_S04_BEHR_Single_S04,,item_DescMRCK_S04_BEHR_Single_S04,,4,1,MissileRack,200,,
mrck_s04_misc_starlancer_tac_turret,item_NameMRCK_S06_BEHR_Single_S06,,item_DescMRCK_S04_BEHR_Octo_S01,,4,1,MissileRack,200,,
mrck_s04_orig_octo_s01,item_NameMRCK_S04_BEHR_Octo_S01,,item_DescMRCK_S04_BEHR_Octo_S01,,4,1,MissileRack,200,,
mrck_s05_behr_dual_s04,item_NameMRCK_S05_BEHR_Dual_S04,,item_DescMRCK_S05_BEHR_Dual_S04,,5,1,MissileRack,200,,
mrck_s05_behr_octo_s02,item_NameMRCK_S05_BEHR_Octo_S02,,item_DescMRCK_S05_BEHR_Octo_S02,,5,1,MissileRack,200,,
mrck_s05_behr_pdc_missile_16_s1,item_NameMRCK_S05_BEHR_Octo_S02,,item_DescMRCK_S05_BEHR_Octo_S02,,5,1,MissileRack,200,,
mrck_s05_behr_quad_s03,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_behr_quad_s03_a,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_behr_single_s05,item_NameMRCK_S05_BEHR_Single_S05,,item_DescMRCK_S05_BEHR_Single_S05,,5,1,MissileRack,200,,
mrck_s05_drak_herald_nine_s02,item_NameMRCK_S05_BEHR_Octo_S02,,item_DescMRCK_S05_BEHR_Octo_S02,,5,1,MissileRack,200,,
mrck_s05_rsi_scorpius_turret_octo_s2_left,item_NameMRCK_S05_BEHR_Octo_S02,,item_DescMRCK_S05_BEHR_Octo_S02,,5,1,MissileRack,200,,
mrck_s05_rsi_scorpius_turret_octo_s2_right,item_NameMRCK_S05_BEHR_Octo_S02,,item_DescMRCK_S05_BEHR_Octo_S02,,5,1,MissileRack,200,,
mrck_s06_behr_beehive_s02,item_NameMRCK_S06_BEHR_Single_S06,,item_DescMRCK_S06_BEHR_Single_S06,,6,1,MissileRack,200,,
mrck_s06_behr_dual_s05,item_NameMRCK_S06_BEHR_Dual_S05,,item_DescMRCK_S06_BEHR_Dual_S05,,6,1,MissileRack,200,,
mrck_s06_behr_octo_s03,item_NameMRCK_S06_BEHR_Octo_S03,,item_DescMRCK_S06_BEHR_Octo_S03,,6,1,MissileRack,200,,
mrck_s06_behr_quad_s04,item_NameMRCK_S06_BEHR_Quad_S04,,item_DescMRCK_S06_BEHR_Quad_S04,,6,1,MissileRack,200,,
mrck_s06_behr_single_s06,item_NameMRCK_S06_BEHR_Single_S06,,item_DescMRCK_S06_BEHR_Single_S06,,6,1,MissileRack,200,,
mrck_s07_anvl_asgard_16_s03,item_NameMRCK_S06_BEHR_Octo_S03,,item_DescMRCK_S06_BEHR_Octo_S03,,7,1,MissileRack,8000,,
mrck_s08_behr_non_s05_pudefenseturret,item_DescFreelancer_Stock_Missile_Rack,,item_DescMRCK_S04_BEHR_Octo_S01,,8,1,MissileRack,200,,
mrck_s08_behr_non_s05_pudefenseturret_crusader,item_DescFreelancer_Stock_Missile_Rack,,item_DescMRCK_S04_BEHR_Octo_S01,,8,1,MissileRack,200,,
mrck_s08_behr_non_s05_pudefenseturret_noanim,item_DescFreelancer_Stock_Missile_Rack,,item_DescMRCK_S04_BEHR_Octo_S01,,8,1,MissileRack,200,,
mrck_s04_cnou_quad_s02_left,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s04_cnou_quad_s02_right,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s05_crus_starfighter_left,item_NameMRCK_S05_MISC_Freelancer_MIS,,item_DescMRCK_S05_MISC_Freelancer_MIS,,5,1,MissileRack,200,,
mrck_s05_crus_starfighter_right,item_NameMRCK_S05_MISC_Freelancer_MIS,,item_DescMRCK_S05_MISC_Freelancer_MIS,,5,1,MissileRack,200,,
mrck_s07_crus_starfighter,item_NameMRCK_S07_CRUS_Starfighter,,item_DescMRCK_S07_CRUS_Starfighter,,7,1,MissileRack,200,,
mrck_s04_espr_talon,item_NameMRCK_S06_BEHR_Octo_S03,,item_DescMRCK_S06_BEHR_Octo_S03,,4,1,MissileRack,200,,
mrck_s04_espr_talon_cap,item_NameMRCK_S06_BEHR_Octo_S03,,item_DescMRCK_S06_BEHR_Octo_S03,,4,1,MissileRack,200,,
mrck_s04_espr_talon_cap_r,item_NameMRCK_S06_BEHR_Octo_S03,,item_DescMRCK_S06_BEHR_Octo_S03,,4,1,MissileRack,200,,
mrck_s04_gama_quad_s02,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
gmrck_anvl_ballista_quad_s05,item_NameMRCK_S05_ANVL_Ballista,,item_DescMRCK_S05_ANVL_Ballista,,5,1,GroundVehicleMissileRack,,,
gmrck_s01_tmbl_storm_aa_custom,LOC_PLACEHOLDER,,,,2,1,GroundVehicleMissileRack,200,,
gmrck_s02_behr_single_s02,item_NameMRCK_S02_BEHR_Single_S02,,item_DescMRCK_S02_BEHR_Single_S02,,2,1,MissileRack,200,,
gmrck_s02_behr_single_s02_cyclone_aa,item_NameMRCK_S02_BEHR_Single_S02,,item_DescMRCK_S02_BEHR_Single_S02,,2,1,GroundVehicleMissileRack,200,,
gmrck_s02_tmbl_storm_aa_custom,LOC_PLACEHOLDER,,,,2,1,GroundVehicleMissileRack,200,,
gmrck_s03_tmbl_dual_s02_cyclone_mt_left,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,GroundVehicleMissileRack,200,,
gmrck_s03_tmbl_dual_s02_cyclone_mt_right,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,GroundVehicleMissileRack,200,,
gmrck_s06_tmbl_nova_custom,item_NameMRCK_S05_MISC_Reliant,,item_DescMRCK_S05_MISC_Reliant,,6,1,GroundVehicleMissileRack,500,,
gmrck_s07_anvl_ballista_duel,item_NameMRCK_S07_ANVL_Ballista,,item_DescMRCK_S07_ANVL_Ballista,,7,1,GroundVehicleMissileRack,,,
mrck_s02_krig_triple,item_SubTypeMissileRack,,item_DescMISC_Fury_S02_Single_Rack,,2,1,MissileRack,200,,
mrck_s02_krig_triple_right,item_SubTypeMissileRack,,item_DescMISC_Fury_S02_Single_Rack,,2,1,MissileRack,200,,
mrck_s02_misc_fury,item_NameMISC_Fury_S02_Single_Rack,,item_DescMISC_Fury_S02_Single_Rack,,2,1,MissileRack,200,,
mrck_s02_misc_fury_dual,item_NameMISC_Fury_S02_Double_Rack,,item_DescMISC_Fury_S02_Double_Rack,,2,1,MissileRack,200,,
mrck_s03_misc_fury_dual,item_NameMISC_Fury_S03_Double_Rack,,item_DescMISC_Fury_S03_Double_Rack,,3,1,MissileRack,200,,
mrck_s04_misc_starlancer,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMISC_Fury_S02_Single_Rack,,4,1,MissileRack,200,,
mrck_s05_misc_freelancer_mis_left,item_NameMRCK_S05_MISC_Freelancer_MIS,,item_DescMRCK_S05_MISC_Freelancer_MIS,,5,1,MissileRack,200,,
mrck_s05_misc_freelancer_mis_right,item_NameMRCK_S05_MISC_Freelancer_MIS,,item_DescMRCK_S05_MISC_Freelancer_MIS,,5,1,MissileRack,200,,
mrck_s05_misc_reliant_left,item_NameMRCK_S05_MISC_Reliant,,item_DescMRCK_S05_MISC_Reliant,,5,1,MissileRack,200,,
mrck_s05_misc_reliant_right,item_NameMRCK_S05_MISC_Reliant,,item_DescMRCK_S05_MISC_Reliant,,5,1,MissileRack,200,,
mrck_s06_misc_gemini,item_NameMRCK_S06_MISC_Gemini,,item_DescMRCK_S06_MISC_Gemini,,6,1,MissileRack,200,,
mrck_s06_misc_gemini_derelict,item_NameMRCK_S06_MISC_Gemini,,item_DescMRCK_S06_MISC_Gemini,,6,1,MissileRack,200,,
mrck_s02_mrai_guardian_mx_custom,item_NameMRAI_Guardian_MX_S02_MRCK,,item_DescMRAI_Guardian_MX_S02_MRCK,,2,1,MissileRack,200,,
mrck_s01_rsi_aurora_mk2_combat_module_rack,item_SubTypeMissileRack,,item_DescMRCK_S01_BEHR_Single_S01,,2,1,MissileRack,200,,
mrck_s02_orig_100i_dual_s02,,,,,2,1,MissileRack,200,,
mrck_s02_orig_125a_quad_s02,,,,,2,1,MissileRack,200,,
mrck_s02_orig_400i_octo_s01,item_NameMRCK_S02_ORIG_400i_Octo_S01,,item_DescMRCK_S02_ORIG_400i_Octo_S01,,2,1,MissileRack,200,,
mrck_s02_orig_400i_octo_s01_l,item_NameMRCK_S02_ORIG_400i_Octo_S01,,item_DescMRCK_S02_ORIG_400i_Octo_S01,,2,1,MissileRack,200,,
mrck_s04_orig_400i_octo_s02,item_NameMRCK_S04_ORIG_400i_Octo_S02,,item_DescMRCK_S04_ORIG_400i_Octo_S02,,4,1,MissileRack,200,,
mrck_s04_orig_400i_octo_s02_l,item_NameMRCK_S04_ORIG_400i_Octo_S02,,item_DescMRCK_S04_ORIG_400i_Octo_S02,,4,1,MissileRack,200,,
mrck_s05_orig_325a_quad_s03,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,1,1,MissileRack,200,,
mrck_s05_orig_600i_quad_s03,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_orig_600i_quad_s03_lower_left,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_orig_600i_quad_s03_lower_right,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_orig_600i_quad_s03_upper_right,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_orig_890j_quad_s03,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s05_orig_890j_quad_s03_r,item_NameMRCK_S05_BEHR_Quad_S03,,item_DescMRCK_S05_BEHR_Quad_S03,,5,1,MissileRack,200,,
mrck_s02_rsi_apollo_medivac,item_NameMRCK_S02_RSI_Apollo_Medivac,,item_DescMRCK_S02_RSI_Apollo_Medivac,,2,1,MissileRack,200,,
mrck_s02_rsi_apollo_triage,item_NameMRCK_S02_RSI_Apollo,,item_DescMRCK_S02_RSI_Apollo,,2,1,MissileRack,200,,
mrck_s02_rsi_hermes,item_NameMRCK_S02_RSI_Hermes,,item_DescMRCK_S02_RSI_Hermes,,2,1,MissileRack,200,,
mrck_s04_rsi_constellation,item_NameMRCK_S04_RSI_Constellation,,item_DescMRCK_S04_RSI_Constellation,,4,1,MissileRack,200,,
mrck_s04_rsi_scorpius,item_NameMRCK_S04_RSI_Constellation,,item_DescMRCK_S04_RSI_Constellation,,4,1,MissileRack,200,,
mrck_s04_rsi_scorpius_bottom_right,item_NameMRCK_S04_RSI_Constellation,,item_DescMRCK_S04_RSI_Constellation,,4,1,MissileRack,200,,
mrck_s04_rsi_scorpius_top_left,item_NameMRCK_S04_RSI_Constellation,,item_DescMRCK_S04_RSI_Constellation,,4,1,MissileRack,200,,
mrck_s04_rsi_scorpius_top_right,item_NameMRCK_S04_RSI_Constellation,,item_DescMRCK_S04_RSI_Constellation,,4,1,MissileRack,200,,
mrck_s04_rsi_zeus_left,item_NameMRCK_S04_RSI_Zeus,,item_DescMRCK_S05_MISC_Reliant,,4,1,MissileRack,200,,
mrck_s04_rsi_zeus_right,item_NameMRCK_S04_RSI_Zeus,,item_DescMRCK_S05_MISC_Reliant,,4,1,MissileRack,200,,
mrck_s05_rsi_constellation,item_NameMRCK_S05_RSI_Constellation,,item_DescMRCK_S05_RSI_Constellation,,5,1,MissileRack,200,,
mrck_s05_rsi_perseus_torpedo_holder,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,5,1,MissileRack,,,
mrck_s05_rsi_perseus_torpedo_l,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,5,1,MissileRack,2000,,
mrck_s05_rsi_perseus_torpedo_r,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,5,1,MissileRack,2000,,
mrck_s10_aegs_idris_nose_s12_torpedo,item_NameBEHR_TorpedoLauncher_S10,item_NameBEHR_TorpedoLauncher_S10_short,item_DescBEHR_TorpedoLauncher_S10,,10,1,MissileRack,35000,,
mrck_s10_rsi_polaris_left,item_NameMRCK_S10_RSI_Polaris_Side_MissileRack,,item_DescMRCK_S10_RSI_Polaris_Side_MissileRack,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_right,item_NameMRCK_S10_RSI_Polaris_Side_MissileRack,,item_DescMRCK_S10_RSI_Polaris_Side_MissileRack,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo,item_NameMRCK_S04_ORIG_400i_Octo_S02,,item_DescMRCK_S04_ORIG_400i_Octo_S02,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_cylinder_right_inner,item_NameMRCK_S04_ORIG_400i_Octo_S02,,item_DescMRCK_S04_ORIG_400i_Octo_S02,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_lb,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_left,item_NameMRCK_S04_ORIG_400i_Octo_S02,,item_DescMRCK_S04_ORIG_400i_Octo_S02,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_lt,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_rb,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,10,1,MissileRack,200,,
mrck_s10_rsi_polaris_torpedo_rt,item_NameMRCK_S10_RSI_Polaris_TorpedoRack,,item_DescMRCK_S10_RSI_Polaris_TorpedoRack,,10,1,MissileRack,200,,
mrck_s4_rsi_polaris_turret,item_NameMRCK_S4_RSI_Polaris_Turret,,item_DescMRCK_S4_RSI_Polaris_Turret,,4,1,MissileRack,200,,
mrck_taln_colonial_s3x8,item_NameMRCK_S04_BEHR_Octo_S01,,item_DescMRCK_S04_BEHR_Octo_S01,,4,1,MissileRack,200,,
mrck_taln_colonial_s3x8_orison,item_NameMRCK_S04_BEHR_Octo_S01,,item_DescMRCK_S04_BEHR_Octo_S01,,4,1,MissileRack,200,,
mrck_s01_tmbl_storm_aa_custom,LOC_PLACEHOLDER,,,,2,1,MissileRack,200,,
mrck_s02_tmbl_storm_aa_custom,LOC_PLACEHOLDER,,,,2,1,MissileRack,200,,
mrck_s03_tmbl_dual_s02_cyclone_mt_left,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,MissileRack,200,,
mrck_s03_tmbl_dual_s02_cyclone_mt_right,item_NameMRCK_S03_BEHR_Dual_S02,,item_DescMRCK_S03_BEHR_Dual_S02,,3,1,MissileRack,200,,
mrck_s06_tmbl_nova_custom,item_NameMRCK_S05_MISC_Reliant,,item_DescMRCK_S05_MISC_Reliant,,6,1,MissileRack,500,,
mrck_s03_vncl_quad_s01,item_NameMRCK_S03_VNCL_Quad_S01,,item_DescMRCK_S03_VNCL_Quad_S01,,3,1,MissileRack,200,,
mrck_s03_vncl_quad_s01_blade,item_NameMRCK_S03_VNCL_Quad_S01,,item_DescMRCK_S03_VNCL_Quad_S01,,3,1,MissileRack,200,,
mrck_s04_vncl_quad_s02,item_NameMRCK_S04_VNCL_Quad_S02,,item_DescMRCK_S04_VNCL_Quad_S02,,4,1,MissileRack,200,,
mrck_s05_vncl_stinger_s02,item_NameMRCK_S05_VNCL_Stinger_S02,,item_DescMRCK_S05_VNCL_Stinger_S02,,5,1,MissileRack,200,,
mrck_s05_vncl_stinger_s02_right,item_NameMRCK_S05_VNCL_Stinger_S02,,item_DescMRCK_S05_VNCL_Stinger_S02,,5,1,MissileRack,200,,
vncl_missilerack_blade,item_NameVNCL_MissileRack_Blade,,item_DescVNCL_MissileRack_Blade,,1,1,MissileRack,200,,
mrck_s03_xnaa_santokyai,item_NameMRCK_S03_XNAA_SanTokYai,,item_DescMRCK_S03_XNAA_SanTokYai,,3,1,MissileRack,200,,
