Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Cooling Rate
cool_aegs_s02_avalanche,item_Name_COOL_AEGS_S02_Avalanche,,item_Desc_COOL_AEGS_S02_Avalanche,,2,1,UNDEFINED,640,50
cool_aegs_s02_boreal,item_NameCOOL_AEGS_S02_Boreal,,item_DescCOOL_AEGS_S02_Boreal,,2,4,UNDEFINED,430,41
cool_aegs_s02_permafrost,item_Name_COOL_AEGS_S02_Permafrost,,item_Desc_COOL_AEGS_S02_Permafrost,,2,2,UNDEFINED,560,46
cool_aegs_s03_blizzard,item_NameCOOL_AEGS_S03_Blizzard_SCItem,,item_DescCOOL_AEGS_S03_Blizzard_SCItem,,3,1,UNDEFINED,1800,60
cool_aegs_s03_galinstan,item_NameCOOL_AEGS_S03_Galinstan_SCItem,,item_DescCOOL_AEGS_S03_Galinstan_SCItem,,3,4,UNDEFINED,1200,50
cool_aegs_s03_mercury,item_NameCOOL_AEGS_S03_Mercury,,item_DescCOOL_AEGS_S03_Mercury,,3,3,UNDEFINED,1300,56
cool_aegs_s03_tempest,item_Name_COOL_AEGS_S03_Tempest,,item_Desc_COOL_AEGS_S03_Tempest,,3,2,UNDEFINED,1600,56
cool_aegs_s04_idris,item_NameCOOL_AEGS_S04_Idirs,item_NameCOOL_AEGS_S04_Idirs,item_DescCOOL_AEGS_S04_Idris,,4,1,UNDEFINED,36000,102
cool_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,100000,74
cool_aegs_s04_reclaimer,item_NameCOOL_AEGS_S04_Reclaimer,,item_DescCOOL_AEGS_S04_Reclaimer,,4,1,UNDEFINED,4100,69
cool_jspn_s00_cryostarsl,item_Name_COOL_JSPN_S00_CryoStarSL,,item_Desc_COOL_JSPN_S00_CryoStarSL,,0,2,UNDEFINED,53,16
cool_jspn_s00_froststarsl,item_NameCOOL_JSPN_S00_FrostStarSL,,item_DescCOOL_JSPN_S00_FrostStarSL,,0,3,UNDEFINED,46,16
cool_jspn_s00_winterstarsl,item_NameCOOL_JSPN_S00_WinterStarSL_SCItem,,item_DescCOOL_JSPN_S00_WinterStarSL_SCItem,,0,4,UNDEFINED,40,14
cool_jspn_s01_cryostar,item_Name_COOL_JSPN_S01_CryoStar,,item_DescCOOL_JSPN_S01_CryoStar,,1,2,UNDEFINED,150,26
cool_jspn_s01_froststar,item_NameCOOL_JSPN_S01_FrostStar,,item_DescCOOL_JSPN_S01_FrostStar,,1,3,UNDEFINED,130,26
cool_jspn_s01_winterstar,item_NameCOOL_JSPN_S01_WinterStar,,item_DescCOOL_JSPN_S01_WinterStar,,1,4,UNDEFINED,110,23
cool_jspn_s02_cryostarex,item_NameCOOL_JSPN_S02_CryoStarEX,,item_DescCOOL_JSPN_S02_CryoStarEX,,2,2,UNDEFINED,400,34
cool_jspn_s02_froststarex,item_NameCOOL_JSPN_S02_FrostStarEX,,item_DescCOOL_JSPN_S02_FrostStarEX,,2,3,UNDEFINED,350,34
cool_jspn_s02_winterstarex,item_NameCOOL_JSPN_S02_WinterStarEX_SCItem,,item_DescCOOL_JSPN_S02_WinterStarEX_SCItem,,2,4,UNDEFINED,300,32
cool_jspn_s03_cryostarxl,item_Name_COOL_JSPN_S03_CryoStarXL,,item_Desc_COOL_JSPN_S03_CryoStarXL,,3,2,UNDEFINED,1100,45
cool_jspn_s03_froststarxl,item_NameCOOL_JSPN_S03_FrostStarXL_SCItem,,item_DescCOOL_JSPN_S03_FrostStarXL_SCItem,,3,3,UNDEFINED,960,45
cool_jspn_s03_winterstarxl,item_NameCOOL_JSPN_S03_WinterStarXL_SCItem,,item_DescCOOL_JSPN_S03_WinterStarXL_SCItem,,3,4,UNDEFINED,840,41
cool_just_s01_ecoflow,item_Name_COOL_JUST_S01_EcoFlow,,item_Desc_COOL_JUST_S01_EcoFlow,,1,2,UNDEFINED,180,32
cool_just_s01_hydrocel,item_NameCOOL_JUST_S01_Hydrocel,,item_DescCOOL_JUST_S01_Hydrocel,,1,4,UNDEFINED,130,29
cool_just_s01_thermax,item_NameCOOL_JUST_S01_Thermax,,item_DescCOOL_JUST_S01_Thermax,,1,3,UNDEFINED,150,32
cool_just_s01_ultraflow,item_Name_COOL_JUST_S01_UltraFlow,,item_Desc_COOL_JUST_S01_UltraFlow,,1,1,UNDEFINED,200,34
cool_just_s02_coolcore,item_NameCOOL_JUST_S02_CoolCore,,item_DescCOOL_JUST_S02_CoolCore,,2,3,UNDEFINED,420,41
cool_just_s02_hydrojet,item_NameCOOL_JUST_S02_Hydrojet,,item_DescCOOL_JUST_S02_Hydrojet,,2,4,UNDEFINED,370,38
cool_just_s02_snowfall,item_Name_COOL_JUST_S02_Snowfall,,item_Desc_COOL_JUST_S02_Snowfall,,2,2,UNDEFINED,480,41
cool_just_s02_snowpack,item_NameCOOL_JUST_S02_Snowpack_SCItem,,item_DescCOOL_JUST_S02_Snowpack_SCItem,,2,1,UNDEFINED,550,46
cool_just_s03_chillmax,item_NameCOOL_JUST_S03_ChillMax_SCItem,,item_DescCOOL_JUST_S03_ChillMax_SCItem,,3,1,UNDEFINED,1500,58
cool_just_s03_hydropulse,item_NameCOOL_JUST_S03_Hydropulse_SCItem,,item_DescCOOL_JUST_S03_Hydropulse_SCItem,,3,4,UNDEFINED,1000,48
cool_just_s03_iceflush,item_Name_COOL_JUST_S03_IceFlush,,item_Desc_COOL_JUST_S03_IceFlush,,3,2,UNDEFINED,1300,52
cool_just_s03_thermalcore,item_NameCOOL_JUST_S03_ThermalCore,,item_DescCOOL_JUST_S03_ThermalCore,,3,3,UNDEFINED,1200,52
cool_lplt_s01_arcticstorm,item_NameCOOL_LPLT_S01_ArcticStorm,,item_DescCOOL_LPLT_S01_ArcticStorm,,1,3,UNDEFINED,130,26
cool_lplt_s01_blastchill,item_NameCOOL_LPLT_S01_BlastChill,,item_DescCOOL_LPLT_S01_BlastChill,,1,4,UNDEFINED,110,23
cool_lplt_s01_flashfreeze,item_NameCOOL_LPLT_S01_FlashFreeze,,item_DescCOOL_LPLT_S01_FlashFreeze,,1,2,UNDEFINED,150,26
cool_lplt_s02_coldsnap,item_NameCOOL_LPLT_S02_ColdSnap,,item_DescCOOL_LPLT_S02_ColdSnap,,2,3,UNDEFINED,350,34
cool_lplt_s02_fullfrost,item_Name_COOL_LPLT_S02_FullFrost,,item_Desc_COOL_LPLT_S02_FullFrost,,2,2,UNDEFINED,400,34
cool_lplt_s02_whiteout,item_Name_COOL_LPLT_S02_WhiteOut,,item_Desc_COOL_LPLT_S02_WhiteOut,,2,4,UNDEFINED,300,32
cool_lplt_s03_coldsurge,item_NameCOOL_LPLT_S03_ColdSurge_SCItem,,item_DescCOOL_LPLT_S03_ColdSurge_SCItem,,3,4,UNDEFINED,840,41
cool_lplt_s03_frostbite,item_Name_COOL_LPLT_S03_FrostBite,,item_Desc_COOL_LPLT_S03_FrostBite,,3,2,UNDEFINED,1100,45
cool_lplt_s03_frostburn,item_NameCOOL_LPLT_S03_FrostBurn,,item_DescCOOL_LPLT_S03_FrostBurn,,3,3,UNDEFINED,960,45
cool_orig_s04_890j,item_NameCOOL_ORIG_S04_890J_SCItem,,item_DescCOOL_ORIG_S04_890J_SCItem,,4,1,UNDEFINED,8400,65
cool_rsi_s04_bengal,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,280000,72
cool_rsi_s04_polaris,item_NameCOOL_ORIG_S04_890J_SCItem,,item_DescCOOL_ORIG_S04_890J_SCItem,,4,1,UNDEFINED,9500,65
cool_s01_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,170,27
cool_s02_template,LOC_PLACEHOLDER,,,,2,1,UNDEFINED,460,39
cool_s03_template,LOC_PLACEHOLDER,,,,3,1,UNDEFINED,1300,49
cool_s04_template,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,3400,60
cool_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,170,17.6
cool_tydt_s01_heatsafe,item_NameCOOL_TYDT_S01_HeatSafe,,item_DescCOOL_TYDT_S01_HeatSafe,,1,3,UNDEFINED,110,22
cool_tydt_s01_snowblind,item_Name_COOL_TYDT_S01_SnowBlind,,item_Desc_COOL_TYDT_S01_SnowBlind,,1,1,UNDEFINED,140,24
cool_tydt_s01_vaporblock,item_NameCOOL_TYDT_S01_VaporBlock,,item_DescCOOL_TYDT_S01_VaporBlock,,1,2,UNDEFINED,120,22
cool_tydt_s02_heatsink,item_NameCOOL_TYDT_S02_HeatSink_SCItem,,item_DescCOOL_TYDT_S02_HeatSink_SCItem,,2,3,UNDEFINED,300,32
cool_tydt_s02_icebox,item_NameCOOL_TYDT_S02_IceBox_SCItem,,item_DescCOOL_TYDT_S02_IceBox_SCItem,,2,2,UNDEFINED,340,32
cool_tydt_s02_nightfall,item_NameCOOL_TYDT_S02_NightFall_SCItem,,item_DescCOOL_TYDT_S02_NightFall_SCItem,,2,1,UNDEFINED,390,34
cool_wcpr_s00_fridan,item_NameCOOL_WCPR_S00_Fridan,,item_DescCOOL_WCPR_S00_Fridan,,0,3,UNDEFINED,46,16
cool_wcpr_s00_kelvid,item_Name_COOL_WCPR_S00_Kelvid,,item_Desc_COOL_WCPR_S00_Kelvid,,0,2,UNDEFINED,53,16
cool_wcpr_s00_tepilo,item_NameCOOL_WCPR_S00_Tepilo_SCItem,,item_DescCOOL_WCPR_S00_Tepilo_SCItem,,0,1,UNDEFINED,60,17
cool_wcpr_s01_berian,item_NameCOOL_WCPR_S01_Berian,,item_DescCOOL_WCPR_S01_Berian,,1,3,UNDEFINED,130,26
cool_wcpr_s01_endo,item_NameCOOL_WCPR_S01_Endo,,item_DescCOOL_WCPR_S01_Endo,,1,2,UNDEFINED,150,26
cool_wcpr_s01_gelid,item_Name_COOL_WCPR_S01_Gelid,,item_Desc_COOL_WCPR_S01_Gelid,,1,1,UNDEFINED,170,29
cool_wcpr_s02_aufeis,item_nameCOOL_WCPR_S02_Aufeis_SCItem,,item_DescCOOL_WCPR_S02_Aufeis_SCItem,,2,1,UNDEFINED,460,39
cool_wcpr_s02_graupel,item_NameCOOL_WCPR_S02_Graupel,,item_DescCOOL_WCPR_S02_Graupel,,2,3,UNDEFINED,350,34
cool_wcpr_s02_taiga,item_NameCOOL_WCPR_S02_Taiga_SCItem,,item_DescCOOL_WCPR_S02_Taiga_SCItem,,2,2,UNDEFINED,400,34
cool_wcpr_s03_draug,item_NameCOOL_WCPR_S03_Draug_SCItem,,item_DescCOOL_WCPR_S03_Draug_SCItem,,3,1,UNDEFINED,1300,49
cool_wcpr_s03_elsen,item_NameCOOL_WCPR_S03_Elsen_SCItem,,item_DescCOOL_WCPR_S03_Elsen_SCItem,,3,1,UNDEFINED,1300,49
cool_wcpr_s03_kragen,item_NameCOOL_WCPR_S03_Kragen_SCItem,,item_DescCOOL_WCPR_S03_Kragen_SCItem,,3,1,UNDEFINED,1300,49
