Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Tracking Signal,Damage Total,Damage Physical,Damage Energy,Damage Distortion,Speed,Arm Delay,Lock Delay,Lock Range,Lock Angle,Explosion Radius
gmisl_s02_ir_fski_ignite,item_NameGMISL_S02_IR_FSKI_Ignite,item_NameGMISL_S02_IR_FSKI_Ignite_short,item_DescGMISL_S02_IR_FSKI_Ignite,,2,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s03_cs_fski_arrester,item_NameGMISL_S09_CS_TALN_Argos,,item_DescGMISL_S09_CS_TALN_Argos,,3,1,GroundVehicleMissile,1000,,,,,,,,,,,
gmisl_s03_em_fski_thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt_short,item_DescGMISL_S03_EM_FSKI_Thunderbolt,,3,1,GroundVehicleMissile,1000,,,,,,,,,,,
gmisl_s03_ir_novp_viper,item_NameGMISL_S03_IR_NOVP_Viper,item_NameGMISL_S03_IR_NOVP_Viper_short,item_DescGMISL_S03_IR_NOVP_Viper,,3,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s04_cs_taln_assailant,item_NameGMISL_S04_CS_TALN_Assailant,item_NameGMISL_S04_CS_TALN_Assailant_short,item_DescGMISL_S04_CS_TALN_Assailant,,4,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s04_ir_behr_pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder_short,item_DescGMISL_S04_IR_BEHR_Pathfinder,,4,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s05_cs_taln_stalker,item_NameGMISL_S05_CS_TALN_Stalker,item_NameGMISL_S05_CS_TALN_Stalker_short,item_DescGMISL_S05_CS_TALN_Stalker,,5,1,GroundVehicleMissile,50,,,,,,,,,,,
gmisl_s05_em_taln_reaper,item_NameGMISL_S05_EM_TALN_Reaper,item_NameGMISL_S05_EM_TALN_Reaper_short,item_DescGMISL_S05_EM_TALN_Reaper,,5,1,GroundVehicleMissile,50,,,,,,,,,,,
gmisl_s05_em_taln_scimitar,item_NameGMISL_S05_EM_TALN_Scimitar,item_NameGMISL_S05_EM_TALN_Scimitar_short,item_DescGMISL_S05_EM_TALN_Scimitar,,5,1,GroundVehicleMissile,50,,,,,,,,,,,
gmisl_s05_ir_taln_valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie,item_NameGMISL_S05_IR_TALN_Valkyrie_short,item_DescGMISL_S05_IR_TALN_Valkyrie,,5,1,GroundVehicleMissile,50,,,,,,,,,,,
gmisl_s07_ir_taln_hellion,item_NameGMISL_S07_IR_TALN_Hellion,item_NameGMISL_S07_IR_TALN_Hellion_short,item_DescGMISL_S07_IR_TALN_Hellion,,7,1,GroundVehicleMissile,200,,,,,,,,,,,
gmisl_s09_cs_taln_argos,item_NameGMISL_S09_CS_TALN_Argos,item_NameGMISL_S09_CS_TALN_Argos_short,item_DescGMISL_S09_CS_TALN_Argos,,9,1,GroundVehicleMissile,667,,,,,,,,,,,
gmisl_s09_em_taln_seeker,item_NameGMISL_S09_EM_TALN_Seeker,item_NameGMISL_S09_EM_TALN_Seeker_short,item_DescGMISL_S09_EM_TALN_Seeker,,9,1,GroundVehicleMissile,667,,,,,,,,,,,
gmisl_s09_ir_taln_typhoon,item_NameGMISL_S09_IR_TALN_Typhoon,item_NameGMISL_S09_IR_TALN_Typhoon_short,item_DescGMISL_S09_IR_TALN_Typhoon,,9,1,GroundVehicleMissile,667,,,,,,,,,,,
mine_test,item_NameMISL_S09_CS_TALN_Argos,,item_DescMISL_S09_CS_TALN_Argos,,3,1,UNDEFINED,,,,,,,,,,,,
mine_test_placeable,item_NameMISL_S09_CS_TALN_Argos,,item_DescMISL_S09_CS_TALN_Argos,,3,1,UNDEFINED,,,,,,,,,,,,
misl_s01_cs_fski_spark,item_NameMISL_S01_CS_FSKI_Spark,item_NameMISL_S01_CS_FSKI_Spark_short,item_DescMISL_S01_CS_FSKI_Spark,,1,1,Missile,25,,,,,,,,,,,
misl_s01_em_behr_pioneer,item_NameMISL_S01_EM_BEHR_Pioneer,item_NameMISL_S01_EM_BEHR_Pioneer_short,item_DescMISL_S01_EM_BEHR_Pioneer,,1,1,Missile,25,,,,,,,,,,,
misl_s01_em_thcn_taskforce,item_NameMISL_S01_EM_THCN_TaskForce,item_NameMISL_S01_EM_THCN_TaskForce_short,item_DescMISL_S01_EM_THCN_TaskForce,,1,1,Missile,25,,,,,,,,,,,
misl_s01_ir_behr_marksman,item_NameMISL_S01_IR_BEHR_Marksman,item_NameMISL_S01_IR_BEHR_Marksman_short,item_DescMISL_S01_IR_BEHR_Marksman,,1,1,Missile,25,,,,,,,,,,,
misl_s01_ir_vncl_arrow,item_NameMISL_S01_IR_VNCL_Arrow,item_NameMISL_S01_IR_VNCL_Arrow_short,item_DescMISL_S01_IR_VNCL_Arrow,,1,1,Missile,25,,,,,,,,,,,
misl_s02_cs_fski_tempest,item_NameMISL_S02_CS_FSKI_Tempest,item_NameMISL_S02_CS_FSKI_Tempest_short,item_DescMISL_S02_CS_FSKI_Tempest,,2,1,Missile,25,,,,,,,,,,,
misl_s02_cs_fski_tempest_citcon,item_NameMISL_S02_CS_FSKI_Tempest,item_NameMISL_S02_CS_FSKI_Tempest_short,item_DescMISL_S02_CS_FSKI_Tempest,,2,1,Missile,25,,,,,,,,,,,
misl_s02_cs_thcn_strikeforce,item_NameMISL_S02_CS_THCN_StrikeForce,item_NameMISL_S02_CS_THCN_StrikeForce_short,item_DescMISL_S02_CS_THCN_StrikeForce,,2,1,Missile,25,,,,,,,,,,,
misl_s02_em_taln_dominator,item_NameMISL_S02_EM_TALN_Dominator,item_NameMISL_S02_EM_TALN_Dominator_short,item_DescMISL_S02_EM_TALN_Dominator,,2,1,Missile,25,,,,,,,,,,,
misl_s02_ir_fski_ignite,item_NameMISL_S02_IR_FSKI_Ignite,item_NameMISL_S02_IR_FSKI_Ignite_short,item_DescMISL_S02_IR_FSKI_Ignite,,2,1,Missile,25,,,,,,,,,,,
misl_s02_ir_novp_rattler,item_NameMISL_S02_IR_NOVP_Rattler,item_NameMISL_S02_IR_NOVP_Rattler_short,item_DescMISL_S02_IR_NOVP_Rattler,,2,1,Missile,25,,,,,,,,,,,
misl_s02_ir_vncl_bullet,item_NameMISL_S02_IR_VNCL_Bullet,item_NameMISL_S02_IR_VNCL_Bullet_short,item_DescMISL_S02_IR_VNCL_Bullet,,2,1,Missile,25,,,,,,,,,,,
misl_s03_cs_fski_arrester,item_NameMISL_S03_CS_FSKI_Arrester,item_NameMISL_S03_CS_FSKI_Arrester_short,item_DescMISL_S03_CS_FSKI_Arrester,,3,1,Missile,25,,,,,,,,,,,
misl_s03_em_fski_thunderbolt,item_NameMISL_S03_EM_FSKI_Thunderbolt,item_NameMISL_S03_EM_FSKI_Thunderbolt_short,item_DescMISL_S03_EM_FSKI_Thunderbolt,,3,1,Missile,25,,,,,,,,,,,
misl_s03_ir_novp_viper,item_NameMISL_S03_IR_NOVP_Viper,item_NameMISL_S03_IR_NOVP_Viper_short,item_DescMISL_S03_IR_NOVP_Viper,,3,1,Missile,25,,,,,,,,,,,
misl_s03_ir_vncl_chaos,item_NameMISL_S03_IR_VNCL_Chaos,item_NameMISL_S03_IR_VNCL_Chaos_short,item_DescMISL_S03_IR_VNCL_Chaos,,3,1,Missile,25,,,,,,,,,,,
misl_s04_cs_taln_assailant,item_NameMISL_S04_CS_TALN_Assailant,item_NameMISL_S04_CS_TALN_Assailant_short,item_DescMISL_S04_CS_TALN_Assailant,,4,1,Missile,25,,,,,,,,,,,
misl_s04_em_taln_raptor,item_NameMISL_S04_EM_TALN_Raptor,item_NameMISL_S04_EM_TALN_Raptor_short,item_DescMISL_S04_EM_TALN_Raptor,,4,1,Missile,25,,,,,,,,,,,
misl_s04_ir_behr_pathfinder,item_NameMISL_S04_IR_BEHR_Pathfinder,item_NameMISL_S04_IR_BEHR_Pathfinder_short,item_DescMISL_S04_IR_BEHR_Pathfinder,,4,1,Missile,25,,,,,,,,,,,
misl_s04_ir_vncl_dragon,item_NameMISL_S04_IR_VNCL_Dragon,item_NameMISL_S04_IR_VNCL_Dragon_short,item_DescMISL_S04_IR_VNCL_Dragon,,4,1,Missile,25,,,,,,,,,,,
misl_s05_cs_taln_stalker,item_NameMISL_S05_CS_TALN_Stalker,item_NameMISL_S05_CS_TALN_Stalker_short,item_DescMISL_S05_CS_TALN_Stalker,,5,1,Torpedo,50,,,,,,,,,,,
misl_s05_em_taln_reaper,item_NameMISL_S05_EM_TALN_Reaper,item_NameMISL_S05_EM_TALN_Reaper_short,item_DescMISL_S05_EM_TALN_Reaper,,5,1,Torpedo,50,,,,,,,,,,,
misl_s05_em_taln_scimitar,item_NameMISL_S05_EM_TALN_Scimitar,item_NameMISL_S05_EM_TALN_Scimitar_short,item_DescMISL_S05_EM_TALN_Scimitar,,5,1,Missile,50,,,,,,,,,,,
misl_s05_ir_taln_valkyrie,item_NameMISL_S05_IR_TALN_Valkyrie,item_NameMISL_S05_IR_TALN_Valkyrie_short,item_DescMISL_S05_IR_TALN_Valkyrie,,5,1,Torpedo,50,,,,,,,,,,,
misl_s07_ir_taln_hellion,item_NameMISL_S07_IR_TALN_Hellion,item_NameMISL_S07_IR_TALN_Hellion_short,item_DescMISL_S07_IR_TALN_Hellion,,7,1,Missile,200,,,,,,,,,,,
misl_s09_cs_taln_argos,item_NameMISL_S09_CS_TALN_Argos,item_NameMISL_S09_CS_TALN_Argos_short,item_DescMISL_S09_CS_TALN_Argos,,9,1,Torpedo,667,,,,,,,,,,,
misl_s09_cs_taln_argos_2,item_NameMISL_S09_CS_TALN_Argos_2,item_NameMISL_S09_CS_TALN_Argos_2_Short,item_DescMISL_S09_CS_TALN_Argos_2,,9,1,Torpedo,667,,,,,,,,,,,
misl_s09_em_taln_seeker,item_NameMISL_S09_EM_TALN_Seeker,item_NameMISL_S09_EM_TALN_Seeker_short,item_DescMISL_S09_EM_TALN_Seeker,,9,1,Torpedo,667,,,,,,,,,,,
misl_s09_ir_taln_typhoon,item_NameMISL_S09_IR_TALN_Typhoon,item_NameMISL_S09_IR_TALN_Typhoon_short,item_DescMISL_S09_IR_TALN_Typhoon,,9,1,Torpedo,667,,,,,,,,,,,
misl_s10_cs_behr_executor,item_NameMISL_S10_CS_BEHR_Executor,item_NameMISL_S10_CS_BEHR_Executor_Short,item_DescMISL_S10_CS_BEHR_Executor,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_cs_taln_vanquisher,item_NameMISL_S10_CS_TALN_Vanquisher,item_NameMISL_S10_CS_TALN_Vanquisher_Short,item_DescMISL_S10_CS_TALN_Vanquisher,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_em_behr_executor,item_NameMISL_S10_EM_BEHR_Executor,item_NameMISL_S10_EM_BEHR_Executor_Short,item_DescMISL_S10_EM_BEHR_Executor,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_em_taln_vanquisher,item_NameMISL_S10_EM_TALN_Vanquisher,item_NameMISL_S10_EM_TALN_Vanquisher_Short,item_DescMISL_S10_EM_TALN_Vanquisher,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_ir_behr_executor,item_NameMISL_S10_IR_BEHR_Executor,item_NameMISL_S10_IR_BEHR_Executor_Short,item_DescMISL_S10_IR_BEHR_Executor,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_ir_behr_torpedo,item_NameMISL_S10_IR_BEHR_Torpedo,item_NameMISL_S10_IR_BEHR_Torpedo_Short,item_DescMISL_S10_IR_BEHR_Torpedo,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_ir_taln_vanquisher,item_NameMISL_S10_IR_TALN_Vanquisher,item_NameMISL_S10_IR_TALN_Vanquisher_Short,item_DescMISL_S10_IR_TALN_Vanquisher,,10,1,Torpedo,667,,,,,,,,,,,
misl_s10_ir_vncl_cleaver,vehicle_NameVNCL_Cleaver,,vehicle_NameVNCL_Cleaver,,10,1,Torpedo,667,,,,,,,,,,,
misl_s12_cs_behr_executor,item_NameMISL_S12_CS_BEHR_Executor,item_NameMISL_S12_CS_BEHR_Executor_Short,item_DescMISL_S12_CS_BEHR_Executor,,12,1,Torpedo,667,,,,,,,,,,,
misl_s12_cs_taln_calamity,item_NameMISL_S12_CS_TALN_Calamity,item_NameMISL_S12_CS_TALN_Calamity_Short,item_DescMISL_S12_CS_TALN_Calamity,,12,1,Torpedo,667,,,,,,,,,,,
misl_s12_em_behr_executor,item_NameMISL_S12_EM_BEHR_Executor,item_NameMISL_S12_EM_BEHR_Executor_Short,item_DescMISL_S12_EM_BEHR_Executor,,12,1,Torpedo,667,,,,,,,,,,,
misl_s12_em_taln_calamity,item_NameMISL_S12_EM_TALN_Calamity,item_NameMISL_S12_EM_TALN_Calamity_Short,item_DescMISL_S12_EM_TALN_Calamity,,12,1,Torpedo,667,,,,,,,,,,,
misl_s12_ir_behr_executor,item_NameMISL_S12_IR_BEHR_Executor,item_NameMISL_S12_IR_BEHR_Executor_Short,item_DescMISL_S12_IR_BEHR_Executor,,12,1,Torpedo,667,,,,,,,,,,,
misl_s12_ir_taln_calamity,item_NameMISL_S12_IR_TALN_Calamity,item_NameMISL_S12_IR_TALN_Calamity_Short,item_DescMISL_S12_IR_TALN_Calamity,,12,1,Torpedo,667,,,,,,,,,,,
novp_rocket_venom_s1_strike_tl_ir,item_NameNOVP_Rocket_Venom_S1_Strike_TL_IR,,item_DescNOVP_Rocket_Venom_S1_Strike_TL_IR,,0,1,Rocket,1000,,,,,,,,,,,
