Distribution Class,Distribution Type,Mineable Family,Location GUID,Location Class,Location Path,Min Quality,Max Quality,Mean,Stddev,Record GUID,Record Path
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,8c2ce601-f0a2-4ad2-8a3f-05f13d9e30cc,AsteroidClusterBase_Nyx_Rockcracker_002,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_002.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,8d17a89a-0633-4df0-bbe4-992e56f4d769,AsteroidClusterBase_Nyx_Rockcracker_003,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_003.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,859feef1-32af-4864-8870-57c662a15aca,AsteroidClusterBase_Nyx_Rockcracker_004,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_004.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,5541f051-fa2f-4b4e-9a84-46c93408b801,AsteroidClusterBase_Nyx_Rockcracker_005,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_005.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,67f1d2b2-821d-449d-a4b5-f5c97f29fa38,AsteroidClusterBase_Nyx_Rockcracker_006,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_006.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f0be1fe1-6072-4fa0-9029-4554ff07f8e4,AsteroidClusterBase_Nyx_Rockcracker_007,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_007.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,ad396091-b2d0-4c8e-82b6-1fcbe7429a6a,AsteroidClusterBase_Nyx_Rockcracker_008,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_008.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9bc6e1e3-1faf-4bb0-a273-797e918d7231,AsteroidClusterBase_Nyx_Rockcracker_009,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_009.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,680a5cf0-dc84-4de1-8582-966befa8abda,AsteroidClusterBase_Nyx_Rockcracker_010,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_010.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,a8fbfd71-faca-4b96-97ba-71c53d0a290f,AsteroidClusterBase_Nyx_Rockcracker_011,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_011.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,39d3eeff-454f-4730-8cde-fea19bb81ab9,AsteroidClusterBase_Nyx_Rockcracker_012,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_012.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,adcc3744-ad7e-4d8a-943e-f55653f0b40e,AsteroidClusterBase_Nyx_Rockcracker_013,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_013.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,52d28464-6a08-43d3-abc9-18ca8b15cb38,AsteroidClusterBase_Nyx_Rockcracker_014,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_014.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,324a5ea1-f580-4ac0-877f-d279a4c221d4,AsteroidClusterBase_Nyx_Rockcracker_015,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_015.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,d899d7c3-8c0c-442c-9def-c4c37815659d,AsteroidClusterBase_Nyx_Rockcracker_016,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_016.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,dea7dbcf-cc94-48f4-bdac-f2eb955c2d0d,AsteroidClusterBase_Nyx_Rockcracker_017,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_017.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,d31686bd-a3fe-4f12-bb16-f3c2c0366bfb,AsteroidClusterBase_Nyx_Rockcracker_018,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_018.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,c1f3b0be-1cd3-434f-a68d-27560416718f,AsteroidClusterBase_Nyx_Rockcracker_019,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_019.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f1017b15-7cca-4f7d-bf33-16178571aa72,AsteroidClusterBase_Nyx_Rockcracker_020,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_020.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,4643a0bf-1e85-46ca-817b-eb07b0116249,AsteroidClusterBase_Nyx_Rockcracker_021,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_021.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,85ec7c84-9ff7-4400-bd35-5e8b20727aea,AsteroidClusterBase_Nyx_Rockcracker_022,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_022.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9ad3e571-bc7d-4423-987e-8d09838f0c5f,AsteroidClusterBase_Nyx_Rockcracker_023,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_023.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,af01f884-3261-4d8d-b4e8-988b87a914cc,AsteroidClusterBase_Nyx_Rockcracker_024,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_024.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,33210fa5-559c-43c8-b3ad-2ec41fc31d52,AsteroidClusterBase_Nyx_Rockcracker_025,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_025.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,1662aba5-c68d-4b28-ab39-045bb0748c8d,AsteroidClusterBase_Nyx_Rockcracker_026,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_026.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,5ea8816e-5215-418f-a312-e9261b053c12,AsteroidClusterBase_Nyx_Rockcracker_027,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_027.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,2336b147-35e2-4e3e-897d-5a5ad718ecce,AsteroidClusterBase_Nyx_Rockcracker_028,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_028.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9da55651-df7d-49be-ba05-548b744b7ddf,AsteroidClusterBase_Nyx_Rockcracker_029,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_029.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,a90af2b5-2b54-4acd-bcb8-ac6c9cbff188,AsteroidClusterBase_Nyx_Rockcracker_030,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_030.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,d7a48e5e-3648-4e7c-a28c-ff11a1405753,AsteroidClusterBase_Nyx_Rockcracker_031,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_031.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9e3bee94-dd4d-42aa-b345-c9ae453fef7d,AsteroidClusterBase_Nyx_Rockcracker_032,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_032.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f27576fa-efaa-49aa-8e74-b22b7dc50ea4,AsteroidClusterBase_Nyx_Rockcracker_034,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_034.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,cb5bf63b-cf5b-48e0-8327-1063d1970754,AsteroidClusterBase_Nyx_Rockcracker_035,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_035.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,7d215223-5688-4414-aabe-ff3724b9badd,AsteroidClusterBase_Nyx_Rockcracker_033,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_033.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f81abeac-6cf9-4e69-b3c5-c31fa06ba5d3,AsteroidClusterBase_Nyx_Rockcracker_036,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_036.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,a60ba194-d4ce-4e6c-9849-0c3992b6738b,AsteroidClusterBase_Nyx_Rockcracker_037,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_037.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,b2c07b4d-2df7-4b86-ba45-c15d9b7a0290,AsteroidClusterBase_Nyx_Rockcracker_038,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_038.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f6880b7f-770f-48ef-99de-540179f51f50,AsteroidClusterBase_Nyx_Rockcracker_039,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_039.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,a4c1a6e3-5c98-4971-8e7b-71e54def7dfa,AsteroidClusterBase_Nyx_Rockcracker_040,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_040.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,5a75f9de-f3ce-4310-a4cf-b6ce906ce0ab,AsteroidClusterBase_Nyx_Rockcracker_041,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_041.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9f1ea9bd-7a54-40ec-966e-37b478963b78,AsteroidClusterBase_Nyx_Rockcracker_042,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_042.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,b6f5c396-3712-4435-8e1c-bf5fa3b1cd41,AsteroidClusterBase_Nyx_Rockcracker_043,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_043.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,30d324ec-6352-48a5-83a3-b6090e693b39,AsteroidClusterBase_Nyx_Rockcracker_044,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_044.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,1985c407-b02e-4044-a88e-e6e8474bd126,AsteroidClusterBase_Nyx_Rockcracker_045,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_045.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,cd21a10b-9f77-4afb-a8cd-4f27bddec128,AsteroidClusterBase_Nyx_Rockcracker_046,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_046.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,9474a0ca-26fe-4c7e-8fb0-7cb673d520d9,AsteroidClusterBase_Nyx_Rockcracker_047,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_047.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,fa63870c-cbb3-4a7e-8967-9830b0c2bcf3,AsteroidClusterBase_Nyx_Rockcracker_048,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_048.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f2a8a7b6-1f34-441d-bc69-3cc638150d91,AsteroidClusterBase_Nyx_Rockcracker_049,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_049.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,0d963aaa-7a1f-4b12-87fe-2c4ae48ded26,AsteroidClusterBase_Nyx_Rockcracker_050,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_050.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,524d14d7-5752-4c07-9ddc-c3fe6b70c141,AsteroidClusterBase_Nyx_Rockcracker_051,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_051.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,7f5437b5-b69d-4cb0-ae00-7d4c9e2471c0,AsteroidClusterBase_Nyx_Rockcracker_052,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_052.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,c4b6f8d8-5ca8-4e04-8a0b-434044026747,AsteroidClusterBase_Nyx_Rockcracker_053,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_053.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,65628b9f-6eb4-4c4c-b0a3-5197e5c30126,AsteroidClusterBase_Nyx_Rockcracker_054,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_054.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,f8c90940-bbc4-4356-9f75-c2a55339c43f,AsteroidClusterBase_Nyx_Rockcracker_055,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_055.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
