Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Yaw Speed,Pitch Speed,Yaw Accel,Pitch Accel
aegs_idris_remote_camera_turret_upper,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2000,,,,
aegs_idris_scitem_ai_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,7000,,,,
aegs_idris_scitem_ai_turret_bottom_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,7000,,,,
aegs_idris_scitem_ai_turret_bottom_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,7000,,,,
aegs_idris_scitem_ai_turret_top_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,7000,,,,
aegs_idris_scitem_ai_turret_top_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,7000,,,,
aegs_idris_scitem_turret_large,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,,7,1,MannedTurret,15000,,,,
aegs_idris_scitem_turret_large_lowpoly,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,,7,1,MannedTurret,15000,,,,
aegs_idris_scitem_turret_large_p,item_NameAEGS_Idris_SCItem_Turret_Large_P,item_NameAEGS_Idris_SCItem_Turret_Large_P,item_DescAEGS_Idris_SCItem_Turret_Large_P,,7,1,MannedTurret,15000,,,,
aegs_idris_scitem_turret_large_stanton,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,,7,1,MannedTurret,15000,,,,
aegs_idris_scitem_turret_large_t,item_NameAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke,item_NameAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke_Short,item_DescAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke,,7,1,MannedTurret,15000,,,,
aegs_idris_scitem_turret_lower,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_left_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_left_stanton,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_right_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_lower_short_right_stanton,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_front,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_front_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_front_left_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_front_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_front_right_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_left_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_left_stanton,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_right_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_rear_right_stanton,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_stanton,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_stanton_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_scitem_turret_upper_stanton_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
aegs_idris_turret_pdc,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_01,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_02,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_03,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_04,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_05,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_06,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_07,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_08,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_09,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_10,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_11,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_idris_turret_pdc_scitem_template,item_Name_Turret_Remote,,,,9,1,PDCTurret,1500,,,,
aegs_javelin_scitem_turret_large,item_Name_Turret_Remote,,item_Name_Turret_Remote,,8,1,GunTurret,25000,,,,
aegs_javelin_scitem_turret_large_invulnerable,item_Name_Turret_Remote,,item_Name_Turret_Remote,,8,1,GunTurret,25000,,,,
aegs_javelin_scitem_turret_lower_manned,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_lower_manned_invulnerable,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_lower_manned_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_manned,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_manned_invulnerable,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_manned_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_manned_left_invulnerable,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_scitem_turret_manned_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,20000,,,,
aegs_javelin_side_turret,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
aegs_javelin_side_turret_invulnerable,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
aegs_javelin_side_turret_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
aegs_javelin_side_turret_player_c01,item_Name_Turret_Manned,,,,5,1,MannedTurret,80000,,,,
aegs_reclaimer_scitem_remote_salvage_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,4000,,,,
aegs_reclaimer_scitem_remote_salvage_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,Utility,4000,,,,
aegs_reclaimer_scitem_remote_salvage_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,Utility,4000,,,,
aegs_reclaimer_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_02,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_bottom,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_front_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_front_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_rear_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_rear_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_remote_turret_top,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,8500,,,,
aegs_reclaimer_scitem_turret,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_reclaimer_tractor_beam,item_Name_Turret_Remote,,,,5,1,MannedTurret,3000,,,,
aegs_redeemer_front_scitem_turret,item_Name_Turret_Manned,,,,4,1,MannedTurret,12500,,,,
aegs_redeemer_rear_scitem_turret,item_Name_Turret_Manned,,,,4,1,MannedTurret,12500,,,,
aegs_redeemer_scitem_remote_turret_front,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,GunTurret,8500,,,,
aegs_redeemer_scitem_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,GunTurret,8500,,,,
aegs_retaliator_scitem_turret_lower,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
aegs_retaliator_scitem_turret_lower_rear,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
aegs_retaliator_scitem_turret_upper,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
aegs_retaliator_scitem_turret_upper_rear_left,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
aegs_retaliator_scitem_turret_upper_rear_right,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
aegs_vanguard_harbinger_scitem_turret,item_Name_Turret_Manned,,,,6,1,MannedTurret,5000,,,,
aegs_vanguard_scitem_turret,item_Name_Turret_Manned,,,,6,1,MannedTurret,5000,,,,
anvl_asgard_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12000,,,,
anvl_asgard_scitem_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12000,,,,
anvl_asgard_turret_bubble,item_Name_Turret_Manned,,,,4,1,MannedTurret,8200,,,,
anvl_carrack_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
anvl_carrack_scitem_turret_bubble,item_Name_Turret_Manned,,,,5,1,MannedTurret,12500,,,,
anvl_carrack_scitem_turret_side,item_Name_Turret_Manned,,,,5,1,MannedTurret,12500,,,,
anvl_carrack_scitem_turret_side_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,12500,,,,
anvl_carrack_scitem_turret_side_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,12500,,,,
anvl_gladiator_scitem_turret,item_Name_Turret_Manned,,,,6,1,MannedTurret,5000,,,,
anvl_hurricane_scitem_turret,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
anvl_paladin_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,5500,,,,
anvl_paladin_scitem_remote_turret_large,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,GunTurret,13000,,,,
anvl_paladin_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,5500,,,,
anvl_paladin_scitem_remote_turret_left_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,5500,,,,
anvl_paladin_scitem_remote_turret_middle,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,5500,,,,
anvl_terrapin_remote_turret_scanner,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,TopTurret,1500,,,,
anvl_terrapin_support_scanner,,,item_DescBEHR_PC2_Dual_S4,,3,1,UNDEFINED,1500,,,,
anvl_terrapin_support_turret,item_Name_Turret_Manned,,,,1,1,TopTurret,2500,,,,
anvl_valkyrie_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12000,,,,
anvl_valkyrie_scitem_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12000,,,,
anvl_valkyrie_scitem_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12000,,,,
anvl_valkyrie_turret_bubble,item_Name_Turret_Manned,,,,4,1,MannedTurret,8000,,,,
anvl_valkyrie_turret_door,itemPort_hardpoint_turret,,,,3,1,MannedTurret,1000,,,,
anvl_valkyrie_turret_door_left,itemPort_hardpoint_turret,,,,3,1,MannedTurret,1000,,,,
anvl_valkyrie_turret_door_right,itemPort_hardpoint_turret,,,,3,1,MannedTurret,1000,,,,
anvl_valkyrie_turret_top,item_Name_Turret_Manned,,,,4,1,MannedTurret,4500,,,,
anvl_valkyrie_turret_top_citizencon,item_Name_Turret_Manned,,,,4,1,MannedTurret,4500,,,,
argo_mole_turret_front,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_mole_turret_left,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_mole_turret_right,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_moth_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,MissileTurret,12500,,,,
argo_moth_turret_front,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_moth_turret_left,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_moth_turret_right,item_Name_Turret_Manned,,,,4,1,MannedTurret,2000,,,,
argo_mpuv_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2500,,,,
argo_raft_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,6500,,,,
argo_raft_scitem_remote_turret_tractor,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,,,,,
argo_srv_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,1,1,Utility,6500,,,,
argo_turret_seatadjustment,,,,,,,,,,,,
cnou_nomad_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2500,,,,
crus_spirit_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,1,1,GunTurret,6000,,,,
crus_spirit_scitem_remote_turret_tractor,item_Name_Turret_Remote,,item_Name_Turret_Remote,,1,1,GunTurret,3000,,,,
crus_starlifter_bomb_turret,item_Name_Turret_Remote,,item_Desc_Turret_Remote,,5,1,GunTurret,1500,,,,
crus_starlifter_scitem_remote_turret_dual,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_front_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_front_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_main,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_main_a2,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_nose,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_rear_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_rear_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,GunTurret,12500,,,,
crus_starlifter_scitem_remote_turret_single,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,12500,,,,
crus_star_runner_turret_bottom,item_Name_Turret_Manned,,,,1,1,MannedTurret,8000,,,,
crus_star_runner_turret_top,item_Name_Turret_Manned,,,,1,1,MannedTurret,8000,,,,
drak_caterpillar_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,5000,,,,
drak_caterpillar_remote_turret_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,,2,1,GunTurret,5000,,,,
drak_caterpillar_remote_turret_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,5000,,,,
drak_caterpillar_scitem_turret_bottom,item_Name_Turret_Manned,,,,6,1,MannedTurret,12500,,,,
drak_caterpillar_scitem_turret_top,item_Name_Turret_Manned,,,,6,1,MannedTurret,12500,,,,
drak_corsair_remote_turret_tail,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,TopTurret,6000,,,,
drak_corsair_turret_manned,item_Name_Turret_Manned,,,,1,1,MannedTurret,6000,,,,
drak_cutlass_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,5000,,,,
drak_cutlass_scitem_turret_black,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
drak_cutlass_scitem_turret_blue,item_Name_Turret_Manned,,,,5,1,MannedTurret,5000,,,,
drak_golem_ox_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2500,,,,
espr_prowler_utility_tractor_beam_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,2,1,Utility,5000,,,,
glsn_shiv_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,GunTurret,4000,,,,
grin_roc_ds_turret_mining,item_Name_Turret_Manned,,,,1,1,MannedTurret,2000,,,,
misc_freelancer_base_scitem_turret,item_Name_Turret_Manned,,,,6,1,MannedTurret,6500,,,,
misc_hull_c_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_hull_c_scitem_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_hull_c_scitem_tractor_beam_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_hull_c_scitem_tractor_beam_turret_bottom,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_hull_c_scitem_tractor_beam_turret_bottom_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_hull_c_scitem_tractor_beam_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8500,,,,
misc_starfarer_gemini_scitem_turret_large,item_Name_Turret_Manned,,,,12,1,MannedTurret,8500,,,,
misc_starfarer_gemini_scitem_turret_large_derelict,item_Name_Turret_Manned,,,,12,1,MannedTurret,8500,,,,
misc_starfarer_gemini_scitem_turret_small,item_Name_Turret_Manned,,,,8,1,MannedTurret,4000,,,,
misc_starfarer_gemini_scitem_turret_small_right,item_Name_Turret_Manned,,,,8,1,MannedTurret,4000,,,,
misc_starfarer_scitem_turret_large,item_Name_Turret_Manned,,,,10,1,MannedTurret,8500,,,,
misc_starfarer_scitem_turret_small,item_Name_Turret_Manned,,,,6,1,MannedTurret,4000,,,,
misc_starfarer_scitem_turret_small_right,item_Name_Turret_Manned,,,,6,1,MannedTurret,4000,,,,
misc_starlancer_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2000,,,,
misc_starlancer_remote_turret_missile_camera,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2000,,,,
misc_starlancer_remote_turret_rear,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2000,,,,
misc_starlancer_tac_side_turret,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
misc_starlancer_tac_side_turret_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
misc_starlancer_tac_turret_door_left,itemPort_hardpoint_turret,,,,1,1,MannedTurret,1000,,,,
misc_starlancer_tac_turret_door_right,itemPort_hardpoint_turret,,,,1,1,MannedTurret,1000,,,,
orbital_sentry_scitem_ai_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,30000,,,,
orig_315p_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,2,1,GunTurret,2000,,,,
orig_400i_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8000,,,,
orig_400i_scitem_remote_turret_bottom,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8000,,,,
orig_400i_scitem_remote_turret_top,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,8000,,,,
orig_890j_scitem_turret_lower,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
orig_890j_scitem_turret_upper,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
rsi_apollo_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,TopTurret,2000,,,,
rsi_bengal_scitem_ai_sts_turret,item_Name_Turret_Remote,,,,9,1,GunTurret,5000,,,,
rsi_bengal_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,5,1,GunTurret,2000,,,,
rsi_bengal_scitem_remote_turret_aa,item_Name_Turret_Remote,,item_Name_Turret_Remote,,8,1,GunTurret,2000,,,,
rsi_bengal_scitem_remote_turret_main_gun,item_Name_Turret_Remote,,item_Name_Turret_Remote,,12,1,GunTurret,2000,,,,
rsi_bengal_scitem_remote_turret_medium,item_Name_Turret_Remote,,item_Name_Turret_Remote,,8,1,GunTurret,2000,,,,
rsi_bengal_scitem_remote_turret_missilelauncher,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,MissileTurret,2000,,,,
rsi_bengal_scitem_remote_turret_phalanx,item_Name_Turret_Remote,,item_Name_Turret_Remote,,6,1,GunTurret,2000,,,,
rsi_bengal_scitem_sts_large_turret,item_Name_Turret_Remote,,,,12,1,GunTurret,1000000,,,,
rsi_bengal_scitem_sts_turret,item_Name_Turret_Remote,,,,9,1,GunTurret,5000,,,,
rsi_constellation_aquila_scitem_turret_radar,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_constellation_phoenix_turret_lower,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_constellation_phoenix_turret_upper,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_constellation_scitem_turret_lower,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_constellation_scitem_turret_upper,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_constellation_taurus_turret_lower,item_Name_Turret_Manned,,,,6,1,MannedTurret,8000,,,,
rsi_hermes_remote_tractor_turret,item_Name_Tractor_Beam,,item_displayType_TractorBeam,,2,1,UNDEFINED,6000,,,,
rsi_hermes_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,TopTurret,2000,,,,
rsi_perseus_mannedturret_bottom,item_Name_Turret_Manned,,,,8,1,MannedTurret,35000,,,,
rsi_perseus_mannedturret_top,item_Name_Turret_Manned,,,,8,1,MannedTurret,35000,,,,
rsi_perseus_remote_turret_torpedo,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,,,,,
rsi_polaris_scitem_remote_turret_hangarcam,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,,,,,
rsi_polaris_scitem_remote_turret_rearbottom,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,10000,,,,
rsi_polaris_scitem_remote_turret_reartop,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,MissileTurret,10000,,,,
rsi_polaris_scitem_remote_turret_torpedo,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,,,,,
rsi_polaris_scitem_remote_turret_tractor,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,,,,,
rsi_polaris_turret_front,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
rsi_polaris_turret_side_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
rsi_polaris_turret_side_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
rsi_polaris_turret_top_left,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
rsi_polaris_turret_top_right,item_Name_Turret_Manned,,,,5,1,MannedTurret,10000,,,,
rsi_scorpius_antares_scitem_remote_turret_missile,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,5000,,,,
rsi_scorpius_scitem_remote_missile_turret,item_NameRSI_Scorpius_MissileTurret,item_NameRSI_Scorpius_MissileTurret_short,item_DescRSI_Scorpius_MissileTurret,,3,1,MissileTurret,5000,,,,
rsi_scorpius_scitem_remote_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,,3,1,GunTurret,5000,,,,
