Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Aim Assist Distance (PiP) Min,Aim Assist Distance (PiP) Max,Aim Assist Distance (PiP) Buffer,Sensitivity IR,Sensitivity CS,Sensitivity EM,Sensitivity RS,Sensitivity dB,Piercing IR,Piercing CS,Piercing EM,Piercing RS,Piercing dB,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
radr_nave_s01_snsr6,item_Name_RADR_NAVE_S01_SNSR6,,item_Desc_RADR_NAVE_S01_SNSR6,NAVE,1,3,MidRangeRadar,350,780,1062.5,90,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,9,311,1800,1.5,120,16.5
radr_nave_s01_snsr7,item_Name_RADR_NAVE_S01_SNSR7,,item_Desc_RADR_NAVE_S01_SNSR7,NAVE,1,2,MidRangeRadar,368,780,1168.75,90,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_nave_s02_sns_r6x,item_Name_RADR_NAVE_S02_SNSR6x,,item_Desc_RADR_NAVE_S02_SNSR6x,NAVE,2,3,MidRangeRadar,700,1200,1750,135,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,4000,3,266.6667,18
radr_nave_s02_snsr5x,item_Name_RADR_NAVE_S02_SNSR5x,,item_Desc_RADR_NAVE_S02_SNSR5x,NAVE,2,4,MidRangeRadar,630,1200,1575,135,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_nave_s02_snsr7x,item_Name_RADR_NAVE_S02_SNSR7x,,item_Desc_RADR_NAVE_S02_SNSR7x,NAVE,2,2,MidRangeRadar,735,1200,1925,135,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_rsi_s04_polaris,item_Name_RADR_RSI_S04_Polaris,,item_Desc_RADR_RSI_S04_Polaris,RSI,4,1,MidRangeRadar,5000,3920,4830,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,8,333,23500,1.5,1566.667,16.5
radr_s00_fake,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,0,1,MidRangeRadar,200,630,632.5,80,1,1,1,1,0,0.25,0.25,0.25,1,0.25,8,318,5000,1.5,333.3333,16.5
radr_s01_template,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,1,1,MidRangeRadar,500,910,977.5,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_s02_fake,item_SubTypeRadar,,LOC_PLACEHOLDER,,2,1,MidRangeRadar,1000,1400,1610,120,1,1,1,1,0,0.25,0.25,0.25,1,0.25,8,318,5000,3,333.3333,18
radr_s02_template,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,2,1,MidRangeRadar,1000,1400,1610,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_s03_template,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,3,1,MidRangeRadar,3000,2170,2990,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_unmaned_turret,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,0,1,MidRangeRadar,200,630,632.5,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,1900,1.5,126.6667,16.5
radr_wlop_s00_denning,item_Name_RADR_WLOP_S00_Denning,,item_Desc_RADR_WLOP_S00_Denning,WLOP,0,3,MidRangeRadar,200,540,632.5,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,1900,1.5,126.6667,16.5
radr_wlop_s00_fabian,item_Name_RADR_WLOP_S00_Fabian,,item_Desc_RADR_WLOP_S00_Fabian,WLOP,0,1,MidRangeRadar,230,540,759,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_wlop_s00_vogel,item_Name_RADR_WLOP_S00_Vogel,,item_Desc_RADR_WLOP_S00_Vogel,WLOP,0,2,MidRangeRadar,210,540,695.75,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_wlop_s01_abetti,item_Name_RADR_WLOP_S01_Abetti,,item_Desc_RADR_WLOP_S01_Abetti,WLOP,1,1,MidRangeRadar,575,780,1173,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_wlop_s01_backlund,item_Name_RADR_WLOP_S01_Backlund,,item_Desc_RADR_WLOP_S01_Backlund,WLOP,1,2,MidRangeRadar,525,780,1075.25,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_wlop_s01_capstan,item_Name_RADR_WLOP_S01_Capston,,item_Desc_RADR_WLOP_S01_Capston,WLOP,1,3,MidRangeRadar,500,780,977.5,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,2950,1.5,196.6667,16.5
radr_wlop_s01_fleming,item_Name_RADR_WLOP_S01_Fleming,,item_Desc_RADR_WLOP_S01_Fleming,WLOP,1,4,MidRangeRadar,450,780,879.75,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,2950,1.5,196.6667,16.5
radr_wlop_s02_agrippa,item_Name_RADR_WLOP_S02_Agrippa,,item_Desc_RADR_WLOP_S02_Agrippa,WLOP,2,1,MidRangeRadar,1150,1200,1932,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_wlop_s02_battani,item_Name_RADR_WLOP_S02_Battani,,item_Desc_RADR_WLOP_S02_Battani,WLOP,2,2,MidRangeRadar,1050,1200,1771,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_wlop_s02_chernykh,item_Name_RADR_WLOP_S02_Chernykh,,item_Desc_RADR_WLOP_S02_Chernykh,WLOP,2,3,MidRangeRadar,1000,1200,1610,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,4550,3,303.3333,18
radr_wlop_s02_fawad,item_Name_RADR_WLOP_S02_Fawad,,item_Desc_RADR_WLOP_S02_Fawad,WLOP,2,4,MidRangeRadar,900,1200,1449,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_wlop_s03_anysta,item_Name_RADR_WLOP_S03_Anysta,,item_Desc_RADR_WLOP_S03_Anysta,WLOP,3,1,MidRangeRadar,3450,1860,3588,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_wlop_s03_capsulo,item_Name_RADR_WLOP_S03_Capsulo,,item_Desc_RADR_WLOP_S03_Capsulo,WLOP,3,2,MidRangeRadar,3150,1860,3289,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_wlop_s03_lephari,item_Name_RADR_WLOP_S03_Lephari,,item_Desc_RADR_WLOP_S03_Lephari,WLOP,3,3,MidRangeRadar,3000,1860,2990,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,7000,4.5,466.6667,19.5
radr_wlop_s03_socoria,item_Name_RADR_WLOP_S03_Socoria,,item_Desc_RADR_WLOP_S03_Socoria,WLOP,3,4,MidRangeRadar,2700,1860,2691,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
