Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Max Speed,Stage 1 Accel,Stage 2 Accel,Spline Speed,Spool Time,Cooldown,Interdiction Delay,Fuel Rate
qdrv_just_s03_vesta,item_NameQDRV_JUST_S03_Vesta_SCItem,,item_DescQDRV_JUST_S03_Vesta_SCItem,,3,4,UNDEFINED,1200,,,,,,,,
qdrv_orig_s04_890j,item_NameQDRV_ORIG_S04_890J_SCItem,,item_DescQDRV_ORIG_S04_890J_SCItem,,4,1,UNDEFINED,9900,,,,,,,,
qdrv_raco_s01_drift,item_NameQDRV_RACO_S01_Drift,,item_DescQDRV_RACO_S01_Drift,,1,3,UNDEFINED,130,,,,,,,,
qdrv_raco_s01_spectre,item_NameQDRV_RACO_S01_Spectre_SCItem,,item_DescQDRV_RACO_S01_Spectre_SCItem,,1,1,UNDEFINED,170,,,,,,,,
qdrv_raco_s01_zephyr,item_Name_QDRV_RACO_S01_Zephyr,,item_Desc_QDRV_RACO_S01_Zephyr,,1,2,UNDEFINED,150,,,,,,,,
qdrv_raco_s02_bolt,item_NameQDRV_RACO_S02_Bolt_SCItem,,item_DescQDRV_RACO_S02_Bolt_SCItem,,2,2,UNDEFINED,400,,,,,,,,
qdrv_raco_s02_nova,item_NameQDRV_RACO_S02_Nova_SCItem,,item_DescQDRV_RACO_S02_Nova_SCItem,,2,3,UNDEFINED,350,,,,,,,,
qdrv_raco_s02_spicule,item_NameQDRV_RACO_S02_Spicule_SCItem,,item_DescQDRV_RACO_S02_Spicule_SCItem,,2,1,UNDEFINED,460,,,,,,,,
qdrv_rsi_s01_atlas,item_Name_QDRV_RSI_S01_Atlas,,item_Desc_QDRV_RSI_S01_Atlas,,1,1,UNDEFINED,200,,,,,,,,
qdrv_rsi_s01_eos,item_NameQDRV_RSI_S01_Eos,,item_DescQDRV_RSI_S01_Eos,,1,3,UNDEFINED,150,,,,,,,,
qdrv_rsi_s01_hyperion,item_NameQDRV_RSI_S01_Hyperion_SCItem,,item_DescQDRV_RSI_S01_Hyperion_SCItem,,1,2,UNDEFINED,170,,,,,,,,
qdrv_rsi_s02_aither,item_NameQDRV_RSI_S02_Aither_SCItem,,item_DescQDRV_RSI_S02_Aither_SCItem,,2,2,UNDEFINED,470,,,,,,,,
qdrv_rsi_s02_hemera,item_nameQDRV_RSI_S02_Hemera_SCItem,,item_DescQDRV_RSI_S02_Hemera_SCItem,,2,1,UNDEFINED,540,,,,,,,,
qdrv_rsi_s02_khaos,item_nameQDRV_RSI_S02_Khaos_SCItem,,item_descQDRV_RSI_S02_Khaos_SCItem,,2,3,UNDEFINED,410,,,,,,,,
qdrv_rsi_s03_erebos,item_NameQDRV_RSI_S03_Erebos,,item_DescQDRV_RSI_S03_Erebos,,3,1,UNDEFINED,1500,,,,,,,,
qdrv_rsi_s03_metis,item_nameQDRV_RSI_S03_Metis_SCItem,,item_descQDRV_RSI_S03_Metis_SCItem,,3,3,UNDEFINED,1100,,,,,,,,
qdrv_rsi_s03_tyche,item_nameQDRV_RSI_S03_Tyche_SCItem,,item_descQDRV_RSI_S03_Tyche_SCItem,,3,2,UNDEFINED,1300,,,,,,,,
qdrv_s01_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,200,,,,,,,,
qdrv_s02_template,LOC_PLACEHOLDER,,,,2,1,UNDEFINED,540,,,,,,,,
qdrv_s03_template,LOC_PLACEHOLDER,,,,3,1,UNDEFINED,1500,,,,,,,,
qdrv_s04_template,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,4100,,,,,,,,
qdrv_tars_s01_expedition,item_NameQDRV_TARS_S01_Expedition,,item_DescQDRV_TARS_S01_Expedition,,1,3,UNDEFINED,150,,,,,,,,
qdrv_tars_s01_voyage,item_Name_QDRV_TARS_S01_Voyage,,item_Desc_QDRV_TARS_S01_Voyage,,1,2,UNDEFINED,170,,,,,,,,
qdrv_tars_s01_wayfare,item_nameQDRV_TARS_S01_Wayfare_SCItem,,item_descQDRV_TARS_S01_Wayfare_SCItem,,1,4,UNDEFINED,130,,,,,,,,
qdrv_tars_s02_odyssey,item_NameQDRV_TARS_S02_Odyssey,,item_DescQDRV_TARS_S02_Odyssey,,2,3,UNDEFINED,410,,,,,,,,
qdrv_tars_s02_quest,item_nameQDRV_TARS_S02_Quest_SCItem,,item_descQDRV_TARS_S02_Quest_SCItem,,2,4,UNDEFINED,360,,,,,,,,
qdrv_tars_s02_sojourn,item_Name_QDRV_TARS_S02_Sojourn,,item_Desc_QDRV_TARS_S02_Sojourn,,2,2,UNDEFINED,470,,,,,,,,
qdrv_tars_s03_drifter,item_nameQDRV_TARS_S03_Drifter_SCItem,,item_descQDRV_TARS_S03_Drifter_SCItem,,3,4,UNDEFINED,990,,,,,,,,
qdrv_tars_s03_ranger,item_nameQDRV_TARS_S03_Ranger_SCItem,,Item_descQDRV_TARS_S03_Ranger_SCItem,,3,2,UNDEFINED,1300,,,,,,,,
qdrv_tars_s03_wanderer,item_nameQDRV_TARS_S03_Wanderer_SCItem,,item_descQDRV_TARS_S03_Wanderer_SCItem,,3,3,UNDEFINED,1100,,,,,,,,
qdrv_wetk_s01_beacon,item_NameQDRV_WETK_S01_Beacon,,item_DescQDRV_WETK_S01_Beacon,,1,3,UNDEFINED,240,,,,,,,,
qdrv_wetk_s01_siren,item_NameQDRV_WETK_S01_Siren,,item_DescQDRV_WETK_S01_Siren,,1,2,UNDEFINED,270,,,,,,,,
qdrv_wetk_s01_vk00,item_Name_QDRV_WETK_S01_VK00,,item_Desc_QDRV_WETK_S01_VK00,,1,1,UNDEFINED,300,,,,,,,,
qdrv_wetk_s02_crossfield,item_NameQDRV_WETK_S02_Crossfield,,item_DescQDRV_WETK_S02_Crossfield,,2,3,UNDEFINED,660,,,,,,,,
qdrv_wetk_s02_xl1,item_nameQDRV_WETK_S02_XL1_SCItem,,item_descQDRV_WETK_S02_XL1_SCItem,,2,1,UNDEFINED,840,,,,,,,,
qdrv_wetk_s02_yeager,item_Name_QDRV_WETK_S02_Yeager,,item_Desc_QDRV_WETK_S02_Yeager,,2,2,UNDEFINED,750,,,,,,,,
qdrv_wetk_s03_balandin,item_nameQDRV_WETK_S03_Balandin_SCItem,,item_descQDRV_WETK_S03_Balandin_SCItem,,3,2,UNDEFINED,2100,,,,,,,,
qdrv_wetk_s03_pontes,item_NameQDRV_WETK_S03_Pontes,,item_DescQDRV_WETK_S03_Pontes,,3,3,UNDEFINED,1800,,,,,,,,
qdrv_wetk_s03_ts2,item_NameQDRV_WETK_S03_TS2,,item_DescQDRV_WETK_S03_TS2,,3,1,UNDEFINED,2300,,,,,,,,
qdrv_wetk_s04_idris_temp,item_NameQDRV_WETK_S04_Idris,,item_DescQDRV_WETK_S04_Idris,,4,1,UNDEFINED,48000,,,,,,,,
