Size,Name,Manufacturer,Class,Grade,Shield Characteristics HP Pool,Shield Characteristics Regen Rate,Shield Characteristics Regen Time,Shield Characteristics Damaged Delay,Shield Characteristics Downed Delay,NAV-SCM Reserve Pool Regen Rate,NAV-SCM Reserve Pool Regen Time,Resistance (Max / Min) Physical,Resistance (Max / Min) Energy,Resistance (Max / Min) Distortion,Absorption (Max / Min) Physical,Absorption (Max / Min) Energy,Absorption (Max / Min) Distortion,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Min,EM Emit Max,EM Emit Decay,IR Emit Start,Power Segment Usage Min,Power Segment Usage Max,Cooling Usage Min,Cooling Usage Max,Temperature (°C) Cooling Threshold,Temperature (°C) IR Threshold,Temperature (°C) Overheat,Temperature (°C) Max,Temperature (°C) Recovery,Health,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Damage Multipliers Stun,Lifetime,Self Repair Use,Self Repair Time to Repair,Self Repair Health Ratio,Mass,K µSCU
2,BLOC,Seal Corporation,Civilian,B,7 200,1 440,5s,5s,10s,3 600,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 000,3,266.7,18s,640.3,1 130,0.15,0,2,3,1.7,3,29.9,44.9,99.9,120.9,115.9,470,0.9,0.9,1,0.1,1,1,,1,63.6,20%,320,252
1,Bulwark,Basilisk,Industrial,C,2 160,410,5.3s,5s,10s,1 025,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 700,1.5,180,16.5s,844.3,1 490,0.15,0,2,3,1.7,3,29.9,49.9,109.9,119.9,114.9,180,0.9,0.9,1,0.1,1,1,,1,32,20%,200,84
0,Castra,Basilisk,Industrial,C,720,228,3.2s,4.6s,9.1s,570,1.3s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 750,1.5,116.7,16.5s,420.8,990,0.15,0,1,2,0.85,2,29.9,49.9,109.9,119.9,114.9,65,0.9,0.9,1,0.1,1,1,,1,18.3,20%,65,84
2,Citadel,Basilisk,Industrial,B,7 200,1 440,5s,5s,10s,3 600,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 800,3,320,18s,1 262.3,1 980,0.15,0,3,4,2.55,4,29.9,49.9,109.9,131.9,126.9,570,0.9,0.9,1,0.1,1,1,,1,50.9,20%,590,252
1,Cloak,Ascension Astro,Stealth,D,2 244,404,5.6s,3.9s,7.7s,1 010,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 650,1.5,110,16.5s,250,250,0.15,0,1,1,1,1,34.9,39.9,89.9,89.9,85.9,110,0.9,0.9,1,0.1,1,1,,1,39.6,20%,63,84
2,CoverAll,Gorgon Defender Industries,Military,B,10 560,2 112,5s,5.8s,11.5s,5 280,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,5 500,3,366.7,18s,288.8,1 650,0.15,0,1,4,0.7,4,29.9,59.9,139.9,164.9,159.9,660,0.9,0.9,1,0.1,1,1,,1,63.6,20%,370,252
1,Falco,Yorm,Competition,D,1 920,346,5.5s,4.7s,9.4s,865,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 100,1.5,73.3,16.5s,818,818,0.15,0,2,2,2,2,34.9,37.9,79.9,80.9,76.9,72,0.9,0.9,1,0.1,1,1,,1,44,20%,50,84
1,ForceWall,Gorgon Defender Industries,Military,B,3 168,634,5s,5.2s,10.5s,1 585,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 600,1.5,240,16.5s,289.3,1 240,0.15,0,1,3,0.7,3,29.9,59.9,139.9,164.9,159.9,240,0.9,0.9,1,0.1,1,1,,1,36.4,20%,120,84
1,FR-66,Gorgon Defender Industries,Military,A,3 168,697,4.5s,4.8s,9.6s,1 743,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 100,1.5,273.3,16.5s,289.3,1 240,0.15,0,1,3,0.7,3,29.9,59.9,139.9,179.9,173.9,270,0.9,0.9,1,0.1,1,1,,1,33.3,20%,120,84
2,FR-76,Gorgon Defender Industries,Military,A,10 560,2 323,4.5s,5.3s,10.5s,5 808,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,6 500,3,433.3,18s,288.8,1 650,0.15,0,1,4,0.7,4,29.9,59.9,139.9,179.9,173.9,750,0.9,0.9,1,0.1,1,1,,1,58.3,20%,370,252
3,FR-86,Gorgon Defender Industries,Military,A,105 600,23 232,4.5s,5.8s,11.6s,58 080,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,10 000,4.5,666.7,19.5s,576.8,2 060,0.15,0,2,5,1.4,5,29.9,59.9,139.9,179.9,173.9,2 100,0.9,0.9,1,0.1,1,1,,1,102,20%,1 100,756
3,FullBlock,Gorgon Defender Industries,Military,B,105 600,21 120,5s,6.3s,12.7s,52 800,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,8 500,4.5,566.7,19.5s,576.8,2 060,0.15,0,2,5,1.4,5,29.9,59.9,139.9,164.9,159.9,1 800,0.9,0.9,1,0.1,1,1,,1,111,20%,1 100,756
2,FullStop,Gorgon Defender Industries,Military,C,10 560,2 006,5.3s,6.3s,12.7s,5 015,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 900,3,326.7,18s,288.8,1 650,0.15,0,1,4,0.7,4,29.9,59.9,139.9,149.9,144.9,580,0.9,0.9,1,0.1,1,1,,1,70,20%,370,252
4,Glacis,Origin Jumpworks,Industrial,A,360 000,26 400,13.6s,6.1s,12.2s,66 000,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,18 000,6,1 200,21s,1 926.7,2 720,0.15,0,5,6,4.25,6,29.9,49.9,109.9,143.9,137.9,12 000,0.9,0.9,1,0.1,1,1,,1,250,20%,11 000,2 100
4,Glacis,Roberts Space Industries,Industrial,A,648 000,47 520,13.6s,6.1s,12.2s,118 800,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,20 500,6,1 366.7,21s,2 103.8,2 970,0.15,0,5,6,4.25,6,29.9,49.9,109.9,143.9,137.9,13 000,0.9,0.9,1,0.1,1,1,,1,250,20%,16 000,2 100
3,GUARD,Seal Corporation,Civilian,C,72 000,13 680,5.3s,6.1s,12.1s,34 200,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,5 500,4.5,366.7,19.5s,525,1 500,0.15,0,2,4,1.4,4,29.9,44.9,99.9,109.9,104.9,1 100,0.9,0.9,1,0.1,1,1,,1,123,20%,950,756
1,Guardian,Basilisk,Industrial,B,2 160,432,5s,4.6s,9.1s,1 080,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 100,1.5,206.7,16.5s,844.3,1 490,0.15,0,2,3,1.7,3,29.9,49.9,109.9,131.9,126.9,210,0.9,0.9,1,0.1,1,1,,1,29.1,20%,200,84
2,Haltur,Yorm,Competition,B,6 400,1 280,5s,4.3s,8.5s,3 200,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 100,3,140,18s,1 230,1 230,0.15,0,3,3,3,3,34.9,37.9,79.9,98.9,93.9,250,0.9,0.9,1,0.1,1,1,,1,63.6,20%,150,252
3,HAVEN,Seal Corporation,Civilian,D,72 000,12 960,5.6s,6.7s,13.3s,32 400,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 700,4.5,313.3,19.5s,525,1 500,0.15,0,2,4,1.4,4,29.9,44.9,99.9,98.9,94.9,990,0.9,0.9,1,0.1,1,1,,1,135,20%,950,756
1,HEX,Seal Corporation,Civilian,B,2 160,432,5s,4.6s,9.1s,1 080,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 600,1.5,173.3,16.5s,318.8,750,0.15,0,1,2,0.85,2,29.9,44.9,99.9,120.9,115.9,170,0.9,0.9,1,0.1,1,1,,1,36.4,20%,110,84
4,Holdstrong,Gorgon Defender Industries,-,A,1 056 000,77 440,13.6s,7.7s,15.4s,193 600,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,36 500,6,2 433.3,21s,868,2 480,0.15,0,3,6,2.1,6,29.9,59.9,139.9,179.9,173.9,43 000,0.9,0.9,1,0.1,1,1,,1,547,20%,30 000,2 100
4,Holdstrong,Gorgon Defender Industries,-,A,1 056 000,77 440,13.6s,7.7s,15.4s,193 600,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,36 500,6,2 433.3,21s,868,2 480,0.15,0,3,6,2.1,6,29.9,59.9,139.9,179.9,173.9,43 000,0.9,0.9,1,0.1,1,1,,1,547,20%,30 000,2 100
1,INK,Seal Corporation,Civilian,D,2 160,389,5.6s,5.5s,11s,973,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 950,1.5,130,16.5s,318.8,750,0.15,0,1,2,0.85,2,29.9,44.9,99.9,98.9,94.9,130,0.9,0.9,1,0.1,1,1,,1,44,20%,110,84
1,Jaghte,Yorm,Competition,B,1 920,384,5s,3.9s,7.7s,960,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 350,1.5,90,16.5s,818,818,0.15,0,2,2,2,2,34.9,37.9,79.9,98.9,93.9,91,0.9,0.9,1,0.1,1,1,,1,36.4,20%,50,84
4,Mauler Shield Generator,Gorgon Defender Industries,-,A,1 056 000,77 440,13.6s,4.7s,9.4s,193 600,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,10,6,0.7,21s,952,2 720,0.15,0,3,6,2.1,6,29.9,59.9,139.9,179.9,173.9,53 000,0.9,0.9,1,0.1,1,1,,1,602,20%,30 000,2 100
1,Mirage,Ascension Astro,Stealth,A,2 244,494,4.5s,2.9s,5.8s,1 235,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 500,1.5,166.7,16.5s,250,250,0.15,0,1,1,1,1,34.9,39.9,89.9,119.9,113.9,170,0.9,0.9,1,0.1,1,1,,1,30,20%,63,84
2,Obscura,Ascension Astro,Stealth,C,7 480,1 421,5.3s,3.9s,7.7s,3 553,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 950,3,196.7,18s,212.5,500,0.15,0,1,2,0.85,2,34.9,39.9,89.9,99.9,94.9,350,0.9,0.9,1,0.1,1,1,,1,63,20%,190,252
1,Palisade,Basilisk,Industrial,A,2 160,475,4.5s,4.2s,8.3s,1 188,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 500,1.5,233.3,16.5s,844.3,1 490,0.15,0,2,3,1.7,3,29.9,49.9,109.9,143.9,137.9,230,0.9,0.9,1,0.1,1,1,,1,26.7,20%,200,84
3,Parapet,Basilisk,Industrial,A,72 000,15 840,4.5s,5s,10.1s,39 600,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,8 500,4.5,566.7,19.5s,1 686.4,2 480,0.15,0,4,5,3.4,5,29.9,49.9,109.9,143.9,137.9,1 800,0.9,0.9,1,0.1,1,1,,1,81.7,20%,1 800,756
0,PIN,Seal Corporation,Civilian,C,720,228,3.2s,4.6s,9.1s,570,1.3s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 450,1.5,96.7,16.5s,375,375,0.15,0,1,1,1,1,29.9,44.9,99.9,109.9,104.9,55,0.9,0.9,1,0.1,1,1,,1,22.9,20%,35,84
2,Rampart,Basilisk,Industrial,A,7 200,1 584,4.5s,4.6s,9.2s,3 960,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,5 500,3,366.7,18s,1 262.3,1 980,0.15,0,3,4,2.55,4,29.9,49.9,109.9,143.9,137.9,640,0.9,0.9,1,0.1,1,1,,1,46.7,20%,590,252
2,RPEL,Seal Corporation,Civilian,D,7 200,1 296,5.6s,6.1s,12.1s,3 240,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 050,3,203.3,18s,640.3,1 130,0.15,0,2,3,1.7,3,29.9,44.9,99.9,98.9,94.9,360,0.9,0.9,1,0.1,1,1,,1,77,20%,320,252
4,RS-Barrier,-,Industrial,A,194 400,14 256,13.6s,5.6s,11.1s,35 640,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,13 000,6,866.7,21s,2 103.8,2 970,0.15,0,5,6,4.25,6,29.9,49.9,109.9,143.9,137.9,4 900,0.9,0.9,1,0.1,1,1,,1,143,20%,5 300,2 100
1,SecureHyde,Gorgon Defender Industries,Military,D,3 168,570,5.6s,6.3s,12.7s,1 425,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 750,1.5,183.3,16.5s,289.3,1 240,0.15,0,1,3,0.7,3,29.9,59.9,139.9,134.9,130.9,180,0.9,0.9,1,0.1,1,1,,1,44,20%,120,84
3,SecureScreen,Gorgon Defender Industries,Military,D,105 600,19 008,5.6s,7.7s,15.3s,47 520,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,6 500,4.5,433.3,19.5s,576.8,2 060,0.15,0,2,5,1.4,5,29.9,59.9,139.9,134.9,130.9,1 400,0.9,0.9,1,0.1,1,1,,1,135,20%,1 100,756
2,SecureShield,Gorgon Defender Industries,Military,D,10 560,1 901,5.6s,7s,13.9s,4 753,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 250,3,283.3,18s,288.8,1 650,0.15,0,1,4,0.7,4,29.9,59.9,139.9,134.9,130.9,500,0.9,0.9,1,0.1,1,1,,1,77,20%,370,252
2,Sheut,Ascension Astro,Stealth,B,7 480,1 496,5s,3.5s,7s,3 740,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 400,3,226.7,18s,212.5,500,0.15,0,1,2,0.85,2,34.9,39.9,89.9,109.9,104.9,400,0.9,0.9,1,0.1,1,1,,1,57.3,20%,190,252
1,Shimmer,Ascension Astro,Stealth,C,2 244,426,5.3s,3.5s,7s,1 065,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 900,1.5,126.7,16.5s,250,250,0.15,0,1,1,1,1,34.9,39.9,89.9,99.9,94.9,130,0.9,0.9,1,0.1,1,1,,1,36,20%,63,84
4,SHLD GODI S04 Bengal SCItem,Gorgon Defender Industries,-,A,3 168 000,232 320,13.6s,9.3s,18.7s,580 800,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,90 000,6,6 000,21s,868,2 480,0.15,0,3,6,2.1,6,29.9,59.9,139.9,179.9,173.9,320 000,0.9,0.9,1,0.1,1,1,,1,1680,20%,270 000,2 100
4,SHLD GODI S04 Javelin SCItem,Gorgon Defender Industries,-,A,2 112 000,154 880,13.6s,8.5s,17s,387 200,5.5s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,55 000,6,3 666.7,21s,868,2 480,0.15,0,3,6,2.1,6,29.9,59.9,139.9,179.9,173.9,120 000,0.9,0.9,1,0.1,1,1,,1,957,20%,89 000,2 100
2,Shroud,Ascension Astro,Stealth,D,7 480,1 346,5.6s,4.2s,8.5s,3 365,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 600,3,173.3,18s,212.5,500,0.15,0,1,2,0.85,2,34.9,39.9,89.9,89.9,85.9,300,0.9,0.9,1,0.1,1,1,,1,69.3,20%,190,252
1,Steward,Basilisk,Industrial,D,2 160,389,5.6s,5.5s,11s,973,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 350,1.5,156.7,16.5s,844.3,1 490,0.15,0,2,3,1.7,3,29.9,49.9,109.9,107.9,103.9,160,0.9,0.9,1,0.1,1,1,,1,35.2,20%,200,84
2,STOP,Seal Corporation,Civilian,C,7 200,1 368,5.3s,5.5s,11s,3 420,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 500,3,233.3,18s,640.3,1 130,0.15,0,2,3,1.7,3,29.9,44.9,99.9,109.9,104.9,410,0.9,0.9,1,0.1,1,1,,1,70,20%,320,252
3,Stronghold,Basilisk,Industrial,C,72 000,13 680,5.3s,6.1s,12.1s,34 200,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,6 500,4.5,433.3,19.5s,1 686.4,2 480,0.15,0,4,5,3.4,5,29.9,49.9,109.9,119.9,114.9,1 400,0.9,0.9,1,0.1,1,1,,1,98,20%,1 800,756
2,Sukoran,Banu,Military,C,7 680,1 459,5.3s,6.3s,12.7s,3 648,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 250,3,283.3,18s,318.5,1 820,0.15,0,1,4,0.7,4,29.9,59.9,139.9,149.9,144.9,500,0.9,0.9,1,0.1,1,1,,1,56,20%,370,252
1,Suldrath,Banu,Military,C,2 304,438,5.3s,5.8s,11.5s,1 095,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 750,1.5,183.3,16.5s,317.3,1 360,0.15,0,1,3,0.7,3,29.9,59.9,139.9,149.9,144.9,180,0.9,0.9,1,0.1,1,1,,1,32,20%,120,84
3,SureStop,Gorgon Defender Industries,Military,C,105 600,20 064,5.3s,7s,13.9s,50 160,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,7 500,4.5,500,19.5s,576.8,2 060,0.15,0,2,5,1.4,5,29.9,59.9,139.9,149.9,144.9,1 600,0.9,0.9,1,0.1,1,1,,1,123,20%,1 100,756
1,Targa,Yorm,Competition,C,1 920,365,5.3s,4.3s,8.5s,913,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 200,1.5,80,16.5s,818,818,0.15,0,2,2,2,2,34.9,37.9,79.9,89.9,84.9,81,0.9,0.9,1,0.1,1,1,,1,40,20%,50,84
2,Trenta,Yorm,Competition,C,6 400,1 216,5.3s,4.7s,9.4s,3 040,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 900,3,126.7,18s,1 230,1 230,0.15,0,3,3,3,3,34.9,37.9,79.9,89.9,84.9,220,0.9,0.9,1,0.1,1,1,,1,70,20%,150,252
2,Umbra,Ascension Astro,Stealth,A,7 480,1 646,4.5s,3.2s,6.4s,4 115,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 850,3,256.7,18s,212.5,500,0.15,0,1,2,0.85,2,34.9,39.9,89.9,119.9,113.9,460,0.9,0.9,1,0.1,1,1,,1,52.5,20%,190,252
1,Veil,Ascension Astro,Stealth,B,2 244,449,5s,3.2s,6.4s,1 123,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 200,1.5,146.7,16.5s,250,250,0.15,0,1,1,1,1,34.9,39.9,89.9,109.9,104.9,150,0.9,0.9,1,0.1,1,1,,1,32.7,20%,63,84
3,Ward,Basilisk,Industrial,D,72 000,12 960,5.6s,6.7s,13.3s,32 400,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,5 500,4.5,366.7,19.5s,1 686.4,2 480,0.15,0,4,5,3.4,5,29.9,49.9,109.9,107.9,103.9,1 200,0.9,0.9,1,0.1,1,1,,1,108,20%,1 800,756
1,WEB,Seal Corporation,Civilian,C,2 160,410,5.3s,5s,10s,1 025,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 250,1.5,150,16.5s,318.8,750,0.15,0,1,2,0.85,2,29.9,44.9,99.9,109.9,104.9,150,0.9,0.9,1,0.1,1,1,,1,40,20%,110,84
