Size,Name,Manufacturer,Type,Damage Sustained (60s),Damage Burst,Damage Alpha,Damage Maximum,Damage Alpha Physical,Damage Alpha Energy,Damage Alpha Distortion,Damage RPM,Ammo Speed,Ammo Lifetime,Ammo Range,Ammo Quantity,Ammo Spread,Ammo Explosion Radius,Ammo Pellet Per Shot,Ammo Penetration Base Distance,Ammo Penetration Near Radius,Ammo Penetration Far Radius,Barrel Spin Time Up,Barrel Spin Time Down,Heat Per Shot,Heat Cooling Delay,Heat Cooling sec.,Overheat Max Round,Overheat Max Time,Overheat Cooldown,Capacitor Max Ammo,Capacitor Max Regen sec.,Capacitor Cooldown,Charge Action Charge Time,Charge Action Overcharge,Charge Action Overcharged,Charge Action Cooldown,Charge Modifiers Damage,Charge Modifiers Fire Rate,Charge Modifiers Ammo Speed,Laser Beam Max Energy Draw Per sec.,Laser Beam Full Dmg Range,Laser Beam Zero Dmg Range,Laser Beam Heat Per sec.,Laser Beam Charge Up Time,Laser Beam Charge Down Time,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit Active,Power Segment Usage Min,Power Segment Usage Max,Health,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Damage Multipliers Stun,Lifetime,Self Repair Use,Self Repair Time to Repair,Self Repair Health Ratio,Mass,K µSCU
4,Breakneck S4 Gatling,Grey's Market,Ballistic Gatling,667.3,953.3,52,546 000,52,0,0,1 100,1 296,2.16,2 799,10 500,0.62 - 0.62,,1,2.2,0.11,0.22,1,1.25,0.5,0.5,20,200,10.9,6,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,1 800,0.6,1,1,1,1,1,,1,10.3,20%,350,756
1,BRRA LaserCannon AP AutomatedTurret (Point Defense Turret),Broad & Rabiee,Laser Cannon,14.6,16,8,∞,0,8,0,120,1 200,1.67,2 004,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,75,15,0.25,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1,100,0.6,1,1,1,1,1,,1,17.6,20%,,0.001
2,BRVS Repeater,Behring,Ballistic Repeater,413.8,450,54,142 398,54,0,0,500,1 495,1.44,2 153,2 637,0.57 - 0.57,,1,0.88,0.04,0.09,,,0.727,0.346,37.3,138,16.6,1.61,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
7,C-07T Cannon,Behring,Ballistic Cannon,2 683.3,2 683.3,4 600,3 680 000,4 600,0,0,35,1 048,8.68,9 097,800,0.4 - 0.4,,1,23.1,1.16,2.31,,,5,0.6,5,∞,∞,10,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,285,20%,115,84
4,C-788 Cannon,Behring,Ballistic Cannon,251.3,270.8,325,87 750,325,0,0,50,1 152,3.04,3 502,270,0.2 - 0.2,,1,6.6,0.33,0.66,,,12,0.84,25.4,36,43.2,4.32,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,63.4,20%,2 250,2 100
1,CF-117 Bulldog Repeater,Klaus & Werner,Laser Repeater,114.4,218.8,17.5,∞,0,17.5,0,750,1 500,1.07,1 605,∞,0.6 - 0.6,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.726,,,,,,,,,,,,,,500 000,0,500 000,1s,152,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,24,84
1,CF-117 Bulldog Repeater (ATLS),Klaus & Werner,Laser Repeater,52.7,141.3,11.3,∞,0,11.3,0,750,1 500,1.07,1 605,∞,0.6 - 0.6,,1,0.3,0.02,0.03,,,,,,,,,70,7.43,0.726,,,,,,,,,,,,,,500 000,0,500 000,1s,152,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,24,84
2,CF-227 Badger Repeater,Klaus & Werner,Laser Repeater,170.5,328,26.2,∞,0,26.2,0,750,1 495,1.16,1 734,∞,0.6 - 0.6,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.762,,,,,,,,,,,,,,500 000,0,500 000,1s,203,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,20.6,20%,60,252
2,CF-227 Badger Repeater (Point Defense Cannon),Klaus & Werner,Laser Repeater,172.4,328,26.2,∞,0,26.2,0,750,1 495,1.16,1 734,∞,0.6 - 0.6,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.693,,,,,,,,,,,,,,500 000,0,500 000,1s,169,0.15,0,0,0.502,850,0.6,1,1,1,1,1,,1,20.6,20%,60,252
3,CF-337 Panther Repeater,Klaus & Werner,Laser Repeater,284.6,545.6,43.7,∞,0,43.7,0,750,1 480,1.3,1 924,∞,0.6 - 0.6,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.74,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1,1 500,0.6,1,1,1,1,1,,1,34,20%,200,756
4,CF-447 Rhino Repeater,Klaus & Werner,Laser Repeater,419.8,817.9,65.4,∞,0,65.4,0,750,1 440,1.56,2 246,∞,0.6 - 0.6,,1,1,0.05,0.1,,,,,,,,,75,15,0.84,,,,,,,,,,,,,,500 000,0,500 000,1s,304,0.15,0,0,0.9,1 650,0.6,1,1,1,1,1,,1,56.1,20%,375,2 100
5,CF-557 Galdereen Repeater,Klaus & Werner,Laser Repeater,625.8,1 227.4,98.2,∞,0,98.2,0,750,1 390,2.3,3 197,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,,,,,,,500 000,0,500 000,1s,354,0.15,0,0,1.05,2 640,0.6,1,1,1,1,1,,1,92.6,20%,938,4 200
5,CF-557 Galdereen Repeater (Idris),Klaus & Werner,Laser Repeater,4 779.7,9 375,750,∞,0,750,0,750,1 390,2.3,3 197,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,,,,,,,500 000,0,500 000,1s,354,0.15,0,0,1.05,78 000,0.6,1,1,1,1,1,,1,92.6,20%,938,4 200
5,CF-557 Galdereen Repeater (Point Defense Turret),Klaus & Werner,Laser Repeater,625.8,1 227.4,98.2,∞,0,98.2,0,750,1 390,2.3,3 197,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.882,,,,,,,,,,,,,,,,,,354,0.15,0,0,1.05,,,,,,,,,,,,938,4 200
6,CF-667 Mammoth Repeater,Klaus & Werner,Laser Repeater,932.2,1 841.6,147.3,∞,0,147.3,0,750,1 350,3.56,4 806,∞,0.6 - 0.6,,1,2.5,0.13,0.25,,,,,,,,,75,15,0.926,,,,,,,,,,,,,,500 000,0,500 000,1s,405,0.15,0,0,1.2,4 224,0.6,1,1,1,1,1,,1,153,20%,2 340,7 560
6,Condemnation Distortion Scattergun,Preacher Armament,Distortion ScatterGun,1 040,1 040,1 040,∞,0,0,1 040,60,729,3.09,2 253,∞,4 - 4,20 - 25,8,2.8,0.14,0.28,,,,,,,,,75,15,0.421,,,,,,,,,,,,,,500 000,0,500 000,1s,660,0.15,0,0,1.6,4 224,0.6,1,1,1,1,1,,1,144,20%,4 690,7 560
7,Conqueror-7 (Idris),Behring,Ballistic Cannon,3 333.3,3 333.3,4 000,3 200 000,4 000,0,0,50,1 048,8.68,9 097,800,0.4 - 0.4,,1,23.1,1.16,2.31,,,5,0.6,5,50,60,10,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,285,20%,115,84
2,CVSA Cannon,Behring,Ballistic Cannon,270,405,162,52 974,162,0,0,150,1 196,2.26,2 703,327,0.45 - 0.45,,1,2.64,0.13,0.26,,,4,0.4,25,25,10,5,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,23.3,20%,360,252
1,Deadbolt I Cannon,Esperia,Ballistic Cannon,278.1,337.5,202.5,80 190,202.5,0,0,100,1 200,2.08,2 496,396,0.4 - 0.4,,1,1.98,0.1,0.2,,,6,0.605,22.3,17,10.2,2.64,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,17.6,20%,96,84
2,Deadbolt II Cannon,Esperia,Ballistic Cannon,409.5,505.5,303.3,119 196.9,303.3,0,0,100,1 196,2.26,2 703,393,0.4 - 0.4,,1,2.64,0.13,0.26,,,6,0.635,21.2,17,10.2,2.85,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,29.1,20%,240,252
3,Deadbolt III Cannon,Esperia,Ballistic Cannon,603.2,759,455.4,176 239.8,455.4,0,0,100,1 184,2.53,2 996,387,0.4 - 0.4,,1,4.95,0.25,0.5,,,6,0.667,20.2,17,10.2,3.08,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,48,20%,600,756
4,Deadbolt IV Cannon,Esperia,Ballistic Cannon,886.5,1 138.5,683.1,260 261.1,683.1,0,0,100,1 152,3.04,3 502,381,0.4 - 0.4,,1,6.6,0.33,0.66,,,6,0.7,19.2,17,10.2,3.32,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,79.2,20%,1 500,2 100
5,Deadbolt V Cannon,Esperia,Ballistic Cannon,1 298.5,1 707,1 024.2,377 929.8,1 024.2,0,0,100,1 112,4.5,5 004,369,0.4 - 0.4,,1,9.9,0.5,0.99,,,6,0.735,18.3,17,10.2,3.59,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,131,20%,3 750,4 200
6,Deadbolt VI Cannon,Esperia,Ballistic Cannon,1 899.3,2 562,1 537.2,544 168.8,1 537.2,0,0,100,1 080,6.94,7 495,354,0.4 - 0.4,,1,16.5,0.83,1.65,,,6,0.772,17.5,17,10.2,3.88,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,216,20%,9 380,7 560
10,Destroyer Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,9 610.7,9 610.7,288 320,432 480 000,288 320,0,0,2,939.4,12.77,11 996,1 500,0.2 - 0.2,,1,50.4,2.52,5.04,,,50,1,2,∞,∞,5,,,,10,5,25,20,2,1,1,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,4.8,727 680,0.6,1,1,1,1,1,,1,1860,20%,700,120 000
1,Dominance-1 Scattergun,Hurston Dynamics,Laser ScatterGun,420,420,504,∞,0,504,0,50,900,1.11,999,∞,4 - 4,,8,0.24,0.01,0.02,,,,,,,,,75,15,0.33,,,,,,,,,,,,,,500 000,0,500 000,1s,248,0.15,0,0,0.6,1 550,0.6,1,1,1,1,1,,1,11.8,20%,48,84
2,Dominance-2 Scattergun,Hurston Dynamics,Laser ScatterGun,660,660,792,∞,0,792,0,50,897,1.2,1 076,∞,4 - 4,,8,0.32,0.02,0.03,,,,,,,,,75,15,0.346,,,,,,,,,,,,,,500 000,0,500 000,1s,330,0.15,0,0,0.8,1 550,0.6,1,1,1,1,1,,1,19.4,20%,120,252
3,Dominance-3 Scattergun,Hurston Dynamics,Laser ScatterGun,930,930,1 116,∞,0,1 116,0,50,888,1.35,1 199,∞,4 - 4,,8,0.6,0.03,0.06,,,,,,,,,75,15,0.364,,,,,,,,,,,,,,500 000,0,500 000,1s,413,0.15,0,0,1,1 550,0.6,1,1,1,1,1,,1,32,20%,300,756
6,Draugar Gatling,Apocalypse Arms,Ballistic Gatling,1 732.5,2 848,142.4,471 201.6,142.4,0,0,1 200,1 215,4.94,6 002,3 309,0.575 - 0.575,,1,5.5,0.28,0.55,0.494,0.989,0.686,0.833,28.8,146,7.3,4.91,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,33,0.15,0,0.1,0.1,4 224,0.6,1,1,1,1,1,,1,138,20%,1 950,7 560
1,DR Model-XJ1 Repeater,PH Associated Science and Development,Distortion Repeater,106.8,149.9,25.7,∞,0,0,25.7,350,1 350,0.89,1 202,∞,0.5 - 0.5,15 - 25,1,0.42,0.02,0.04,,,,,,,,,75,15,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,167,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,9.99,20%,24,84
2,DR Model-XJ2 Repeater,PH Associated Science and Development,Distortion Repeater,160,224.6,38.5,∞,0,0,38.5,350,1 345.5,0.96,1 292,∞,0.5 - 0.5,18 - 28,1,0.56,0.03,0.06,,,,,,,,,75,15,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,223,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,16.5,20%,60,252
3,DR Model-XJ3 Repeater,PH Associated Science and Development,Distortion Repeater,240.6,337.8,57.9,∞,0,0,57.9,350,1 332,1.08,1 439,∞,0.5 - 0.5,20 - 30,1,1.05,0.05,0.11,,,,,,,,,75,15,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,278,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
5,Echion Repeater,Roberts Space Industries,Laser Repeater,1 245.7,1 266.7,95,∞,0,95,0,800,1 390,2.3,3 197,∞,0.6 - 0.6,,1,1.5,0.08,0.15,,,,,,,,,225,2787,0.25,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1.2,1 550,0.6,1,1,1,1,1,,1,12.5,20%,280,2 100
2,EVSD Cannon,Behring,Distortion Cannon,104.1,202.5,81,∞,0,0,81,150,1 076.4,1.51,1 625,∞,0.45 - 0.45,18 - 28,1,1.68,0.08,0.17,,,,,,,,,25,3,1.39,,,,,,,,,,,,,,500 000,0,500 000,1s,594,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,23.3,20%,360,252
10,Exodus-10 Laser Beam,Hurston Dynamics,Laser Beam,14 500,15 000,,∞,,,,,,,5000,∞,,,,29.4,1.47,2.94,,,,,,,,,60,15,5,,,,,,,,1,4000,5000,50000,2,1,500 000,0,500 000,1s,0,0.15,0,0,1,750 000,0.6,1,1,1,1,1,100,1,1490,20%,,120 000
10,Exodus-10 Laser Beam,Hurston Dynamics,Laser Beam,193 333.3,200 000,,∞,,,,,,,10000,∞,,,,0,0.5,5,,,,,,,,,60,15,5,,,,,,,,1,9500,10000,50000,2,1,500 000,0,500 000,1s,0,0.15,0,0,1,750 000,0.6,1,1,1,1,1,100,1,1490,20%,,120 000
1,FL-11 Cannon,Kroneg,Laser Cannon,82.1,205.2,49.3,∞,0,49.3,0,250,1 200,1.67,2 004,∞,0.5 - 0.5,,1,0.9,0.05,0.09,,,,,,,,,25,3,1.6,,,,,,,,,,,,,,500 000,0,500 000,1s,408,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,19.4,20%,120,84
2,FL-22 Cannon,Kroneg,Laser Cannon,123.4,308.5,74,∞,0,74,0,250,1 196,1.81,2 165,∞,0.5 - 0.5,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.68,,,,,,,,,,,,,,500 000,0,500 000,1s,545,0.15,0,0,1.2,850,0.6,1,1,1,1,1,,1,32,20%,300,252
3,FL-33 Cannon,Kroneg,Laser Cannon,184.7,461.7,110.8,∞,0,110.8,0,250,1 184,2.03,2 404,∞,0.5 - 0.5,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.76,,,,,,,,,,,,,,500 000,0,500 000,1s,681,0.15,0,0,1.5,1 024,0.6,1,1,1,1,1,,1,52.8,20%,750,756
10,GVSR Repeater,Behring,Laser Repeater,100 333.3,145 833.3,25 000,∞,0,25 000,0,350,1 220,5.25,6 405,∞,0.5 - 0.5,,1,6,0.3,0.6,,,,,,,,,75,15,1.24,,,,,,,,,,,,,,500 000,0,500 000,1s,729,0.15,0,0,1.8,20 000,0.6,1,1,1,1,1,,1,906,20%,137 000,120 000
2,GVSR Repeater,Behring,Laser Repeater,414.1,581.7,99.7,∞,0,99.7,0,350,1 495,1.16,1 734,∞,0.5 - 0.5,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.762,,,,,,,,,,,,,,500 000,0,500 000,1s,289,0.15,0,0,0.713,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
1,Havoc Scattergun,Apocalypse Arms,Ballistic ScatterGun,374.4,374.4,374.4,763 776,374.4,0,0,60,900,1.39,1 251,2 040,4 - 4,,8,0.528,0.03,0.05,,,0,0.165,26.7,,,0.746,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,16.2,20%,60,84
1,Havoc Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,374.4,374.4,374.4,763 776,374.4,0,0,60,900,1.39,1 251,2 040,4 - 4,,8,0.528,0.03,0.05,,,0,0.165,26.7,,,0.746,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,16.2,20%,60,84
2,Hellion Scattergun,Apocalypse Arms,Ballistic ScatterGun,560,560,560,1 130 640,560,0,0,60,897,1.51,1 354,2 019,4 - 4,,8,0.704,0.04,0.07,,,0,0.173,25.4,,,0.805,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,26.7,20%,150,252
2,Hellion Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,560,560,560,1 130 640,560,0,0,60,897,1.51,1 354,2 019,4 - 4,,8,0.704,0.04,0.07,,,0,0.173,25.4,,,0.805,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,26.7,20%,150,252
1,Jericho,Hurston Dynamics,Rocket POD,150,150,150,1 800,150,0,0,60,700,3,2 100,12,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,500,1,1,1,1,1,1,1 440,,,,,84
2,Jericho X,Hurston Dynamics,Rocket POD,150,150,150,3 600,150,0,0,60,700,3,2 100,24,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,750,1,1,1,1,1,1,1 440,,,,,252
