Element Name,Rarity,Ground Scan Signature,FPS Scan Signature,Scan Signature,Resistance,Instability,Density,Optimal Window Midpoint,Optimal Window Randomness,Optimal Window Thinness,Explosion Multiplier,Cluster Factor,Quality Bands,Material Name,Mining Difficulty,Volatility Note,Cluster Note,Best Refinery
Iron (Ore),common,4000,,4270,-0.4,50,7.87,0.6,0,-0.9,20,0.4,32.5% / 52.1% / 66.4% / 71.0% / 87.4% / 90.7% / 97.0% / 100.0%,Iron,Moderate,Extreme fracture risk,Occasional clusters,2 refineries (+8)
Laranite (Raw),uncommon,4000,,3825,0.5,400,11.49,0.4,0.1,0.5,200,0.4,29.8% / 51.0% / 69.8% / 70.7% / 85.8% / 91.0% / 97.5% / 100.0%,Laranite,Extreme,Extreme fracture risk,Occasional clusters,Levski (+7)
Lindinium (Ore),epic,,,3400,0.95,1000,10.69,0.5,0.2,0.23,260,0.1,30.5% / 58.5% / 61.8% / 72.9% / 85.3% / 93.0% / 95.4% / 100.0%,Lindinium,Extreme,Extreme fracture risk,Isolated,Levski (+4)
Aphorite,,,3000,,0,0,0,0.7,0,0,0,0,34.8% / 52.3% / 68.6% / 71.7% / 86.1% / 91.6% / 97.5% / 100.0%,,Easy,Low volatility,Isolated,
Carinite,,4000,3000,,0.5,300,0,0.4,0.2,10,0.5,0,27.3% / 55.4% / 64.7% / 71.6% / 88.0% / 90.9% / 95.9% / 100.0%,,Extreme,Unstable charge behavior,Isolated,
Carinitepure,,,,,0.5,300,0,0.4,0.2,10,0.5,0,,,Extreme,Unstable charge behavior,Isolated,
Dolivine,,,3000,,0.1,0,0,0.6,0,0,0,0,30.4% / 57.7% / 62.1% / 74.3% / 88.6% / 90.1% / 95.7% / 100.0%,,Easy,Low volatility,Isolated,
Hadanite,,,3000,,0,200,0,0.6,0.2,0,1,0,27.4% / 52.6% / 66.5% / 76.2% / 86.7% / 91.6% / 95.9% / 100.0%,,Easy,Low volatility,Isolated,
Jaclium,,,3000,,0.5,100,0,0.5,0.2,3,1,0,28.4% / 57.6% / 60.7% / 78.1% / 86.4% / 94.1% / 95.5% / 100.0%,,Moderate,Low volatility,Isolated,
Janalite,,,3000,,0.3,300,0,0.3,0,10,1,0,26.9% / 59.6% / 63.2% / 73.2% / 89.8% / 92.6% / 96.4% / 100.0%,,Extreme,Unstable charge behavior,Isolated,
Sadaryx,,,3000,,0,200,0,0.6,0.2,0,1,0,25.8% / 51.0% / 68.8% / 79.7% / 86.5% / 94.0% / 97.1% / 100.0%,,Easy,Low volatility,Isolated,
Saldynium,,,3000,,0,100,0,0.5,0,5,1,0,30.1% / 57.5% / 67.4% / 75.7% / 86.1% / 93.8% / 95.5% / 100.0%,,Moderate,Low volatility,Isolated,
Beradom,,4000,,,0,0,0,0.7,0,0,0,0,28.7% / 57.8% / 65.6% / 72.3% / 88.1% / 93.7% / 96.9% / 100.0%,,Easy,Low volatility,Isolated,
Carinite,,,,,0.5,300,0,0.4,0.2,10,0.5,0,27.3% / 55.4% / 64.7% / 71.6% / 88.0% / 90.9% / 95.9% / 100.0%,,Extreme,Unstable charge behavior,Isolated,
Feynmaline,,4000,,,0,200,0,0.6,0.2,0,1,0,37.1% / 56.1% / 68.2% / 76.9% / 88.0% / 90.6% / 96.5% / 100.0%,,Easy,Low volatility,Isolated,
Glacosite,,4000,,,0.1,0,0,0.6,0,0,0,0,36.0% / 56.7% / 67.8% / 72.4% / 85.7% / 91.6% / 97.2% / 100.0%,,Easy,Low volatility,Isolated,
Ouratite (Raw),epic,,,3370,0.6,600,1.12,0.4,0.2,0.6,240,0.1,31.0% / 52.3% / 64.7% / 77.9% / 86.0% / 91.2% / 96.0% / 100.0%,Ouratite,Extreme,Extreme fracture risk,Isolated,
Quantainium (Raw),legendary,4000,,3170,0.95,1000,20.46,0.5,0.2,2.3,260,0.1,34.4% / 51.4% / 66.9% / 76.2% / 85.2% / 90.1% / 97.4% / 100.0%,Quantainium,Extreme,Extreme fracture risk,Isolated,Levski (+5)
Quartz (Raw),common,4000,,4210,-0.7,50,2.53,0.6,0.1,0.5,-20,0.9,33.0% / 52.2% / 64.1% / 71.0% / 89.9% / 91.4% / 96.9% / 100.0%,Quartz,Easy,Low volatility,Cluster-prone,2 refineries (+11)
Riccite (Ore),epic,,,3385,0.95,850,1.61,0.7,0.2,2.3,260,0,32.5% / 52.5% / 67.1% / 74.3% / 87.0% / 94.2% / 96.5% / 100.0%,Riccite,Extreme,Extreme fracture risk,Isolated,
Savrilium (Ore),legendary,,,3200,0.95,1000,17.59,0.5,0.2,2.3,260,0.1,32.2% / 58.0% / 63.6% / 77.6% / 87.8% / 90.5% / 96.7% / 100.0%,Savrilium,Extreme,Extreme fracture risk,Isolated,Levski (+1)
Stileron (Ore),legendary,,,3185,0.6,870,4.75,0.7,0.3,0.6,260,0,33.0% / 51.7% / 68.1% / 74.7% / 87.4% / 94.7% / 97.2% / 100.0%,Stileron,Extreme,Extreme fracture risk,Isolated,
Silicon (Raw),common,4000,,4255,-0.2,50,2.49,0.3,0.1,0.5,80,0.9,31.0% / 51.0% / 67.2% / 78.2% / 88.9% / 92.6% / 96.8% / 100.0%,Silicon,Extreme,Extreme fracture risk,Cluster-prone,
Taranite (Raw),rare,4000,,3555,0.5,700,10.2,0.4,0.2,0.6,240,0.1,31.0% / 52.5% / 64.6% / 71.8% / 85.3% / 92.5% / 95.7% / 100.0%,Taranite,Extreme,Extreme fracture risk,Isolated,Levski (+8)
Tin (Ore),common,4000,,4195,-0.2,0,5.54,0.4,0.15,0.5,-36,0.6,34.0% / 53.7% / 66.4% / 70.4% / 88.0% / 94.0% / 96.4% / 100.0%,Tin,Easy,Low volatility,Occasional clusters,Levski (+9)
Titanium (Ore),uncommon,4000,,3855,0.1,0,4.48,0.6,0.1,-0.7,20,0.9,29.5% / 51.6% / 62.2% / 78.4% / 86.6% / 91.6% / 95.9% / 100.0%,Titanium,Difficult,Extreme fracture risk,Cluster-prone,MIC-L5 Modern Icarus Station (+13)
Torite (Ore),uncommon,,,3900,0.25,550,2.8,0.5,0.25,2.1,100,0.05,26.2% / 52.8% / 66.1% / 78.5% / 87.3% / 94.4% / 95.1% / 100.0%,Torite,Extreme,Extreme fracture risk,Isolated,Levski (+1)
Tungsten (Ore),uncommon,4000,,3870,-0.4,0,19.35,0.3,0.1,-0.7,80,0.4,36.3% / 53.0% / 66.2% / 78.7% / 85.8% / 90.2% / 96.4% / 100.0%,Tungsten,Extreme,Extreme fracture risk,Occasional clusters,MIC-L2 Long Forest Station (+9)
