description_key,mema_uec,rate_p50,dur_avg,avg_diff,avg_sat,runs
@EckhartSecurity_Mercenary_Intro_Desc_001,85909,5.45454545454545,13.3,1,4,7
@Headhunters_EliminateAll_PAF_H_desc_001,119400,2.4,25,7,7,1
@Foxwell_ShipWaveAttack_ClearHostiles_Desc_M_001,718875,6.75,7.8,2,4.7,4
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,262083,5.66666666666667,25.5,2,6,2
@cfp_sabotage_generators_VE_desc_001,166250,4.375,13.8,3,4.3,4
@shubin_rockcracker_pvp_desc_01,,0.5,120.3,7,7,4
@Headhunters_defend_XT_VH_desc_001,1664351,6.05769230769231,10.5,3,3,2
@cfp_sabotage_generators_VE_desc_001,367500,6,33,2.3,5,3
@Foxwell_Mercenary_Intro_desc_001,216932,5.22727272727273,15.9,1.7,4.5,18
@HaulCargo_AtoB_desc,17641,0.422535211267606,142,,,1
@Eckhart_EscortShips_E_desc,310651,3.90756302521008,21.8,2,3,8
@Hockrow_FacilityDelve_P2M1_Repeat_desc,166000,4,20.2,1.1,3,12
@RAIN_collectresources_multiple_GEN_desc_01,466500,2,201.2,5.4,1.9,11
@Foxwell_ShipWaveAttack_ClearHostiles_Desc_E_001,412500,6,9.8,3.8,5.3,19
@headhunters_EliminateSpecific_Asteroid_Generic_M_desc_001,706500,6,11.9,2.4,4.7,7
@northrock_bounty_fps_UGF_boss_nocivs_desc_001,446625,4.5,13.5,3,6.5,2
@cfp_bounty_desc_HeadHunters_001,795000,12,5.7,1,4,3
@HeadHunters_ShipAmbush_Intro_desc_001,270000,12,6.5,1.5,1,11
@Foxwell_DestroyNarcotics_H_desc_001,567000,4,15,3.5,3,2
@Foxwell_SecurityPatrol_M_Desc_001,456818,5.45454545454545,10.2,2,4,5
@Foxwell_bombingrun_VE_desc_001,87353,3.52941176470588,17.4,2.2,4.2,11
@CFP_RecoverCargo_Easy_Description,131000,4,16.6,1.5,3.7,7
@HeadHunters_ShipAmbush_E_desc_001,408000,12,7.1,1,1,7
@EckhartSecurity_Defend_E_Desc_001,394659,5.22727272727273,12.4,2.5,4,10
@Shubin_Industrial_HandMining_Pyro_M_DiscoverPlanetary_Desc_001,223125,4.25,94,1.7,2.7,4
@HaulCargo_AtoB_desc,301500,6,10,1,7,2
@Covalex_HaulCargo_AToB_Scrap,372000,6,10,1,7,1
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,261000,4,15,2,7,1
@HaulCargo_SingleToMulti_desc,261000,4,15,2,7,1
@HaulCargo_MultiToSingle_desc,239000,4,15,2,7,1
@HaulCargo_MultiToSingle_desc,239000,4,15,2,7,1
@Covalex_HaulCargo_SingleToMulti_desc_ProcessedFood_Stanton2,365250,3,20,3,7,1
@HaulCargo_SingleToMulti_desc,270750,3,20,3,7,1
@HaulCargo_SingleToMulti_desc,245909,1.81818181818182,33,3,4,1
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,170455,1.81818181818182,33,3,4,1
@HaulCargo_MultiToSingle_desc,165441,1.76470588235294,34,3,4,1
@HaulCargo_MultiToSingle_desc,214444,2.22222222222222,27,3,5,1
@HaulCargo_AtoB_desc,499500,3,20,2,6,1
@HaulCargo_SingleToMulti_desc,170571,1.71428571428571,44.7,2,5.5,3
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,245025,2.7,22.5,2,6,2
@HaulCargo_AtoB_desc,337759,2.06896551724138,30.6,3,5.5,7
@HaulCargo_MultiToSingle_desc,265263,3.15789473684211,22.7,1.3,6,7
@HaulCargo_AtoB_desc,139154,2.76923076923077,27.8,1.3,6,4
@HaulCargo_SingleToMulti_desc,307500,5,12.5,1.5,6,2
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,180133,1.86666666666667,37.5,2,4.5,4
@Covalex_HaulCargo_AToB_Scrap,328500,4.5,15,1.5,7,2
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,270750,3,27.7,3,7,3
@HaulCargo_SingleToMulti_desc,121837,1.22448979591837,43.8,3,7,6
@HaulCargo_SingleToMulti_desc,108300,1.2,40,3,7,3
@HaulCargo_SingleToMulti_desc,97869,0.983606557377049,55.8,2,7,18
@Covalex_HaulCargo_AToB_Intro_desc,357000,3,20,,,1
@Hockrow_FacilityDelve_P2M4_desc,105284,1.01724137931034,53.2,,,6
@HaulCargo_MultiToSingle_desc,491250,3,20,2,5,1
@Covalex_HaulCargo_MultiToSingle_desc_ScrapWaste_Stanton3,278000,2,30,2,5,1
@HaulCargo_AtoB_desc,88421,1.57894736842105,21.4,2,4,33
@UWC_Refueling_easy_desc_001,985000,20,4.9,2,5.4,8
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,333600,2.4,25,2,5,1
@UWC_Refueling_moderate_desc_001,235909,5.45454545454545,10.2,1.7,4.4,11
@HaulCargo_SingleToMulti_desc,361200,2.4,25,2,5,1
@headhunters_killship_asteroid_rank0_desc_001,310714,8.57142857142857,8.2,1,,9
@HaulCargo_MultiToSingle_desc,150750,3,20,1,3,1
@HaulCargo_SingleToMulti_desc,322174,2.60869565217391,23,1,5,1
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,308750,2.5,24,1,5,1
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,393000,2.4,25,2,5,1
@HaulCargo_MultiToSingle_desc,367800,2.4,25,2,5,1
@HaulCargo_AtoB_desc,343929,2.14285714285714,25.3,2,6,7
@SalvageContractor_Description,,6,13.5,1,7,21
@Intersec_DefendShip_Desc_Medium_001,760500,6,11.3,3.4,5,7
@HaulCargo_AtoB_desc,421580,2.58241758241758,24.9,2,6,8
@InterSec_ResourceGathering_Tech_Desc,449505,0.659340659340659,68.4,2.5,3,5
@UWC_Refueling_easy_desc_001,178125,7.5,8.9,1.7,4.7,16
@UWC_Refueling_intro_desc_001,122143,5.14285714285714,83.5,1,4,4
@HaulCargo_AtoB_desc,370933,2.31111111111111,25.3,1.5,5,6
@Covalex_HaulCargo_SingleToMulti_desc_RefinedOre_Mixed,174462,2.15384615384615,28,3,3,2
@FTL_Courier_Stanton_Easy_Desc_001,174000,6,10,1,3,1
@InterSec_SecurityPatrol_VH_desc_001,293750,1.25,28,5,5,2
@UWC_Refueling_multiple_med_desc_001,255938,3.25,19.5,3,5,2
@RedWind_HaulCargo_SingleToMulti_desc_ToCFP_Danger_Timed,403784,0.540540540540541,93.3,3,6,3
@headhunters_killship_gen_vlrt_rank0_desc_001,155357,4.28571428571429,14.9,1,1,9
@FTL_Courier_Stanton_Easy_Desc_001,109611,2.94258373205742,21.9,1.2,4.8,10
@headhunters_killship_gen_vlrt_desc_001,617857,14.2857142857143,5,2,,2
@HaulCargo_AtoB_desc,129422,2.31111111111111,35.3,2,4.3,8
@Eckhart_ShipAmbush_Intro_desc,236250,9,7.5,1.5,3,2
@BHG_Certification_VeryEasy_Desc,245417,6.33333333333333,8.4,1.3,1.7,14
@Hockrow_FacilityDelve_P2M2_desc,137778,2.22222222222222,28,,,8
@Covalex_HaulCargo_AtoB_desc_DeliverAll,337021,1.27659574468085,47,2,6,1
@headhunters_killship_gen_vlrt_rank0_desc_001,483333,13.3333333333333,6,1.5,1,2
@headhunters_killship_gen_lrt_desc_001,1160000,20,4,1.5,1,3
@headhunters_killship_gen_vlrt_rank0_desc_001,489375,13.5,5,2,,8
@Intersec_TSG_Group_Desc_001,2558585,0.888937664618086,73.2,6.3,6.2,36
@cfp_defendship_Intro_Desc_001,415000,10,6.5,2.5,3.5,4
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,173182,5.45454545454545,15.5,2,5,23
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,231625,8.5,17,2,5,2
@Intersec_DefendShip_Desc_Hard_001,416376,2.47474747474747,13,4,4.8,6
@HaulCargo_AtoB_desc,241500,3,20.6,2,5.1,9
@RedWind_HaulCargo_desc_intro,180147,3.43137254901961,19.4,1,5.5,8
@Covalex_HaulCargo_AtoB_desc_ToRuinStation,313953,1.22399020807834,50,2,6,2
@Covalex_HaulCargo_SingleToMulti_desc_ProcessedFood_Stanton2,88271,1.58333333333333,38,1,,2
@HeadHunters_ShipAmbush_Intro_desc_001,262500,10,6,1,1,1
@Foxwell_Mercenary_Rehire_desc_001,173143,3.42857142857143,20.8,2.5,4.5,6
@Hockrow_FacilityDelve_P1M2_desc,90144,2.40384615384615,29.5,2,2,4
@UWC_Refueling_intro_desc_001,153462,4.61538461538461,13,2,6,1
@Shubin_Industrial_ShipMining_Nyx_VE_Local_Desc_001,443571,19.2857142857143,4.5,,,2
@HaulCargo_AtoB_desc,57000,1.09090909090909,44.7,1,4.5,3
@cfp_sabotage_generators_VE_desc_001,175385,4.61538461538461,19.8,2.3,3.7,11
@HaulCargo_AtoB_desc,123472,1.94444444444444,31.5,1,,2
@headhunters_defendship_VLRT_desc_001,622500,15,4.6,1,1.5,5
@SalvageContractor_Description,,4,14.3,1,5.3,4
@LingFamily_HaulCargo_AToB_Intro_desc,260385,1.53846153846154,36.3,1.7,5,3
@SalvageContractor_Description,,2.14285714285714,28,,,13
@Covalex_HaulCargo_AtoB_desc_ToRuinStation,368372,1.3953488372093,41.6,2,6,5
@bhg_bounty_desc_gen_001,525000,20,4.2,1,3.5,5
@UWC_Refueling_easy_desc_001,450750,3,23,2.3,5.7,7
@bhg_bounty_desc_gen_001,665000,20,3.2,1,4,6
@HaulCargo_AtoB_desc,134894,2.39811912225705,33.3,1,5,12
@HaulCargo_AtoB_desc,177658,2.03619909502262,28.3,2,4,4
@Hockrow_FacilityDelve_P1M3_desc,153409,2.72727272727273,19.7,,,3
@headhunters_killship_asteroid_rank0_desc_001,725000,20,4,1,1,7
@UWC_Refueling_multiple_med_desc_001,302308,4.61538461538461,12.7,1.5,5.3,3
@bhg_bounty_desc_gen_001,358125,7.5,8,,,1
@GFS_ShipWaveAttack_Mission05_Desc,1389000,12,5.6,2.6,4.7,27
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@Adagio_Industrial_Salvage_Universal_E_Desc_002,47391,0.869565217391304,69,,,1
@foxwell_DefendShip_E_desc_001,810000,13.5,4.1,1.7,4.7,12
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@UWC_Refueling_easy_desc_001,391667,6.66666666666667,9.3,,,6
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@HaulCargo_SingleToMulti_desc,369000,6,10,1,7,1
@HaulCargo_AtoB_desc,301500,6,10,1,7,1
@HaulCargo_AtoB_desc,190714,4.28571428571429,14,,,1
@GFS_ShipWaveAttack_Mission07_Desc,1708125,7.5,8.4,2.5,5,9
@HaulCargo_AtoB_desc,201000,4,15.9,1,4.8,9
@HaulCargo_AtoB_desc,106071,2.14285714285714,23.7,1,7,3
@Covalex_HaulCargo_AToB_Intro_desc,177353,3.52941176470588,14.7,1,2,3
@FTL_Courier_Nyx_Easy_Desc_001,79839,1.93548387096774,31,1,2,1
@UWC_Refueling_easy_desc_001,124143,6.28571428571429,14.8,1,2.5,4
@HaulCargo_SingleToMulti_desc,127366,1.60714285714286,35,3,4,4
@Adagio_Industrial_Salvage_Universal_M_Desc_001,247304,2.50434782608696,20.5,1,3.3,6
@UWC_Refueling_high_desc_001,1503333,3.33333333333333,19.8,2.8,6.8,9
@GFS_ShipWaveAttack_Mission03_Desc,832500,15,4.1,1,5,17
@SalvageContractor_Difficulty_Hard,,7.36363636363636,13.5,1,1,2
@bhg_bounty_desc_gen_001,64432,5.72727272727273,12.3,1.5,3.8,4
@HaulCargo_SingleToMulti_desc,36143,0.571428571428571,105,,,1
@headhunters_defendship_VLRT_PA_desc_001,149900,3.61204013377926,16.8,2,2,4
@EckhartSecurity_DestroyServers_FacilityDelving_Desc_004,189643,4.28571428571429,14,1,4,1
@cfp_sabotage_servers_M_HH_desc_001,465000,7.5,16.5,1.3,4.7,13
@cfp_defendship_VLRT_SB_desc_001,226364,5.45454545454545,11,2,3,1
@HaulCargo_AtoB_desc,90517,2.06896551724138,29,,,2
@Headhunters_DefendLocation_E_Desc_001,366923,4.61538461538461,13,1,1,1
@bhg_bounty_desc_ShatteredBlade_001,215000,10,6,,,1
@Adagio_Industrial_Salvage_Universal_Intro_Desc_001,150000,3.33333333333333,18.6,1,5,5
@HaulCargo_AtoB_desc,50250,1,37.3,1,7,3
@Shubin_Industrial_ShipMining_Nyx_VH_Secondary_Desc_001,1136180,5.59006211180124,15,,,2
@HeadHunters_ShipAmbush_VE_desc_001,112500,4.28571428571429,18.3,1.5,2,3
@LingFamily_HaulCargo_AToB_desc_Fruit_Timed,319584,1.61406025824964,35,1.3,4,4
@LingFamily_HaulCargo_AToB_Intro_desc,307419,0.645161290322581,76,1.6,4.6,7
@Headhunters_SecurityPatrol_VE_Desc_001,93913,2.60869565217391,23,1.3,1.7,3
@UWC_Refueling_multiple_med_desc_001,6773438,3.75,31.6,2.1,5.8,19
@spacecollect_cargo_desc_intro_01,147000,4,15,,,1
@spacecollect_cargo_desc_VE_01,105000,2.85714285714286,21,,,1
@Headhunters_SecurityPatrol_M_Desc_001,295588,3.52941176470588,17,,,1
@headhunters_EliminateSpecific_Generic_M_desc_001,795000,12,5,1,3,1
@UWC_Refueling_easy_desc_001,288333,6.66666666666667,43,,,9
@headhunters_killship_gen_vlrt_rank0_desc_001,435000,12,7.3,2,3,8
@HeadHunters_ShipAmbush_VE_desc_001,270000,12,8,,,3
@LingFamily_HaulCargo_MultiToSingle_desc_Party,251391,0.977224576271186,45.8,1,5,6
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,111563,3.75,14.3,,,4
@cfp_sabotage_generators_VE_desc_001,147000,2.4,94.3,3,3,3
@HaulCargo_AtoB_desc,252500,5,12,,,1
@HaulCargo_AtoB_desc,275455,5.45454545454545,11,,,1
@Adagio_Industrial_Salvage_Universal_Intro_Desc_001,142105,3.15789473684211,19,1,4,1
@Intersec_TSG_Assist_Solo_Desc_001,267273,5.45454545454545,12.5,3.6,4.3,30
@HaulCargo_AtoB_desc,52682,0.944976076555024,39.5,,,2
@Foxwell_DefendLocation_E_Desc_001,366923,4.61538461538461,12.8,2.7,4.7,4
@cfp_defendship_VLRT_desc_001,249000,6,10.4,3,3.5,9
@UWC_Refueling_moderate_desc_001,311827,5.30769230769231,19.2,2,4.7,16
@headhunters_defendship_LRT_desc_001,940625,17.5,4.8,1,1,4
@Foxwell_SecurityPatrol_VE_Desc_001,253125,7.5,11.9,1.4,3.2,19
@Headhunters_DefendLocation_VE_Desc_001,115809,3.43137254901961,18,1.7,2.7,4
@EckhartSecurity_RecoverCargo_Medium_Description,205000,3.33333333333333,18,,,2
@Hockrow_FacilityDelve_P3M1_desc,409381,0.530973451327434,119.7,5,6,3
@HaulCargo_AtoB_desc,41223,0.713815789473684,68.5,,,2
@HeadHunters_ShipAmbush_E_desc_001,244517,6.47727272727273,9.5,1.5,2,2
@vaughn_assassination_FPS_UGF_legal_desc_001,605893,9.28571428571428,6.5,1,5,4
@Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Desc_001,805000,10,6,,,1
@Shubin_Industrial_HandMining_Stanton_M_DiscoverPlanetary_Desc_001,328125,7.5,8,,,1
@Shubin_Industrial_ShipMining_Stanton_M_Solar_Desc_001,509250,10.5,7,1,6,2
@Covalex_HaulCargo_AToB_Intro_desc,188438,3.75,16,1,4,1
@HeadHunters_ShipAmbush_VE_desc_001,168750,7.5,8,3,4,1
@Shubin_Industrial_ShipMining_Stanton_H_Secondary_Desc_001,207705,3.36363636363636,20,1,2.8,4
@Headhunters_DefendLocation_E_Desc_001,318000,4,15,3,4,4
@vaughn_assassination_description_S,808500,6,9.2,,,5
@HaulCargo_SingleToMulti_desc,194000,4,15,1,7,1
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,194000,4,15,1,7,1
@HaulCargo_SingleToMulti_desc,194000,4,15,1,7,1
@HaulCargo_AtoB_desc,149000,4,15,1,7,1
@RedWind_HaulCargo_AToB_desc_01,215000,4,15,1,7,1
@RedWind_HaulCargo_AToB_desc_01,215000,4,15,1,7,1
@LingFamily_HaulCargo_AToB_desc_Party_Timed,356583,1.83333333333333,36,1,,6
@northrock_boarders_890J_desc_001,618182,6.06060606060606,10,2.5,3.5,4
@searchbodyspace_desc_intro,122500,8.75,7,,,2
@HaulCargo_AtoB_desc,124398,2.04769736842105,41.5,,,2
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,218000,8,8,1.5,3,2
@Adagio_Industrial_Salvage_Universal_E_Desc_001,95808,1.76603773584906,39,1,4,2
@headhunters_killship_asteroid_rank0_desc_001,245982,6.78571428571429,9.5,1,4,2
@Intersec_KillShip_Desc_Intro_001,589500,6,11.1,3,5,8
@HeadHunters_ShipAmbush_E_desc_001,255000,7.5,9,2,4,2
@HaulCargo_AtoB_desc,153537,2.77894736842105,40.8,1,6,4
@BHG_ShipWaveAttack_DrawOutBoss_H_Desc_001,636000,3,17.6,3,6,5
@DeadSaints_HaulCargo_AToB_intro_desc,289756,1.46341463414634,41,,,1
@Covalex_HaulCargo_SingleToMulti_RefinedOre,285000,1.01694915254237,59,,,1
@Adagio_Industrial_Salvage_Universal_Intro_Desc_001,135000,3,20,1,5,1
@headhunters_killship_asteroid_rank0_desc_001,271875,7.5,8.6,1.7,2.5,7
@HaulCargo_AtoB_desc,991000,4,15,4,4,1
@cfp_maintenance_E_desc_001,137625,1.5,40,,,1
@Foxwell_EliminateAll_OLP_M_desc_001,98182,2.72727272727273,22,,,1
@Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Desc_001,427000,4,15,,,1
@headhunters_killship_gen_lrt_desc_001,580000,10,8.3,1,1.3,7
@Covalex_HaulCargo_AtoB_desc_FromRuinStation,271512,1.00096711798839,69,,,2
@vaughn_assassination_VE_desc_intro,173333,6.66666666666667,3,,,1
@Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Desc_001,2223000,12,5.8,1,4,11
@SalvageContractor_Description,,3.15789473684211,19,,,1
@headhunters_killship_asteroid_rank1_desc_001,199615,4.61538461538461,16.8,,,6
@Shubin_Industrial_HandMining_Intro_Local_Desc_001,218000,4,27,1.5,5.8,5
@Intersec_KillShip_Desc_Easy_001,540375,5.5,16.6,1.9,5.4,28
@foxwell_DefendShip_E_desc_001,810000,13.5,4.7,1.5,5.5,6
@headhunters_killship_gen_vlrt_desc_001,432500,10,5,,,7
@HaulCargo_AtoB_desc,249004,1.55384615384615,50.5,,,2
@HaulCargo_MultiToSingle_desc,558943,2.66798418972332,25.5,1,6,16
@headhunters_eliminateall_base_Generic_E_desc_001,315000,7.5,9.3,3,5.5,6
@headhunters_killship_gen_lrt_desc_001,362500,6.25,10,3,5,2
@EckhartSecurity_EliminateBoss_DC_Desc_001,271250,4.375,11.5,3.7,6,8
@headhunters_killship_asteroid_rank1_desc_001,1297500,30,6,1,1,5
@InterSec_KillShip_Vanduul_Desc_Super_001,1324313,5.25,9,2,1,2
@Foxwell_DefendEntitesAndEscort_VE_Desc,306250,5,13.3,2.4,4.5,13
@Foxwell_bombingrun_VH_desc_001,425000,6.66666666666667,9.3,2.6,2.2,6
@FTL_Courier_Nyx_Easy_Desc_001,146094,3.54166666666667,17.7,1,3.2,6
@vaughn_assassination_VE_desc_intro,143382,5.51470588235294,12.3,2,3,4
@headhunters_killship_gen_lrt_desc_001,1218000,21,3.5,,,2
@Foxwell_ShipAmbush_M_desc_001,452500,10,6,1,6,1
@RedWind_HaulCargo_AToB_desc_01,215000,4,15,1,7,1
@HaulCargo_AtoB_desc,180000,4,15,1,7,1
@headhunters_killship_gen_vlrt_desc_001,540625,12.5,4.8,1,2.3,8
@headhunters_killship_gen_vlrt_desc_001,865000,20,3,2,5,1
@Eckhart_ShipAmbush_M_desc,371250,7.5,11.8,1.6,1,10
@HaulCargo_AtoB_desc,149000,4,15,1,7,1
@RedWind_HaulCargo_desc_intro,317105,1.05263157894737,57,,,1
@HaulCargo_SingleToMulti_desc,220000,4,15,,,1
@Covalex_RecoverCargo_Hard_Description,271000,4,15,,,1
@HaulCargo_AtoB_desc,184200,2.4,25,1,7,1
@HaulCargo_AtoB_desc,115000,2,30,1,7,1
@HaulCargo_AtoB_desc,126000,2.4,25,1,7,1
@Covalex_HaulCargo_SingleToMulti_RefinedOre,70000,1.33333333333333,45,1,7,1
@eckhart_defendship_LRT_desc_001,531429,8.57142857142857,8,2,,3
@Adagio_Industrial_Component_Salvage_Stanton_H_Desc_001,922895,1.57894736842105,38,,,1
@HaulCargo_AtoB_desc,67667,1.33333333333333,45,,,1
@shubin_rockcracker_pvp_desc_01,,0.155844155844156,77,,,1
@RAIN_collectresources_multiple_GEN_desc_01,102049,0.983606557377049,61,,,1
@BHG_ShipWaveAttack_DrawOutBoss_S_Desc_001,8965000,20,3,,,1
@HaulCargo_AtoB_desc,148750,2.5,24,,,1
@shubin_rockcracker_pvp_desc_01,,0.197368421052632,76,,,1
@DeadSaints_HaulCargo_MultiToSingle_desc_Drugs_Danger,384103,0.717948717948718,91,,,2
@shubin_rockcracker_solo_desc_01,,0.5,102,4.3,6.7,9
@RedWind_HaulCargo_AToB_desc_LuxuryGoods_Danger_Timed,751359,2.4375,26,,,2
@GFS_ShipWaveAttack_Mission02_Desc,396000,11,5.3,,,4
@headhunters_eliminateall_outpost_desc_01,422143,8.57142857142857,7,1,1,1
@headhunters_sabotage_generators_VE_desc_001,415000,10,6,1,1,1
@Vaughn_EliminateSpecific_FPS_Rockcracker_Warehouse_desc_001,122368,3.15789473684211,19,3,5,1
