Location Name,Ship Mineables,Hand Mineables,Ground Vehicle Mineables,Quality Note
Keeger Belt,"Torite (Ore) — 28.5%
Bexalite (Raw) — 18%
Raw Ice — 13.9%
Aluminum (Ore) — 13.8%
Iron (Ore) — 13.8%
Lindinium (Ore) — 10%
Savrilium (Ore) — 2%",,,
Lagrange (Occupied),"Agricium (Ore) — 28.5%
Beryl (Raw) — 18%
Iron (Ore) — 17.9%
Raw Ice — 17.8%
Copper (Ore) — 17.8%",,,
Lagrange A,"Laranite (Raw) — 28.5%
Borase (Ore) — 18%
Aluminum (Ore) — 17.9%
Corundum (Raw) — 17.8%
Hephaestanite (Raw) — 17.8%",,,
Lagrange B,"Aslarite (Raw) — 28.5%
Gold (Ore) — 18%
Iron (Ore) — 17.9%
Raw Ice — 17.8%
Copper (Ore) — 17.8%",,,
Lagrange C,"Torite (Ore) — 28.4%
Aluminum (Ore) — 23.9%
Corundum (Raw) — 23.9%
Hephaestanite (Raw) — 23.9%",,,
Lagrange D,"Agricium (Ore) — 28.5%
Beryl (Raw) — 18%
Iron (Ore) — 17.9%
Raw Ice — 17.8%
Copper (Ore) — 17.8%",,,
Lagrange E,"Titanium (Ore) — 28.5%
Bexalite (Raw) — 18%
Iron (Ore) — 17.9%
Raw Ice — 17.8%
Copper (Ore) — 17.8%",,,
Lagrange F,"Tungsten (Ore) — 28.5%
Taranite (Raw) — 18%
Corundum (Raw) — 17.9%
Aluminum (Ore) — 17.8%
Hephaestanite (Raw) — 17.8%",,,
Lagrange G,"Agricium (Ore) — 28.5%
Beryl (Raw) — 18%
Iron (Ore) — 17.9%
Raw Ice — 17.8%
Copper (Ore) — 17.8%",,,
Lyria,"Iron (Ore) — 34.8%
Copper (Ore) — 34.8%
Laranite (Raw) — 28.5%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Beradom — 48%
Glacosite — 48%
Feynmaline — 4%",
Magda,"Aluminum (Ore) — 34.8%
Iron (Ore) — 34.8%
Titanium (Ore) — 14.2%
Aslarite (Raw) — 14.2%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Glacosite — 59.3%
Feynmaline — 37%
Beradom — 3.7%",
microTech,"Raw Ice — 32.7%
Hephaestanite (Raw) — 32.7%
Iron (Ore) — 32.6%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Glacosite — 68%
Beradom — 28%
Feynmaline — 4%",
Pyro Belt (Cool 1),"Titanium (Ore) — 28.5%
Raw Ice — 26.8%
Raw Silicon — 26.7%
Borase (Ore) — 18%",,,
Pyro Belt (Cool 2),"Aslarite (Raw) — 28.5%
Raw Ice — 26.8%
Raw Silicon — 26.7%
Taranite (Raw) — 18%",,,
Pyro Belt (Warm 1),"Agricium (Ore) — 28.5%
Iron (Ore) — 26.8%
Copper (Ore) — 26.7%
Bexalite (Raw) — 18%",,,
Pyro Belt (Warm 2),"Tungsten (Ore) — 28.5%
Iron (Ore) — 26.8%
Copper (Ore) — 26.7%
Gold (Ore) — 18%",,,
Pyro Deep Space Asteroids,"Torite (Ore) — 28.5%
Aluminum (Ore) — 14.9%
Corundum (Raw) — 14.9%
Quartz (Raw) — 14.9%
Tin (Ore) — 14.8%
Riccite (Ore) — 10%
Stileron — 2%",,,
Pyro I,"Iron (Ore) — 32.7%
Copper (Ore) — 32.6%
Tin (Ore) — 32.6%
Stileron — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Beradom — 100%,
Pyro II (Monox),"Hephaestanite (Raw) — 32.7%
Iron (Ore) — 32.6%
Tin (Ore) — 32.6%
Stileron — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Glacosite — 100%,
Pyro III (Bloom),"Quartz (Raw) — 35%
Iron (Ore) — 35%
Borase (Ore) — 18%
Riccite (Ore) — 10%
Stileron — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%",Beradom — 100%,
Pyro IV,"Laranite (Raw) — 28.5%
Copper (Ore) — 25.7%
Iron (Ore) — 25.7%
Borase (Ore) — 18%
Stileron — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Feynmaline — 100%,
Pyro V-a (Ignis),"Tin (Ore) — 36%
Raw Silicon — 36%
Gold (Ore) — 18%
Riccite (Ore) — 10%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Feynmaline — 100%,
Pyro V-b (Vatra),"Iron (Ore) — 36%
Raw Silicon — 36%
Gold (Ore) — 18%
Riccite (Ore) — 10%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Beradom — 50%
Glacosite — 50%",
Pyro V-c (Adir),"Iron (Ore) — 43.5%
Tungsten (Ore) — 28.5%
Borase (Ore) — 18%
Riccite (Ore) — 10%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Glacosite — 100%,
Pyro V-d (Fairo),"Tungsten (Ore) — 28.5%
Raw Silicon — 26.8%
Iron (Ore) — 26.7%
Beryl (Raw) — 9%
Gold (Ore) — 9%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Beradom — 100%,
Pyro V-e (Fuego),"Aslarite (Raw) — 28.5%
Iron (Ore) — 26.8%
Hephaestanite (Raw) — 26.7%
Borase (Ore) — 9%
Beryl (Raw) — 9%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%",Feynmaline — 100%,
Pyro V-f (Vuur),"Hephaestanite (Raw) — 26.8%
Iron (Ore) — 26.8%
Beryl (Raw) — 18%
Agricium (Ore) — 14.2%
Aslarite (Raw) — 14.2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%",Glacosite — 100%,
Pyro VI (Terminus),"Raw Ice — 20.8%
Copper (Ore) — 20.8%
Gold (Ore) — 18%
Agricium (Ore) — 14.2%
Titanium (Ore) — 14.2%
Riccite (Ore) — 10%
Stileron — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%",Feynmaline — 100%,
Wala,"Laranite (Raw) — 28.5%
Copper (Ore) — 25.8%
Iron (Ore) — 25.7%
Beryl (Raw) — 18%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Beradom — 56%
Glacosite — 40%
Feynmaline — 4%",
Yela,"Agricium (Ore) — 28.5%
Raw Silicon — 25.8%
Quartz (Raw) — 25.7%
Taranite (Raw) — 18%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Glacosite — 68%
Beradom — 24%
Feynmaline — 8%",
Yela Asteroid Belt,"Titanium (Ore) — 28.5%
Iron (Ore) — 20.5%
Raw Ice — 20.5%
Copper (Ore) — 20.5%
Ouratite — 10%",,,
