Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Projectile Speed,Ammo Range,Ammo Quantity,Heat Per Shot
behr_distortioncannon_vng_s2,item_NameBEHR_DistortionCannon_VNG_S2,item_NameBEHR_DistortionCannon_VNG_S2_short,item_DescBEHR_DistortionCannon_VNG_S2,BEHR,2,1,Gun,550,81,150,1076.4,1625.364,0,2000
behr_distortionrepeater_vng_s2,item_NameBEHR_DistortionRepeater_VNG_S2,item_NameBEHR_DistortionRepeater_VNG_S2_short,item_DescBEHR_DistortionRepeater_VNG_S2,BEHR,2,1,Gun,850,27,500,1345.5,1291.68,0,400
behr_javelinballisticcannon_s7,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,2306.34,100,1048,9096.64,276,50000
behr_javelinballisticcannon_s7_dummy,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,,90,,,276,17500
behr_javelinballisticcannon_s7_lowpoly,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,,60,,,276,50000
behr_lasercannon_s1,item_NameBEHR_LaserCannon_S1,item_NameBEHR_LaserCannon_S1_short,item_DescBEHR_LaserCannon_S1,BEHR,1,1,Gun,550,182.25,100,1200,2004,0,0
behr_lasercannon_s1_cleanair,item_NameBEHR_LaserCannon_S1_CleanAir,item_NameBEHR_LaserCannon_S1_CleanAir_short,item_DescBEHR_LaserCannon_S1_CleanAir,BEHR,1,1,Gun,550,182.25,100,1200,2004,0,0
behr_lasercannon_s2,item_NameBEHR_LaserCannon_S2,item_NameBEHR_LaserCannon_S2_short,item_DescBEHR_LaserCannon_S2,BEHR,2,1,Gun,850,273.375,100,1196,2164.76,0,0
behr_lasercannon_s2_cleanair,item_NameBEHR_LaserCannon_S2_CleanAir,item_NameBEHR_LaserCannon_S2_CleanAir_short,item_DescBEHR_LaserCannon_S2_CleanAir,BEHR,2,1,Gun,850,273.375,100,1196,2164.76,0,0
behr_lasercannon_s3,item_NameBEHR_LaserCannon_S3,item_NameBEHR_LaserCannon_S3_short,item_DescBEHR_LaserCannon_S3,BEHR,3,1,Gun,1024,410.184,100,1184,2403.52,0,0
behr_lasercannon_s3_cleanair,item_NameBEHR_LaserCannon_S3_CleanAir,item_NameBEHR_LaserCannon_S3_CleanAir_short,item_DescBEHR_LaserCannon_S3_CleanAir,BEHR,3,1,Gun,1024,410.184,100,1184,2403.52,0,0
behr_lasercannon_s4,item_NameBEHR_LaserCannon_S4,item_NameBEHR_LaserCannon_S4_short,Item_DescBEHR_LaserCannon_S4,BEHR,4,1,Gun,2000,615.276,100,1152,2799.36,0,0
behr_lasercannon_s5,item_NameBEHR_LaserCannon_S5,item_NameBEHR_LaserCannon_S5_short,item_DescBEHR_LaserCannon_S5,BEHR,5,1,Gun,2500,921.78,100,1112,4003.2,0,0
behr_lasercannon_s6,item_NameBEHR_LaserCannon_S6,item_NameBEHR_LaserCannon_S6_short,item_DescBEHR_LaserCannon_S6,BEHR,6,1,Gun,4224,1383.48,100,1080,6004.8,0,0
behr_lasercannon_s6_securitynetwork,item_NameBEHR_LaserCannon_S6,item_NameBEHR_LaserCannon_S6_short,item_DescBEHR_LaserCannon_S6,BEHR,6,1,Gun,4224,1383.48,100,1080,6004.8,0,0
behr_lasercannon_s6_turret,item_NameBEHR_LaserCannon_S6,item_NameBEHR_LaserCannon_S6_short,item_DescBEHR_LaserCannon_S6,BEHR,6,1,Gun,4224,900,120,1080,6004.8,0,0
behr_lasercannon_s7,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,2075.706,100,1048,7283.6,0,0
behr_lasercannon_s7_idris_m,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,100000,6750,100,1048,7283.6,0,0
behr_lasercannon_s7_idris_m_dummy,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,100000,0,100,1048,7283.6,0,0
behr_lasercannon_s7_lowpoly,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,2075.706,60,1048,7283.6,0,0
behr_lasercannon_s7_turret,item_NameBEHR_LaserCannon_S7,item_NameBEHR_LaserCannon_S7_short,item_DescBEHR_LaserCannon_S7,BEHR,7,1,Gun,6750,14040,60,1048,7283.6,0,0
behr_lasercannon_s8,item_NameBEHR_LaserCannon_S7,,item_DescBEHR_LaserCannon_S7,BEHR,8,1,Gun,10810,3113.64,100,1016,7762.24,0,0
behr_lasercannon_s9,item_NameBEHR_LaserCannon_S7,,item_DescBEHR_LaserCannon_S7,BEHR,9,1,Gun,17300,4670.46,100,992,7916.16,0,0
behr_lasercannon_s9_lowpoly,item_NameBEHR_LaserCannon_S7,,item_DescBEHR_LaserCannon_S7,BEHR,9,1,Gun,17300,4670.46,60,992,7916.16,0,0
behr_lasercannon_sf7e_s7,item_NameBEHR_LaserCannon_SF7E_S7,item_NameBEHR_LaserCannon_SF7E_S7_short,item_DescBEHR_LaserCannon_SF7E_S7,BEHR,7,1,Gun,6750,5150,55,1048,7283.6,0,0
behr_lasercannon_sf7e_s7_collector,item_NameBEHR_LaserCannon_SF7E_S7,item_NameBEHR_LaserCannon_SF7E_S7_short,item_DescBEHR_LaserCannon_SF7E_S7,BEHR,7,1,Gun,6750,5150,55,1048,7283.6,0,0
behr_lasercannon_vng_s2,item_NameBEHR_LaserCannon_VNG_S2,item_NameBEHR_LaserCannon_VNG_S2_short,item_DescBEHR_LaserCannon_VNG_S2,BEHR,2,1,Gun,850,272.97,100,1196,2164.76,0,1000
behr_laserrepeater_pdc_s1,item_NameBEHR_LaserRepeater_PDC_S1,,item_DescBEHR_LaserRepeater_PDC_S1,BEHR,1,1,Gun,800,10,1000,1500,1605,0,0
behr_laserrepeater_s10,item_NameBEHR_LaserRepeater_VNG_S2,,item_DescBEHR_LaserRepeater_VNG_S2,BEHR,10,1,Gun,20000,25000,350,1220,6405,0,50000
behr_laserrepeater_s10_securitynetwork,item_NameBEHR_LaserRepeater_VNG_S2,,item_DescBEHR_LaserRepeater_VNG_S2,BEHR,10,1,Gun,20000,25000,350,1220,6405,0,50000
behr_laserrepeater_s10_securitynetwork_weak,item_NameBEHR_LaserRepeater_VNG_S2,,item_DescBEHR_LaserRepeater_VNG_S2,BEHR,10,1,Gun,20000,1705.5,350,1220,6405,0,50000
behr_laserrepeater_vng_s2,item_NameBEHR_LaserRepeater_VNG_S2,item_NameBEHR_LaserRepeater_VNG_S2_short,item_DescBEHR_LaserRepeater_VNG_S2,BEHR,2,1,Gun,850,99.72,350,1495,1734.2,0,0
behr_massdriver_s12,item_NameBEHR_LaserCannon_S7,,item_DescBEHR_LaserCannon_S7,BEHR,12,1,Gun,708660,200000,10,924,12002.76,21,0
behr_nova_ballisticgatling_s5,item_NameBEHR_BallisticGatling_NOVA_S5,item_NameBEHR_BallisticGatling_NOVA_S5_short,item_DescBEHR_BallisticGatling_NOVA_S5,BEHR,5,1,Gun,4224,162.5,1200,1251,4003.2,9600,0.35
bengal_ballisticcannon_s7,item_NameGATS_BallisticCannon_S3,,item_DescGATS_BallisticCannon_S3,GATS,7,1,Gun,10240,2562.6,100,1048,9096.64,276,6200
bengal_ballisticcannon_s8,item_NameGATS_BallisticCannon_S3,,item_DescGATS_BallisticCannon_S3,GATS,8,1,Gun,10240,3844.2,100,1016,9702.8,255,6200
bengal_ballisticgatling_s6,item_NameAPAR_BallisticGatling_S4,,item_DescAPAR_BallisticGatling_S4,BEHR,6,1,Gun,16500,189.9,900,1215,6002.1,3801,2.37
bengal_turret_ballisticcannon_s8,item_NameHRST_Nova_BallisticCannon_S5,item_NameHRST_Nova_BallisticCannon_S5_short,item_DescHRST_Nova_BallisticCannon_S5,RSI,5,1,Gun,20000,18500,12,1112,5004,309,91125
brra_lasercannon_ap_automatedturret,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,BRRA,1,1,Gun,100,8,120,1200,2004,0,0
espr_ballisticcannon_s1,item_NameESPR_BallisticCannon_S1,item_NameESPR_BallisticCannon_S1_short,item_DescESPR_BallisticCannon_S1,ESPR,1,1,Gun,550,202.5,100,1200,2496,396,6
espr_ballisticcannon_s2,item_NameESPR_BallisticCannon_S2,item_NameESPR_BallisticCannon_S2_short,item_DescESPR_BallisticCannon_S2,ESPR,2,1,Gun,550,303.3,100,1196,2702.96,393,6
espr_ballisticcannon_s3,item_NameESPR_BallisticCannon_S3,item_NameESPR_BallisticCannon_S3_short,item_DescESPR_BallisticCannon_S3,ESPR,3,1,Gun,550,455.4,100,1184,2995.52,387,6
espr_ballisticcannon_s4,item_NameESPR_BallisticCannon_S4,item_NameESPR_BallisticCannon_S4_short,item_DescESPR_BallisticCannon_S4,ESPR,4,1,Gun,550,683.1,100,1152,3502.08,381,6
espr_ballisticcannon_s5,item_NameESPR_BallisticCannon_S5,item_NameESPR_BallisticCannon_S5_short,item_DescESPR_BallisticCannon_S5,ESPR,5,1,Gun,550,1024.2,100,1112,5004,369,6
espr_ballisticcannon_s6,item_NameESPR_BallisticCannon_S6,item_NameESPR_BallisticCannon_S6_short,item_DescESPR_BallisticCannon_S6,ESPR,6,1,Gun,550,1537.2,100,1080,7495.2,354,6
espr_lasercannon_s1,item_NameESPR_LaserCannon_S1,item_NameESPR_LaserCannon_S1_short,item_DescESPR_LaserCannon_S1,ESPR,1,1,Gun,550,49.248,250,1200,2004,0,0
espr_lasercannon_s2,item_NameESPR_LaserCannon_S2,item_NameESPR_LaserCannon_S2_short,item_DescESPR_LaserCannon_S2,ESPR,2,1,Gun,550,74.034,250,1196,2164.76,0,0
espr_lasercannon_s3,item_NameESPR_LaserCannon_S3,item_NameESPR_LaserCannon_S3_short,item_DescESPR_LaserCannon_S3,ESPR,3,1,Gun,550,110.808,250,1184,2403.52,0,0
espr_lasercannon_s4,item_NameESPR_LaserCannon_S4,item_NameESPR_LaserCannon_S4_short,item_DescESPR_LaserCannon_S4,ESPR,4,1,Gun,550,166.212,250,1152,2799.36,0,0
espr_lasercannon_s5,item_NameESPR_LaserCannon_S5,item_NameESPR_LaserCannon_S5_short,item_DescESPR_LaserCannon_S5,ESPR,5,1,Gun,550,248.67,250,1112,4003.2,0,0
espr_lasercannon_s6,item_NameESPR_LaserCannon_S6,item_NameESPR_LaserCannon_S6_short,item_DescESPR_LaserCannon_S6,ESPR,6,1,Gun,550,374.139,250,1080,6004.8,0,0
gats_ballisticcannon_s1,item_NameGATS_BallisticCannon_S1,item_NameGATS_BallisticCannon_S1_short,item_DescGATS_BallisticCannon_S1,GATS,1,1,Gun,550,60.75,200,1200,2496,330,3
gats_ballisticcannon_s2,item_NameGATS_BallisticCannon_S2,item_NameGATS_BallisticCannon_S2_short,item_DescGATS_BallisticCannon_S2,GATS,2,1,Gun,850,91.26,200,1196,2702.96,327,3
gats_ballisticcannon_s3,item_NameGATS_BallisticCannon_S3,item_NameGATS_BallisticCannon_S3_short,item_DescGATS_BallisticCannon_S3,GATS,3,1,Gun,1024,136.62,200,1184,2995.52,324,3
gats_ballisticgatling_s1,item_NameGATS_BallisticGatling_S1,item_NameGATS_BallisticGatling_S1_short,item_DescGATS_BallisticGatling_S1,GATS,1,1,Gun,550,7.56,1600,1350,1998,4440,0.32
gats_ballisticgatling_s2,item_NameGATS_BallisticGatling_S2,item_NameGATS_BallisticGatling_S2_short,item_DescGATS_BallisticGatling_S2,GATS,2,1,Gun,850,12.7,1600,1345.5,2166.255,4410,0.3478261
gats_ballisticgatling_s3,item_NameGATS_BallisticGatling_S3,item_NameGATS_BallisticGatling_S3_short,item_DescGATS_BallisticGatling_S3,GATS,3,1,Gun,1500,19,1600,1332,2397.6,4314,0.512
glsn_ballisticgatling_s4,item_NameGLSN_BallisticGatling_S4,item_NameGLSN_BallisticGatling_S4_short,item_DescGLSN_BallisticGatling_S4,GREY,4,1,Gun,1800,52,1100,1296,2799.36,10500,0.5
glsn_laserrepeater_s3,item_NameGLSN_LaserRepeater_S3,item_NameGLSN_LaserRepeater_S3_short,item_DescGLSN_LaserRepeater_S3,GREY,3,1,Gun,1200,39.5,750,1480,1924,0,0
hrst_laserbeam_bespoke,item_NameHRST_LaserBeam_S10_Bespoke,,item_DescHRST_LaserBeam_S10_Bespoke,HRST,10,1,Gun,750000,,,1220,8003.2,0,
hrst_laserbeam_tiburon,item_NameHRST_Tiburon_S10_laserbeam,item_NameHRST_Tiburon_S10_laserbeam_short,item_Desc_HRST_Tiburon_S10_laserbeam,HRST,10,1,Gun,750000,,,1220,8003.2,100,
hrst_laserrepeater_s1,item_NameHRST_LaserRepeater_S1,item_NameHRST_LaserRepeater_S1_short,item_DescHRST_LaserRepeater_S1,HRST,1,1,Gun,524,34,350,1500,1605,0,0
hrst_laserrepeater_s2,item_NameHRST_LaserRepeater_S2,item_NameHRST_LaserRepeater_S2_short,item_DescHRST_LaserRepeater_S2,HRST,2,1,Gun,850,55,350,1495,1734.2,0,0
hrst_laserrepeater_s3,item_NameHRST_LaserRepeater_S3,item_NameHRST_LaserRepeater_S3_short,item_DescHRST_LaserRepeater_S3,HRST,3,1,Gun,1024,86,350,1480,1924,0,1800
hrst_laserrepeater_s4,item_NameHRST_LaserRepeater_S4,item_NameHRST_LaserRepeater_S4_short,item_DescHRST_LaserRepeater_S4,HRST,4,1,Gun,1650,100,350,1440,2246.4,0,0
hrst_laserrepeater_s4_turret,item_NameHRST_LaserRepeater_S4,item_NameHRST_LaserRepeater_S4_short,item_DescHRST_LaserRepeater_S4,HRST,4,1,Gun,1650,150,350,1440,2246.4,0,0
hrst_laserrepeater_s5,item_NameHRST_LaserRepeater_S5,item_NameHRST_LaserRepeater_S5_short,item_DescHRST_LaserRepeater_S5,HRST,5,1,Gun,2640,150,350,1390,3197,0,0
hrst_laserrepeater_s6,item_NameHRST_LaserRepeater_S6,item_NameHRST_LaserRepeater_S6_short,item_DescHRST_LaserRepeater_S6,HRST,6,1,Gun,4224,505.35,350,1350,4806,0,0
hrst_laserscattergun_s1,item_NameHRST_LaserScattergun_S1,item_NameHRST_LaserScattergun_S1_short,item_DescHRST_LaserScattergun_S1,HRST,1,1,Gun,1550,63,50,900,999,0,0
hrst_laserscattergun_s2,item_NameHRST_LaserScattergun_S2,item_NameHRST_LaserScattergun_S2_short,item_DescHRST_LaserScattergun_S2,HRST,2,1,Gun,1550,99,50,897,1076.4,0,12000
hrst_laserscattergun_s3,item_NameHRST_LaserScattergun_S3,item_NameHRST_LaserScattergun_S3_short,item_DescHRST_LaserScattergun_S3,HRST,3,1,Gun,1550,139.5,50,888,1198.8,0,0
hrst_nova_ballisticcannon_s5,item_NameHRST_Nova_BallisticCannon_S5,item_NameHRST_Nova_BallisticCannon_S5_short,item_DescHRST_Nova_BallisticCannon_S5,HRST,5,1,Gun,20000,13500,12,973,6003.41,363,91125
hrst_storm_laserrepeater_s3,item_NameHRST_Storm_LaserRepeater_S3,item_NameHRST_Storm_LaserRepeater_S3_short,item_DescHRST_Storm_LaserRepeater_S3,HRST,3,1,Gun,1024,350,350,1480,1924,0,1800
jokr_distortioncannon_s1,item_NameJOKR_DistortionCannon_S1,item_NameJOKR_DistortionCannon_S1_short,item_DescJOKR_DistortionCannon_S1,JOKR,1,1,Gun,550,81,100,1080,1501.2,0,0
jokr_distortioncannon_s2,item_NameJOKR_DistortionCannon_S2,item_NameJOKR_DistortionCannon_S2_short,item_DescJOKR_DistortionCannon_S2,JOKR,2,1,Gun,850,121.50009,100,1076.4,1625.364,0,0
jokr_distortioncannon_s3,item_NameJOKR_DistortionCannon_S3,item_NameJOKR_DistortionCannon_S3_short,item_DescJOKR_DistortionCannon_S3,JOKR,3,1,Gun,1024,182.52,100,1065.6,1800.864,0,0
kbar_ballisticcannon_s1,item_NameKBAR_BallisticCannon_S1,item_NameKBAR_BallisticCannon_S1_short,item_DescKBAR_BallisticCannon_S1,KBAR,1,1,Gun,850,48.6,250,1200,2496,495,2.4
kbar_ballisticcannon_s2,item_NameKBAR_BallisticCannon_S2,item_NameKBAR_BallisticCannon_S2_short,item_DescKBAR_BallisticCannon_S2,KBAR,2,1,Gun,850,72.99,250,1196,2702.96,492,2.4
kbar_ballisticcannon_s3,item_NameKBAR_BallisticCannon_S3,item_NameKBAR_BallisticCannon_S3_short,item_DescKBAR_BallisticCannon_S3,KBAR,3,1,Gun,2850,109.26,250,1184,2995.52,489,2.4
klwe_laserrepeater_pdc_s2,item_NameKLWE_LaserRepeater_S2,item_NameKLWE_LaserRepeater_S2_short,item_DescKLWE_LaserRepeater_S2,KLWE,2,1,Gun,850,26.244,750,1495,1734.2,0,0
klwe_laserrepeater_s1,item_NameKLWE_LaserRepeater_S1,item_NameKLWE_LaserRepeater_S1_short,item_DescKLWE_LaserRepeater_S1,KLWE,1,1,Gun,525,17.496,750,1500,1605,0,0
klwe_laserrepeater_s1_atls,item_NameKLWE_LaserRepeater_S1,item_NameKLWE_LaserRepeater_S1_short,item_DescKLWE_LaserRepeater_S1,KLWE,1,1,Gun,525,11.3,750,1500,1605,0,0
klwe_laserrepeater_s2,item_NameKLWE_LaserRepeater_S2,item_NameKLWE_LaserRepeater_S2_short,item_DescKLWE_LaserRepeater_S2,KLWE,2,1,Gun,850,26.244,750,1495,1734.2,0,0
klwe_laserrepeater_s3,item_NameKLWE_LaserRepeater_S3,item_NameKLWE_LaserRepeater_S3_short,item_DescKLWE_LaserRepeater_S3,KLWE,3,1,Gun,1500,43.65,750,1480,1924,0,0
