Composition Class,Deposit Name Key,Minimum Distinct Elements,Part Index,Mineable Element GUID,Mineable Element Class,Mineable Element Name,Min Percentage,Max Percentage,Probability,Curve Exponent,Quality Scale,Record GUID,Record Path
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,0,b471b96c-efbb-4342-90de-cfa087604d8e,Corundum_Raw,Corundum (Raw),30,70,1,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.8,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,0,b471b96c-efbb-4342-90de-cfa087604d8e,Corundum_Raw,Corundum (Raw),30,70,1,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.8,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Corundum,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_corundum.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,0,05708bae-1cb1-4e63-bb95-ec7f4a3ef430,Iron_Ore,Iron (Ore),30,70,1,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.8,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.12,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,0,05708bae-1cb1-4e63-bb95-ec7f4a3ef430,Iron_Ore,Iron (Ore),30,70,1,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.8,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Iron,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.12,1,1,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_iron.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,0,1d35c0bc-9142-42ff-8a83-0ec68d69a128,Quartz_Raw,Quartz (Raw),30,70,1,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,0,1d35c0bc-9142-42ff-8a83-0ec68d69a128,Quartz_Raw,Quartz (Raw),30,70,1,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Quartz,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_quartz.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,0,219e8523-b953-4517-812a-0fb2eb023209,Silicon_Raw,Silicon (Raw),30,70,1,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,5,9498a080-84c0-41f4-b88f-71942c60c43f,Sileron_Ore,Sileron (Ore),20,50,0.07,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,6,905e9623-5e74-4a92-9cb1-72203ed8baad,Riccite_Ore,Riccite (Ore),20,50,0.12,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,0,219e8523-b953-4517-812a-0fb2eb023209,Silicon_Raw,Silicon (Raw),30,70,1,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,5,9498a080-84c0-41f4-b88f-71942c60c43f,Sileron_Ore,Sileron (Ore),20,50,0.07,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_Silicon,hud_mining_asteroid_name_5,2,6,905e9623-5e74-4a92-9cb1-72203ed8baad,Riccite_Ore,Riccite (Ore),20,50,0.12,1,1,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_silicon.xml
Asteroid_CType_test,hud_mining_asteroid_name_5,2,0,3abbac13-812b-4389-88f3-7a5e995cb7af,TestElement_Balance,Testelement Balance,30,70,1,1,1,f37de72c-776e-43bd-a389-cbaa71da9b9e,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_test.xml
Asteroid_CType_test,hud_mining_asteroid_name_5,2,0,3abbac13-812b-4389-88f3-7a5e995cb7af,TestElement_Balance,Testelement Balance,30,70,1,1,1,f37de72c-776e-43bd-a389-cbaa71da9b9e,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_test.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,0,16b426e2-7ce1-4fb4-8b34-4d8617dd6a97,Tin_Ore,Tin (Ore),30,70,1,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,5,9498a080-84c0-41f4-b88f-71942c60c43f,Sileron_Ore,Sileron (Ore),20,50,0.12,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,6,905e9623-5e74-4a92-9cb1-72203ed8baad,Riccite_Ore,Riccite (Ore),20,50,0.07,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,0,16b426e2-7ce1-4fb4-8b34-4d8617dd6a97,Tin_Ore,Tin (Ore),30,70,1,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
Asteroid_CType_Tin,hud_mining_asteroid_name_5,2,5,9498a080-84c0-41f4-b88f-71942c60c43f,Sileron_Ore,Sileron (Ore),20,50,0.12,1,1,50f176de-e3ef-46e4-8612-731a9fb18854,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_tin.xml
