Element Class,Element Name,Material Name,Inferred Description Key,Resource Type GUID,Instability,Resistance,Optimal Window Midpoint,Optimal Window Randomness,Optimal Window Thinness,Explosion Multiplier,Cluster Factor,Record GUID,Record Path
Laranite_Raw,Laranite (Raw),Laranite,items_commodities_laranite_raw_desc,7b7178c1-b0f0-4760-89de-9a3e3851e7a8,400,0.5,0.4,0.1,0.5,200,0.4,8375a8d8-1627-4d35-ae91-6f39b373c3ad,libs/foundry/records/mining/mineableelements/laranite_raw.xml
Laranite_Raw,Laranite (Raw),Laranite,items_commodities_laranite_raw_desc,7b7178c1-b0f0-4760-89de-9a3e3851e7a8,400,0.5,0.4,0.1,0.5,200,0.4,8375a8d8-1627-4d35-ae91-6f39b373c3ad,libs/foundry/records/mining/mineableelements/laranite_raw.xml
Lindinium_Ore,Lindinium (Ore),Lindinium,items_commodities_lindinium_ore_desc,87327e0c-86a7-4c6b-82c3-d0c8fe6bf15f,1000,0.95,0.5,0.2,0.23,260,0.1,1ec31863-26a8-446e-9805-448bb50253ed,libs/foundry/records/mining/mineableelements/lindinium_ore.xml
Lindinium_Ore,Lindinium (Ore),Lindinium,items_commodities_lindinium_ore_desc,87327e0c-86a7-4c6b-82c3-d0c8fe6bf15f,1000,0.95,0.5,0.2,0.23,260,0.1,1ec31863-26a8-446e-9805-448bb50253ed,libs/foundry/records/mining/mineableelements/lindinium_ore.xml
MinableElement_FPS_Aphorite,Aphorite,Aphorite,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,0,0.7,0,0,0,0,2ee59447-83e0-4f26-899e-df66780008e3,libs/foundry/records/mining/mineableelements/minableelement_fps_aphorite.xml
MinableElement_FPS_Aphorite,Aphorite,Aphorite,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,0,0.7,0,0,0,0,2ee59447-83e0-4f26-899e-df66780008e3,libs/foundry/records/mining/mineableelements/minableelement_fps_aphorite.xml
MinableElement_FPS_Carinite,Carinite,Carinite,,d7d39082-ba27-470c-bc9a-d9e82ce838ae,300,0.5,0.4,0.2,10,0.5,0,169ed316-3944-432f-88fa-0a39c5e6d2de,libs/foundry/records/mining/mineableelements/minableelement_fps_carinite.xml
MinableElement_FPS_Carinite,Carinite,Carinite,,d7d39082-ba27-470c-bc9a-d9e82ce838ae,300,0.5,0.4,0.2,10,0.5,0,169ed316-3944-432f-88fa-0a39c5e6d2de,libs/foundry/records/mining/mineableelements/minableelement_fps_carinite.xml
MinableElement_FPS_CarinitePure,Carinitepure,Carinitepure,,80dd9dd7-1a4e-41b9-9b3b-4f385b87396c,300,0.5,0.4,0.2,10,0.5,0,60d46a41-5930-4a13-9c72-bd988192d3a1,libs/foundry/records/mining/mineableelements/minableelement_fps_carinitepure.xml
MinableElement_FPS_CarinitePure,Carinitepure,Carinitepure,,80dd9dd7-1a4e-41b9-9b3b-4f385b87396c,300,0.5,0.4,0.2,10,0.5,0,60d46a41-5930-4a13-9c72-bd988192d3a1,libs/foundry/records/mining/mineableelements/minableelement_fps_carinitepure.xml
MinableElement_FPS_Dolivine,Dolivine,Dolivine,,7e86e2f4-6c31-41f8-9438-0fd8ad037426,0,0.1,0.6,0,0,0,0,c2a1ab26-6b2a-4258-8bae-b32cf08818bc,libs/foundry/records/mining/mineableelements/minableelement_fps_dolivine.xml
MinableElement_FPS_Dolivine,Dolivine,Dolivine,,7e86e2f4-6c31-41f8-9438-0fd8ad037426,0,0.1,0.6,0,0,0,0,c2a1ab26-6b2a-4258-8bae-b32cf08818bc,libs/foundry/records/mining/mineableelements/minableelement_fps_dolivine.xml
MinableElement_FPS_Flowstone,Flowstone,Flowstone,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,-1,1,0,0,-1000,0,a2b247b4-f3a8-4f51-9690-9773a0ce3bd7,libs/foundry/records/mining/mineableelements/minableelement_fps_flowstone.xml
MinableElement_FPS_Flowstone,Flowstone,Flowstone,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,-1,1,0,0,-1000,0,a2b247b4-f3a8-4f51-9690-9773a0ce3bd7,libs/foundry/records/mining/mineableelements/minableelement_fps_flowstone.xml
MinableElement_FPS_Hadanite,Hadanite,Hadanite,,3e5fdc37-cb59-4fd3-8168-e3c538ab9722,200,0,0.6,0.2,0,1,0,3af2af8d-5850-4900-ac7a-f9b38a959a07,libs/foundry/records/mining/mineableelements/minableelement_fps_hadanite.xml
MinableElement_FPS_Hadanite,Hadanite,Hadanite,,3e5fdc37-cb59-4fd3-8168-e3c538ab9722,200,0,0.6,0.2,0,1,0,3af2af8d-5850-4900-ac7a-f9b38a959a07,libs/foundry/records/mining/mineableelements/minableelement_fps_hadanite.xml
MinableElement_FPS_Jaclium,Jaclium,Jaclium,,2c1e1693-4d19-446c-8224-ebad36feb618,100,0.5,0.5,0.2,3,1,0,f5b8c10a-521b-40f6-8761-1863e71fb8d4,libs/foundry/records/mining/mineableelements/minableelement_fps_jaclium.xml
MinableElement_FPS_Jaclium,Jaclium,Jaclium,,2c1e1693-4d19-446c-8224-ebad36feb618,100,0.5,0.5,0.2,3,1,0,f5b8c10a-521b-40f6-8761-1863e71fb8d4,libs/foundry/records/mining/mineableelements/minableelement_fps_jaclium.xml
MinableElement_FPS_Janalite,Janalite,Janalite,,f3379bda-0520-4c75-920a-c29a50eb6b50,300,0.3,0.3,0,10,1,0,7e324c5c-1b28-400a-ab66-290188ef282c,libs/foundry/records/mining/mineableelements/minableelement_fps_janalite.xml
MinableElement_FPS_Janalite,Janalite,Janalite,,f3379bda-0520-4c75-920a-c29a50eb6b50,300,0.3,0.3,0,10,1,0,7e324c5c-1b28-400a-ab66-290188ef282c,libs/foundry/records/mining/mineableelements/minableelement_fps_janalite.xml
MinableElement_FPS_Sadaryx,Sadaryx,Sadaryx,,93feeedc-6d17-4b86-b8ae-8e0f4ba56cbf,200,0,0.6,0.2,0,1,0,af5ae7e0-467e-44c1-abd1-b5ce8ed63bcf,libs/foundry/records/mining/mineableelements/minableelement_fps_sadaryx.xml
MinableElement_FPS_Sadaryx,Sadaryx,Sadaryx,,93feeedc-6d17-4b86-b8ae-8e0f4ba56cbf,200,0,0.6,0.2,0,1,0,af5ae7e0-467e-44c1-abd1-b5ce8ed63bcf,libs/foundry/records/mining/mineableelements/minableelement_fps_sadaryx.xml
MinableElement_FPS_Saldynium,Saldynium,Saldynium,,5fdfdea8-3d75-4287-85c7-f29a722ee351,100,0,0.5,0,5,1,0,8bb75cd2-f59d-40a5-9077-55089c1626c4,libs/foundry/records/mining/mineableelements/minableelement_fps_saldynium.xml
MinableElement_FPS_Saldynium,Saldynium,Saldynium,,5fdfdea8-3d75-4287-85c7-f29a722ee351,100,0,0.5,0,5,1,0,8bb75cd2-f59d-40a5-9077-55089c1626c4,libs/foundry/records/mining/mineableelements/minableelement_fps_saldynium.xml
MinableElement_FPS_template,Template,Template,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,0,0.5,0.2,-1,1,0,eb977ee9-cd24-44b7-94b2-fce22d95d26c,libs/foundry/records/mining/mineableelements/minableelement_fps_template.xml
MinableElement_FPS_template,Template,Template,,9b47bacf-8efa-42e2-8d84-dee64983a00a,0,0,0.5,0.2,-1,1,0,eb977ee9-cd24-44b7-94b2-fce22d95d26c,libs/foundry/records/mining/mineableelements/minableelement_fps_template.xml
MinableElement_FPS_VLKLimpet,Vlklimpet,Vlklimpet,,272539c8-e211-4c82-8bd0-6ecaabbc9c10,0,-1,0.5,0.3,5,0,0,0a523c7c-6fa5-4061-81ce-f1537e255c3e,libs/foundry/records/mining/mineableelements/minableelement_fps_vlklimpet.xml
MinableElement_FPS_VLKLimpet,Vlklimpet,Vlklimpet,,272539c8-e211-4c82-8bd0-6ecaabbc9c10,0,-1,0.5,0.3,5,0,0,0a523c7c-6fa5-4061-81ce-f1537e255c3e,libs/foundry/records/mining/mineableelements/minableelement_fps_vlklimpet.xml
MinableElement_GroundVehicle_Beradom,Beradom,Beradom,,c339897c-d682-48ad-a16f-daf145bc0f4d,0,0,0.7,0,0,0,0,76e7e6e9-6508-47a1-a381-e34ec1c997ce,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_beradom.xml
MinableElement_GroundVehicle_Beradom,Beradom,Beradom,,c339897c-d682-48ad-a16f-daf145bc0f4d,0,0,0.7,0,0,0,0,76e7e6e9-6508-47a1-a381-e34ec1c997ce,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_beradom.xml
MinableElement_GroundVehicle_Carinite,Carinite,Carinite,,d7d39082-ba27-470c-bc9a-d9e82ce838ae,300,0.5,0.4,0.2,10,0.5,0,c793af1c-7dab-457e-a74d-88c435c9708b,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_carinite.xml
MinableElement_GroundVehicle_Carinite,Carinite,Carinite,,d7d39082-ba27-470c-bc9a-d9e82ce838ae,300,0.5,0.4,0.2,10,0.5,0,c793af1c-7dab-457e-a74d-88c435c9708b,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_carinite.xml
MinableElement_GroundVehicle_Feynmaline,Feynmaline,Feynmaline,,7310c15d-359c-42b4-b61e-7da3d0da3384,200,0,0.6,0.2,0,1,0,7e0eaf11-77e6-48c9-a184-f88648e7c148,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_feynmaline.xml
MinableElement_GroundVehicle_Feynmaline,Feynmaline,Feynmaline,,7310c15d-359c-42b4-b61e-7da3d0da3384,200,0,0.6,0.2,0,1,0,7e0eaf11-77e6-48c9-a184-f88648e7c148,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_feynmaline.xml
MinableElement_GroundVehicle_Glacosite,Glacosite,Glacosite,,960eda23-d77c-425e-8cbd-89d94ca6e2aa,0,0.1,0.6,0,0,0,0,7e465c37-1d58-4533-a6e4-13abf1073554,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_glacosite.xml
MinableElement_GroundVehicle_Glacosite,Glacosite,Glacosite,,960eda23-d77c-425e-8cbd-89d94ca6e2aa,0,0.1,0.6,0,0,0,0,7e465c37-1d58-4533-a6e4-13abf1073554,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_glacosite.xml
MinableElement_GroundVehicle_template,Template,Template,,c339897c-d682-48ad-a16f-daf145bc0f4d,0,1,0.7,0,0.1,1,0,5e930824-e3c8-49b6-b500-1ba641495777,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_template.xml
MinableElement_GroundVehicle_template,Template,Template,,c339897c-d682-48ad-a16f-daf145bc0f4d,0,1,0.7,0,0.1,1,0,5e930824-e3c8-49b6-b500-1ba641495777,libs/foundry/records/mining/mineableelements/minableelement_groundvehicle_template.xml
MinableElement_Ship_template,Ship Template,Ship Template,,48c7080a-bbef-43d2-901a-698321ed4340,5,-0.2,0.3,0.1,0.5,80,0.9,8f6eee4d-1b24-4c8a-a3f6-63ec92105a60,libs/foundry/records/mining/mineableelements/minableelement_ship_template.xml
MinableElement_Ship_template,Ship Template,Ship Template,,48c7080a-bbef-43d2-901a-698321ed4340,5,-0.2,0.3,0.1,0.5,80,0.9,8f6eee4d-1b24-4c8a-a3f6-63ec92105a60,libs/foundry/records/mining/mineableelements/minableelement_ship_template.xml
Ouratite_Raw,Ouratite (Raw),Ouratite,items_commodities_ouratite_raw_desc,ca3ae4c1-3483-4985-ba61-50412994dc83,600,0.6,0.4,0.2,0.6,240,0.1,8723956e-e947-4b84-9dcb-b2c6137895ab,libs/foundry/records/mining/mineableelements/ouratite_raw.xml
Ouratite_Raw,Ouratite (Raw),Ouratite,items_commodities_ouratite_raw_desc,ca3ae4c1-3483-4985-ba61-50412994dc83,600,0.6,0.4,0.2,0.6,240,0.1,8723956e-e947-4b84-9dcb-b2c6137895ab,libs/foundry/records/mining/mineableelements/ouratite_raw.xml
Quantainium_Raw,Quantainium (Raw),Quantainium,items_commodities_quantainium_raw_desc,501d9b2e-136c-483b-a4d9-282fe6a5d37a,1000,0.95,0.5,0.2,2.3,260,0.1,fc62043c-3f29-4fff-b754-2301762723f7,libs/foundry/records/mining/mineableelements/quantainium_raw.xml
Quantainium_Raw,Quantainium (Raw),Quantainium,items_commodities_quantainium_raw_desc,501d9b2e-136c-483b-a4d9-282fe6a5d37a,1000,0.95,0.5,0.2,2.3,260,0.1,fc62043c-3f29-4fff-b754-2301762723f7,libs/foundry/records/mining/mineableelements/quantainium_raw.xml
Quartz_Raw,Quartz (Raw),Quartz,items_commodities_quartz_raw_desc,8569b931-06bb-4d86-9f24-5e303e2ff3ee,50,-0.7,0.6,0.1,0.5,-20,0.9,1d35c0bc-9142-42ff-8a83-0ec68d69a128,libs/foundry/records/mining/mineableelements/quartz_raw.xml
Quartz_Raw,Quartz (Raw),Quartz,items_commodities_quartz_raw_desc,8569b931-06bb-4d86-9f24-5e303e2ff3ee,50,-0.7,0.6,0.1,0.5,-20,0.9,1d35c0bc-9142-42ff-8a83-0ec68d69a128,libs/foundry/records/mining/mineableelements/quartz_raw.xml
Riccite_Ore,Riccite (Ore),Riccite,items_commodities_riccite_ore_desc,c3697191-8ad0-43a9-af7a-29c0ad58de34,850,0.95,0.7,0.2,2.3,260,0,905e9623-5e74-4a92-9cb1-72203ed8baad,libs/foundry/records/mining/mineableelements/riccite_ore.xml
Riccite_Ore,Riccite (Ore),Riccite,items_commodities_riccite_ore_desc,c3697191-8ad0-43a9-af7a-29c0ad58de34,850,0.95,0.7,0.2,2.3,260,0,905e9623-5e74-4a92-9cb1-72203ed8baad,libs/foundry/records/mining/mineableelements/riccite_ore.xml
Savrilium_Ore,Savrilium (Ore),Savrilium,items_commodities_savrilium_ore_desc,d76ea7ef-5116-488c-93d3-71e02bada13d,1000,0.95,0.5,0.2,2.3,260,0.1,6426f04e-2f7d-4c8e-a615-64aa582eaa31,libs/foundry/records/mining/mineableelements/savrilium_ore.xml
Savrilium_Ore,Savrilium (Ore),Savrilium,items_commodities_savrilium_ore_desc,d76ea7ef-5116-488c-93d3-71e02bada13d,1000,0.95,0.5,0.2,2.3,260,0.1,6426f04e-2f7d-4c8e-a615-64aa582eaa31,libs/foundry/records/mining/mineableelements/savrilium_ore.xml
Sileron_Ore,Stileron (Ore),Stileron,items_commodities_stileron_ore_desc,32bafbd4-c52a-476d-b31c-97c4b3102471,870,0.6,0.7,0.3,0.6,260,0,9498a080-84c0-41f4-b88f-71942c60c43f,libs/foundry/records/mining/mineableelements/sileron_ore.xml
Sileron_Ore,Stileron (Ore),Stileron,items_commodities_stileron_ore_desc,32bafbd4-c52a-476d-b31c-97c4b3102471,870,0.6,0.7,0.3,0.6,260,0,9498a080-84c0-41f4-b88f-71942c60c43f,libs/foundry/records/mining/mineableelements/sileron_ore.xml
Silicon_Raw,Silicon (Raw),Silicon,items_commodities_silicon_raw_desc,d137b905-b3bc-4721-a790-830499263c0c,50,-0.2,0.3,0.1,0.5,80,0.9,219e8523-b953-4517-812a-0fb2eb023209,libs/foundry/records/mining/mineableelements/silicon_raw.xml
Silicon_Raw,Silicon (Raw),Silicon,items_commodities_silicon_raw_desc,d137b905-b3bc-4721-a790-830499263c0c,50,-0.2,0.3,0.1,0.5,80,0.9,219e8523-b953-4517-812a-0fb2eb023209,libs/foundry/records/mining/mineableelements/silicon_raw.xml
Taranite_Raw,Taranite (Raw),Taranite,items_commodities_taranite_raw_desc,b6175879-fc61-4600-b4a9-1e15f2c2ddd5,700,0.5,0.4,0.2,0.6,240,0.1,8893c670-f9f7-48df-a05b-e85764994256,libs/foundry/records/mining/mineableelements/taranite_raw.xml
Taranite_Raw,Taranite (Raw),Taranite,items_commodities_taranite_raw_desc,b6175879-fc61-4600-b4a9-1e15f2c2ddd5,700,0.5,0.4,0.2,0.6,240,0.1,8893c670-f9f7-48df-a05b-e85764994256,libs/foundry/records/mining/mineableelements/taranite_raw.xml
TestElement_Balance,Testelement Balance,Testelement Balance,,a789f57a-e12b-4bcd-8132-e0c03d84fc89,1,1,0.5,0,1,1,1,3abbac13-812b-4389-88f3-7a5e995cb7af,libs/foundry/records/mining/mineableelements/testelement_balance.xml
TestElement_Balance,Testelement Balance,Testelement Balance,,a789f57a-e12b-4bcd-8132-e0c03d84fc89,1,1,0.5,0,1,1,1,3abbac13-812b-4389-88f3-7a5e995cb7af,libs/foundry/records/mining/mineableelements/testelement_balance.xml
Tin_Ore,Tin (Ore),Tin,items_commodities_tin_ore_desc,551cf88d-c09f-46e3-99b3-66c60bb65af1,0,-0.2,0.4,0.15,0.5,-36,0.6,16b426e2-7ce1-4fb4-8b34-4d8617dd6a97,libs/foundry/records/mining/mineableelements/tin_ore.xml
Tin_Ore,Tin (Ore),Tin,items_commodities_tin_ore_desc,551cf88d-c09f-46e3-99b3-66c60bb65af1,0,-0.2,0.4,0.15,0.5,-36,0.6,16b426e2-7ce1-4fb4-8b34-4d8617dd6a97,libs/foundry/records/mining/mineableelements/tin_ore.xml
Titanium_Ore,Titanium (Ore),Titanium,items_commodities_titanium_ore_desc,64978449-1d87-4a16-ba55-4b5f94fee217,0,0.1,0.6,0.1,-0.7,20,0.9,7b9055e5-6d62-44dd-a725-a31d838301eb,libs/foundry/records/mining/mineableelements/titanium_ore.xml
Titanium_Ore,Titanium (Ore),Titanium,items_commodities_titanium_ore_desc,64978449-1d87-4a16-ba55-4b5f94fee217,0,0.1,0.6,0.1,-0.7,20,0.9,7b9055e5-6d62-44dd-a725-a31d838301eb,libs/foundry/records/mining/mineableelements/titanium_ore.xml
Torite_Ore,Torite (Ore),Torite,items_commodities_torite_ore_desc,48b9b7ba-cd5e-458b-bb91-9b43eb46c568,550,0.25,0.5,0.25,2.1,100,0.05,d0b10af3-e0f3-4bc3-b2d9-737dbb7846cf,libs/foundry/records/mining/mineableelements/torite_ore.xml
Torite_Ore,Torite (Ore),Torite,items_commodities_torite_ore_desc,48b9b7ba-cd5e-458b-bb91-9b43eb46c568,550,0.25,0.5,0.25,2.1,100,0.05,d0b10af3-e0f3-4bc3-b2d9-737dbb7846cf,libs/foundry/records/mining/mineableelements/torite_ore.xml
Tungsten_Ore,Tungsten (Ore),Tungsten,items_commodities_tungsten_ore_desc,addc9aa4-5d2d-4c0d-b01b-ad2b2e50a5d6,0,-0.4,0.3,0.1,-0.7,80,0.4,8f6a7e06-934d-4339-a0a2-75420b81369a,libs/foundry/records/mining/mineableelements/tungsten_ore.xml
Tungsten_Ore,Tungsten (Ore),Tungsten,items_commodities_tungsten_ore_desc,addc9aa4-5d2d-4c0d-b01b-ad2b2e50a5d6,0,-0.4,0.3,0.1,-0.7,80,0.4,8f6a7e06-934d-4339-a0a2-75420b81369a,libs/foundry/records/mining/mineableelements/tungsten_ore.xml
