Template Class,Contract Class Type,Owner GUID,Owner Class,Display Type GUID,Display Type Class,Illegal,Show Life Time In MobiGlas,Pre Show Objectives,Has Complete Button,Handles Abandon Request,Can Be Shared,Display Allied Markers,Only Owner Can Complete,Fail If Sent To Prison,Fail If Became Criminal,Fail If Leave Prison,Mission Completion Time,Mission Auto End,Mission Result After Timer End,Remaining Time To Show Timer,Objective Count,Mission Property Count,Objective Handler Types,Objective Handler Modules,Objective Display Keys,Travel Objective Keys,Return Objective Keys,Override Mission Details Keys,Nav Point Name Keys,String Hash Keys,Location Tag GUIDs,Location Tag Classes,Record GUID,Record Path
Phase2-Mission03,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/03-HijackData.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,e9b74048-4574-417b-ba6a-f99a74a2f4fe,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission03.xml
Phase2-Mission03,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/03-HijackData.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,e9b74048-4574-417b-ba6a-f99a74a2f4fe,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission03.xml
Phase2-Mission04,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/04-DataGathering.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,14044a9a-5de4-4286-839d-4c930801d34b,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission04.xml
Phase2-Mission04,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/04-DataGathering.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,14044a9a-5de4-4286-839d-4c930801d34b,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission04.xml
Phase3-MainMission,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,13,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase3/MainMission.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,,13abec13-80ce-4fda-917a-c2e2225b0268 | 1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | f2e0e1f6-a4db-4610-a844-f633e7ea86c6, |  |  |  |  | ,0f212a92-dfa2-4d65-a730-c91bb492a1b4,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase3-mainmission.xml
Phase3-MainMission,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,13,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase3/MainMission.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,,13abec13-80ce-4fda-917a-c2e2225b0268 | 1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | f2e0e1f6-a4db-4610-a844-f633e7ea86c6, |  |  |  |  | ,0f212a92-dfa2-4d65-a730-c91bb492a1b4,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase3-mainmission.xml
BoardShip,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,,,,,,0,0,1,1,0,1,1,0,0,0,Failed,0,1,3,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/BoardShip/BoardShip.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,,,,855f4df8-d477-4b0c-9936-34c87fce4e64,libs/foundry/records/contracts/contracttemplates/boardship.xml
BoardShip,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,,,,,,0,0,1,1,0,1,1,0,0,0,Failed,0,1,3,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/BoardShip/BoardShip.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,,,,855f4df8-d477-4b0c-9936-34c87fce4e64,libs/foundry/records/contracts/contracttemplates/boardship.xml
Bounty_BoardedShip,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,2,33,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml | Libs/Subsumption/Missions/PU/Modules/ManageBordedShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01 | TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,b9356ae3-6537-4a44-b9ba-3c6892c1c7e6,libs/foundry/records/contracts/contracttemplates/bounty_boardedship.xml
Bounty_BoardedShip,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,2,33,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml | Libs/Subsumption/Missions/PU/Modules/ManageBordedShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01 | TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,b9356ae3-6537-4a44-b9ba-3c6892c1c7e6,libs/foundry/records/contracts/contracttemplates/bounty_boardedship.xml
Bounty_NearLocation,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,32,ObjectiveHandler_NearLocation,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,9ada4373-ba10-44a1-87f9-478977062042,libs/foundry/records/contracts/contracttemplates/bounty_nearlocation.xml
Bounty_NearLocation,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,32,ObjectiveHandler_NearLocation,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,9ada4373-ba10-44a1-87f9-478977062042,libs/foundry/records/contracts/contracttemplates/bounty_nearlocation.xml
Bounty,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,32,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,68935ccd-25dd-44c7-85ad-d5d92ce948bb,libs/foundry/records/contracts/contracttemplates/bounty.xml
Bounty,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,8e5c6f5f-f882-4e31-945b-31ae88db5c0a,BountyHunter,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,32,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/KillShip/KillShip.xml,,KillShip_Reach_Long_01 | KillShip_Reach_Marker_01 | KillShip_Reach_Short_01,ReturnObjective_Long | ReturnObjective_Short,,,procedural_text_null,6804b0a9-b01d-4c9a-8063-67784bd0f021,,68935ccd-25dd-44c7-85ad-d5d92ce948bb,libs/foundry/records/contracts/contracttemplates/bounty.xml
ChainEliminateAll_1Location_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,2,14,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,f981eb5e-3ed5-483f-a2f8-f02eb02d53a3,libs/foundry/records/contracts/contracttemplates/chaineliminateall_1location_eliminatespecific.xml
ChainEliminateAll_1Location_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,2,14,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,f981eb5e-3ed5-483f-a2f8-f02eb02d53a3,libs/foundry/records/contracts/contracttemplates/chaineliminateall_1location_eliminatespecific.xml
ChainEliminateAll_2Locations_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,16,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,e03860a9-3644-4f88-b887-965d83f49925,libs/foundry/records/contracts/contracttemplates/chaineliminateall_2locations_eliminatespecific.xml
ChainEliminateAll_2Locations_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,16,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,e03860a9-3644-4f88-b887-965d83f49925,libs/foundry/records/contracts/contracttemplates/chaineliminateall_2locations_eliminatespecific.xml
ChainEliminateAll_3Locations_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,4,18,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,f6a7c3b9-9592-4791-80b0-59c2eddd251e,libs/foundry/records/contracts/contracttemplates/chaineliminateall_3locations_eliminatespecific.xml
ChainEliminateAll_3Locations_EliminateSpecific,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,4,18,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml | Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateSpecific.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,f6a7c3b9-9592-4791-80b0-59c2eddd251e,libs/foundry/records/contracts/contracttemplates/chaineliminateall_3locations_eliminatespecific.xml
ChainEliminateAll_3Locations,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,15,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,a94144c4-23a7-41fa-bbe2-8b9e6c9b04b6,libs/foundry/records/contracts/contracttemplates/chaineliminateall_3locations.xml
ChainEliminateAll_3Locations,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,15,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/InfiltrateAndDefend/PU_EliminateAll.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,,,a94144c4-23a7-41fa-bbe2-8b9e6c9b04b6,libs/foundry/records/contracts/contracttemplates/chaineliminateall_3locations.xml
