Localization Key,Localization Role,Attribute,Record Type,Entity Class,Record GUID,Record Path
Adagio_from,other,contract:2a20ef29-7922-487f-b42c-70b48fe8031a:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:3b19ec12-1267-4cc7-be0e-7c0c5273fb81:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:44b632f2-e2e2-42e3-b0d5-a19889263c15:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:5e97df76-fe6d-4a2e-91f6-95f9c7596f3f:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:63550989-f035-4dc6-a8f6-c6f5c8482c33:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:67608eaf-63b0-4d4f-9103-7960eeeb9166:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:73cf6254-785a-41c1-b7a9-bdce2f6380e0:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:76ed5ffe-32b6-473a-9605-19f82c5d879e:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:7858db48-7eb6-4a6c-b56b-5df1c5235d1d:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:787ac783-5a7f-49cf-b4b0-f3571f7ce6d6:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:7fb2faa7-b6d4-47e9-90ec-7e635cc2a9b0:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:813ea00d-3766-46fd-802f-a9e5775de6b3:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:9846bdb4-3193-4d70-bdc2-734f678f5361:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:993fbe39-f45a-456a-a94a-a65714c1db49:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:9e4c8123-07ef-490a-9dee-f397e54fcbc0:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:9ff34277-7cba-441d-ac0f-1fcfc9d6e16c:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:a2e30021-9bbd-4cbe-a014-3a851c86331c:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:acf17ba4-4007-466c-9081-72aee28232b3:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:c2bf4edf-eb40-4abb-a81d-03bac07badd8:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:d28dfeee-2ffa-4ec8-87d9-2a5db01bb5ec:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:de9667b3-3142-46a3-80ae-f101c338ed4b:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:e4853f9d-f027-4f83-bd82-1835cc2f6409:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:e672b66a-a480-4ef2-b491-aaade45836c4:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:eab205c6-d19a-4f4c-af8c-0c823c34c40a:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:fe5b519c-1149-454c-a680-8d2788c3f487:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Desc_001,description,contract:2e7d4387-dc53-4968-84a1-e9d64510668c:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Desc_001,description,contract:61201483-e22b-4170-ba24-705efb270635:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Title_001,title,contract:2e7d4387-dc53-4968-84a1-e9d64510668c:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Title_001,title,contract:61201483-e22b-4170-ba24-705efb270635:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_E_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Levski_H_Desc_001,description,contract:09f5d6ae-c1a2-4dba-ba0d-886c33ea1af6:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_H_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_H_Title_001,title,contract:09f5d6ae-c1a2-4dba-ba0d-886c33ea1af6:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_H_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_M_Desc_001,description,contract:44b632f2-e2e2-42e3-b0d5-a19889263c15:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_M_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_M_Title_001,title,contract:44b632f2-e2e2-42e3-b0d5-a19889263c15:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Levski_M_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Desc_001,description,contract:814a3e55-7836-4019-8699-b987eefdebee:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Desc_001,description,contract:f8823d3b-df07-40fe-aa2f-ab2e52f30d86:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Title_001,title,contract:814a3e55-7836-4019-8699-b987eefdebee:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Title_001,title,contract:f8823d3b-df07-40fe-aa2f-ab2e52f30d86:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_E_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_H_Desc_001,description,contract:c2bf4edf-eb40-4abb-a81d-03bac07badd8:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_H_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_H_Title_001,title,contract:c2bf4edf-eb40-4abb-a81d-03bac07badd8:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_H_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_M_Desc_001,description,contract:28e535c8-740f-47cc-adcb-6238a0b5b724:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_M_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_M_Title_001,title,contract:28e535c8-740f-47cc-adcb-6238a0b5b724:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Pyro_M_Title_001,title,value,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_Industrial_Component_Salvage_Stanton_E_Desc_001,description,contract:1d4ce073-e4cb-446e-a68f-76044ee32def:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Stanton_E_Desc_001,description,contract:500a190f-14d5-4587-83f7-d33eb7a37577:ContractStringParam.Description,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Stanton_E_Desc_001,description,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Stanton_E_Title_001,title,contract:1d4ce073-e4cb-446e-a68f-76044ee32def:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_Industrial_Component_Salvage_Stanton_E_Title_001,title,contract:500a190f-14d5-4587-83f7-d33eb7a37577:ContractStringParam.Title,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
