Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Power Output,Cooling Usage,EM Signature,EM Signature Decay,IR Signature,IR Signature Decay,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
powr_aegs_s04_reclaimer,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,AEGS,4,1,Military,6300,28,0,13900,0.15,0,0.15,10,323,17000,6,1133.333,21
powr_amrs_s01_dynaflux,item_Name_POWR_AMRS_S01_DynaFlux,,item_Desc_POWR_AMRS_S01_DynaFlux,AMRS,1,2,Military,310,16,0,7920,0.15,0,0.15,6,333,4700,1.5,313.3333,16.5
powr_amrs_s01_hypergen,item_NamePOWR_AMRS_S01_HyperGen,,item_DescPOWR_AMRS_S01_HyperGen,AMRS,1,4,Military,240,16,0,7920,0.15,0,0.15,7,333,3550,1.5,236.6667,16.5
powr_amrs_s01_js300,item_NamePOWR_AMRS_S01_JS300_SCItem,,item_DescPOWR_AMRS_S01_JS300_SCItem,AMRS,1,1,Military,350,17,0,8420,0.15,0,0.15,6,333,5500,1.5,366.6667,16.5
powr_amrs_s01_overdrive,item_NamePOWR_AMRS_S01_OverDrive,,item_DescPOWR_AMRS_S01_OverDrive,AMRS,1,3,Military,270,16,0,7920,0.15,0,0.15,6,333,4100,1.5,273.3333,16.5
powr_amrs_s02_exogen,item_NamePOWR_AMRS_S02_ExoGen,,item_DescPOWR_AMRS_S02_ExoGen,AMRS,2,4,Military,650,20,0,9900,0.15,0,0.15,8,333,5500,3,366.6667,18
powr_amrs_s02_js400,item_NamePOWR_AMRS_S02_JS400_SCItem,,item_DescPOWR_AMRS_S02_JS400_SCItem,AMRS,2,1,Military,980,21,0,10400,0.15,0,0.15,6,333,8500,3,566.6667,18
powr_amrs_s02_turbodrive,item_Name_POWR_AMRS_S02_TurboDrive,,item_Desc_POWR_AMRS_S02_TurboDrive,AMRS,2,3,Military,750,20,0,9900,0.15,0,0.15,7,333,6500,3,433.3333,18
powr_amrs_s02_ultraflux,item_NamePOWR_AMRS_S02_UltraFlux_SCItem,,item_DescPOWR_AMRS_S02_UltraFlux_SCItem,AMRS,2,2,Military,860,20,0,9900,0.15,0,0.15,7,333,7500,3,500,18
powr_amrs_s03_js500,item_NamePOWR_AMRS_S03_JS500_SCItem,,item_DescPOWR_AMRS_S03_JS500_SCItem,AMRS,3,1,Military,2700,25,0,12400,0.15,0,0.15,7,333,13000,4.5,866.6667,19.5
powr_amrs_s03_megaflux,item_Name_POWR_AMRS_S03_MegaFlux,,item_Desc_POWR_AMRS_S03_MegaFlux,AMRS,3,2,Military,2400,24,0,11900,0.15,0,0.15,8,333,11500,4.5,766.6667,19.5
powr_amrs_s03_smartgen,item_Name_POWR_AMRS_S03_SmartGen,,item_Desc_POWR_AMRS_S03_SmartGen,AMRS,3,4,Military,1800,24,0,11900,0.15,0,0.15,9,333,8500,4.5,566.6667,19.5
powr_amrs_s03_superdrive,item_NamePOWR_AMRS_S03_SuperDrive_SCItem,,item_DescPOWR_AMRS_S03_SuperDrive,AMRS,3,3,Military,2100,24,0,11900,0.15,0,0.15,8,333,10000,4.5,666.6667,19.5
powr_just_s00_defiant,item_Name_POWR_JUST_S00_Defiant,,item_Desc_POWR_JUST_S00_Defiant,JUST,0,2,Industrial,98,11,0,5450,0.15,0,0.15,7,323,2600,1.5,173.3333,16.5
powr_just_s00_jennet,item_NamePOWR_JUST_S00_Jennet_SCItem,,item_DescPOWR_JUST_S00_Jennet_SCItem,JUST,0,4,Industrial,74,11,0,5450,0.15,0,0.15,8,323,1950,1.5,130,16.5
powr_just_s00_steadfast,item_NamePOWR_JUST_S00_SteadFast,,item_DescPOWR_JUST_S00_SteadFast,JUST,0,3,Industrial,85,11,0,5450,0.15,0,0.15,7,323,2250,1.5,150,16.5
powr_just_s01_breton,item_Name_POWR_JUST_S01_Breton,,item_Desc_POWR_JUST_S01_Breton,JUST,1,1,Industrial,300,16,0,7920,0.15,0,0.15,7,323,4550,1.5,303.3333,16.5
powr_just_s01_endurance,item_NamePOWR_JUST_S01_Endurance,,item_DescPOWR_JUST_S01_Endurance,JUST,1,2,Industrial,270,15,0,7430,0.15,0,0.15,8,323,4050,1.5,270,16.5
powr_just_s01_fortitude,item_NamePOWR_JUST_S01_Fortitude_SCItem,,item_Desc_POWR_JUST_S01_Fortitude,JUST,1,3,Industrial,230,15,0,7430,0.15,0,0.15,8,323,3500,1.5,233.3333,16.5
powr_just_s01_roughneck,item_NamePOWR_JUST_S01_Roughneck_SCItem,,item_DescPOWR_JUST_S01_Roughneck,JUST,1,4,Industrial,200,15,0,7430,0.15,0,0.15,9,323,3050,1.5,203.3333,16.5
powr_just_s02_diligence,item_Name_POWR_JUST_S02_Diligence,,item_Desc_POWR_JUST_S02_Diligence,JUST,2,3,Industrial,640,19,0,9410,0.15,0,0.15,9,323,5500,3,366.6667,18
powr_just_s02_genoa,item_NamePOWR_JUST_S02_Genoa_SCItem,,item_DescPOWR_JUST_S02_Genoa_SCItem,JUST,2,1,Industrial,840,20,0,9900,0.15,0,0.15,8,323,7000,3,466.6667,18
powr_just_s02_sedulity,item_Name_POWR_JUST_S02_Sedulity,,item_Desc_POWR_JUST_S02_Sedulity,JUST,2,2,Industrial,740,19,0,9410,0.15,0,0.15,9,323,6500,3,433.3333,18
powr_just_s02_trommel,item_NamePOWR_JUST_S02_Trommel_SCItem,,item_DescPOWR_JUST_S02_Trommel,JUST,2,4,Industrial,560,19,0,9410,0.15,0,0.15,10,323,4750,3,316.6667,18
powr_just_s03_durango,item_Name_POWR_JUST_S03_Durango,,item_Desc_POWR_JUST_S03_Durango,JUST,3,1,Industrial,2300,24,0,11900,0.15,0,0.15,9,323,11000,4.5,733.3333,19.5
powr_just_s03_ginzel,item_NamePOWR_JUST_S03_Ginzel_SCItem,,item_DescPOWR_JUST_S03_Ginzel,JUST,3,3,Industrial,1800,23,0,11400,0.15,0,0.15,10,323,8500,4.5,566.6667,19.5
powr_just_s03_reliance,item_Name_POWR_JUST_S03_Reliance,,item_Desc_POWR_JUST_S03_Reliance,JUST,3,2,Industrial,2000,23,0,11400,0.15,0,0.15,10,323,9500,4.5,633.3333,19.5
powr_lplt_s00_durajet,item_NamePOWR_LPLT_S00_DuraJet_SCItem,,item_DescPOWR_LPLT_S00_DuraJet_SCItem,LPLT,0,4,Civilian,62,10,0,3750,0.15,0,0.15,8,318,1650,1.5,110,16.5
powr_lplt_s00_ionwave,item_Name_POWR_LPLT_S00_IonWave,,item_Desc_POWR_LPLT_S00_IonWave,LPLT,0,2,Civilian,82,10,0,3750,0.15,0,0.15,7,318,2150,1.5,143.3333,16.5
powr_lplt_s00_radix_scitem_sm_te,item_NamePOWR_LPLT_S00_Radix,,item_DescPOWR_LPLT_S00_Radix,LPLT,0,3,Civilian,71,10,0,3750,0.15,0,0.15,8,318,1900,1.5,126.6667,16.5
powr_lplt_s00_radix,item_NamePOWR_LPLT_S00_Radix,,item_DescPOWR_LPLT_S00_Radix,LPLT,0,3,Civilian,71,10,0,3750,0.15,0,0.15,8,318,1900,1.5,126.6667,16.5
powr_lplt_s01_ionburst,item_NamePOWR_LPLT_S01_IonBurst,,item_DescPOWR_LPLT_S01_IonBurst,LPLT,1,2,Civilian,220,14,0,5250,0.15,0,0.15,8,318,3350,1.5,223.3333,16.5
powr_lplt_s01_powerbolt,item_NamePOWR_LPLT_S01_PowerBolt_SCItem,,item_DescPOWR_LPLT_S01_PowerBolt,LPLT,1,3,Civilian,200,14,0,5250,0.15,0,0.15,9,318,2950,1.5,196.6667,16.5
powr_lplt_s01_zapjet,item_NamePOWR_LPLT_S01_ZapJet_SCItem,,item_DescPOWR_LPLT_S01_ZapJet,LPLT,1,4,Civilian,170,14,0,5250,0.15,0,0.15,10,318,2550,1.5,170,16.5
powr_lplt_s02_fullforce,item_Name_POWR_LPLT_S02_FullForce,,item_Desc_POWR_LPLT_S02_FullForce,LPLT,2,3,Civilian,540,18,0,6750,0.15,0,0.15,10,318,4550,3,303.3333,18
powr_lplt_s02_ionsurge,item_NamePOWR_LPLT_S02_IonSurge_SCItem,,item_DescPOWR_LPLT_S02_IonSurge_SCItem,LPLT,2,2,Civilian,620,18,0,6750,0.15,0,0.15,9,318,5000,3,333.3333,18
powr_lplt_s02_sparkjet,item_Name_POWR_LPLT_S02_SparkJet,,item_Desc_POWR_LPLT_S02_SparkJet,LPLT,2,4,Civilian,470,18,0,6750,0.15,0,0.15,11,318,3950,3,263.3333,18
powr_lplt_s03_fullforcepro,item_NamePOWR_LPLT_S03_FullForcePro_SCItem,,item_DescPOWR_LPLT_S03_FullForcePro,LPLT,3,3,Civilian,1500,22,0,8250,0.15,0,0.15,11,318,7000,4.5,466.6667,19.5
powr_lplt_s03_ionsurgepro,item_Name_POWR_LPLT_S03_IonSurgePro,,item_Desc_POWR_LPLT_S03_IonSurgePro,LPLT,3,2,Civilian,1700,22,0,8250,0.15,0,0.15,10,318,8000,4.5,533.3333,19.5
powr_lplt_s03_sparkjetpro,item_NamePOWR_LPLT_S03_SparkJetPro_SCItem,,item_DescPOWR_LPLT_S03_SparkJetPro_SCItem,LPLT,3,4,Civilian,1300,22,0,8250,0.15,0,0.15,12,318,6000,4.5,400,19.5
powr_orig_s04_890j,item_NamePOWR_ORIG_S04_890J_SCItem,,item_DescPOWR_ORIG_S04_890J_SCItem,ORIG,4,1,Civilian,13000,27,0,11100,0.15,0,0.15,11,318,19500,6,1300,21
powr_pyrooutpost,usable_use,,,,0,1,,92,10000,0,0,0.15,0,0.15,8,318,10,1.5,0.6666667,16.5
powr_rsi_s04_bengal,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,RSI,4,1,Civilian,420000,29,0,14400,0.15,0,0.15,9,333,115000,6,7666.667,21
powr_rsi_s04_polaris,item_NamePOWR_ORIG_S04_890J_SCItem,,item_DescPOWR_ORIG_S04_890J_SCItem,RSI,4,1,Civilian,14000,27,0,12200,0.15,0,0.15,11,318,22000,6,1466.667,21
powr_s01_template,usable_use,,,,1,1,,250,15,0,5630,0.15,0,0.15,8,318,10,1.5,0.6666667,16.5
powr_s02_template,usable_use,,,,2,1,,700,19,0,7130,0.15,0,0.15,9,318,10,3,0.6666667,18
powr_s03_template,usable_use,,,,3,1,,1900,23,0,8630,0.15,0,0.15,10,318,10,4.5,0.6666667,19.5
powr_s04_template,usable_use,,,,4,1,,5300,27,0,10100,0.15,0,0.15,11,318,10,6,0.6666667,21
powr_sasu_s01_lightblossom,item_NamePOWR_SASU_S01_LightBlossom,,item_DescPOWR_SASU_S01_LightBlossom,SASU,1,3,Civilian,170,14,0,5780,0.15,0,0.15,9,318,2550,1.5,170,16.5
powr_sasu_s01_magnabloom,item_Name_POWR_SASU_S01_MagnaBloom,,item_Desc_POWR_SASU_S01_MagnaBloom,SASU,1,2,Civilian,200,14,0,5780,0.15,0,0.15,8,318,2950,1.5,196.6667,16.5
powr_sasu_s01_whiterose,item_NamePOWR_SASU_S01_WhiteRose_SCItem,,item_DescPOWR_SASU_S01_WhiteRose_SCItem,SASU,1,1,Civilian,220,15,0,6190,0.15,0,0.15,8,318,3350,1.5,223.3333,16.5
powr_sasu_s02_daybreak,item_NamePOWR_SASU_S02_DayBreak_SCItem,,item_DescPOWR_SASU_S02_DayBreak,SASU,2,3,Civilian,470,18,0,7430,0.15,0,0.15,10,318,3950,3,263.3333,18
powr_sasu_s02_lotus,item_NamePOWR_SASU_S02_Lotus_SCItem,,item_DescPOWR_SASU_S02_Lotus_SCItem,SASU,2,1,Civilian,620,19,0,7840,0.15,0,0.15,9,318,5000,3,333.3333,18
powr_sasu_s02_radiance,item_Name_POWR_SASU_S02_Radiance,,item_Desc_POWR_SASU_S02_Radiance,SASU,2,2,Civilian,540,18,0,7430,0.15,0,0.15,9,318,4550,3,303.3333,18
powr_sasu_s03_celestial,item_Name_POWR_SASU_S03_Celestial,,item_Desc_POWR_SASU_S03_Celestial,SASU,3,2,Civilian,1500,22,0,9080,0.15,0,0.15,10,318,7000,4.5,466.6667,19.5
powr_sasu_s03_newdawn,item_Name_POWR_SASU_S03_NewDawn,,item_Desc_POWR_SASU_S03_NewDawn,SASU,3,3,Civilian,1300,22,0,9080,0.15,0,0.15,11,318,6000,4.5,400,19.5
powr_sasu_s03_tigerlilly,item_NamePOWR_SASU_S03_TigerLilly_SCItem,,item_DescPOWR_SASU_S03_TigerLilly_SCItem,SASU,3,1,Civilian,1700,23,0,9490,0.15,0,0.15,10,318,8000,4.5,533.3333,19.5
powr_tydt_s01_deltamax,item_NamePOWR_TYDT_S01_DeltaMax_SCItem,,item_DescPOWR_TYDT_S01_DeltaMax,TYDT,1,2,Stealth,190,13,0,3250,0.15,0,0.15,9,313,2850,1.5,190,16.5
powr_tydt_s01_slipstream,item_Name_POWR_TYDT_S01_Slipstream,,item_Desc_POWR_TYDT_S01_Slipstream,TYDT,1,1,Stealth,220,14,0,3500,0.15,0,0.15,9,313,3250,1.5,216.6667,16.5
powr_tydt_s01_soniclite,item_NamePOWR_TYDT_S01_SonicLite,,item_DescPOWR_TYDT_S01_SonicLite,TYDT,1,3,Stealth,170,13,0,3250,0.15,0,0.15,10,313,2500,1.5,166.6667,16.5
powr_tydt_s02_cirrus,item_Name_POWR_TYDT_S02_Cirrus,,item_Desc_POWR_TYDT_S02_Cirrus,TYDT,2,3,Stealth,460,17,0,4250,0.15,0,0.15,11,313,3850,3,256.6667,18
powr_tydt_s02_eclipse,item_NamePOWR_TYDT_S02_Eclipse_SCItem,,item_DescPOWR_TYDT_S02_Eclipse_SCItem,TYDT,2,1,Stealth,590,18,0,4500,0.15,0,0.15,10,313,5000,3,333.3333,18
powr_tydt_s02_gammamax,item_NamePOWR_TYDT_S02_GammaMax_SCItem,,item_DescPOWR_TYDT_S02_GammaMax_SCItem,TYDT,2,2,Stealth,520,17,0,4250,0.15,0,0.15,10,313,4450,3,296.6667,18
powr_vncl_s04_mauler,item_NamePOWR_VNCL_S04_Mauler,,item_DescPOWR_VNCL_S04_Mauler,VNCL,4,1,Military,69000,100,29,13200,0.15,0,0.15,9,333,70000,6,66.66,1056.11
powr_acom_s01_lumacore,item_Name_POWR_ACOM_S01_LumaCore,,item_Desc_POWR_ACOM_S01_LumaCore,ACOM,1,1,Competition,140,16,0,6550,0.15,0,0.15,9,311,2050,1.5,136.6667,16.5
powr_acom_s01_starheart,item_NamePOWR_ACOM_S01_StarHeart,,item_DescPOWR_ACOM_S01_StarHeart,ACOM,1,2,Competition,120,16,0,6550,0.15,0,0.15,10,311,1800,1.5,120,16.5
powr_acom_s01_sunflare,item_NamePOWR_ACOM_S01_SunFlare_SCItem,,item_DescPOWR_ACOM_S01_Sunflare,ACOM,1,3,Competition,110,16,0,6550,0.15,0,0.15,10,311,1600,1.5,106.6667,16.5
powr_acom_s02_luxcore,item_NamePOWR_ACOM_S02_LuxCore_SCItem,,item_DescPOWR_ACOM_S02_LuxCore_SCItem,ACOM,2,1,Competition,380,20,0,8180,0.15,0,0.15,11,311,3150,3,210,18
powr_acom_s02_solarflare,item_Name_POWR_ACOM_S02_SolarFlare,,item_Desc_POWR_ACOM_S02_SolarFlare,ACOM,2,3,Competition,290,20,0,8180,0.15,0,0.15,12,311,2450,3,163.3333,18
powr_acom_s02_starburn,item_NamePOWR_ACOM_S02_StarBurn_SCItem,,item_DescPOWR_ACOM_S02_StarBurn_SCItem,ACOM,2,2,Competition,330,20,0,8180,0.15,0,0.15,11,311,2750,3,183.3333,18
powr_aegs_s01_charger,item_NamePOWR_AEGS_S01_Charger,,item_DescPOWR_AEGS_S01_Charger,AEGS,1,4,Military,240,16,0,7920,0.15,0,0.15,7,333,3550,1.5,236.6667,16.5
powr_aegs_s01_fierellcascade,item_NamePOWR_AEGS_S01_FierellCascade_SCItem,,item_Desc_POWR_AEGS_S01_FierellCascade,AEGS,1,2,Military,310,16,0,7920,0.15,0,0.15,6,333,4700,1.5,313.3333,16.5
powr_aegs_s01_quadracell,item_Name_POWR_AEGS_S01_QuadraCell,,item_Desc_POWR_AEGS_S01_QuadraCell,AEGS,1,1,Military,350,17,0,8420,0.15,0,0.15,6,333,5500,1.5,366.6667,16.5
powr_aegs_s01_regulus,item_NamePOWR_AEGS_S01_Regulus,,item_DescPOWR_AEGS_S01_Regulus,AEGS,1,3,Military,270,16,0,7920,0.15,0,0.15,6,333,4100,1.5,273.3333,16.5
powr_aegs_s02_bolide,item_Name_POWR_AEGS_S02_Bolide,,item_Desc_POWR_AEGS_S02_Bolide,AEGS,2,2,Military,860,20,0,9900,0.15,0,0.15,7,333,7500,3,500,18
powr_aegs_s02_maelstrom,item_NamePOWR_AEGS_S02_Maelstrom_SCItem,,item_DescPOWR_AEGS_S02_Maelstrom,AEGS,2,3,Military,750,20,0,9900,0.15,0,0.15,7,333,6500,3,433.3333,18
powr_aegs_s02_quadracellmt,item_NamePOWR_AEGS_S02_QuadracellMT_SCItem,,item_DescPOWR_AEGS_S02_QuadracellMT_SCItem,AEGS,2,1,Military,980,21,0,10400,0.15,0,0.15,6,333,8500,3,566.6667,18
powr_aegs_s02_vortex,item_NamePOWR_AEGS_S02_Vortex,,item_DescPOWR_AEGS_S02_Vortex,AEGS,2,4,Military,650,20,0,9900,0.15,0,0.15,8,333,5500,3,366.6667,18
powr_aegs_s03_centurion,item_Name_POWR_AEGS_S03_Centurion,,item_Desc_POWR_AEGS_S03_Centurion,AEGS,3,3,Military,2100,24,0,11900,0.15,0,0.15,8,333,10000,4.5,666.6667,19.5
powr_aegs_s03_drassik,item_NamePOWR_AEGS_S03_Drassik_SCItem,,item_DescPOWR_AEGS_S03_Drassik_SCItem,AEGS,3,4,Military,1800,24,0,11900,0.15,0,0.15,9,333,8500,4.5,566.6667,19.5
powr_aegs_s03_fulgur,item_Name_POWR_AEGS_S03_Fulgur,,item_Desc_POWR_AEGS_S03_Fulgur,AEGS,3,2,Military,2400,24,0,11900,0.15,0,0.15,8,333,11500,4.5,766.6667,19.5
powr_aegs_s03_quadracellmx,item_NamePOWR_AEGS_S03_QuadracellMX_SCItem,,item_DescPOWR_AEGS_S03_QuadracellMX_SCItem,AEGS,3,1,Military,2700,25,0,12400,0.15,0,0.15,7,333,13000,4.5,866.6667,19.5
powr_aegs_s04_idris,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,AEGS,4,1,Military,56000,29,0,14400,0.15,0,0.15,9,333,47500,6,3166.667,21
powr_aegs_s04_reclaimer,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,AEGS,4,1,Military,6300,28,0,13900,0.15,0,0.15,10,323,17000,6,1133.333,21
powr_amrs_s01_dynaflux,item_Name_POWR_AMRS_S01_DynaFlux,,item_Desc_POWR_AMRS_S01_DynaFlux,AMRS,1,2,Military,310,16,0,7920,0.15,0,0.15,6,333,4700,1.5,313.3333,16.5
powr_amrs_s01_hypergen,item_NamePOWR_AMRS_S01_HyperGen,,item_DescPOWR_AMRS_S01_HyperGen,AMRS,1,4,Military,240,16,0,7920,0.15,0,0.15,7,333,3550,1.5,236.6667,16.5
powr_amrs_s01_js300,item_NamePOWR_AMRS_S01_JS300_SCItem,,item_DescPOWR_AMRS_S01_JS300_SCItem,AMRS,1,1,Military,350,17,0,8420,0.15,0,0.15,6,333,5500,1.5,366.6667,16.5
powr_amrs_s01_overdrive,item_NamePOWR_AMRS_S01_OverDrive,,item_DescPOWR_AMRS_S01_OverDrive,AMRS,1,3,Military,270,16,0,7920,0.15,0,0.15,6,333,4100,1.5,273.3333,16.5
powr_amrs_s02_exogen,item_NamePOWR_AMRS_S02_ExoGen,,item_DescPOWR_AMRS_S02_ExoGen,AMRS,2,4,Military,650,20,0,9900,0.15,0,0.15,8,333,5500,3,366.6667,18
powr_amrs_s02_js400,item_NamePOWR_AMRS_S02_JS400_SCItem,,item_DescPOWR_AMRS_S02_JS400_SCItem,AMRS,2,1,Military,980,21,0,10400,0.15,0,0.15,6,333,8500,3,566.6667,18
powr_amrs_s02_turbodrive,item_Name_POWR_AMRS_S02_TurboDrive,,item_Desc_POWR_AMRS_S02_TurboDrive,AMRS,2,3,Military,750,20,0,9900,0.15,0,0.15,7,333,6500,3,433.3333,18
powr_amrs_s02_ultraflux,item_NamePOWR_AMRS_S02_UltraFlux_SCItem,,item_DescPOWR_AMRS_S02_UltraFlux_SCItem,AMRS,2,2,Military,860,20,0,9900,0.15,0,0.15,7,333,7500,3,500,18
powr_amrs_s03_js500,item_NamePOWR_AMRS_S03_JS500_SCItem,,item_DescPOWR_AMRS_S03_JS500_SCItem,AMRS,3,1,Military,2700,25,0,12400,0.15,0,0.15,7,333,13000,4.5,866.6667,19.5
powr_amrs_s03_megaflux,item_Name_POWR_AMRS_S03_MegaFlux,,item_Desc_POWR_AMRS_S03_MegaFlux,AMRS,3,2,Military,2400,24,0,11900,0.15,0,0.15,8,333,11500,4.5,766.6667,19.5
powr_amrs_s03_smartgen,item_Name_POWR_AMRS_S03_SmartGen,,item_Desc_POWR_AMRS_S03_SmartGen,AMRS,3,4,Military,1800,24,0,11900,0.15,0,0.15,9,333,8500,4.5,566.6667,19.5
powr_amrs_s03_superdrive,item_NamePOWR_AMRS_S03_SuperDrive_SCItem,,item_DescPOWR_AMRS_S03_SuperDrive,AMRS,3,3,Military,2100,24,0,11900,0.15,0,0.15,8,333,10000,4.5,666.6667,19.5
powr_just_s00_defiant,item_Name_POWR_JUST_S00_Defiant,,item_Desc_POWR_JUST_S00_Defiant,JUST,0,2,Industrial,98,11,0,5450,0.15,0,0.15,7,323,2600,1.5,173.3333,16.5
powr_just_s00_jennet,item_NamePOWR_JUST_S00_Jennet_SCItem,,item_DescPOWR_JUST_S00_Jennet_SCItem,JUST,0,4,Industrial,74,11,0,5450,0.15,0,0.15,8,323,1950,1.5,130,16.5
powr_just_s00_steadfast,item_NamePOWR_JUST_S00_SteadFast,,item_DescPOWR_JUST_S00_SteadFast,JUST,0,3,Industrial,85,11,0,5450,0.15,0,0.15,7,323,2250,1.5,150,16.5
powr_just_s01_breton,item_Name_POWR_JUST_S01_Breton,,item_Desc_POWR_JUST_S01_Breton,JUST,1,1,Industrial,300,16,0,7920,0.15,0,0.15,7,323,4550,1.5,303.3333,16.5
powr_just_s01_endurance,item_NamePOWR_JUST_S01_Endurance,,item_DescPOWR_JUST_S01_Endurance,JUST,1,2,Industrial,270,15,0,7430,0.15,0,0.15,8,323,4050,1.5,270,16.5
powr_just_s01_fortitude,item_NamePOWR_JUST_S01_Fortitude_SCItem,,item_Desc_POWR_JUST_S01_Fortitude,JUST,1,3,Industrial,230,15,0,7430,0.15,0,0.15,8,323,3500,1.5,233.3333,16.5
powr_just_s01_roughneck,item_NamePOWR_JUST_S01_Roughneck_SCItem,,item_DescPOWR_JUST_S01_Roughneck,JUST,1,4,Industrial,200,15,0,7430,0.15,0,0.15,9,323,3050,1.5,203.3333,16.5
